X    Y
0.0000000000e+00   0.0000000000e+00
4.8851978505e-03   2.1263204108e-04
9.7703957010e-03   1.7824997340e-04
1.4655593552e-02   1.4847296801e-04
1.9540791402e-02   1.2259610014e-04
2.4425989253e-02   1.0001285198e-04
2.9311187103e-02   8.0200346670e-05
3.4196384954e-02   6.2706736008e-05
3.9081582804e-02   4.7140404798e-05
4.3966780655e-02   3.3160712163e-05
4.8851978505e-02   2.0470035666e-05
5.3737176356e-02   8.8069213678e-06
5.8622374206e-02   2.0598264158e-06
6.3507572057e-02   1.2336256189e-05
6.8392769907e-02   2.2207699992e-05
7.3277967758e-02   4.5180899793e-05
7.8163165608e-02   5.8151364264e-05
8.3048363459e-02   7.1235518677e-05
8.7933561309e-02   8.4617091445e-05
9.2818759160e-02   9.8472346887e-05
9.7703957010e-02   1.1297264132e-04
1.0258915486e-01   1.2828659661e-04
1.0747435271e-01   1.2594583615e-04
1.1235955056e-01   1.4103975270e-04
1.1724474841e-01   1.5728463692e-04
1.2212994626e-01   1.7482724115e-04
1.2701514411e-01   7.0052853872e-05
1.3190034196e-01   7.7468605469e-05
1.3678553981e-01   8.5510884988e-05
1.4167073766e-01   1.0746409704e-05
1.4655593552e-01   1.5900147039e-04
1.5144113337e-01   1.7479101610e-04
1.5632633122e-01   3.7006028347e-04
1.6121152907e-01   4.0526576472e-04
1.6609672692e-01   4.6591125487e-04
1.7098192477e-01   5.0771130986e-04
1.7586712262e-01   3.4437454474e-04
1.8075232047e-01   1.7109608830e-05
1.8563751832e-01   1.0720099567e-04
1.9052271617e-01   5.5300578346e-04
1.9540791402e-01   7.5751132773e-04
2.0029311187e-01   6.5188346749e-04
2.0517830972e-01   1.7910910157e-04
2.1006350757e-01   2.0790621951e-05
2.1494870542e-01   4.8924890890e-04
2.1983390327e-01   8.2291443569e-04
2.2471910112e-01   7.1211510257e-04
2.2960429897e-01   4.0909987556e-04
2.3448949682e-01   1.2869484918e-04
2.3937469468e-01   7.4831858343e-06
2.4425989253e-01   7.0566060544e-06
2.4914509038e-01   6.1873399628e-06
2.5403028823e-01   5.5648697050e-06
2.5891548608e-01   5.5949583761e-05
2.6380068393e-01   3.6583200632e-04
2.6868588178e-01   9.3021316746e-04
2.7357107963e-01   1.6642756453e-03
2.7845627748e-01   2.2587248037e-03
2.8334147533e-01   2.4025291368e-03
2.8822667318e-01   2.1101730126e-03
2.9311187103e-01   1.3029875934e-03
2.9799706888e-01   6.4797279149e-05
3.0288226673e-01   2.3901016123e-04
3.0776746458e-01   1.0032053197e-03
3.1265266243e-01   8.7443949913e-05
3.1753786028e-01   4.6078727686e-04
3.2242305813e-01   3.0864198602e-05
3.2730825598e-01   1.1984358884e-04
3.3219345383e-01   4.7419416568e-05
3.3707865169e-01   1.7970355901e-06
3.4196384954e-01   2.1769775210e-04
3.4684904739e-01   7.5210471290e-06
3.5173424524e-01   1.8732844684e-05
3.5661944309e-01   5.5932833386e-04
3.6150464094e-01   8.9970528060e-04
3.6638983879e-01   1.1167099186e-03
3.7127503664e-01   1.3824049861e-03
3.7616023449e-01   1.7325909245e-03
3.8104543234e-01   1.8589061634e-03
3.8593063019e-01   6.7018291006e-04
3.9081582804e-01   7.9307837526e-05
3.9570102589e-01   1.1635891138e-03
4.0058622374e-01   2.1850695602e-03
4.0547142159e-01   2.1731195471e-03
4.1035661944e-01   2.1981223186e-03
4.1524181729e-01   2.1304173122e-03
4.2012701514e-01   1.2262295949e-03
4.2501221299e-01   5.8687660244e-05
4.2989741085e-01   3.3294446246e-04
4.3478260870e-01   1.3074010915e-03
4.3966780655e-01   1.4018021663e-03
4.4455300440e-01   9.0897596400e-04
4.4943820225e-01   1.7084443425e-04
4.5432340010e-01   1.5241183317e-05
4.5920859795e-01   2.9099743994e-04
4.6409379580e-01   2.5025118973e-04
4.6897899365e-01   3.7897230917e-05
4.7386419150e-01   7.6154833590e-05
4.7874938935e-01   9.4707939946e-06
4.8363458720e-01   9.1976125888e-05
4.8851978505e-01   3.7553349409e-04
4.9340498290e-01   5.2409243148e-04
4.9829018075e-01   4.3134069915e-04
5.0317537860e-01   6.0362563879e-05
5.0806057645e-01   2.4009489311e-06
5.1294577430e-01   3.8122832557e-04
5.1783097215e-01   5.6785494153e-04
5.2271617000e-01   5.0394477245e-04
5.2760136786e-01   2.2699920941e-04
5.3248656571e-01   2.1162926769e-04
5.3737176356e-01   1.8790045733e-05
5.4225696141e-01   1.5329943588e-04
5.4714215926e-01   1.3959255889e-04
5.5202735711e-01   3.0347756516e-04
5.5691255496e-01   2.7192878144e-04
5.6179775281e-01   2.6838904122e-04
5.6668295066e-01   2.3760022317e-04
5.7156814851e-01   1.4468661397e-04
5.7645334636e-01   1.2740397300e-04
5.8133854421e-01   1.1234678794e-04
5.8622374206e-01   1.7221547766e-07
5.9110893991e-01   2.9367046683e-08
5.9599413776e-01   1.5023620570e-08
6.0087933561e-01   7.8810113990e-09
6.0576453346e-01   7.2971576730e-05
6.1064973131e-01   7.0915423828e-05
6.1553492916e-01   7.1089065124e-05
6.2042012702e-01   1.0484146468e-04
6.2530532487e-01   1.1149888755e-04
6.3019052272e-01   1.2089958827e-04
6.3507572057e-01   1.1928064731e-04
6.3996091842e-01   1.3215871171e-04
6.4484611627e-01   1.4676443042e-04
6.4973131412e-01   1.6278826752e-04
6.5461651197e-01   7.4238814884e-05
6.5950170982e-01   8.1499180916e-05
6.6438690767e-01   8.8822737131e-05
6.6927210552e-01   9.6014154055e-05
6.7415730337e-01   1.0286812555e-04
6.7904250122e-01   1.2098544208e-05
6.8392769907e-01   1.3866465511e-04
6.8881289692e-01   1.4498825022e-04
6.9369809477e-01   1.5001104939e-04
6.9858329262e-01   1.5351588601e-04
7.0346849047e-01   1.5531861804e-04
7.0835368832e-01   1.5527664930e-04
7.1323888617e-01   3.1536205588e-04
7.1812408403e-01   3.0655899104e-04
7.2300928188e-01   2.9372329216e-04
7.2789447973e-01   2.9364895459e-04
7.3277967758e-01   2.7138952130e-04
7.3766487543e-01   2.4577529071e-04
7.4255007328e-01   1.3864898350e-04
7.4743527113e-01   1.1845934226e-04
7.5232046898e-01   3.3881619597e-06
7.5720566683e-01   1.4570422686e-05
7.6209086468e-01   1.0926942226e-05
7.6697606253e-01   4.6929993448e-05
7.7186126038e-01   2.1420440365e-05
7.7674645823e-01   9.0533231879e-06
7.8163165608e-01   3.9730285733e-05
7.8651685393e-01   6.0703450544e-05
7.9140205178e-01   8.2498501312e-05
