X    Y
0.0000000000e+00   0.0000000000e+00
4.8851978505e-03   1.0276328600e-06
9.7703957010e-03   5.1914793732e-07
1.4655593552e-02   1.3667280705e-07
1.9540791402e-02   1.5849791273e-07
2.4425989253e-02   3.9557760178e-07
2.9311187103e-02   5.9703538258e-07
3.4196384954e-02   7.8065068660e-07
3.9081582804e-02   9.6106927645e-07
4.3966780655e-02   1.1510054328e-06
4.8851978505e-02   1.3621987406e-06
5.3737176356e-02   1.6062077838e-06
5.8622374206e-02   1.8951045002e-06
6.3507572057e-02   2.2421200596e-06
6.8392769907e-02   2.6622845451e-06
7.3277967758e-02   4.4240388259e-06
7.8163165608e-02   5.2940586548e-06
8.3048363459e-02   6.3544262933e-06
8.7933561309e-02   7.6466770781e-06
9.2818759160e-02   9.2209476711e-06
9.7703957010e-02   1.1137861389e-05
1.0258915486e-01   1.3470776628e-05
1.0747435271e-01   1.4368884065e-05
1.1235955056e-01   1.7409972758e-05
1.1724474841e-01   2.1104857361e-05
1.2212994626e-01   2.5591604178e-05
1.2701514411e-01   1.1374144920e-05
1.3190034196e-01   1.3794021102e-05
1.3678553981e-01   1.6726262702e-05
1.4167073766e-01   2.2566524206e-06
1.4655593552e-01   3.5841893977e-05
1.5144113337e-01   4.3419810078e-05
1.5632633122e-01   1.0291197807e-04
1.6121152907e-01   1.2447151827e-04
1.6609672692e-01   1.6062275849e-04
1.7098192477e-01   1.9377015032e-04
1.7586712262e-01   1.4799824894e-04
1.8075232047e-01   7.9508465979e-06
1.8563751832e-01   5.3871026322e-05
1.9052271617e-01   3.1466788829e-04
1.9540791402e-01   4.9004171595e-04
2.0029311187e-01   4.8201518785e-04
2.0517830972e-01   1.5251091089e-04
2.1006350757e-01   1.9505524578e-05
2.1494870542e-01   5.0776319268e-04
2.1983390327e-01   1.0156298748e-03
2.2471910112e-01   1.0729408163e-03
2.2960429897e-01   7.8486720561e-04
2.3448949682e-01   3.4179414887e-04
2.3937469468e-01   2.7326627746e-05
2.4425989253e-01   6.8427372634e-05
2.4914509038e-01   5.5974155711e-05
2.5403028823e-01   1.3383191722e-05
2.5891548608e-01   7.8887518948e-05
2.6380068393e-01   2.3561188627e-04
