X    Y
0.0000000000e+00   1.0000000000e-01
7.1692769907e-02   -5.2898047633e-02
1.3860034196e-01   -2.4428650737e-01
1.7561152907e-01   -5.1115498842e-01
1.8661152907e-01   -6.3406257578e-01
1.9761152907e-01   -7.8426844003e-01
2.0861152907e-01   -9.6593452306e-01
2.1961152907e-01   -1.1820704392e+00
2.3061152907e-01   -1.4326561032e+00
2.4161152907e-01   -1.7115311925e+00
2.5261152907e-01   -2.0020307576e+00
2.6361152907e-01   -2.2724963403e+00
2.7461152907e-01   -2.4749946605e+00
2.8561152907e-01   -2.5525005927e+00
2.9661152907e-01   -2.4573941512e+00
3.0761152907e-01   -2.1744497090e+00
3.1861152907e-01   -1.7321055230e+00
3.2961152907e-01   -1.1915192913e+00
3.4061152907e-01   -6.2165849286e-01
3.5161152907e-01   -7.8337530986e-02
3.6261152907e-01   4.0318245070e-01
3.7361152907e-01   8.0470006493e-01
3.8461152907e-01   1.1178774730e+00
4.0039672692e-01   1.4051420074e+00
4.2006712262e-01   1.4922953182e+00
4.3106712262e-01   1.4191523619e+00
4.4206712262e-01   1.2746221931e+00
4.5306712262e-01   1.0780261310e+00
4.6406712262e-01   8.5088675169e-01
4.7506712262e-01   6.1334430156e-01
4.8606712262e-01   3.8147677867e-01
4.9706712262e-01   1.6614121455e-01
5.0806712262e-01   -2.6830288210e-02
5.1906712262e-01   -1.9563259359e-01
5.4740791402e-01   -5.3019485063e-01
5.9308949682e-01   -8.7638522133e-01
6.5611187103e-01   -1.1862932366e+00
7.1913424524e-01   -1.2093557450e+00
7.6481582804e-01   -9.7384646983e-01
8.1049741085e-01   -6.8653484400e-01
8.7740498290e-01   -4.8071535346e-01
9.4042735711e-01   -6.0661574109e-01
9.8222374206e-01   -8.8599740239e-01
1.0057793356e+00   -1.1201409727e+00
1.0167793356e+00   -1.2444315409e+00
1.0277793356e+00   -1.3728410540e+00
1.0387793356e+00   -1.4984379677e+00
1.0757905227e+00   -1.7580766296e+00
1.0915757206e+00   -1.7129112383e+00
1.1025757206e+00   -1.6100144438e+00
1.1135757206e+00   -1.4530496018e+00
1.1245757206e+00   -1.2536237871e+00
1.1355757206e+00   -1.0274736324e+00
1.1465757206e+00   -7.9104523000e-01
1.1575757206e+00   -5.5855592286e-01
1.1685757206e+00   -3.4029945443e-01
1.1795757206e+00   -1.4226005974e-01
1.1905757206e+00   3.3351709441e-02
1.2054609184e+00   2.3664586542e-01
1.2472573034e+00   6.5630447034e-01
1.2842684905e+00   9.4890541886e-01
1.3251648754e+00   1.2479423716e+00
1.3795168539e+00   1.4191993147e+00
1.4213132389e+00   1.1633393899e+00
1.4361984367e+00   1.0063224808e+00
1.4519836346e+00   8.2738290391e-01
1.4928800195e+00   4.1069290618e-01
1.5433468002e+00   1.0433193512e-01
1.6063691744e+00   -6.3884896708e-02
1.6732767465e+00   -2.2585025876e-01
1.7189583293e+00   -4.5795878340e-01
1.7434139228e+00   -6.7309314661e-01
1.7544139228e+00   -7.9994499137e-01
1.7654139228e+00   -9.4859879808e-01
1.7764139228e+00   -1.1201072420e+00
1.7874139228e+00   -1.3133529016e+00
1.7984139228e+00   -1.5234089307e+00
1.8094139228e+00   -1.7394615932e+00
1.8204139228e+00   -1.9428492828e+00
