X    Y    Z
1.0000000000e-01   0.0000000000e+00   0.0000000000e+00
-5.2898047633e-02   -9.4472722129e-02   2.7491052185e-04
-2.4428650737e-01   -3.6775483384e-01   1.1176353495e-02
-5.1115498842e-01   -7.6277531048e-01   5.0853827146e-02
-6.3406257578e-01   -9.4276288158e-01   7.8763598345e-02
-7.8426844003e-01   -1.1599346243e+00   1.2132338662e-01
-9.6593452306e-01   -1.4172321650e+00   1.8558920383e-01
-1.1820704392e+00   -1.7133181508e+00   2.8117969651e-01
-1.4326561032e+00   -2.0382709316e+00   4.2013265629e-01
-1.7115311925e+00   -2.3674056426e+00   6.1522928167e-01
-2.0020307576e+00   -2.6546977517e+00   8.7534775633e-01
-2.2724963403e+00   -2.8308137613e+00   1.1968229854e+00
-2.4749946605e+00   -2.8147883801e+00   1.5528817566e+00
-2.5525005927e+00   -2.5459929685e+00   1.8895335889e+00
-2.4573941512e+00   -2.0253316156e+00   2.1395736017e+00
-2.1744497090e+00   -1.3316441956e+00   2.2545472481e+00
-1.7321055230e+00   -5.8848358691e-01   2.2319652101e+00
-1.1915192913e+00   9.5096651282e-02   2.1133287547e+00
-6.2165849286e-01   6.6060416430e-01   1.9574636406e+00
-7.8337530986e-02   1.0958614270e+00   1.8141761130e+00
4.0318245070e-01   1.4111177171e+00   1.7129407136e+00
8.0470006493e-01   1.6189098587e+00   1.6637021796e+00
1.1178774730e+00   1.7257182676e+00   1.6618398886e+00
1.4051420074e+00   1.7058971988e+00   1.7120103834e+00
1.4922953182e+00   1.4190323709e+00   1.7807051260e+00
1.4191523619e+00   1.1653015791e+00   1.7879656711e+00
1.2746221931e+00   8.7896308048e-01   1.7621993264e+00
1.0780261310e+00   5.8836315181e-01   1.7050124687e+00
8.5088675169e-01   3.1583170306e-01   1.6240770370e+00
6.1334430156e-01   7.4793637498e-02   1.5295722110e+00
3.8147677867e-01   -1.2981413267e-01   1.4311300419e+00
1.6614121455e-01   -2.9919767965e-01   1.3361430203e+00
-2.6830288210e-02   -4.3800019928e-01   1.2493660810e+00
-1.9563259359e-01   -5.5215729189e-01   1.1733002288e+00
-5.3019485063e-01   -7.7194974255e-01   1.0305495496e+00
-8.7638522133e-01   -1.0298142705e+00   9.4356153839e-01
-1.1862932366e+00   -1.2707495851e+00   1.0389059420e+00
-1.2093557450e+00   -1.1309009782e+00   1.1925018553e+00
-9.7384646983e-01   -8.1166308176e-01   1.1633000752e+00
-6.8653484400e-01   -5.5009375394e-01   1.0161499696e+00
-4.8071535346e-01   -4.6790369270e-01   7.6703001661e-01
-6.0661574109e-01   -7.2286787272e-01   6.2066520187e-01
-8.8599740239e-01   -1.1061248735e+00   6.3336911922e-01
-1.1201409727e+00   -1.3941455427e+00   7.1573538455e-01
-1.2444315409e+00   -1.5337147411e+00   7.8074797073e-01
-1.3728410540e+00   -1.6646232720e+00   8.6485689497e-01
-1.4984379677e+00   -1.7738835305e+00   9.6775555425e-01
-1.7580766296e+00   -1.7789241355e+00   1.3835472126e+00
-1.7129112383e+00   -1.5456164505e+00   1.5222772713e+00
-1.6100144438e+00   -1.3114607118e+00   1.5774359487e+00
-1.4530496018e+00   -1.0426298938e+00   1.5923286905e+00
-1.2536237871e+00   -7.6366047205e-01   1.5689505691e+00
-1.0274736324e+00   -4.9582684528e-01   1.5147242472e+00
-7.9104523000e-01   -2.5346708396e-01   1.4397933900e+00
-5.5855592286e-01   -4.3275805493e-02   1.3543008225e+00
-3.4029945443e-01   1.3425169023e-01   1.2666084415e+00
-1.4226005974e-01   2.8256916802e-01   1.1826482788e+00
3.3351709441e-02   4.0702392947e-01   1.1060851727e+00
2.3664586542e-01   5.4770468338e-01   1.0175183852e+00
6.5630447034e-01   8.6619372023e-01   8.6897389617e-01
9.4890541886e-01   1.1403881362e+00   8.5978111354e-01
1.2479423716e+00   1.4117907488e+00   9.8529321507e-01
1.4191993147e+00   1.3754600756e+00   1.2662551763e+00
1.1633393899e+00   9.1833766841e-01   1.3250417252e+00
1.0063224808e+00   7.2839388323e-01   1.2882040949e+00
8.2738290391e-01   5.4312467762e-01   1.2243725362e+00
4.1069290618e-01   1.9940324055e-01   1.0058674049e+00
1.0433193512e-01   4.1300555273e-03   7.4929098632e-01
-6.3884896708e-02   -1.1321149081e-01   5.1376424377e-01
