X    Y
0.0000000000e+00   0.0000000000e+00
7.1692769907e-02   -9.4472722129e-02
1.3860034196e-01   -3.6775483384e-01
1.7561152907e-01   -7.6277531048e-01
1.8661152907e-01   -9.4276288158e-01
1.9761152907e-01   -1.1599346243e+00
2.0861152907e-01   -1.4172321650e+00
2.1961152907e-01   -1.7133181508e+00
2.3061152907e-01   -2.0382709316e+00
2.4161152907e-01   -2.3674056426e+00
2.5261152907e-01   -2.6546977517e+00
2.6361152907e-01   -2.8308137613e+00
2.7461152907e-01   -2.8147883801e+00
2.8561152907e-01   -2.5459929685e+00
2.9661152907e-01   -2.0253316156e+00
3.0761152907e-01   -1.3316441956e+00
3.1861152907e-01   -5.8848358691e-01
3.2961152907e-01   9.5096651282e-02
3.4061152907e-01   6.6060416430e-01
3.5161152907e-01   1.0958614270e+00
3.6261152907e-01   1.4111177171e+00
3.7361152907e-01   1.6189098587e+00
3.8461152907e-01   1.7257182676e+00
4.0039672692e-01   1.7058971988e+00
4.2006712262e-01   1.4190323709e+00
4.3106712262e-01   1.1653015791e+00
4.4206712262e-01   8.7896308048e-01
4.5306712262e-01   5.8836315181e-01
4.6406712262e-01   3.1583170306e-01
4.7506712262e-01   7.4793637498e-02
4.8606712262e-01   -1.2981413267e-01
4.9706712262e-01   -2.9919767965e-01
5.0806712262e-01   -4.3800019928e-01
5.1906712262e-01   -5.5215729189e-01
5.4740791402e-01   -7.7194974255e-01
5.9308949682e-01   -1.0298142705e+00
6.5611187103e-01   -1.2707495851e+00
7.1913424524e-01   -1.1309009782e+00
7.6481582804e-01   -8.1166308176e-01
8.1049741085e-01   -5.5009375394e-01
8.7740498290e-01   -4.6790369270e-01
9.4042735711e-01   -7.2286787272e-01
9.8222374206e-01   -1.1061248735e+00
1.0057793356e+00   -1.3941455427e+00
1.0167793356e+00   -1.5337147411e+00
1.0277793356e+00   -1.6646232720e+00
1.0387793356e+00   -1.7738835305e+00
1.0757905227e+00   -1.7789241355e+00
1.0915757206e+00   -1.5456164505e+00
1.1025757206e+00   -1.3114607118e+00
1.1135757206e+00   -1.0426298938e+00
1.1245757206e+00   -7.6366047205e-01
1.1355757206e+00   -4.9582684528e-01
1.1465757206e+00   -2.5346708396e-01
