X    Y    Z
1.0000000000e-01   0.0000000000e+00   0.0000000000e+00
5.5882818481e-02   -1.4813423543e-02   -3.9945095944e-05
1.1048578506e-02   -3.6207410483e-02   -1.1610647937e-04
-2.1957727716e-02   -6.1179363520e-02   -6.2002304508e-05
-5.2946265647e-02   -9.4531016512e-02   2.7573255872e-04
-8.9223175147e-02   -1.4190843641e-01   1.1782244798e-03
-1.3772397065e-01   -2.1084593138e-01   3.2573797459e-03
-2.0658744857e-01   -3.1193272560e-01   7.8561266732e-03
-3.0493596628e-01   -4.5774167650e-01   1.7702431169e-02
-3.9166782866e-01   -5.8635393880e-01   2.9574699583e-02
-5.4315610852e-01   -8.0980452541e-01   5.7528896216e-02
-6.2798722568e-01   -9.3390937705e-01   7.7239043403e-02
-7.7450018480e-01   -1.1459210460e+00   1.1826858986e-01
-9.1112587374e-01   -1.3403160766e+00   1.6469333547e-01
-1.1270392063e+00   -1.6391360738e+00   2.5479654837e-01
-1.2860902020e+00   -1.8509455891e+00   3.3502257185e-01
-1.4981191501e+00   -2.1190685589e+00   4.6184141572e-01
-1.7483786362e+00   -2.4075489416e+00   6.4465161228e-01
-1.9679295574e+00   -2.6249652072e+00   8.4112264252e-01
-2.1114675316e+00   -2.7405357886e+00   9.9344828371e-01
-2.2648470720e+00   -2.8278299585e+00   1.1861251117e+00
-2.3974056919e+00   -2.8504366585e+00   1.3939874904e+00
-2.5017475515e+00   -2.7831896809e+00   1.6222996942e+00
-2.5508360557e+00   -2.6054768778e+00   1.8410412232e+00
-2.5406168748e+00   -2.3906901946e+00   1.9897069159e+00
-2.4772434116e+00   -2.0934423628e+00   2.1180195237e+00
-2.3955689749e+00   -1.8404946356e+00   2.1871269588e+00
-2.2943521718e+00   -1.5875522832e+00   2.2308106943e+00
-2.0961440626e+00   -1.1811325694e+00   2.2602484159e+00
-1.9597361846e+00   -9.4147554101e-01   2.2580509427e+00
-1.7891045731e+00   -6.7228953596e-01   2.2404827544e+00
-1.6147570006e+00   -4.2411908316e-01   2.2112635751e+00
-1.4395792499e+00   -1.9659484672e-01   2.1742258594e+00
-1.2686161559e+00   7.8826471338e-03   2.1330535534e+00
-1.0741763148e+00   2.2243181258e-01   2.0823107329e+00
-8.0419754840e-01   4.9315945525e-01   2.0082090615e+00
-5.6786817201e-01   7.0776340550e-01   1.9425962818e+00
-3.4500297507e-01   8.9330850631e-01   1.8821666278e+00
-1.4676000356e-01   1.0458243320e+00   1.8310236819e+00
3.6559518221e-02   1.1769547184e+00   1.7870321543e+00
1.9122700082e-01   1.2803573163e+00   1.7531700592e+00
4.2979413595e-01   1.4266025868e+00   1.7084819180e+00
6.6375101995e-01   1.5528100742e+00   1.6761541604e+00
9.0960749728e-01   1.6619820787e+00   1.6586297016e+00
1.1447377849e+00   1.7310265445e+00   1.6638155723e+00
1.3818647589e+00   1.7184462619e+00   1.7045785513e+00
1.4966581945e+00   1.5352566453e+00   1.7645567100e+00
1.4555906361e+00   1.2650965948e+00   1.7889518810e+00
1.3282341793e+00   9.7362695877e-01   1.7742343155e+00
1.1817163227e+00   7.3293368818e-01   1.7372199779e+00
1.0360500587e+00   5.3399781206e-01   1.6909891391e+00
7.9301152421e-01   2.5360960265e-01   1.6018049869e+00
5.4399279315e-01   1.0814926458e-02   1.5006552821e+00
4.4958469932e-01   -7.2366618280e-02   1.4605386275e+00
2.2800438412e-01   -2.5228108722e-01   1.3636933507e+00
1.0557278528e-02   -4.1190308433e-01   1.2662408139e+00
-1.2240055883e-01   -5.0328035581e-01   1.2062300116e+00
-3.4800524402e-01   -6.5196300212e-01   1.1059136620e+00
-4.3932651216e-01   -7.1161964268e-01   1.0670570191e+00
-6.1154520002e-01   -8.2769416001e-01   1.0007914249e+00
-7.3279263325e-01   -9.1573880313e-01   9.6482637999e-01
-8.6232518876e-01   -1.0181984270e+00   9.4429305364e-01
-9.5837254006e-01   -1.0987064808e+00   9.4640045970e-01
-1.0614745888e+00   -1.1846126378e+00   9.6984274336e-01
-1.1493703650e+00   -1.2496278051e+00   1.0121158166e+00
-1.2152248654e+00   -1.2813048673e+00   1.0665621299e+00
-1.2492659525e+00   -1.2682942643e+00   1.1233690395e+00
-1.2426106529e+00   -1.2057131325e+00   1.1705716449e+00
-1.1916458636e+00   -1.0991254262e+00   1.1969798853e+00
-1.1046552786e+00   -9.6914254741e-01   1.1962854649e+00
-1.0034092839e+00   -8.4460598289e-01   1.1729488653e+00
-9.0394761292e-01   -7.3868062530e-01   1.1363378494e+00
-7.9424368775e-01   -6.3644440806e-01   1.0829879473e+00
-6.9430785092e-01   -5.5582943416e-01   1.0215535744e+00
