X    Y
0.0000000000e+00   nan
4.8851978505e-03   1.4040146287e-01
9.7703957010e-03   2.0863632408e-02
1.4655593552e-02   2.8843891712e-03
1.9540791402e-02   3.1434198166e-03
2.4425989253e-02   4.2965091865e-03
2.9311187103e-02   5.4961280108e-03
3.4196384954e-02   7.7016093886e-03
3.9081582804e-02   8.1678704620e-02
4.3966780655e-02   1.0541626273e-02
4.8851978505e-02   1.5793953078e-02
5.3737176356e-02   3.3464497465e-02
5.8622374206e-02   2.2805461459e-01
6.3507572057e-02   2.6091744047e-02
6.8392769907e-02   1.4101833934e-02
7.3277967758e-02   9.8655524969e-03
7.8163165608e-02   7.7416058241e-03
8.3048363459e-02   6.4897082072e-03
8.7933561309e-02   5.6795733419e-03
9.2818759160e-02   5.1226774878e-03
9.7703957010e-02   4.7234869114e-03
1.0258915486e-01   4.4284788573e-03
1.0747435271e-01   4.2053682305e-03
1.1235955056e-01   4.0335396558e-03
1.1724474841e-01   3.8992168017e-03
1.2212994626e-01   3.7928420034e-03
1.2701514411e-01   3.7075699679e-03
1.3190034196e-01   3.6383175326e-03
1.3678553981e-01   3.5813158254e-03
1.4167073766e-01   3.5336246352e-03
1.4655593552e-01   3.4928970662e-03
1.5144113337e-01   3.4572123751e-03
1.5632633122e-01   3.4249633044e-03
1.6121152907e-01   3.3947466792e-03
1.6609672692e-01   3.3652908460e-03
1.7098192477e-01   3.3353967876e-03
1.7586712262e-01   3.3038867639e-03
1.8075232047e-01   3.2695591240e-03
1.8563751832e-01   3.2311473554e-03
1.9052271617e-01   3.1872858895e-03
1.9540791402e-01   3.1364690956e-03
2.0029311187e-01   3.0770235779e-03
2.0517830972e-01   3.0070848752e-03
2.1006350757e-01   2.9245917282e-03
2.1494870542e-01   3.3499019978e-04
2.1983390327e-01   3.1956786574e-04
2.2471910112e-01   1.6673441515e-04
2.2960429897e-01   2.8615983750e-03
2.3448949682e-01   7.0346170652e-04
2.3937469468e-01   1.4830391294e-03
2.4425989253e-01   1.6420173179e-03
2.4914509038e-01   1.2738025424e-03
2.5403028823e-01   1.8841964806e-04
2.5891548608e-01   4.9088917303e-04
2.6380068393e-01   5.6297518125e-04
2.6868588178e-01   1.3502068933e-03
2.7357107963e-01   1.7767537750e-03
2.7845627748e-01   8.4192020044e-04
2.8334147533e-01   3.9630358293e-06
2.8822667318e-01   7.6143264913e-04
2.9311187103e-01   9.3206004507e-04
2.9799706888e-01   1.8202645781e-05
3.0288226673e-01   3.5249068896e-04
3.0776746458e-01   5.7277929668e-05
3.1265266243e-01   1.8312567219e-04
3.1753786028e-01   1.7699564285e-04
3.2242305813e-01   1.4161032936e-03
3.2730825598e-01   1.1909392671e-03
3.3219345383e-01   2.6718527543e-03
3.3707865169e-01   5.7490241516e-04
3.4196384954e-01   8.4984993097e-04
3.4684904739e-01   1.2383160690e-03
3.5173424524e-01   7.2848403746e-04
3.5661944309e-01   1.1349448743e-03
3.6150464094e-01   1.5504654282e-03
3.6638983879e-01   5.7320920137e-04
3.7127503664e-01   1.0709947803e-03
3.7616023449e-01   8.4129974774e-05
3.8104543234e-01   1.3226708339e-03
3.8593063019e-01   1.2711385772e-03
3.9081582804e-01   1.4045890655e-03
3.9570102589e-01   1.3445609922e-03
4.0058622374e-01   1.2837979255e-03
4.0547142159e-01   1.2348936515e-03
4.1035661944e-01   3.3247592340e-05
4.1524181729e-01   3.1854903170e-05
4.2012701514e-01   3.0363100558e-05
4.2501221299e-01   2.8694875537e-05
4.2989741085e-01   1.1635370324e-05
4.3478260870e-01   1.1551202577e-03
4.3966780655e-01   1.0516617328e-03
4.4455300440e-01   9.3347849689e-04
4.4943820225e-01   5.1861768184e-04
4.5432340010e-01   6.6403699865e-04
4.5920859795e-01   1.0934352399e-03
4.6409379580e-01   1.7351081304e-03
4.6897899365e-01   2.0308555422e-03
4.7386419150e-01   8.6285569606e-03
4.7874938935e-01   4.1217684181e-01
4.8363458720e-01   1.0133314076e-02
4.8851978505e-01   3.8483017536e-03
4.9340498290e-01   3.1493219934e-03
4.9829018075e-01   3.8039939715e-03
5.0317537860e-01   3.3129663797e-03
5.0806057645e-01   1.0322043821e-02
5.1294577430e-01   2.6264759137e-03
5.1783097215e-01   1.5112303170e-03
5.2271617000e-01   1.0494265054e-03
5.2760136786e-01   7.9018238413e-04
5.3248656571e-01   6.2097311879e-04
5.3737176356e-01   5.0032243459e-04
5.4225696141e-01   4.0932595337e-04
5.4714215926e-01   3.3809775997e-04
5.5202735711e-01   2.8093615374e-04
5.5691255496e-01   2.3429903976e-04
5.6179775281e-01   1.9585249725e-04
5.6668295066e-01   1.6398288727e-04
5.7156814851e-01   1.3752883035e-04
5.7645334636e-01   1.1562543821e-04
5.8133854421e-01   1.0289957758e-04
5.8622374206e-01   1.0046494370e-04
5.9110893991e-01   9.7943744319e-05
5.9599413776e-01   9.5289831833e-05
6.0087933561e-01   9.2446914971e-05
6.0576453346e-01   8.9351499374e-05
6.1064973131e-01   8.5936036190e-05
6.1553492916e-01   8.2132175439e-05
6.2042012702e-01   7.7874087522e-05
6.2530532487e-01   7.3101741534e-05
6.3019052272e-01   6.7764015919e-05
6.3507572057e-01   7.4357630067e-05
6.3996091842e-01   8.2863766720e-05
6.4484611627e-01   9.1474571483e-05
6.4973131412e-01   1.0002070544e-04
6.5461651197e-01   1.0832176550e-04
6.5950170982e-01   1.1618852114e-04
6.6438690767e-01   1.2342756138e-04
6.6927210552e-01   1.2984819193e-04
6.7415730337e-01   1.3527109687e-04
6.7904250122e-01   1.3953838643e-04
6.8392769907e-01   1.4252522077e-04
6.8881289692e-01   1.4415382989e-04
6.9369809477e-01   1.4441060317e-04
6.9858329262e-01   1.4336494795e-04
7.0346849047e-01   1.4118402647e-04
7.0835368832e-01   1.3813033612e-04
7.1323888617e-01   1.3452082300e-04
