X    Y
0.0000000000e+00   1.0000000000e-01
1.5836874881e-02   4.8393905376e-02
3.5377666283e-02   5.9802888796e-03
5.4918457685e-02   -2.6238187965e-02
7.4459249087e-02   -5.7554976967e-02
9.4000040489e-02   -9.5114447973e-02
1.1354083189e-01   -1.4593267916e-01
1.3308162329e-01   -2.1843050228e-01
1.5262241470e-01   -3.2383898701e-01
1.7216320610e-01   -4.7755474372e-01
1.9170399750e-01   -6.9994307978e-01
2.1124478890e-01   -1.0144687526e+00
2.2740891964e-01   -1.3563488849e+00
2.4227584930e-01   -1.7289822388e+00
2.5640208321e-01   -2.0996017618e+00
2.7089275446e-01   -2.4176456332e+00
2.8750678172e-01   -2.5493730550e+00
2.9796112057e-01   -2.4326289641e+00
3.0783536006e-01   -2.1668702859e+00
3.1607937469e-01   -1.8451750889e+00
3.2375012411e-01   -1.4874856817e+00
3.3132595266e-01   -1.1029881329e+00
3.3862894436e-01   -7.2376156157e-01
3.4801647003e-01   -2.5041439700e-01
3.5685636432e-01   1.6039609869e-01
3.6604982834e-01   5.3780402306e-01
3.7926593688e-01   9.7703415203e-01
3.9697725513e-01   1.3594175437e+00
4.1521500642e-01   1.4980089565e+00
4.3196058071e-01   1.4098446338e+00
4.4838942537e-01   1.1666160988e+00
4.6793021678e-01   7.6771978220e-01
4.8620927809e-01   3.7857074873e-01
5.0382248185e-01   4.4793215810e-02
5.2336327325e-01   -2.5514223109e-01
5.4290406465e-01   -4.8532010586e-01
5.6244485605e-01   -6.6274417632e-01
5.8198564745e-01   -8.0542370036e-01
6.0152643886e-01   -9.2674620879e-01
6.2106723026e-01   -1.0336181435e+00
6.4060802166e-01   -1.1263181706e+00
6.6014881306e-01   -1.1993448050e+00
6.7968960446e-01   -1.2434266494e+00
6.9923039587e-01   -1.2489775494e+00
7.1877118727e-01   -1.2104816143e+00
7.3831197867e-01   -1.1300762270e+00
7.5785277007e-01   -1.0183000129e+00
7.7739356147e-01   -8.9122194491e-01
7.9693435288e-01   -7.6564210961e-01
8.1647514428e-01   -6.5527820485e-01
8.3601593568e-01   -5.6894793634e-01
8.5555672708e-01   -5.1094915239e-01
8.7509751848e-01   -4.8260427995e-01
8.9463830989e-01   -4.8400801718e-01
9.1417910129e-01   -5.1542865871e-01
9.3371989269e-01   -5.7816396934e-01
9.5326068409e-01   -6.7477203127e-01
9.7280147549e-01   -8.0847106333e-01
9.9194525981e-01   -9.7726922350e-01
1.0114860512e+00   -1.1846615797e+00
1.0306165686e+00   -1.4065386151e+00
1.0483927080e+00   -1.5987135301e+00
1.0679334994e+00   -1.7381776446e+00
1.0862320764e+00   -1.7406548954e+00
1.1057728679e+00   -1.5680381323e+00
1.1253136593e+00   -1.2374615128e+00
1.1428486840e+00   -8.6997019416e-01
1.1606012517e+00   -4.9586289976e-01
1.1801420431e+00   -1.3231652725e-01
1.1978888856e+00   1.3780718934e-01
1.2174296770e+00   3.7495560985e-01
