X    Y
0.0000000000e+00   0.0000000000e+00
1.5836874881e-02   -1.7773716749e-02
3.5377666283e-02   -3.9382995253e-02
5.4918457685e-02   -6.5231314788e-02
7.4459249087e-02   -1.0017589990e-01
9.4000040489e-02   -1.5006324322e-01
1.1354083189e-01   -2.2278098232e-01
1.3308162329e-01   -3.2945081178e-01
1.5262241470e-01   -4.8579331039e-01
1.7216320610e-01   -7.1328628058e-01
1.9170399750e-01   -1.0384400761e+00
2.1124478890e-01   -1.4847713595e+00
2.2935101969e-01   -2.0001893986e+00
2.4555197293e-01   -2.4782752667e+00
2.6068301458e-01   -2.7993861405e+00
2.7636265346e-01   -2.7898134249e+00
2.9229724249e-01   -2.2560991274e+00
3.0345818883e-01   -1.6063362393e+00
3.1367064241e-01   -9.2046493449e-01
3.2396478570e-01   -2.4344536884e-01
3.3195142558e-01   2.2624894638e-01
3.4340761326e-01   7.8337438685e-01
3.5284385983e-01   1.1368855280e+00
3.6387822557e-01   1.4403352248e+00
3.8209339924e-01   1.7100633791e+00
3.9368859403e-01   1.7389818304e+00
4.1322938543e-01   1.5476016679e+00
4.3277017684e-01   1.1223534562e+00
4.5231096824e-01   6.0796697460e-01
4.6960265956e-01   1.9010909308e-01
4.8522766773e-01   -1.1548655412e-01
5.0461145347e-01   -3.9734131831e-01
5.2415224487e-01   -5.9825791508e-01
5.4300853693e-01   -7.4268295676e-01
5.6254932833e-01   -8.6463737767e-01
5.8209011973e-01   -9.7266460306e-01
6.0163091113e-01   -1.0724833090e+00
6.2117170253e-01   -1.1623372819e+00
6.4071249394e-01   -1.2343269007e+00
6.6025328534e-01   -1.2765534234e+00
6.7979407674e-01   -1.2768334707e+00
6.9933486814e-01   -1.2279337115e+00
7.1887565954e-01   -1.1330972514e+00
7.3841645095e-01   -1.0081283729e+00
7.5795724235e-01   -8.7338426923e-01
7.7749803375e-01   -7.3914021000e-01
7.9703882515e-01   -6.0563257785e-01
8.1657961655e-01   -5.0220504603e-01
8.3612040796e-01   -4.3755821222e-01
