X    Y
0.0000000000e+00   0.0000000000e+00
1.5836874881e-02   -5.3094737587e-05
3.5377666283e-02   -1.1942036038e-04
5.4918457685e-02   -3.6151010963e-05
7.4459249087e-02   3.5888249541e-04
9.4000040489e-02   1.3782267713e-03
1.1354083189e-01   3.7052282452e-03
1.3308162329e-01   8.8382681420e-03
1.5262241470e-01   2.0034986524e-02
1.7216320610e-01   4.4290458691e-02
1.9170399750e-01   9.6273619683e-02
2.1124478890e-01   2.0520268567e-01
2.2935101969e-01   4.0159231341e-01
2.4555197293e-01   7.0074957582e-01
2.6068301458e-01   1.1062539718e+00
2.7636265346e-01   1.6094882124e+00
2.9229724249e-01   2.0557564848e+00
3.0345818883e-01   2.2283066949e+00
3.1367064241e-01   2.2572360936e+00
3.2396478570e-01   2.1826247472e+00
3.3195142558e-01   2.0813412221e+00
3.4340761326e-01   1.9183068306e+00
3.5284385983e-01   1.8004057711e+00
3.6387822557e-01   1.7045989515e+00
3.8209339924e-01   1.6587146094e+00
3.9368859403e-01   1.6860199293e+00
4.1322938543e-01   1.7621921833e+00
4.3277017684e-01   1.7861881895e+00
4.5231096824e-01   1.7098134175e+00
4.6960265956e-01   1.5775721207e+00
4.8522766773e-01   1.4385977585e+00
5.0461145347e-01   1.2755531096e+00
5.2415224487e-01   1.1420507828e+00
5.4300853693e-01   1.0478070551e+00
5.6254932833e-01   9.8386007098e-01
5.8209011973e-01   9.5035997233e-01
6.0163091113e-01   9.4383198664e-01
6.2117170253e-01   9.6122345445e-01
6.4071249394e-01   9.9879632831e-01
6.6025328534e-01   1.0506904397e+00
6.7979407674e-01   1.1079537866e+00
6.9933486814e-01   1.1588641735e+00
7.1887565954e-01   1.1913169566e+00
7.3841645095e-01   1.1976715270e+00
7.5795724235e-01   1.1790563558e+00
7.7749803375e-01   1.1415200049e+00
7.9703882515e-01   1.0857854104e+00
8.1657961655e-01   1.0096264589e+00
8.3612040796e-01   9.2865917533e-01
8.5566119936e-01   8.4950762387e-01
8.7520199076e-01   7.7570803377e-01
8.9474278216e-01   7.0957038614e-01
9.1428357356e-01   6.5298996012e-01
9.3382436497e-01   6.0828922892e-01
9.5336515637e-01   5.7852231293e-01
9.7290594777e-01   5.6907152294e-01
9.9244673917e-01   5.8868633835e-01
1.0119875306e+00   6.4998301046e-01
1.0315283220e+00   7.6821706946e-01
1.0510691134e+00   9.5394421102e-01
1.0706099048e+00   1.1960045402e+00
1.0898135378e+00   1.4387670306e+00
1.1093543292e+00   1.6089158285e+00
1.1288951206e+00   1.6423104536e+00
1.1466418073e+00   1.5624233235e+00
1.1658903086e+00   1.4121262895e+00
1.1854311000e+00   1.2502003301e+00
1.2049718914e+00   1.1137305682e+00
1.2245126828e+00   1.0148055547e+00
1.2440534742e+00   9.5424014834e-01
1.2635942656e+00   9.2951219205e-01
1.2831350570e+00   9.3773155715e-01
1.3026758484e+00   9.7546324163e-01
1.3222166398e+00   1.0369084330e+00
1.3417574312e+00   1.1117960149e+00
1.3612982226e+00   1.1847754617e+00
1.3808390140e+00   1.2380069383e+00
1.4003798054e+00   1.2569686832e+00
1.4199205968e+00   1.2373170731e+00
1.4394613882e+00   1.1876802606e+00
1.4590021796e+00   1.1212632275e+00
1.4785429710e+00   1.0329746967e+00
1.4980837624e+00   9.4131625104e-01
1.5176245538e+00   8.5224629667e-01
1.5371653452e+00   7.6911161272e-01
1.5567061366e+00   6.9358331417e-01
1.5762469280e+00   6.2653135044e-01
1.5957877194e+00   5.6872528901e-01
1.6153285108e+00   5.2112441516e-01
1.6348693022e+00   4.8604218763e-01
1.6544100936e+00   4.6769751633e-01
1.6739508851e+00   4.7371310967e-01
1.6934916765e+00   5.1692310802e-01
1.7130324679e+00   6.1658508090e-01
1.7325732593e+00   7.9513932874e-01
1.7521140507e+00   1.0626099324e+00
1.7705351678e+00   1.3658183372e+00
1.7900759592e+00   1.6473685209e+00
1.8096167506e+00   1.7749833855e+00
1.8227344475e+00   1.7542428033e+00
1.8369727690e+00   1.6592876359e+00
1.8524021192e+00   1.5161709569e+00
1.8716126683e+00   1.3414846836e+00
1.8904906047e+00   1.2121739767e+00
1.9096161660e+00   1.1346788001e+00
1.9291569574e+00   1.1053685701e+00
1.9486977488e+00   1.1139492165e+00
1.9682385402e+00   1.1450019324e+00
1.9877793316e+00   1.1818119257e+00
2.0073201231e+00   1.2085510493e+00
2.0268609145e+00   1.2135406321e+00
2.0464017059e+00   1.1918863965e+00
2.0659424973e+00   1.1456259451e+00
2.0854832887e+00   1.0814010868e+00
2.1050240801e+00   1.0070954136e+00
2.1245648715e+00   9.2947881723e-01
2.1441056629e+00   8.5375370917e-01
2.1636464543e+00   7.8341223944e-01
2.1831872457e+00   7.2094831994e-01
2.2027280371e+00   6.6860511530e-01
2.2222688285e+00   6.2910254934e-01
2.2418096199e+00   6.0639650054e-01
2.2613504113e+00   6.0680737177e-01
2.2808912027e+00   6.3973362556e-01
2.3004319941e+00   7.1758296375e-01
2.3199727855e+00   8.5250962882e-01
2.3395135769e+00   1.0473461777e+00
2.3590543683e+00   1.2778712666e+00
2.3785951597e+00   1.4839831430e+00
2.3981359511e+00   1.5944161774e+00
2.4176767425e+00   1.5780229729e+00
2.4372175339e+00   1.4642666449e+00
2.4524569348e+00   1.3447568535e+00
2.4717418488e+00   1.1931873637e+00
2.4912826402e+00   1.0627074849e+00
2.5108234316e+00   9.6464731274e-01
2.5303642230e+00   9.0007805645e-01
2.5499050144e+00   8.6814367996e-01
2.5694458058e+00   8.6852967634e-01
2.5889865972e+00   9.0140482173e-01
2.6085273886e+00   9.6554425877e-01
2.6280681800e+00   1.0551163934e+00
2.6476089714e+00   1.1564878820e+00
2.6671497628e+00   1.2477814506e+00
2.6866905542e+00   1.3042498811e+00
2.7062313456e+00   1.3104187709e+00
2.7257721370e+00   1.2731306288e+00
2.7453129284e+00   1.2155345777e+00
2.7648537198e+00   1.1200412956e+00
2.7843945112e+00   1.0164514938e+00
2.8039353026e+00   9.1397432805e-01
2.8234760940e+00   8.1763140099e-01
2.8430168854e+00   7.2950844513e-01
2.8625576768e+00   6.5004717782e-01
2.8820984682e+00   5.7891924014e-01
2.9016392596e+00   5.1549134442e-01
2.9211800510e+00   4.5908247474e-01
2.9407208425e+00   4.0907108213e-01
2.9602616339e+00   3.6495977600e-01
2.9798024253e+00   3.2645547478e-01
2.9993432167e+00   2.9357735430e-01
