X    Y
0.0000000000e+00   0.0000000000e+00
1.0000000000e-04   -3.5882584882e-09
1.1000000000e-03   -4.2021452147e-07
5.9851978505e-03   -1.0594336392e-05
1.0870395701e-02   -2.9678883694e-05
1.5755593552e-02   -5.2701160634e-05
2.0640791402e-02   -7.5888475130e-05
2.5525989253e-02   -9.6288966728e-05
3.0411187103e-02   -1.1148359529e-04
3.5296384954e-02   -1.1936245018e-04
4.0181582804e-02   -1.1794522519e-04
4.5066780655e-02   -1.0523049186e-04
4.9951978505e-02   -7.9061776300e-05
5.4837176356e-02   -3.7000752429e-05
5.9722374206e-02   2.3800641404e-05
6.4607572057e-02   1.0673649832e-04
6.9492769907e-02   2.1589864534e-04
7.4377967758e-02   3.5625084135e-04
7.9263165608e-02   5.3383304483e-04
8.4148363459e-02   7.5600418215e-04
8.9033561309e-02   1.0317330757e-03
9.3918759160e-02   1.3719488119e-03
9.8803957010e-02   1.7899638767e-03
1.0368915486e-01   2.3019859113e-03
1.0857435271e-01   2.9277369987e-03
1.1345955056e-01   3.6912030605e-03
1.1834474841e-01   4.6215402841e-03
1.2322994626e-01   5.7541705966e-03
1.2811514411e-01   7.1321040994e-03
1.3300034196e-01   8.8075331073e-03
1.3788553981e-01   1.0843749962e-02
1.4277073766e-01   1.3317448975e-02
1.4765593552e-01   1.6321481232e-02
1.4775593552e-01   1.6389265424e-02
1.4875593552e-01   1.7082107212e-02
1.5364113337e-01   2.0891258080e-02
1.5852633122e-01   2.5512887593e-02
1.6341152907e-01   3.1117582362e-02
1.6829672692e-01   3.7910600071e-02
1.7318192477e-01   4.6138337365e-02
1.7806712262e-01   5.6095727799e-02
1.8295232047e-01   6.8134562893e-02
1.8305232047e-01   6.8405552714e-02
1.8405232047e-01   7.1173766745e-02
1.8893751832e-01   8.6339779996e-02
1.9382271617e-01   1.0462117045e-01
1.9870791402e-01   1.2661769169e-01
2.0359311187e-01   1.5302583886e-01
2.0369311187e-01   1.5361793546e-01
2.0469311187e-01   1.5966042520e-01
2.0957830972e-01   1.9257493608e-01
2.1446350757e-01   2.3182561178e-01
2.1934870542e-01   2.7844171405e-01
2.1944870542e-01   2.7948057645e-01
2.2044870542e-01   2.9006661519e-01
2.2522673965e-01   3.4587069706e-01
2.3011193750e-01   4.1269675978e-01
2.3021193750e-01   4.1417589698e-01
2.3121193750e-01   4.2922320439e-01
2.3554559505e-01   5.0000088967e-01
2.3998823462e-01   5.8247298518e-01
2.4008823462e-01   5.8444966471e-01
2.4108823462e-01   6.0451360222e-01
2.4518099356e-01   6.9233222765e-01
2.4933728758e-01   7.9098721120e-01
2.4943728758e-01   7.9347801841e-01
2.5043728758e-01   8.1868548271e-01
2.5445347368e-01   9.2528830200e-01
2.5852603081e-01   1.0416303216e+00
2.6280493130e-01   1.1715843664e+00
2.6290493130e-01   1.1747020319e+00
2.6390493130e-01   1.2060539609e+00
2.6803384454e-01   1.3382785346e+00
2.7222124584e-01   1.4749268931e+00
2.7659061989e-01   1.6168092814e+00
2.7669061989e-01   1.6200167143e+00
2.7769061989e-01   1.6519414851e+00
2.8170621028e-01   1.7764853967e+00
2.8599491951e-01   1.9000823043e+00
2.8609491951e-01   1.9028157022e+00
2.8709491951e-01   1.9297272179e+00
2.9053133797e-01   2.0158033957e+00
2.9425612938e-01   2.0963329971e+00
2.9435612938e-01   2.0982942736e+00
2.9535612938e-01   2.1173014020e+00
2.9827787538e-01   2.1663288095e+00
3.0143695387e-01   2.2079909591e+00
3.0153695387e-01   2.2091129532e+00
3.0253695387e-01   2.2196639196e+00
3.0512713849e-01   2.2413402268e+00
3.0790093579e-01   2.2556115680e+00
3.0800093579e-01   2.2559566007e+00
3.0900093579e-01   2.2587709956e+00
3.1139075592e-01   2.2609220003e+00
3.1392408358e-01   2.2564970033e+00
3.1402408358e-01   2.2561877146e+00
3.1502408358e-01   2.2525559619e+00
3.1730571224e-01   2.2407633815e+00
3.1970915080e-01   2.2235035440e+00
3.1980915080e-01   2.2226864280e+00
3.2080915080e-01   2.2141089779e+00
3.2305148762e-01   2.1923754498e+00
3.2540389189e-01   2.1663265701e+00
3.2550389189e-01   2.1651545136e+00
3.2650389189e-01   2.1531732414e+00
3.2876270292e-01   2.1245563505e+00
3.3112818223e-01   2.0927474097e+00
3.3122818223e-01   2.0913698709e+00
3.3222818223e-01   2.0774755947e+00
3.3455352288e-01   2.0445157350e+00
3.3698807262e-01   2.0094786480e+00
3.3708807262e-01   2.0080357595e+00
3.3808807262e-01   1.9936141691e+00
3.4053024052e-01   1.9586189963e+00
3.4308766715e-01   1.9227202576e+00
3.4318766715e-01   1.9213387488e+00
3.4418766715e-01   1.9076337064e+00
3.4680281446e-01   1.8728832523e+00
3.4954081270e-01   1.8385353865e+00
3.4964081270e-01   1.8373254091e+00
3.5064081270e-01   1.8254104219e+00
3.5349753406e-01   1.7933328261e+00
3.5648458879e-01   1.7631501975e+00
3.5658458879e-01   1.7622023315e+00
3.5758458879e-01   1.7529528426e+00
3.6077324102e-01   1.7263001593e+00
3.6409798229e-01   1.7032237888e+00
3.6818486606e-01   1.6815048030e+00
3.6828486606e-01   1.6810644520e+00
3.6928486606e-01   1.6768970172e+00
3.7322479258e-01   1.6645696719e+00
3.7730041473e-01   1.6583505639e+00
3.8218561258e-01   1.6587957800e+00
3.8707081043e-01   1.6665872984e+00
