X    Y
0.0000000000e+00   nan
4.8851978505e-03   3.9436933516e-03
9.7703957010e-03   1.2622489573e-03
1.4655593552e-02   3.8713559367e-04
1.9540791402e-02   3.6757676794e-05
2.4425989253e-02   2.8059607637e-04
2.9311187103e-02   4.3486370426e-04
3.4196384954e-02   5.3840117145e-04
3.9081582804e-02   6.1066536163e-04
4.3966780655e-02   6.6248352161e-04
4.8851978505e-02   7.0035608706e-04
5.3737176356e-02   7.2841389366e-04
5.8622374206e-02   7.4939820520e-04
6.3507572057e-02   7.6518976420e-04
6.8392769907e-02   7.7711228641e-04
7.3277967758e-02   7.8611552538e-04
7.8163165608e-02   7.9289042340e-04
8.3048363459e-02   7.9794412573e-04
8.7933561309e-02   8.0165027836e-04
9.2818759160e-02   8.0428353526e-04
9.7703957010e-02   8.0604363402e-04
1.0258915486e-01   8.0707236177e-04
1.0747435271e-01   8.0746552879e-04
1.1235955056e-01   8.0728133167e-04
1.1724474841e-01   8.0654602616e-04
1.2212994626e-01   8.0525753225e-04
1.2701514411e-01   8.0338740202e-04
1.3190034196e-01   8.0088145839e-04
1.3678553981e-01   7.9765934768e-04
1.4167073766e-01   7.9361323695e-04
1.4655593552e-01   7.8857013754e-04
1.5144113337e-01   1.1246910985e-03
1.5632633122e-01   1.1133781224e-03
1.6121152907e-01   1.0995976379e-03
1.6609672692e-01   1.0828531360e-03
1.7098192477e-01   1.0625469053e-03
1.7586712262e-01   1.0379634171e-03
1.8075232047e-01   1.0082509601e-03
1.8563751832e-01   8.6785689149e-04
1.9052271617e-01   8.2788269175e-04
1.9540791402e-01   7.7988777534e-04
2.0029311187e-01   7.2242502584e-04
2.0517830972e-01   2.6568387194e-04
2.1006350757e-01   2.3103862681e-04
2.1494870542e-01   1.9013316434e-04
2.1983390327e-01   1.6893170294e-05
2.2471910112e-01   1.1362222285e-04
2.2960429897e-01   5.7197653089e-05
2.3448949682e-01   3.0884138057e-05
2.3937469468e-01   9.8999766071e-05
2.4425989253e-01   2.4839426387e-04
2.4914509038e-01   9.4390320180e-05
2.5403028823e-01   2.6356396035e-04
2.5891548608e-01   1.4032711902e-03
2.6380068393e-01   9.0037060854e-05
2.6868588178e-01   7.4486046421e-07
2.7357107963e-01   2.1728955368e-03
2.7845627748e-01   9.5678036160e-04
2.8334147533e-01   1.0343902779e-04
2.8822667318e-01   1.1545476540e-03
2.9311187103e-01   9.6234429342e-05
2.9799706888e-01   9.0225859848e-04
3.0288226673e-01   3.8068405896e-04
3.0776746458e-01   6.0823844297e-05
3.1265266243e-01   3.7468615407e-07
3.1753786028e-01   4.4254965236e-04
3.2242305813e-01   1.3136436665e-03
3.2730825598e-01   2.9075567141e-03
3.3219345383e-01   2.8702386139e-03
3.3707865169e-01   8.5335280267e-04
3.4196384954e-01   1.3255691909e-04
3.4684904739e-01   1.0014268528e-03
3.5173424524e-01   1.8294400032e-04
3.5661944309e-01   6.3134794263e-04
3.6150464094e-01   5.9909496224e-04
3.6638983879e-01   4.2427389548e-04
3.7127503664e-01   7.7396585506e-04
3.7616023449e-01   3.9299222913e-05
3.8104543234e-01   1.7176650701e-04
3.8593063019e-01   4.1694800068e-04
3.9081582804e-01   4.1111124375e-04
3.9570102589e-01   4.0496714488e-04
4.0058622374e-01   4.7043211796e-05
4.0547142159e-01   6.6611061483e-04
4.1035661944e-01   6.4174851339e-04
4.1524181729e-01   6.0491713349e-04
4.2012701514e-01   5.5335529406e-04
4.2501221299e-01   4.8521172993e-04
4.2989741085e-01   3.9886969624e-04
4.3478260870e-01   5.0751312777e-04
4.3966780655e-01   2.6255495016e-04
4.4455300440e-01   3.0750765739e-05
4.4943820225e-01   4.4866992798e-04
4.5432340010e-01   9.0944030572e-04
4.5920859795e-01   1.5248929625e-03
4.6409379580e-01   1.5193491465e-03
4.6897899365e-01   2.5413294103e-03
4.7386419150e-01   5.3889918600e-03
4.7874938935e-01   1.1887395208e-02
4.8363458720e-01   1.7850354770e-03
4.8851978505e-01   8.8411706632e-04
4.9340498290e-01   5.7727083349e-04
4.9829018075e-01   4.1786757793e-04
5.0317537860e-01   1.4242814564e-03
5.0806057645e-01   1.1135960679e-03
5.1294577430e-01   8.8518187636e-04
5.1783097215e-01   7.1041699975e-04
5.2271617000e-01   5.7313105419e-04
5.2760136786e-01   5.7375757509e-04
5.3248656571e-01   4.6330488270e-04
5.3737176356e-01   3.7354989904e-04
5.4225696141e-01   3.0041506174e-04
5.4714215926e-01   2.4087530534e-04
5.5202735711e-01   1.9262773992e-04
5.5691255496e-01   1.5388246587e-04
5.6179775281e-01   1.2322448710e-04
5.6668295066e-01   9.9519083813e-05
5.7156814851e-01   6.4333183843e-05
5.7645334636e-01   5.4897975941e-05
5.8133854421e-01   4.9149443602e-05
5.8622374206e-01   4.6666339389e-05
5.9110893991e-01   4.7087575199e-05
5.9599413776e-01   5.0097696335e-05
6.0087933561e-01   5.5414907819e-05
6.0576453346e-01   6.2781031822e-05
6.1064973131e-01   7.1952973145e-05
6.1553492916e-01   8.2695412333e-05
6.2042012702e-01   9.4774551754e-05
6.2530532487e-01   1.0795282027e-04
6.3019052272e-01   1.2198450357e-04
6.3507572057e-01   1.3661231455e-04
6.3996091842e-01   1.5156495488e-04
6.4484611627e-01   1.6655667094e-04
6.4973131412e-01   4.6450941121e-05
6.5461651197e-01   5.0000596503e-05
6.5950170982e-01   5.3306216168e-05
6.6438690767e-01   5.6283222417e-05
6.6927210552e-01   5.8846873096e-05
6.7415730337e-01   6.0913971413e-05
6.7904250122e-01   6.2404833573e-05
6.8392769907e-01   6.3245445167e-05
6.8881289692e-01   6.3369717810e-05
6.9369809477e-01   6.2721741378e-05
6.9858329262e-01   6.1257916441e-05
7.0346849047e-01   5.8948848044e-05
7.0835368832e-01   5.5780887173e-05
7.1323888617e-01   5.1757220495e-05
7.1812408403e-01   4.6898431803e-05
7.2300928188e-01   4.1242488217e-05
7.2789447973e-01   3.4844137621e-05
7.3277967758e-01   2.7773737611e-05
7.3766487543e-01   2.0115567449e-05
7.4255007328e-01   1.1965702030e-05
7.4743527113e-01   3.4295512296e-06
7.5232046898e-01   5.3808122107e-06
7.5720566683e-01   1.4349409618e-05
7.6209086468e-01   2.3359115367e-05
7.6697606253e-01   3.2294473754e-05
7.7186126038e-01   4.3409213592e-06
7.7674645823e-01   1.2937349266e-04
7.8163165608e-01   1.5298971885e-04
7.8651685393e-01   1.7533131703e-04
7.9140205178e-01   1.9615412190e-04
7.9628724963e-01   2.1525175221e-04
8.0117244748e-01   2.3245979813e-04
