X    Y
0.0000000000e+00   0.0000000000e+00
1.0000000000e-04   -1.1992815652e-04
1.1000000000e-03   -1.3114952186e-03
5.9851978505e-03   -6.9568588666e-03
1.0870395701e-02   -1.2384038746e-02
1.5755593552e-02   -1.7686061798e-02
2.0640791402e-02   -2.2948830707e-02
2.5525989253e-02   -2.8252788276e-02
3.0411187103e-02   -3.3674412152e-02
3.5296384954e-02   -3.9287568949e-02
4.0181582804e-02   -4.5164754008e-02
4.5066780655e-02   -5.1378240433e-02
4.9951978505e-02   -5.8001158583e-02
5.4837176356e-02   -6.5108525103e-02
5.9722374206e-02   -7.2778238669e-02
6.4607572057e-02   -8.1092057983e-02
6.9492769907e-02   -9.0136576144e-02
7.4377967758e-02   -1.0000420419e-01
7.9263165608e-02   -1.1079417546e-01
8.4148363459e-02   -1.2261358121e-01
8.9033561309e-02   -1.3557844671e-01
9.3918759160e-02   -1.4981485564e-01
9.8803957010e-02   -1.6546012890e-01
1.0368915486e-01   -1.8266406170e-01
1.0857435271e-01   -2.0159021999e-01
1.1345955056e-01   -2.2241729329e-01
1.1834474841e-01   -2.4534049579e-01
1.2322994626e-01   -2.7057300016e-01
1.2811514411e-01   -2.9834737913e-01
1.3300034196e-01   -3.2891701610e-01
1.3788553981e-01   -3.6255742880e-01
1.4277073766e-01   -3.9956742572e-01
1.4765593552e-01   -4.4026996350e-01
1.4775593552e-01   -4.4114411384e-01
1.4875593552e-01   -4.4997936136e-01
1.5364113337e-01   -4.9568219807e-01
1.5852633122e-01   -5.4588417956e-01
1.6341152907e-01   -6.0098552608e-01
1.6829672692e-01   -6.6140652656e-01
1.7318192477e-01   -7.2758282074e-01
1.7806712262e-01   -7.9995806841e-01
1.8295232047e-01   -8.7897313004e-01
1.8305232047e-01   -8.8066294230e-01
1.8405232047e-01   -8.9772466921e-01
1.8893751832e-01   -9.8544721183e-01
1.9382271617e-01   -1.0806932857e+00
1.9870791402e-01   -1.1837570306e+00
2.0359311187e-01   -1.2948153526e+00
2.0369311187e-01   -1.2971726208e+00
2.0469311187e-01   -1.3209299509e+00
2.0957830972e-01   -1.4417693130e+00
2.1446350757e-01   -1.5702862637e+00
2.1934870542e-01   -1.7058442093e+00
2.1944870542e-01   -1.7086858983e+00
2.2044870542e-01   -1.7372386406e+00
2.2522673965e-01   -1.8767155246e+00
2.3011193750e-01   -2.0231654326e+00
2.3021193750e-01   -2.0261878689e+00
2.3121193750e-01   -2.0564408782e+00
2.3554559505e-01   -2.1875791528e+00
2.3998823462e-01   -2.3200883716e+00
2.4008823462e-01   -2.3230248714e+00
2.4108823462e-01   -2.3522379022e+00
2.4518099356e-01   -2.4681312979e+00
2.4933728758e-01   -2.5772659055e+00
2.4943728758e-01   -2.5797548541e+00
2.5043728758e-01   -2.6042374718e+00
2.5445347368e-01   -2.6941086216e+00
2.5455347368e-01   -2.6961525294e+00
2.5555347368e-01   -2.7160159390e+00
2.5565347368e-01   -2.7179433350e+00
2.5665347368e-01   -2.7366035930e+00
2.6153867153e-01   -2.8098963458e+00
2.6163867153e-01   -2.8110551102e+00
2.6263867153e-01   -2.8218194993e+00
2.6273867153e-01   -2.8228122347e+00
2.6373867153e-01   -2.8318786305e+00
2.6862386938e-01   -2.8519500796e+00
2.6872386938e-01   -2.8519124980e+00
2.6972386938e-01   -2.8504884014e+00
2.6982386938e-01   -2.8502400710e+00
2.7082386938e-01   -2.8466790686e+00
2.7570906723e-01   -2.7999097278e+00
2.7580906723e-01   -2.7984250482e+00
2.7680906723e-01   -2.7823831844e+00
2.7690906723e-01   -2.7806590144e+00
2.7790906723e-01   -2.7622101948e+00
2.8279426508e-01   -2.6402572180e+00
2.8289426508e-01   -2.6372083911e+00
2.8389426508e-01   -2.6055108998e+00
2.8754801376e-01   -2.4713179525e+00
2.9243321161e-01   -2.2493074863e+00
2.9253321161e-01   -2.2442909867e+00
2.9353321161e-01   -2.1931556339e+00
2.9655770136e-01   -2.0283923486e+00
2.9983422337e-01   -1.8348463650e+00
2.9993422337e-01   -1.8287253436e+00
3.0093422337e-01   -1.7668939582e+00
3.0358827620e-01   -1.5979077576e+00
3.0643699217e-01   -1.4103267466e+00
3.0653699217e-01   -1.4036529539e+00
3.0753699217e-01   -1.3366551218e+00
3.0996431608e-01   -1.1725440715e+00
3.1254358462e-01   -9.9708903466e-01
3.1264358462e-01   -9.9028533584e-01
3.1364358462e-01   -9.2230300726e-01
3.1594366752e-01   -7.6667506238e-01
3.1836955088e-01   -6.0450886978e-01
3.1846955088e-01   -5.9788241631e-01
3.1946955088e-01   -5.3191586775e-01
3.2171573109e-01   -3.8597009603e-01
3.2407391399e-01   -2.3663196013e-01
3.2417391399e-01   -2.3039683557e-01
3.2517391399e-01   -1.6851068589e-01
3.2742428355e-01   -3.2495020191e-02
3.2978148578e-01   1.0481239645e-01
3.2988148578e-01   1.1051514671e-01
3.3088148578e-01   1.6698072503e-01
3.3318686528e-01   2.9318355481e-01
3.3560046378e-01   4.1922309851e-01
3.3570046378e-01   4.2430882829e-01
3.3670046378e-01   4.7456558675e-01
3.3911059875e-01   5.9119081054e-01
3.4163437422e-01   7.0649899004e-01
3.4173437422e-01   7.1092486107e-01
3.4273437422e-01   7.5458738210e-01
3.4530351769e-01   8.6183153967e-01
3.4799368894e-01   9.6664298144e-01
3.4809368894e-01   9.7039384865e-01
3.4909368894e-01   1.0073372507e+00
3.5188682794e-01   1.1051562306e+00
3.5480864333e-01   1.1992284001e+00
3.5490864333e-01   1.2023019609e+00
3.5590864333e-01   1.2325138470e+00
3.5900997807e-01   1.3202482531e+00
3.6224630673e-01   1.4024313248e+00
3.6234630673e-01   1.4048215055e+00
3.6334630673e-01   1.4282377631e+00
3.6687256150e-01   1.5038507390e+00
3.7053682112e-01   1.5711484253e+00
3.7525629163e-01   1.6412298823e+00
3.7535629163e-01   1.6425146175e+00
3.7635629163e-01   1.6549070344e+00
3.8088710500e-01   1.7007165917e+00
3.8553878742e-01   1.7301700701e+00
3.9042398527e-01   1.7419713997e+00
3.9530918312e-01   1.7342858964e+00
4.0019438097e-01   1.7074163689e+00
4.0029438097e-01   1.7066695930e+00
4.0129438097e-01   1.6987742892e+00
4.0617957882e-01   1.6492547659e+00
4.1106477667e-01   1.5823982761e+00
4.1594997452e-01   1.4996838481e+00
4.2083517237e-01   1.4029910651e+00
4.2572037022e-01   1.2945425828e+00
4.3060556808e-01   1.1768110060e+00
4.3070556808e-01   1.1743223130e+00
4.3170556808e-01   1.1492864588e+00
4.3659076593e-01   1.0237360028e+00
4.4147596378e-01   8.9469499087e-01
4.4636116163e-01   7.6461656406e-01
4.4646116163e-01   7.6195908004e-01
4.4746116163e-01   7.3541577157e-01
4.5234635948e-01   6.0704928795e-01
4.5723155733e-01   4.8213184806e-01
4.6211675518e-01   3.6211988866e-01
4.6221675518e-01   3.5972275228e-01
4.6321675518e-01   3.3589184657e-01
4.6810195303e-01   2.2333530215e-01
4.7298715088e-01   1.1762654532e-01
4.7787234873e-01   1.9117091178e-02
4.7797234873e-01   1.7176827222e-02
4.7897234873e-01   -2.0574923152e-03
4.8385754658e-01   -9.1646478111e-02
4.8874274443e-01   -1.7411843888e-01
4.9362794228e-01   -2.4978587473e-01
4.9851314013e-01   -3.1906792226e-01
4.9861314013e-01   -3.2042278102e-01
4.9961314013e-01   -3.3383635248e-01
5.0449833798e-01   -3.9596436492e-01
5.0938353583e-01   -4.5284034280e-01
5.1426873368e-01   -5.0500176526e-01
5.1915393153e-01   -5.5297635847e-01
5.2403912938e-01   -5.9726950778e-01
5.2413912938e-01   -5.9814113511e-01
5.2513912938e-01   -6.0678442968e-01
5.3002432724e-01   -6.4721031787e-01
5.3490952509e-01   -6.8496073862e-01
5.3979472294e-01   -7.2042547621e-01
5.4467992079e-01   -7.5395361489e-01
5.4956511864e-01   -7.8585368036e-01
5.5445031649e-01   -8.1639449767e-01
5.5933551434e-01   -8.4580647265e-01
5.6422071219e-01   -8.7428308460e-01
5.6910591004e-01   -9.0198244349e-01
5.6920591004e-01   -9.0254226222e-01
5.7020591004e-01   -9.0812566279e-01
5.7509110789e-01   -9.3503880123e-01
5.7997630574e-01   -9.6140717337e-01
