X    Y
0.0000000000e+00   nan
4.8851978505e-03   3.9436933516e-03
9.7703957010e-03   1.2622489573e-03
1.4655593552e-02   3.8713559367e-04
1.9540791402e-02   3.6757676794e-05
2.4425989253e-02   2.8059607637e-04
2.9311187103e-02   4.3486370426e-04
3.4196384954e-02   5.3840117145e-04
3.9081582804e-02   6.1066536163e-04
4.3966780655e-02   6.6248352161e-04
4.8851978505e-02   7.0035608706e-04
5.3737176356e-02   7.2841389366e-04
5.8622374206e-02   7.4939820520e-04
6.3507572057e-02   7.6518976420e-04
6.8392769907e-02   7.7711228641e-04
7.3277967758e-02   7.8611552538e-04
7.8163165608e-02   7.9289042340e-04
8.3048363459e-02   7.9794412573e-04
8.7933561309e-02   8.0165027836e-04
9.2818759160e-02   8.0428353526e-04
9.7703957010e-02   8.0604363402e-04
1.0258915486e-01   8.0707236177e-04
1.0747435271e-01   8.0746552879e-04
1.1235955056e-01   8.0728133167e-04
1.1724474841e-01   8.0654602616e-04
1.2212994626e-01   8.0525753225e-04
1.2701514411e-01   8.0338740202e-04
1.3190034196e-01   8.0088145839e-04
1.3678553981e-01   7.9765934768e-04
1.4167073766e-01   7.9361323695e-04
1.4655593552e-01   7.8860594302e-04
1.5144113337e-01   7.8246893684e-04
1.5632633122e-01   7.7489023772e-04
1.6121152907e-01   7.6563122811e-04
1.6609672692e-01   7.5437364694e-04
1.7098192477e-01   7.4071449152e-04
1.7586712262e-01   1.0381026446e-03
1.8075232047e-01   1.0083919388e-03
1.8563751832e-01   9.7254451850e-04
1.9052271617e-01   9.2937860645e-04
1.9540791402e-01   8.7751737295e-04
2.0029311187e-01   8.1537521112e-04
2.0517830972e-01   6.5400434377e-04
2.1006350757e-01   5.7252375254e-04
2.1494870542e-01   4.7617672157e-04
2.1983390327e-01   3.6293575314e-04
2.2471910112e-01   8.1845639503e-05
2.2960429897e-01   3.6406280212e-05
2.3448949682e-01   7.1781851382e-05
2.3937469468e-01   1.0952465657e-05
2.4425989253e-01   2.0638624560e-04
2.4914509038e-01   2.9657354749e-04
2.5403028823e-01   4.1684698941e-05
2.5891548608e-01   6.1889394543e-04
2.6380068393e-01   1.5384876306e-03
2.6868588178e-01   1.4324216905e-03
2.7357107963e-01   2.1726017696e-03
2.7845627748e-01   9.5890361007e-04
2.8334147533e-01   1.0361118044e-04
2.8822667318e-01   1.0219487330e-03
2.9311187103e-01   9.8703557301e-04
2.9799706888e-01   5.0259243036e-05
3.0288226673e-01   9.9015346480e-04
3.0776746458e-01   6.1649993776e-04
3.1265266243e-01   1.2131336818e-04
3.1753786028e-01   1.8651698247e-03
3.2242305813e-01   6.3514808231e-03
3.2730825598e-01   6.8462907819e-02
3.3219345383e-01   2.6185495872e-03
3.3707865169e-01   1.6920781868e-03
3.4196384954e-01   4.0412871595e-03
3.4684904739e-01   6.1898216031e-04
3.5173424524e-01   1.0815060299e-03
3.5661944309e-01   1.9033820400e-03
3.6150464094e-01   7.2821478534e-04
3.6638983879e-01   6.1361653379e-04
3.7127503664e-01   6.2664513866e-05
3.7616023449e-01   1.3563481800e-04
3.8104543234e-01   7.4102919786e-04
3.8593063019e-01   7.2659508653e-04
3.9081582804e-01   7.1673452335e-04
3.9570102589e-01   5.3399755346e-05
4.0058622374e-01   3.7563107378e-04
4.0547142159e-01   3.6799212808e-04
4.1035661944e-01   1.0745728525e-03
4.1524181729e-01   1.1761828359e-03
4.2012701514e-01   1.0623546935e-03
4.2501221299e-01   9.1557941472e-04
4.2989741085e-01   7.3313025059e-04
4.3478260870e-01   5.1202362936e-04
4.3966780655e-01   2.4785113292e-04
4.4455300440e-01   8.7809757157e-05
4.4943820225e-01   3.7510598990e-04
4.5432340010e-01   7.3387240731e-04
4.5920859795e-01   1.2125770400e-03
4.6409379580e-01   2.5875425568e-04
4.6897899365e-01   4.3074667985e-04
4.7386419150e-01   9.1012655499e-04
4.7874938935e-01   4.0904290460e-02
4.8363458720e-01   9.9844637656e-04
4.8851978505e-01   1.7892079143e-05
4.9340498290e-01   2.1046624618e-03
4.9829018075e-01   1.5211564199e-03
5.0317537860e-01   1.1568481484e-03
5.0806057645e-01   9.0497988504e-04
5.1294577430e-01   7.1969138259e-04
5.1783097215e-01   5.7783970367e-04
5.2271617000e-01   4.6634793891e-04
5.2760136786e-01   5.6454730498e-04
5.3248656571e-01   4.5602896537e-04
5.3737176356e-01   3.6780401037e-04
5.4225696141e-01   2.9588023461e-04
5.4714215926e-01   2.3729439815e-04
5.5202735711e-01   1.8978952406e-04
5.5691255496e-01   1.5161054099e-04
5.6179775281e-01   1.2136934102e-04
5.6668295066e-01   9.7952413140e-05
5.7156814851e-01   8.0455221170e-05
5.7645334636e-01   6.8134254147e-05
5.8133854421e-01   6.0371061607e-05
5.8622374206e-01   5.6644459176e-05
5.9110893991e-01   5.6508551051e-05
5.9599413776e-01   5.6327062729e-05
6.0087933561e-01   6.2228738963e-05
6.0576453346e-01   7.0460656457e-05
6.1064973131e-01   8.0747881453e-05
6.1553492916e-01   9.2824615234e-05
6.2042012702e-01   1.0642708361e-04
6.2530532487e-01   1.2128751169e-04
6.3019052272e-01   1.3712915213e-04
6.3507572057e-01   1.5366239109e-04
6.3996091842e-01   1.7058199802e-04
6.4484611627e-01   1.8756561290e-04
6.4973131412e-01   2.0427357742e-04
6.5461651197e-01   2.2035021406e-04
6.5950170982e-01   2.3542663866e-04
6.6438690767e-01   2.4912515712e-04
6.6927210552e-01   2.6106524479e-04
6.7415730337e-01   2.7087103518e-04
6.7904250122e-01   2.7818014768e-04
6.8392769907e-01   2.8265355211e-04
6.8881289692e-01   2.8398598978e-04
6.9369809477e-01   2.8191623742e-04
6.9858329262e-01   2.7623621946e-04
7.0346849047e-01   2.6679768679e-04
7.0835368832e-01   2.5351498761e-04
7.1323888617e-01   2.3636253236e-04
7.1812408403e-01   2.1536615093e-04
7.2300928188e-01   1.9058893448e-04
7.2789447973e-01   1.6211454700e-04
7.3277967758e-01   1.3003432343e-04
7.3766487543e-01   9.4448183563e-05
7.4255007328e-01   5.5492206245e-05
7.4743527113e-01   1.3405548053e-05
7.5232046898e-01   3.1356361323e-05
7.5720566683e-01   7.7969114846e-05
7.6209086468e-01   1.2507617348e-04
7.6697606253e-01   1.7067216679e-04
7.7186126038e-01   2.1211434545e-04
7.7674645823e-01   2.4635072233e-04
7.8163165608e-01   2.7042323759e-04
7.8651685393e-01   2.8222022768e-04
7.9140205178e-01   2.8131146181e-04
7.9628724963e-01   2.6952621953e-04
8.0117244748e-01   2.5079598756e-04
