X    Y
0.0000000000e+00   1.0000000000e-01
1.0870395701e-02   6.2364185046e-02
3.0411187103e-02   1.5338754695e-02
4.9951978505e-02   -1.8446908737e-02
6.9492769907e-02   -4.9271496128e-02
8.9033561309e-02   -8.4602872845e-02
1.0857435271e-01   -1.3133327069e-01
1.2811514411e-01   -1.9739211378e-01
1.4765593552e-01   -2.9316359400e-01
1.6719672692e-01   -4.3286951509e-01
1.7806712262e-01   -5.3645004609e-01
1.9760791402e-01   -7.8421426229e-01
2.0847830972e-01   -9.6353237868e-01
2.2323390327e-01   -1.2609248353e+00
2.3860506709e-01   -1.6332142797e+00
2.4870686563e-01   -1.8992105198e+00
2.5957726133e-01   -2.1783390648e+00
2.6566245918e-01   -2.3170729862e+00
2.7580772593e-01   -2.4904975671e+00
2.8279292379e-01   -2.5475836266e+00
2.9366331949e-01   -2.5014483938e+00
2.9781767312e-01   -2.4353977006e+00
3.0868806882e-01   -2.1373875211e+00
3.1955846452e-01   -1.6884290027e+00
3.3042886022e-01   -1.1493822137e+00
3.3874525905e-01   -7.1775034177e-01
3.4736356466e-01   -2.8231543278e-01
3.5820729208e-01   2.1927254730e-01
3.7078494963e-01   7.0973218827e-01
3.8030546968e-01   1.0061187042e+00
3.9506106323e-01   1.3297858932e+00
4.0593145894e-01   1.4597253346e+00
4.1291665679e-01   1.4946481154e+00
4.3245744819e-01   1.4044667709e+00
4.4332784389e-01   1.2543315070e+00
4.6286863529e-01   8.7647300900e-01
4.7373903099e-01   6.4199434020e-01
4.8849462454e-01   3.3225709890e-01
5.0415021810e-01   3.9134030516e-02
5.2369100950e-01   -2.5953991671e-01
5.3456140520e-01   -3.9461330597e-01
5.5410219660e-01   -5.9222611338e-01
5.7364298800e-01   -7.4776139743e-01
5.9318377940e-01   -8.7696388016e-01
6.0405417511e-01   -9.4131477417e-01
6.2359496651e-01   -1.0464727561e+00
6.4313575791e-01   -1.1370433521e+00
6.6267654931e-01   -1.2068948377e+00
6.8221734071e-01   -1.2464904496e+00
7.0175813212e-01   -1.2465196966e+00
7.2129892352e-01   -1.2023028222e+00
7.4083971492e-01   -1.1171038281e+00
7.6038050632e-01   -1.0023571175e+00
7.7992129772e-01   -8.7446784673e-01
7.9946208913e-01   -7.5005685821e-01
8.1900288053e-01   -6.4226831111e-01
8.3854367193e-01   -5.5931734328e-01
8.5808446333e-01   -5.0501533382e-01
8.7762525473e-01   -4.8042330031e-01
8.9716604614e-01   -4.8558114589e-01
9.1670683754e-01   -5.2084724452e-01
9.3624762894e-01   -5.8768034010e-01
9.5578842034e-01   -6.8878126378e-01
9.7532921174e-01   -8.2736039964e-01
9.9487000315e-01   -1.0049447479e+00
1.0144107945e+00   -1.2167488784e+00
1.0252811902e+00   -1.3432843986e+00
1.0448219817e+00   -1.5626407615e+00
1.0556923774e+00   -1.6630115086e+00
1.0752331688e+00   -1.7577522331e+00
1.0899887623e+00   -1.7233551435e+00
1.1056443559e+00   -1.5719120291e+00
1.1203999494e+00   -1.3340956228e+00
1.1360555430e+00   -1.0179395926e+00
1.1508111365e+00   -7.0096036839e-01
1.1664667301e+00   -3.8108718862e-01
1.1860075215e+00   -3.7001403250e-02
1.1968779172e+00   1.2395482358e-01
1.2164187086e+00   3.6453689669e-01
1.2359595000e+00   5.5823417717e-01
1.2555002914e+00   7.2439877631e-01
1.2663706871e+00   8.1077707016e-01
1.2859114785e+00   9.6173110735e-01
1.3054522699e+00   1.1091791145e+00
1.3249930613e+00   1.2468540682e+00
1.3445338527e+00   1.3584457350e+00
1.3640746441e+00   1.4203487918e+00
1.3836154355e+00   1.4096525518e+00
1.4031562269e+00   1.3158470645e+00
1.4226970183e+00   1.1491456640e+00
1.4422378097e+00   9.3806479977e-01
1.4617786011e+00   7.1732823243e-01
1.4813193925e+00   5.1508903645e-01
1.5008601839e+00   3.4681206530e-01
1.5117305796e+00   2.6961713768e-01
1.5312713710e+00   1.5846041209e-01
1.5508121624e+00   7.7000093026e-02
1.5703529538e+00   1.7154393563e-02
1.5898937452e+00   -2.8954222127e-02
1.6094345366e+00   -6.8288072473e-02
1.6289753280e+00   -1.0693639432e-01
1.6485161194e+00   -1.5054780492e-01
1.6680569108e+00   -2.0495113299e-01
1.6875977022e+00   -2.7686788533e-01
1.6984680979e+00   -3.2745154710e-01
1.7180088893e+00   -4.4408025171e-01
1.7375496807e+00   -6.0422772271e-01
1.7570904721e+00   -8.2173217314e-01
1.7679608678e+00   -9.7223510094e-01
1.7875016592e+00   -1.2982198186e+00
1.7983720549e+00   -1.5051248407e+00
1.8131276485e+00   -1.7943718303e+00
1.8239980442e+00   -1.9888961659e+00
1.8396536377e+00   -2.1794549001e+00
1.8505240334e+00   -2.2054660031e+00
1.8566092313e+00   -2.1707839803e+00
1.8722648248e+00   -1.9086715995e+00
1.8803316894e+00   -1.6862695486e+00
1.8894627322e+00   -1.3830151868e+00
1.8986973802e+00   -1.0437089308e+00
1.9101525706e+00   -6.1226221166e-01
1.9230775357e+00   -1.5204074923e-01
1.9322874678e+00   1.4224274856e-01
1.9431578635e+00   4.4551604115e-01
1.9626986549e+00   8.6621096479e-01
1.9822394463e+00   1.1343724140e+00
1.9931098420e+00   1.2215733287e+00
2.0126506334e+00   1.2738393275e+00
2.0321914248e+00   1.2063943111e+00
