X    Y    Z
1.0000000000e-01   0.0000000000e+00   0.0000000000e+00
6.2364185046e-02   -1.2384038746e-02   -2.9678883694e-05
1.5338754695e-02   -3.3674412152e-02   -1.1148359529e-04
-1.8446908737e-02   -5.8001158583e-02   -7.9061776300e-05
-4.9271496128e-02   -9.0136576144e-02   2.1589864534e-04
-8.4602872845e-02   -1.3557844671e-01   1.0317330757e-03
-1.3133327069e-01   -2.0159021999e-01   2.9277369987e-03
-1.9739211378e-01   -2.9834737913e-01   7.1321040994e-03
-2.9316359400e-01   -4.4026998341e-01   1.6321481381e-02
-4.3286951509e-01   -6.4731526689e-01   3.6265353282e-02
-5.3645004609e-01   -7.9995818033e-01   5.6095736023e-02
-7.8421426229e-01   -1.1598569601e+00   1.2130632847e-01
-9.6353237868e-01   -1.4138751202e+00   1.8464566266e-01
-1.2609248353e+00   -1.8179790993e+00   3.2151067768e-01
-1.6332142797e+00   -2.2792231868e+00   5.5568208206e-01
-1.8992105198e+00   -2.5614124165e+00   7.7541079471e-01
-2.1783390648e+00   -2.7842726089e+00   1.0728854760e+00
-2.3170729862e+00   -2.8447451179e+00   1.2618562430e+00
-2.4904975671e+00   -2.7984449457e+00   1.5916160731e+00
-2.5475836266e+00   -2.6402976756e+00   1.8088816322e+00
-2.5014483938e+00   -2.1863745449e+00   2.0844837570e+00
-2.4353977006e+00   -1.9556577768e+00   2.1592646722e+00
-2.1373875211e+00   -1.2590415009e+00   2.2580141555e+00
-1.6884290027e+00   -5.2607747408e-01   2.2247204598e+00
-1.1493822137e+00   1.4155051662e-01   2.1023131364e+00
-7.1775034177e-01   5.7392206145e-01   1.9841547055e+00
-2.8231543278e-01   9.4277031230e-01   1.8656657759e+00
2.1927254730e-01   1.2983957124e+00   1.7474055979e+00
7.0973218827e-01   1.5752960437e+00   1.6714426618e+00
1.0061187042e+00   1.6957820281e+00   1.6576760150e+00
1.3297858932e+00   1.7351422569e+00   1.6909761747e+00
1.4597253346e+00   1.6521983833e+00   1.7348432182e+00
1.4946481154e+00   1.5528158046e+00   1.7611492522e+00
1.4044667709e+00   1.1302932363e+00   1.7865756770e+00
1.2543315070e+00   8.4538098135e-01   1.7571358038e+00
8.7647300900e-01   3.4415847921e-01   1.6337406846e+00
6.4199434020e-01   1.0199100176e-01   1.5413652434e+00
3.3225709890e-01   -1.7009701951e-01   1.4096645071e+00
3.9134030516e-02   -3.9171741397e-01   1.2791265253e+00
-2.5953991671e-01   -5.9422484097e-01   1.1447816651e+00
-3.9461330597e-01   -6.8235078012e-01   1.0858752726e+00
-5.9222611338e-01   -8.1425813913e-01   1.0075369479e+00
-7.4776139743e-01   -9.2712107151e-01   9.6134445857e-01
-8.7696388016e-01   -1.0302940065e+00   9.4353871074e-01
-9.4131477417e-01   -1.0842737588e+00   9.4475150260e-01
-1.0464727561e+00   -1.1724524300e+00   9.6487667186e-01
-1.1370433521e+00   -1.2414582730e+00   1.0046062473e+00
-1.2068948377e+00   -1.2790996802e+00   1.0577386665e+00
-1.2464904496e+00   -1.2735154234e+00   1.1149331021e+00
-1.2465196966e+00   -1.2184938204e+00   1.1644073311e+00
-1.2023028222e+00   -1.1178785153e+00   1.1946094842e+00
-1.1171038281e+00   -9.8603817922e-01   1.1978382262e+00
-1.0023571175e+00   -8.4342339927e-01   1.1726253932e+00
-8.7446784673e-01   -7.0979169507e-01   1.1233426611e+00
-7.5005685821e-01   -5.9922628208e-01   1.0575655372e+00
-6.4226831111e-01   -5.1903284864e-01   9.8326402584e-01
-5.5931734328e-01   -4.7107695006e-01   9.0704752280e-01
-5.0501533382e-01   -4.5449842498e-01   8.3364150088e-01
-4.8042330031e-01   -4.6799490604e-01   7.6628801652e-01
-4.8558114589e-01   -5.1126679114e-01   7.0743500900e-01
-5.2084724452e-01   -5.8570614901e-01   6.5948605750e-01
-5.8768034010e-01   -6.9442041058e-01   6.2557461722e-01
-6.8878126378e-01   -8.4146129896e-01   6.1042124950e-01
-8.2736039964e-01   -1.0296907536e+00   6.2126439174e-01
-1.0049447479e+00   -1.2561571299e+00   6.6850568405e-01
-1.2167488784e+00   -1.5036833867e+00   7.6481882075e-01
-1.3432843986e+00   -1.6360367686e+00   8.4367621310e-01
-1.5626407615e+00   -1.8190996714e+00   1.0309044063e+00
-1.6630115086e+00   -1.8634008670e+00   1.1541172327e+00
-1.7577522331e+00   -1.7851355120e+00   1.3774386159e+00
-1.7233551435e+00   -1.5759766857e+00   1.5111167152e+00
-1.5719120291e+00   -1.2397599916e+00   1.5858032665e+00
