X    Y
0.0000000000e+00   0.0000000000e+00
1.0870395701e-02   -2.9678883694e-05
3.0411187103e-02   -1.1148359529e-04
4.9951978505e-02   -7.9061776300e-05
6.9492769907e-02   2.1589864534e-04
8.9033561309e-02   1.0317330757e-03
1.0857435271e-01   2.9277369987e-03
1.2811514411e-01   7.1321040994e-03
1.4765593552e-01   1.6321481381e-02
1.6719672692e-01   3.6265353282e-02
1.7806712262e-01   5.6095736023e-02
1.9760791402e-01   1.2130632847e-01
2.0847830972e-01   1.8464566266e-01
2.2323390327e-01   3.2151067768e-01
2.3860506709e-01   5.5568208206e-01
2.4870686563e-01   7.7541079471e-01
2.5957726133e-01   1.0728854760e+00
2.6566245918e-01   1.2618562430e+00
2.7580772593e-01   1.5916160731e+00
2.8279292379e-01   1.8088816322e+00
2.9366331949e-01   2.0844837570e+00
2.9781767312e-01   2.1592646722e+00
3.0868806882e-01   2.2580141555e+00
3.1955846452e-01   2.2247204598e+00
3.3042886022e-01   2.1023131364e+00
3.3874525905e-01   1.9841547055e+00
3.4736356466e-01   1.8656657759e+00
3.5820729208e-01   1.7474055979e+00
3.7078494963e-01   1.6714426618e+00
3.8030546968e-01   1.6576760150e+00
3.9506106323e-01   1.6909761747e+00
4.0593145894e-01   1.7348432182e+00
4.1291665679e-01   1.7611492522e+00
4.3245744819e-01   1.7865756770e+00
4.4332784389e-01   1.7571358038e+00
4.6286863529e-01   1.6337406846e+00
4.7373903099e-01   1.5413652434e+00
4.8849462454e-01   1.4096645071e+00
5.0415021810e-01   1.2791265253e+00
5.2369100950e-01   1.1447816651e+00
5.3456140520e-01   1.0858752726e+00
5.5410219660e-01   1.0075369479e+00
5.7364298800e-01   9.6134445857e-01
5.9318377940e-01   9.4353871074e-01
6.0405417511e-01   9.4475150260e-01
6.2359496651e-01   9.6487667186e-01
6.4313575791e-01   1.0046062473e+00
6.6267654931e-01   1.0577386665e+00
6.8221734071e-01   1.1149331021e+00
7.0175813212e-01   1.1644073311e+00
7.2129892352e-01   1.1946094842e+00
7.4083971492e-01   1.1978382262e+00
7.6038050632e-01   1.1726253932e+00
7.7992129772e-01   1.1233426611e+00
7.9946208913e-01   1.0575655372e+00
8.1900288053e-01   9.8326402584e-01
8.3854367193e-01   9.0704752280e-01
8.5808446333e-01   8.3364150088e-01
8.7762525473e-01   7.6628801652e-01
8.9716604614e-01   7.0743500900e-01
9.1670683754e-01   6.5948605750e-01
9.3624762894e-01   6.2557461722e-01
9.5578842034e-01   6.1042124950e-01
9.7532921174e-01   6.2126439174e-01
9.9487000315e-01   6.6850568405e-01
1.0144107945e+00   7.6481882075e-01
1.0252811902e+00   8.4367621310e-01
1.0448219817e+00   1.0309044063e+00
1.0556923774e+00   1.1541172327e+00
1.0752331688e+00   1.3774386159e+00
1.0899887623e+00   1.5111167152e+00
1.1056443559e+00   1.5858032665e+00
1.1203999494e+00   1.5822297219e+00
1.1360555430e+00   1.5121759766e+00
1.1508111365e+00   1.4080002356e+00
1.1664667301e+00   1.2836397138e+00
1.1860075215e+00   1.1371398671e+00
1.1968779172e+00   1.0666462465e+00
1.2164187086e+00   9.6453758818e-01
1.2359595000e+00   8.9491006151e-01
1.2555002914e+00   8.5721757345e-01
1.2663706871e+00   8.5003302743e-01
1.2859114785e+00   8.6240760141e-01
1.3054522699e+00   9.0786894451e-01
1.3249930613e+00   9.8479000123e-01
1.3445338527e+00   1.0854201500e+00
1.3640746441e+00   1.1927864595e+00
1.3836154355e+00   1.2821283699e+00
1.4031562269e+00   1.3293726006e+00
1.4226970183e+00   1.3224134199e+00
1.4422378097e+00   1.2658980445e+00
1.4617786011e+00   1.1758123464e+00
1.4813193925e+00   1.0699638317e+00
1.5008601839e+00   9.6174226062e-01
1.5117305796e+00   9.0354510884e-01
1.5312713710e+00   8.0524320990e-01
1.5508121624e+00   7.1633172040e-01
1.5703529538e+00   6.3694663159e-01
1.5898937452e+00   5.6654620010e-01
1.6094345366e+00   5.0442380018e-01
1.6289753280e+00   4.4996775349e-01
1.6485161194e+00   4.0283021919e-01
1.6680569108e+00   3.6313828879e-01
1.6875977022e+00   3.3184115796e-01
1.6984680979e+00   3.1887282380e-01
1.7180088893e+00   3.0642505464e-01
1.7375496807e+00   3.1480506984e-01
1.7570904721e+00   3.5822248249e-01
1.7679608678e+00   4.0604462775e-01
1.7875016592e+00   5.5668222931e-01
1.7983720549e+00   6.8797570381e-01
1.8131276485e+00   9.3020119046e-01
1.8239980442e+00   1.1518923015e+00
1.8396536377e+00   1.4999656194e+00
1.8505240334e+00   1.7193543907e+00
1.8566092313e+00   1.8186334550e+00
1.8722648248e+00   1.9588058298e+00
1.8803316894e+00   1.9611126687e+00
1.8894627322e+00   1.9149900466e+00
1.8986973802e+00   1.8316482701e+00
1.9101525706e+00   1.7046049911e+00
1.9230775357e+00   1.5640716840e+00
1.9322874678e+00   1.4802223140e+00
1.9431578635e+00   1.4059160714e+00
1.9626986549e+00   1.3412886873e+00
1.9822394463e+00   1.3454289432e+00
1.9931098420e+00   1.3636200511e+00
2.0126506334e+00   1.3971648739e+00
2.0321914248e+00   1.4030463830e+00
2.0517322162e+00   1.3646286950e+00
2.0664878098e+00   1.3078585361e+00
2.0821434033e+00   1.2291478867e+00
2.1016841947e+00   1.1172555921e+00
2.1164397883e+00   1.0306175384e+00
2.1320953818e+00   9.4156537526e-01
2.1516361732e+00   8.3820528467e-01
2.1711769646e+00   7.4521235859e-01
2.1907177560e+00   6.6276641434e-01
2.2102585474e+00   5.9036333773e-01
2.2250141410e+00   5.4199444283e-01
2.2406697346e+00   4.9642889540e-01
2.2602105260e+00   4.4800252662e-01
2.2797513174e+00   4.0993030993e-01
2.2992921088e+00   3.8481315633e-01
2.3188329002e+00   3.7807786892e-01
2.3297032959e+00   3.8579619105e-01
2.3492440873e+00   4.3073447417e-01
2.3639996808e+00   5.0304003535e-01
2.3796552744e+00   6.3162831847e-01
2.3905256701e+00   7.6015287475e-01
2.4052812636e+00   9.9022210012e-01
2.4122664615e+00   1.1187466906e+00
2.4318072529e+00   1.5026937649e+00
2.4426776486e+00   1.6900166657e+00
2.4622184400e+00   1.8765660576e+00
2.4711458368e+00   1.8823104626e+00
2.4812400089e+00   1.8363355808e+00
2.4969224452e+00   1.6952193185e+00
2.5054602018e+00   1.6048307702e+00
2.5194805599e+00   1.4648841097e+00
2.5346287239e+00   1.3476591820e+00
2.5541695153e+00   1.2621734718e+00
2.5650399110e+00   1.2440168701e+00
2.5845807024e+00   1.2495071809e+00
2.6041214938e+00   1.2796779049e+00
2.6236622852e+00   1.3059980235e+00
2.6432030766e+00   1.3068466738e+00
2.6627438680e+00   1.2730337726e+00
2.6822846594e+00   1.2077544753e+00
2.7018254508e+00   1.1213678209e+00
2.7213662422e+00   1.0252471945e+00
2.7409070336e+00   9.2814263779e-01
2.7517774293e+00   8.7578960545e-01
2.7713182207e+00   7.8674164320e-01
2.7908590121e+00   7.0542963240e-01
2.8103998035e+00   6.3237254166e-01
2.8299405949e+00   5.6764639593e-01
2.8494813863e+00   5.1134162787e-01
2.8690221777e+00   4.6394633696e-01
2.8885629691e+00   4.2681688765e-01
2.9081037605e+00   4.0292595379e-01
2.9276445519e+00   3.9813081247e-01
2.9471853433e+00   4.2314795991e-01
2.9580557390e+00   4.5627346195e-01
2.9775965304e+00   5.6675252121e-01
2.9884669261e+00   6.6544027520e-01
2.9993373218e+00   7.9626070451e-01
3.0188781132e+00   1.1120579207e+00
3.0297485089e+00   1.3179445341e+00
3.0445041025e+00   1.5881229388e+00
3.0601596960e+00   1.7940064512e+00
3.0702643786e+00   1.8540919668e+00
3.0806743163e+00   1.8520126487e+00
3.0931375619e+00   1.7800658020e+00
3.1063369674e+00   1.6558712519e+00
3.1152067134e+00   1.5638972256e+00
3.1260771091e+00   1.4570943415e+00
3.1451259238e+00   1.3117017820e+00
3.1559963195e+00   1.2583803292e+00
3.1755371109e+00   1.2134340882e+00
3.1950779023e+00   1.2178330259e+00
3.2146186937e+00   1.2469586040e+00
3.2254890894e+00   1.2643198893e+00
3.2450298808e+00   1.2828409105e+00
3.2645706722e+00   1.2730586091e+00
3.2841114636e+00   1.2311157850e+00
3.3036522550e+00   1.1626407084e+00
3.3145226507e+00   1.1167416284e+00
3.3340634421e+00   1.0269852979e+00
3.3536042335e+00   9.3486562572e-01
3.3731450249e+00   8.4590891806e-01
3.3926858163e+00   7.6318696506e-01
3.4122266077e+00   6.8822291120e-01
3.4269822012e+00   6.3725067529e-01
3.4426377948e+00   5.8882522991e-01
3.4621785862e+00   5.3730383838e-01
3.4817193776e+00   4.9735587901e-01
3.5012601690e+00   4.7234878965e-01
3.5208009604e+00   4.6849326472e-01
3.5316713561e+00   4.7923093706e-01
3.5512121475e+00   5.3195313857e-01
3.5659677411e+00   6.1086092535e-01
3.5816233346e+00   7.4354495927e-01
3.5924937303e+00   8.6969439358e-01
3.6072493239e+00   1.0833959531e+00
3.6181197196e+00   1.2618219937e+00
3.6337753131e+00   1.5140276446e+00
3.6446457088e+00   1.6552859559e+00
3.6641865002e+00   1.7755323816e+00
3.6745022684e+00   1.7620662290e+00
3.6853726641e+00   1.7015986648e+00
3.7028910174e+00   1.5480230229e+00
3.7135028643e+00   1.4465026488e+00
3.7328189153e+00   1.2845537352e+00
3.7436893110e+00   1.2153188415e+00
3.7632301024e+00   1.1348323518e+00
3.7827708938e+00   1.1048912093e+00
3.8023116852e+00   1.1130184261e+00
3.8131820809e+00   1.1284325200e+00
3.8327228723e+00   1.1647303162e+00
3.8522636637e+00   1.1979780754e+00
3.8718044551e+00   1.2141757088e+00
3.8913452465e+00   1.2050974126e+00
3.9108860379e+00   1.1697345654e+00
3.9304268293e+00   1.1129354344e+00
3.9499676207e+00   1.0423269729e+00
3.9695084121e+00   9.6546748440e-01
3.9890492036e+00   8.8834321446e-01
3.9999195993e+00   8.4693210530e-01
4.0194603907e+00   7.7721436420e-01
4.0390011821e+00   7.1557869605e-01
4.0585419735e+00   6.6426996625e-01
