X    Y
0.0000000000e+00   nan
5.4901960784e-02   3.2163836930e-04
1.0980392157e-01   3.2149374338e-04
1.6470588235e-01   3.2133082658e-04
2.1960784314e-01   3.2115004910e-04
2.7450980392e-01   3.2095200713e-04
3.2941176471e-01   3.2073777762e-04
3.8431372549e-01   3.2050933341e-04
4.3921568627e-01   3.2027006456e-04
4.9411764706e-01   3.2002541494e-04
5.4901960784e-01   3.1978364777e-04
6.0392156863e-01   3.1955675908e-04
6.5882352941e-01   3.1936156507e-04
7.1372549020e-01   3.1922099686e-04
7.6862745098e-01   3.1916564549e-04
8.2352941176e-01   3.2328285272e-04
8.7843137255e-01   3.2878516744e-04
9.3333333333e-01   3.3603773190e-04
9.8823529412e-01   3.4549526633e-04
1.0431372549e+00   3.5771210093e-04
1.0980392157e+00   3.7336323878e-04
1.1529411765e+00   3.9326940221e-04
1.2078431373e+00   4.1842674895e-04
1.2627450980e+00   4.1937505559e-04
1.3176470588e+00   4.0950418854e-04
1.3725490196e+00   3.9998266097e-04
1.4274509804e+00   3.9065285739e-04
1.4823529412e+00   3.8136496702e-04
1.5372549020e+00   3.7198078641e-04
1.5921568627e+00   3.6237888900e-04
1.6470588235e+00   3.5245922635e-04
1.7019607843e+00   3.4807691985e-04
1.7568627451e+00   3.4752210788e-04
1.8117647059e+00   3.4645110234e-04
1.8666666667e+00   3.4485534186e-04
1.9215686275e+00   3.4271442352e-04
1.9764705882e+00   3.4000429300e-04
2.0313725490e+00   3.3669769129e-04
2.0862745098e+00   3.3276258933e-04
2.1411764706e+00   3.2816217907e-04
2.1960784314e+00   3.2285492523e-04
2.2509803922e+00   3.1679470562e-04
2.3058823529e+00   3.0993107596e-04
2.3607843137e+00   3.0220970433e-04
2.4156862745e+00   2.9357302776e-04
2.4705882353e+00   2.8396118891e-04
2.5254901961e+00   2.7331331063e-04
2.5803921569e+00   2.6156915822e-04
2.6352941176e+00   2.4867121922e-04
2.6901960784e+00   2.3456719574e-04
2.7450980392e+00   2.1921284953e-04
2.8000000000e+00   2.0257506386e-04
2.8549019608e+00   2.3035289025e-04
2.9098039216e+00   2.9136771158e-04
2.9647058824e+00   3.5680227574e-04
3.0196078431e+00   4.2670364582e-04
3.0745098039e+00   5.0105447513e-04
3.1294117647e+00   5.7976178194e-04
3.1843137255e+00   6.6264919345e-04
3.2392156863e+00   7.4945525284e-04
3.2941176471e+00   8.3984008693e-04
3.3490196078e+00   9.3340253509e-04
3.4039215686e+00   1.0297102476e-03
3.4588235294e+00   1.1283470396e-03
3.5137254902e+00   1.2289862291e-03
3.5686274510e+00   1.3315083880e-03
3.6235294118e+00   1.4362029837e-03
3.6784313725e+00   1.5441418845e-03
3.7333333333e+00   9.3057702266e-04
3.7882352941e+00   1.2068245701e-03
3.8431372549e+00   1.3391110776e-03
3.8980392157e+00   9.3970607148e-04
3.9529411765e+00   1.2310510809e-03
4.0078431373e+00   2.3026703051e-03
4.0627450980e+00   3.9903170079e-03
4.1176470588e+00   5.1129433165e-04
4.1725490196e+00   1.0330745347e-04
4.2274509804e+00   1.0395791611e-04
4.2823529412e+00   8.6851783834e-05
4.3372549020e+00   1.0591368784e-03
4.3921568627e+00   1.0480668254e-03
4.4470588235e+00   6.4722623350e-04
4.5019607843e+00   1.3382507568e-03
4.5568627451e+00   1.2747395223e-03
4.6117647059e+00   1.2037675372e-03
4.6666666667e+00   1.1276621438e-03
4.7215686275e+00   1.0483334621e-03
4.7764705882e+00   9.6736080476e-04
4.8313725490e+00   8.8604171292e-04
4.8862745098e+00   8.0542728081e-04
4.9411764706e+00   7.2635538858e-04
4.9960784314e+00   6.4948720812e-04
5.0509803922e+00   5.7534882559e-04
5.1058823529e+00   5.0437773871e-04
5.1607843137e+00   4.3697273639e-04
5.2156862745e+00   3.7354493752e-04
5.2705882353e+00   3.1456737469e-04
5.3254901961e+00   2.6062036566e-04
5.3803921569e+00   1.9980685976e-04
5.4352941176e+00   1.6459700217e-04
5.4901960784e+00   1.4490733585e-04
5.5450980392e+00   1.5712274563e-04
5.6000000000e+00   1.6813902174e-04
5.6549019608e+00   1.7801372875e-04
5.7098039216e+00   1.8680463298e-04
5.7647058824e+00   1.9456816963e-04
5.8196078431e+00   2.0135812081e-04
5.8745098039e+00   2.0722442377e-04
5.9294117647e+00   2.1221202005e-04
5.9843137255e+00   2.1635964403e-04
6.0392156863e+00   2.1969843080e-04
6.0941176471e+00   2.2225019757e-04
6.1490196078e+00   2.2402521474e-04
6.2039215686e+00   2.2501923004e-04
6.2588235294e+00   2.2965240918e-04
6.3137254902e+00   2.4652733584e-04
6.3686274510e+00   2.6190952868e-04
6.4235294118e+00   2.7535296515e-04
6.4784313725e+00   2.8864861231e-04
6.5333333333e+00   3.0196988804e-04
6.5882352941e+00   3.1550003969e-04
6.6431372549e+00   3.2943799717e-04
6.6980392157e+00   3.4400526581e-04
6.7529411765e+00   3.5945226968e-04
6.8078431373e+00   3.7606019413e-04
6.8627450980e+00   3.9413018178e-04
6.9176470588e+00   4.1373662229e-04
6.9725490196e+00   4.3518289182e-04
7.0274509804e+00   4.5906913654e-04
7.0823529412e+00   4.8588060629e-04
7.1372549020e+00   5.1617829999e-04
7.1921568627e+00   5.5061608629e-04
7.2470588235e+00   5.8996538608e-04
7.3019607843e+00   6.3515026173e-04
7.3568627451e+00   6.8729766441e-04
7.4117647059e+00   7.4781080798e-04
7.4666666667e+00   8.1847933527e-04
7.5215686275e+00   9.0165051633e-04
7.5764705882e+00   1.0005063603e-03
7.6313725490e+00   1.1195342013e-03
7.6862745098e+00   1.2653727359e-03
7.7411764706e+00   1.4484422253e-03
7.7960784314e+00   1.6863706464e-03
7.8509803922e+00   2.0120579682e-03
7.9058823529e+00   2.4958643140e-03
7.9607843137e+00   3.3227319947e-03
8.0156862745e+00   5.1945374591e-03
8.0705882353e+00   1.5443943932e-02
8.1254901961e+00   9.3910673706e-03
8.1803921569e+00   2.5520279052e-03
8.2352941176e+00   8.8675072043e-04
8.2901960784e+00   3.6048884162e-04
8.3450980392e+00   5.4001179462e-04
8.4000000000e+00   1.0093448441e-03
8.4549019608e+00   1.4307440118e-03
8.5098039216e+00   1.8343001288e-03
8.5647058824e+00   2.2363314996e-03
8.6196078431e+00   2.6461657658e-03
8.6745098039e+00   3.0688776307e-03
8.7294117647e+00   3.5063572945e-03
8.7843137255e+00   3.9575511240e-03
8.8392156863e+00   4.4181920755e-03
8.8941176471e+00   4.8801281367e-03
8.9490196078e+00   5.3302578248e-03
9.0039215686e+00   5.7490228309e-03
9.0588235294e+00   6.1083621448e-03
9.1137254902e+00   6.3689870494e-03
9.1686274510e+00   6.4767851920e-03
9.2235294118e+00   6.3580991522e-03
9.2784313725e+00   5.9135452526e-03
9.3333333333e+00   5.0099356991e-03
9.3882352941e+00   4.3927952346e-03
9.4431372549e+00   4.2444015209e-03
9.4980392157e+00   4.1108002601e-03
9.5529411765e+00   3.9897213715e-03
9.6078431373e+00   3.8791844459e-03
9.6627450980e+00   3.7774484271e-03
9.7176470588e+00   3.6829726414e-03
9.7725490196e+00   3.5943851636e-03
9.8274509804e+00   3.5104556709e-03
9.8823529412e+00   3.4300708783e-03
