X    Y
1.0000000000e-01   0.0000000000e+00
1.0001476966e-01   1.7101473052e-03
1.0025796796e-01   7.1513777575e-03
1.0080040162e-01   1.2613518263e-02
1.0164365640e-01   1.8112527460e-02
1.0279019646e-01   2.3664451229e-02
1.0424337015e-01   2.9285459940e-02
1.0600741787e-01   3.4991885215e-02
1.0808748190e-01   4.0800256008e-02
1.1048961823e-01   4.6727333804e-02
1.1322081025e-01   5.2790146666e-02
1.1628898429e-01   5.9006021860e-02
1.1970302691e-01   6.5392616686e-02
1.2347280380e-01   7.1967947105e-02
1.2760918021e-01   7.8750413675e-02
1.3212404271e-01   8.5758824207e-02
1.3703032206e-01   9.3012412451e-02
1.4234201703e-01   1.0053085202e-01
1.4807421877e-01   1.0833426458e-01
1.5424313551e-01   1.1644322123e-01
1.6086611706e-01   1.2487873581e-01
1.6796167877e-01   1.3366224856e-01
1.7554952416e-01   1.4281559854e-01
1.8365056585e-01   1.5236098280e-01
1.9228675729e-01   1.6231378036e-01
2.0148121588e-01   1.7270155779e-01
2.1125843183e-01   1.8354648420e-01
2.2164410842e-01   1.9487055032e-01
2.3266514698e-01   2.0669537270e-01
2.4434962000e-01   2.1904195507e-01
2.5672672982e-01   2.3193039956e-01
2.6982674986e-01   2.4537955933e-01
2.8368094503e-01   2.5940662347e-01
2.9832146717e-01   2.7402662386e-01
3.1378122108e-01   2.8925185270e-01
3.3009369239e-01   3.0509103028e-01
3.4729273611e-01   3.2154878429e-01
3.6541232351e-01   3.3862454207e-01
3.8448622872e-01   3.5631150497e-01
4.0454765416e-01   3.7459542801e-01
4.2562878441e-01   3.9345323223e-01
4.4776025908e-01   4.1285143891e-01
4.7097055461e-01   4.3274441763e-01
4.9528526467e-01   4.5307244482e-01
5.2072626887e-01   4.7375957618e-01
5.4731077978e-01   4.9471134565e-01
5.7505025941e-01   5.1581231576e-01
6.0394919801e-01   5.3692352031e-01
6.3400375084e-01   5.5787986021e-01
6.6520023259e-01   5.7848753770e-01
6.9751347454e-01   5.9852164323e-01
7.3090505664e-01   6.1772404253e-01
7.6532143606e-01   6.3580174831e-01
8.0069195598e-01   6.5242412004e-01
8.3692690165e-01   6.6722784641e-01
8.7391562540e-01   6.7981394581e-01
9.1152469477e-01   6.8975202621e-01
9.4959629282e-01   6.9658518524e-01
9.8794694829e-01   6.9983717103e-01
1.0263667272e+00   6.9902207289e-01
1.0646190302e+00   6.9365672045e-01
1.1024411466e+00   6.8327583089e-01
1.1395457121e+00   6.6744975161e-01
1.1756232040e+00   6.4580440365e-01
1.2103455760e+00   6.1804274772e-01
1.2433710927e+00   5.8396679080e-01
1.2743503577e+00   5.4349885838e-01
1.3029334559e+00   4.9670061541e-01
1.3287780393e+00   4.4378817541e-01
1.3481784960e+00   3.9476056555e-01
1.3681433824e+00   3.3170300745e-01
1.3845164735e+00   2.6404333233e-01
1.3945422245e+00   2.0924702969e-01
1.4040191080e+00   1.3555940575e-01
1.4093904995e+00   5.9869958779e-02
1.4105767151e+00   -1.6711715075e-02
1.4075600590e+00   -9.3043833539e-02
1.4003854637e+00   -1.6799364296e-01
1.3891588693e+00   -2.4047803000e-01
1.3740434536e+00   -3.0950084741e-01
1.3589024564e+00   -3.6287666072e-01
1.3372928653e+00   -4.2344904754e-01
1.3125078982e+00   -4.7846387966e-01
1.2916076200e+00   -5.1650701834e-01
1.2620070610e+00   -5.6074474972e-01
1.2301523713e+00   -5.9860934679e-01
1.1963941738e+00   -6.3009791663e-01
1.1610795414e+00   -6.5533952847e-01
1.1245452936e+00   -6.7457510228e-01
1.0871124481e+00   -6.8813568070e-01
1.0490818764e+00   -6.9642050832e-01
1.0107311414e+00   -6.9987607723e-01
9.7231243871e-01   -6.9897699862e-01
9.3405152355e-01   -6.9420926287e-01
8.9614748500e-01   -6.8605618282e-01
8.5877321555e-01   -6.7498709140e-01
8.2207642780e-01   -6.6144869377e-01
7.8618107779e-01   -6.4585885400e-01
7.5118906930e-01   -6.2860252326e-01
7.1718213037e-01   -6.1002948102e-01
6.8528551586e-01   -5.9110943217e-01
6.5338631180e-01   -5.7083260135e-01
6.2261472755e-01   -5.5007000855e-01
5.9299143975e-01   -5.2903471777e-01
5.6452626891e-01   -5.0790953762e-01
5.3721977292e-01   -4.8684951142e-01
5.1106470035e-01   -4.6598451379e-01
4.8604730071e-01   -4.4542185010e-01
4.6214849376e-01   -4.2524878297e-01
4.3934490327e-01   -4.0553493300e-01
4.1760976337e-01   -3.8633451935e-01
3.9691370664e-01   -3.6768842051e-01
3.7722544432e-01   -3.4962604652e-01
3.5851234886e-01   -3.3216702240e-01
3.4074094914e-01   -3.1532268822e-01
3.2387734816e-01   -2.9909742528e-01
3.0788757242e-01   -2.8348982059e-01
2.9273786149e-01   -2.6849368295e-01
2.7839494005e-01   -2.5409759023e-01
2.6482619430e-01   -2.4028911381e-01
2.5199978873e-01   -2.2705237094e-01
2.3988481629e-01   -2.1436950730e-01
2.2845139343e-01   -2.0222116237e-01
2.1767073181e-01   -1.9058686092e-01
2.0751519018e-01   -1.7944534004e-01
1.9795830996e-01   -1.6877481982e-01
1.8897483740e-01   -1.5855322468e-01
1.8054073466e-01   -1.4875836105e-01
1.7263318403e-01   -1.3936799809e-01
1.6523058120e-01   -1.3036018298e-01
1.5831252247e-01   -1.2171314384e-01
1.5185979131e-01   -1.1340541487e-01
1.4585434016e-01   -1.0541588586e-01
1.4027926983e-01   -9.7723836478e-02
1.3511880754e-01   -9.0308957439e-02
1.3035828397e-01   -8.3151360812e-02
1.2598411009e-01   -7.6231581065e-02
1.2198375409e-01   -6.9530568405e-02
1.1834571892e-01   -6.3029675663e-02
1.1505952065e-01   -5.6710639786e-02
1.1211566800e-01   -5.0555558827e-02
1.0950564323e-01   -4.4546865185e-02
1.0722188462e-01   -3.8667295709e-02
1.0525777057e-01   -3.2899859176e-02
1.0360760569e-01   -2.7227801563e-02
1.0226660872e-01   -2.1634569459e-02
1.0123090260e-01   -1.6103771900e-02
1.0049750659e-01   -1.0619140867e-02
1.0006433065e-01   -5.1644906711e-03
9.9930172056e-02   2.7632357751e-04
1.0009471432e-01   5.7194481908e-03
1.0055852842e-01   1.1181073548e-02
1.0132307642e-01   1.6677476823e-02
1.0239071738e-01   2.2225064326e-02
