X    Y
0.0000000000e+00   0.0000000000e+00
3.9100684262e-02   1.1323362764e-04
7.8201368524e-02   1.0992616230e-04
1.1730205279e-01   1.0638982924e-04
1.5640273705e-01   1.2385006525e-04
1.9550342131e-01   1.1888196025e-04
2.3460410557e-01   1.1359025071e-04
2.7370478983e-01   5.5390897833e-05
3.1280547410e-01   5.2251544975e-05
3.5190615836e-01   4.8923345838e-05
3.9100684262e-01   7.1692837868e-06
4.3010752688e-01   5.8850605517e-05
4.6920821114e-01   6.9372024211e-05
5.0830889541e-01   8.0467180740e-05
5.4740957967e-01   1.9676725243e-04
5.8651026393e-01   2.2246821963e-04
6.2561094819e-01   2.4935480912e-04
6.6471163245e-01   2.4275203111e-04
7.0381231672e-01   2.6785044972e-04
7.4291300098e-01   2.9383058559e-04
7.8201368524e-01   1.9760856482e-05
8.2111436950e-01   2.1425536211e-05
8.6021505376e-01   2.3124278429e-05
8.9931573803e-01   3.0102942786e-07
9.3841642229e-01   4.0467101615e-04
9.7751710655e-01   4.3304462273e-04
1.0166177908e+00   4.6165624881e-04
1.0557184751e+00   6.1621257800e-04
1.0948191593e+00   6.5094739311e-04
1.1339198436e+00   3.7542646071e-04
1.1730205279e+00   3.9282843964e-04
1.2121212121e+00   4.9664214089e-05
1.2512218964e+00   3.4346944366e-04
1.2903225806e+00   3.5784414902e-04
1.3294232649e+00   8.2340948775e-04
1.3685239492e+00   7.4010557752e-04
1.4076246334e+00   8.6528678843e-05
1.4467253177e+00   2.1909680313e-07
1.4858260020e+00   7.3977562499e-04
1.5249266862e+00   9.3692333508e-04
1.5640273705e+00   5.0629689599e-04
1.6031280547e+00   6.2663661523e-05
1.6422287390e+00   5.7854526446e-04
1.6813294233e+00   7.9747480179e-04
1.7204301075e+00   9.1198899193e-04
1.7595307918e+00   1.5885908699e-04
1.7986314761e+00   9.8269552002e-06
1.8377321603e+00   6.7063172087e-04
1.8768328446e+00   9.1847521233e-04
1.9159335288e+00   5.5870180809e-04
1.9550342131e+00   5.3848664029e-05
1.9941348974e+00   2.9248656575e-04
2.0332355816e+00   7.7220867396e-04
2.0723362659e+00   7.4502420008e-04
2.1114369501e+00   6.7876504320e-04
2.1505376344e+00   6.4844353997e-04
2.1896383187e+00   1.3455500997e-04
2.2287390029e+00   1.2739515238e-04
2.2678396872e+00   1.3399207240e-05
2.3069403715e+00   4.2205109456e-04
2.3460410557e+00   3.9704482207e-04
2.3851417400e+00   5.1531680990e-04
2.4242424242e+00   4.8021504450e-04
2.4633431085e+00   4.4566665318e-04
2.5024437928e+00   2.5958568881e-04
2.5415444770e+00   2.3841985867e-04
2.5806451613e+00   2.1790190393e-04
2.6197458456e+00   1.8339214303e-05
2.6588465298e+00   9.1107954461e-05
2.6979472141e+00   8.2141736206e-05
2.7370478983e+00   7.3524764904e-05
2.7761485826e+00   1.9166868628e-04
2.8152492669e+00   1.6809565258e-04
2.8543499511e+00   1.4565129898e-04
2.8934506354e+00   1.1702691782e-04
2.9325513196e+00   9.7558413576e-05
2.9716520039e+00   8.8864709760e-05
3.0107526882e+00   2.5134562812e-05
3.0498533724e+00   2.6546053444e-05
3.0889540567e+00   2.7873658748e-05
3.1280547410e+00   3.8334991938e-06
3.1671554252e+00   8.6528712314e-05
3.2062561095e+00   8.9835606843e-05
3.2453567937e+00   9.2934142980e-05
3.2844574780e+00   1.3945989776e-04
3.3235581623e+00   1.4332480134e-04
3.3626588465e+00   1.4693411467e-04
3.4017595308e+00   1.0025020806e-04
3.4408602151e+00   1.0230098169e-04
3.4799608993e+00   1.0421047573e-04
3.5190615836e+00   1.0598710117e-04
3.5581622678e+00   8.5199721044e-06
3.5972629521e+00   4.3851295032e-05
3.6363636364e+00   4.4457831412e-05
3.6754643206e+00   4.5022169208e-05
3.7145650049e+00   4.5547108193e-05
3.7536656891e+00   1.5799610000e-04
3.7927663734e+00   1.5951261562e-04
3.8318670577e+00   1.6092006935e-04
3.8709677419e+00   1.6222595328e-04
3.9100684262e+00   1.6343731970e-04
3.9491691105e+00   1.6441306930e-04
3.9882697947e+00   1.6541169141e-04
4.0273704790e+00   1.6633305446e-04
4.0664711632e+00   1.6718225109e-04
4.1055718475e+00   1.6796399264e-04
4.1446725318e+00   1.6868262262e-04
4.1837732160e+00   1.6934212845e-04
4.2228739003e+00   5.1819430040e-05
4.2619745846e+00   5.1968433085e-05
4.3010752688e+00   5.2100596956e-05
4.3401759531e+00   5.2216392101e-05
4.3792766373e+00   5.2316116183e-05
4.4183773216e+00   5.2399869795e-05
4.4574780059e+00   5.2467521642e-05
4.4965786901e+00   5.2518658584e-05
4.5356793744e+00   5.2552513382e-05
4.5747800587e+00   7.6110894966e-06
4.6138807429e+00   1.2647500295e-04
4.6529814272e+00   1.2680347585e-04
4.6920821114e+00   1.2714577680e-04
4.7311827957e+00   1.2751268711e-04
4.7702834800e+00   1.2791945521e-04
4.8093841642e+00   1.2838880102e-04
4.8484848485e+00   1.2895664227e-04
4.8875855327e+00   1.2968393941e-04
4.9266862170e+00   1.3068394843e-04
4.9657869013e+00   1.3219475176e-04
5.0048875855e+00   1.3481845978e-04
5.0439882698e+00   1.4065131669e-04
5.0830889541e+00   1.6551244532e-04
5.1221896383e+00   1.9104510545e-04
5.1612903226e+00   1.9099497361e-04
5.2003910068e+00   1.9088972069e-04
5.2394916911e+00   1.9072872038e-04
5.2785923754e+00   1.9061522470e-04
5.3176930596e+00   1.9057069898e-04
5.3567937439e+00   1.9049144316e-04
5.3958944282e+00   1.9038279725e-04
5.4349951124e+00   1.9024710674e-04
5.4740957967e+00   1.9008524633e-04
5.5131964809e+00   1.8989726033e-04
5.5522971652e+00   1.8968266220e-04
5.5913978495e+00   1.8944058551e-04
5.6304985337e+00   1.3411075567e-04
5.6695992180e+00   1.3377544967e-04
5.7086999022e+00   1.3343449835e-04
5.7478005865e+00   1.3308341771e-04
5.7869012708e+00   1.3271828297e-04
5.8260019550e+00   1.3233553123e-04
5.8651026393e+00   1.3193182213e-04
5.9042033236e+00   1.3150393628e-04
5.9433040078e+00   1.3104869893e-04
5.9824046921e+00   8.5434071215e-06
6.0215053763e+00   4.0131219092e-05
6.0606060606e+00   3.9991751817e-05
6.0997067449e+00   3.9837540055e-05
6.1388074291e+00   3.9667805995e-05
6.1779081134e+00   3.9481669187e-05
6.2170087977e+00   3.9278147298e-05
6.2561094819e+00   3.9056155737e-05
6.2952101662e+00   1.5964590972e-04
6.3343108504e+00   1.5852624495e-04
6.3734115347e+00   1.5731526298e-04
6.4125122190e+00   1.5600647025e-04
6.4516129032e+00   1.5459292724e-04
6.4907135875e+00   1.6007668046e-04
6.5298142717e+00   1.5831220486e-04
6.5689149560e+00   1.5641264661e-04
6.6080156403e+00   1.5436852977e-04
6.6471163245e+00   5.3390670004e-05
6.6862170088e+00   5.2543298675e-05
6.7253176931e+00   5.1633501372e-05
6.7644183773e+00   5.0657177604e-05
6.8035190616e+00   7.2362563764e-06
6.8426197458e+00   9.2125336105e-05
6.8817204301e+00   8.9955954968e-05
6.9208211144e+00   8.7631255273e-05
6.9599217986e+00   1.3600067450e-04
6.9990224829e+00   1.3165990362e-04
7.0381231672e+00   1.2702391724e-04
7.0772238514e+00   8.8673289106e-05
7.1163245357e+00   8.4761577208e-05
7.1554252199e+00   8.0600523892e-05
7.1945259042e+00   4.0601855105e-06
7.2336265885e+00   1.7461576364e-05
7.2727272727e+00   1.7181853261e-05
7.3118279570e+00   2.0832289577e-05
7.3509286413e+00   1.2918411634e-04
7.3900293255e+00   1.5002447481e-04
7.4291300098e+00   1.7195015765e-04
7.4682306940e+00   2.1452141282e-04
7.5073313783e+00   2.4057098703e-04
7.5464320626e+00   2.6773842457e-04
7.5855327468e+00   1.1717505664e-04
7.6246334311e+00   1.2856501846e-04
7.6637341153e+00   1.4030634208e-04
7.7028347996e+00   2.1939416289e-05
7.7419354839e+00   2.5658710058e-04
7.7810361681e+00   2.7718038939e-04
7.8201368524e+00   2.9819395025e-04
7.8592375367e+00   5.4054126134e-04
7.8983382209e+00   5.7609576636e-04
7.9374389052e+00   4.6468422990e-04
7.9765395894e+00   4.9066575910e-04
8.0156402737e+00   2.0123004733e-05
8.0547409580e+00   9.1728025590e-05
8.0938416422e+00   9.6325596879e-05
8.1329423265e+00   6.8177859530e-04
8.1720430108e+00   7.0943695044e-04
8.2111436950e+00   8.0610886532e-04
8.2502443793e+00   3.4760593063e-04
8.2893450635e+00   5.2438896482e-05
8.3284457478e+00   5.2808088948e-04
8.3675464321e+00   9.2971196375e-04
8.4066471163e+00   7.0760795062e-04
8.4457478006e+00   1.8707834477e-05
8.4848484848e+00   9.0198205586e-05
8.5239491691e+00   9.7051417753e-04
8.5630498534e+00   1.1419321501e-03
8.6021505376e+00   5.1656038776e-04
8.6412512219e+00   6.0469930315e-05
8.6803519062e+00   4.6814756174e-04
8.7194525904e+00   9.1839842301e-04
8.7585532747e+00   7.5588647379e-04
8.7976539589e+00   6.4787428267e-06
8.8367546432e+00   2.4739101990e-05
8.8758553275e+00   6.9949052489e-04
8.9149560117e+00   8.1155065171e-04
8.9540566960e+00   7.8199903222e-04
8.9931573803e+00   3.7351686778e-04
9.0322580645e+00   3.5652962410e-04
9.0713587488e+00   4.5224874391e-05
9.1104594330e+00   3.2738522087e-04
9.1495601173e+00   3.1080261605e-04
9.1886608016e+00   5.8359819467e-04
9.2277614858e+00   5.4886189872e-04
9.2668621701e+00   4.2798638240e-04
9.3059628543e+00   3.9877178911e-04
9.3450635386e+00   3.7004952492e-04
9.3841642229e+00   8.9902062610e-06
9.4232649071e+00   8.2577475511e-06
9.4623655914e+00   7.5481600447e-06
9.5014662757e+00   8.7721172752e-08
9.5405669599e+00   2.3928832108e-04
9.5796676442e+00   2.1581444122e-04
9.6187683284e+00   1.9326381426e-04
9.6578690127e+00   2.0489468817e-04
9.6969696970e+00   1.7984136030e-04
9.7360703812e+00   1.5599421634e-04
9.7751710655e+00   6.8094725114e-05
9.8142717498e+00   5.6881754991e-05
9.8533724340e+00   5.0427047811e-05
9.8924731183e+00   6.7080188332e-06
9.9315738025e+00   4.8964267902e-05
9.9706744868e+00   5.1650439520e-05
1.0009775171e+01   5.4177621304e-05
1.0048875855e+01   1.2135672264e-04
1.0087976540e+01   1.2603488216e-04
1.0127077224e+01   1.3041799274e-04
1.0166177908e+01   1.1673120334e-04
1.0205278592e+01   1.1999065643e-04
1.0244379277e+01   1.2303412167e-04
1.0283479961e+01   1.0705980808e-05
1.0322580645e+01   1.0926417873e-05
1.0361681329e+01   1.1131610428e-05
1.0400782014e+01   1.1322459989e-05
1.0439882698e+01   9.6085059667e-08
1.0478983382e+01   1.2808532613e-04
1.0518084066e+01   1.2986412159e-04
1.0557184751e+01   1.3151811062e-04
1.0596285435e+01   1.3305546580e-04
1.0635386119e+01   1.6962147751e-04
1.0674486804e+01   1.7125035883e-04
1.0713587488e+01   1.7276014000e-04
1.0752688172e+01   1.7415879990e-04
1.0791788856e+01   1.7545382618e-04
1.0830889541e+01   9.8359869111e-05
1.0869990225e+01   9.8951745801e-05
1.0909090909e+01   9.9495996397e-05
1.0948191593e+01   9.9995563701e-05
1.0987292278e+01   1.0045314125e-04
1.1026392962e+01   1.0087117752e-04
1.1065493646e+01   1.0125187812e-04
1.1104594330e+01   1.2011941140e-05
1.1143695015e+01   7.7840328499e-05
1.1182795699e+01   7.8130163525e-05
1.1221896383e+01   7.8403973345e-05
1.1260997067e+01   7.8663849224e-05
1.1300097752e+01   7.8911935350e-05
1.1339198436e+01   7.9150482136e-05
1.1378299120e+01   7.9381917004e-05
1.1417399804e+01   7.9608941096e-05
1.1456500489e+01   7.9834665205e-05
1.1495601173e+01   1.8304633349e-04
1.1534701857e+01   1.8337373316e-04
1.1573802542e+01   1.8368990080e-04
1.1612903226e+01   1.8400066493e-04
1.1652003910e+01   1.8431371864e-04
1.1691104594e+01   1.8463990865e-04
1.1730205279e+01   1.8499564900e-04
1.1769305963e+01   1.8540780906e-04
1.1808406647e+01   1.8592465787e-04
1.1847507331e+01   1.8664391555e-04
1.1886608016e+01   1.8780012808e-04
1.1925708700e+01   1.9013745908e-04
1.1964809384e+01   1.9795574533e-04
1.2003910068e+01   2.9029757684e-04
1.2043010753e+01   1.8255661860e-04
1.2082111437e+01   1.7440525637e-04
1.2121212121e+01   1.7137964140e-04
1.2160312805e+01   1.6977438884e-04
1.2199413490e+01   1.6875435182e-04
1.2238514174e+01   1.6802604539e-04
1.2277614858e+01   1.6745949127e-04
1.2316715543e+01   1.6698800319e-04
1.2355816227e+01   1.6657358867e-04
1.2394916911e+01   1.6619277333e-04
1.2434017595e+01   1.6583004124e-04
1.2473118280e+01   1.6547450799e-04
1.2512218964e+01   2.3463723367e-05
1.2551319648e+01   2.3389920713e-05
1.2590420332e+01   2.3317467337e-05
1.2629521017e+01   2.3245146357e-05
1.2668621701e+01   2.3171941975e-05
1.2707722385e+01   2.3096976236e-05
1.2746823069e+01   2.3019465033e-05
1.2785923754e+01   2.2938686649e-05
1.2825024438e+01   2.2853958652e-05
1.2864125122e+01   5.7873500380e-07
1.2903225806e+01   1.3839792089e-04
1.2942326491e+01   1.3789741237e-04
1.2981427175e+01   1.3734884308e-04
1.3020527859e+01   1.3674927273e-04
1.3059628543e+01   1.3609545027e-04
1.3098729228e+01   1.3538380938e-04
1.3137829912e+01   1.3461046163e-04
1.3176930596e+01   1.7747492943e-04
1.3216031281e+01   1.7622381335e-04
1.3255131965e+01   1.7487339942e-04
1.3294232649e+01   1.7341637683e-04
1.3333333333e+01   1.7184495923e-04
1.3372434018e+01   1.0142224076e-04
1.3411534702e+01   1.0030663361e-04
1.3450635386e+01   9.9106610128e-05
1.3489736070e+01   9.7816158588e-05
1.3528836755e+01   1.0285971418e-05
1.3567937439e+01   5.9526786554e-05
1.3607038123e+01   5.8575537658e-05
1.3646138807e+01   5.7552531819e-05
1.3685239492e+01   5.6453191712e-05
1.3724340176e+01   1.4089579413e-04
1.3763440860e+01   1.3760062588e-04
1.3802541544e+01   1.3407009257e-04
1.3841642229e+01   1.2107526261e-04
1.3880742913e+01   1.1724100701e-04
1.3919843597e+01   1.1314629702e-04
1.3958944282e+01   2.0742812218e-05
1.3998044966e+01   1.9836041579e-05
1.4037145650e+01   1.8871493558e-05
1.4076246334e+01   1.6275963639e-06
1.4115347019e+01   7.3679548068e-05
1.4154447703e+01   7.0500514251e-05
1.4193548387e+01   8.5684782467e-05
1.4232649071e+01   1.4395658500e-04
1.4271749756e+01   1.6738509654e-04
1.4310850440e+01   1.9202719488e-04
1.4349951124e+01   1.3918168858e-04
1.4389051808e+01   1.5616534073e-04
1.4428152493e+01   1.7387115071e-04
1.4467253177e+01   1.8158646022e-05
1.4506353861e+01   1.0796805722e-04
1.4545454545e+01   1.1848186432e-04
1.4584555230e+01   1.2935345084e-04
1.4623655914e+01   4.0198407544e-04
1.4662756598e+01   4.3422041107e-04
1.4701857283e+01   4.6708089163e-04
1.4740957967e+01   4.8387791216e-04
1.4780058651e+01   5.1557239247e-04
1.4819159335e+01   1.3127643198e-04
1.4858260020e+01   1.3856068170e-04
1.4897360704e+01   1.7672204849e-05
1.4936461388e+01   4.9973702579e-04
1.4975562072e+01   5.2437070842e-04
1.5014662757e+01   7.7732181559e-04
1.5053763441e+01   8.0792548959e-04
1.5092864125e+01   5.4001586217e-04
1.5131964809e+01   4.8326951607e-05
1.5171065494e+01   2.6486687712e-04
1.5210166178e+01   8.5153488838e-04
