X    Y
0.0000000000e+00   0.0000000000e+00
1.5655577299e-02   1.2356715651e-10
3.1311154599e-02   1.2499293267e-10
4.6966731898e-02   1.2542306083e-10
6.2622309198e-02   1.2585421594e-10
7.8277886497e-02   1.2628639801e-10
9.3933463796e-02   1.2671957927e-10
1.0958904110e-01   1.2715378750e-10
1.2524461840e-01   1.2758902268e-10
1.4090019569e-01   1.2802525706e-10
1.5655577299e-01   1.2846251840e-10
1.7221135029e-01   1.2890075118e-10
1.8786692759e-01   1.2934001092e-10
2.0352250489e-01   1.2978026986e-10
2.1917808219e-01   1.3022150025e-10
2.3483365949e-01   1.3066372984e-10
2.5048923679e-01   1.3110695862e-10
2.6614481409e-01   1.3155115886e-10
2.8180039139e-01   1.3199635829e-10
2.9745596869e-01   1.3244252917e-10
3.1311154599e-01   1.3288964373e-10
3.2876712329e-01   1.3333772975e-10
3.4442270059e-01   1.3378681496e-10
3.6007827789e-01   1.3423681611e-10
3.7573385519e-01   1.3468781646e-10
3.9138943249e-01   1.3513973274e-10
4.0704500978e-01   1.3559259271e-10
4.2270058708e-01   1.3604639637e-10
4.3835616438e-01   1.3650111597e-10
4.5401174168e-01   1.3695680701e-10
4.6966731898e-01   1.3741344174e-10
4.8532289628e-01   1.3787099240e-10
5.0097847358e-01   1.3832945900e-10
5.1663405088e-01   1.3878881377e-10
5.3228962818e-01   1.3924914000e-10
5.4794520548e-01   1.3971035440e-10
5.6360078278e-01   1.4017248473e-10
5.7925636008e-01   1.4063553100e-10
5.9491193738e-01   1.4109952096e-10
6.1056751468e-01   1.4156442685e-10
6.2622309198e-01   1.4203027643e-10
6.4187866928e-01   1.4249701419e-10
6.5753424658e-01   1.4296472339e-10
6.7318982387e-01   1.4343340404e-10
6.8884540117e-01   1.4390305614e-10
7.0450097847e-01   1.4437373519e-10
7.2015655577e-01   1.4484541344e-10
7.3581213307e-01   1.4531817416e-10
7.5146771037e-01   1.4579204510e-10
7.6712328767e-01   1.4626708178e-10
7.8277886497e-01   1.4674331195e-10
7.9843444227e-01   1.4722084662e-10
8.1409001957e-01   1.4769971357e-10
8.2974559687e-01   1.4818005156e-10
8.4540117417e-01   1.4866197162e-10
8.6105675147e-01   1.4914561253e-10
8.7671232877e-01   1.4963108530e-10
8.9236790607e-01   1.5011855647e-10
9.0802348337e-01   1.5060827585e-10
9.2367906067e-01   1.5110043772e-10
9.3933463796e-01   1.5159531963e-10
9.5499021526e-01   1.5209319915e-10
9.7064579256e-01   1.5259443709e-10
9.8630136986e-01   1.5309939427e-10
1.0019569472e+00   1.5360851480e-10
1.0176125245e+00   1.5412229826e-10
1.0332681018e+00   1.5464127201e-10
1.0489236791e+00   1.5516604668e-10
1.0645792564e+00   1.5569737166e-10
1.0802348337e+00   1.5623599636e-10
1.0958904110e+00   1.5678283671e-10
1.1115459883e+00   1.5733883640e-10
1.1272015656e+00   1.5790507790e-10
1.1428571429e+00   1.5848281021e-10
1.1585127202e+00   1.5907339335e-10
1.1741682975e+00   1.5967829836e-10
1.1898238748e+00   1.6029921834e-10
1.2054794521e+00   1.6093801292e-10
1.2211350294e+00   1.6159668048e-10
1.2367906067e+00   1.6227755251e-10
1.2524461840e+00   1.6298307148e-10
1.2681017613e+00   1.6371595746e-10
1.2837573386e+00   1.6447926354e-10
1.2994129159e+00   1.6527634816e-10
1.3150684932e+00   1.6611079179e-10
1.3307240705e+00   1.6698661898e-10
1.3463796477e+00   1.6790818735e-10
1.3620352250e+00   1.6888029863e-10
1.3776908023e+00   1.6990819862e-10
1.3933463796e+00   1.7099760496e-10
1.4090019569e+00   1.7215473491e-10
1.4246575342e+00   1.7338636082e-10
1.4403131115e+00   1.7469992120e-10
1.4559686888e+00   1.7610340963e-10
1.4716242661e+00   1.7760562465e-10
1.4872798434e+00   1.7921600315e-10
1.5029354207e+00   1.8094481469e-10
1.5185909980e+00   1.8280324476e-10
1.5342465753e+00   1.8480336705e-10
1.5499021526e+00   1.8695819892e-10
1.5655577299e+00   1.8928186796e-10
1.5812133072e+00   1.9178955646e-10
1.5968688845e+00   1.9449775124e-10
1.6125244618e+00   1.9742416035e-10
1.6281800391e+00   2.0058785188e-10
1.6438356164e+00   2.0400933720e-10
1.6594911937e+00   2.0771076525e-10
1.6751467710e+00   2.1171581155e-10
1.6908023483e+00   2.1605001121e-10
1.7064579256e+00   2.2074073125e-10
1.7221135029e+00   2.2581728154e-10
1.7377690802e+00   2.3131102589e-10
1.7534246575e+00   2.3725577059e-10
1.7690802348e+00   2.4368745910e-10
1.7847358121e+00   2.5064450515e-10
1.8003913894e+00   2.5816809801e-10
1.8160469667e+00   2.6630225802e-10
1.8317025440e+00   2.7509367007e-10
1.8473581213e+00   2.8459240520e-10
1.8630136986e+00   2.9485164310e-10
1.8786692759e+00   3.0592811617e-10
1.8943248532e+00   3.1788210952e-10
1.9099804305e+00   3.3077773853e-10
1.9256360078e+00   3.4468322641e-10
1.9412915851e+00   3.5967095968e-10
1.9569471624e+00   3.7581776580e-10
1.9726027397e+00   3.9320502410e-10
1.9882583170e+00   4.1191922096e-10
2.0039138943e+00   4.3205178324e-10
2.0195694716e+00   4.5369946688e-10
2.0352250489e+00   4.7696474548e-10
2.0508806262e+00   5.0195592127e-10
2.0665362035e+00   5.2878745826e-10
2.0821917808e+00   5.5758009321e-10
2.0978473581e+00   5.8846127970e-10
2.1135029354e+00   6.2156541025e-10
2.1291585127e+00   6.5703414931e-10
2.1448140900e+00   6.9501671085e-10
2.1604696673e+00   7.3567008041e-10
2.1761252446e+00   7.7915923713e-10
2.1917808219e+00   8.2565781989e-10
2.2074363992e+00   8.7534807180e-10
2.2230919765e+00   9.2842139532e-10
2.2387475538e+00   9.8507851876e-10
2.2544031311e+00   1.0455297184e-09
2.2700587084e+00   1.1099955399e-09
2.2857142857e+00   1.1787066878e-09
2.3013698630e+00   1.2519046355e-09
2.3170254403e+00   1.3298416812e-09
2.3326810176e+00   1.4127813919e-09
2.3483365949e+00   1.5009990473e-09
2.3639921722e+00   1.5947817511e-09
2.3796477495e+00   1.6944287085e-09
2.3953033268e+00   1.8002516144e-09
2.4109589041e+00   1.9125748763e-09
2.4266144814e+00   2.0317358351e-09
2.4422700587e+00   2.1580850995e-09
2.4579256360e+00   2.2919866005e-09
2.4735812133e+00   2.4338178695e-09
2.4892367906e+00   2.5839703155e-09
2.5048923679e+00   2.7428492255e-09
2.5205479452e+00   2.9108739308e-09
2.5362035225e+00   3.0884778623e-09
2.5518590998e+00   3.2761084956e-09
2.5675146771e+00   3.4742275168e-09
2.5831702544e+00   3.6833107675e-09
2.5988258317e+00   3.9038478561e-09
2.6144814090e+00   4.1363424352e-09
2.6301369863e+00   4.3813115913e-09
2.6457925636e+00   4.6392857334e-09
2.6614481409e+00   4.9108082600e-09
