X    Y
0.0000000000e+00   -9.0000000000e-01
1.5655577299e-02   -8.9518308081e-01
3.1311154599e-02   -8.9048609409e-01
4.6966731898e-02   -8.8590584753e-01
6.2622309198e-02   -8.8143863158e-01
7.8277886497e-02   -8.7708053648e-01
9.3933463796e-02   -8.7282765611e-01
1.0958904110e-01   -8.6867619885e-01
1.2524461840e-01   -8.6462253434e-01
1.4090019569e-01   -8.6066320383e-01
1.5655577299e-01   -8.5679491484e-01
1.7221135029e-01   -8.5301453169e-01
1.8786692759e-01   -8.4931906605e-01
2.0352250489e-01   -8.4570566823e-01
2.1917808219e-01   -8.4217161899e-01
2.3483365949e-01   -8.3871432203e-01
2.5048923679e-01   -8.3533129692e-01
2.6614481409e-01   -8.3202017259e-01
2.8180039139e-01   -8.2877868119e-01
2.9745596869e-01   -8.2560465243e-01
3.1311154599e-01   -8.2249600826e-01
3.2876712329e-01   -8.1945075789e-01
3.4442270059e-01   -8.1646699318e-01
3.6007827789e-01   -8.1354288426e-01
3.7573385519e-01   -8.1067667550e-01
3.9138943249e-01   -8.0786668165e-01
4.0704500978e-01   -8.0511128431e-01
4.2270058708e-01   -8.0240892856e-01
4.3835616438e-01   -7.9975811976e-01
4.5401174168e-01   -7.9715742066e-01
4.6966731898e-01   -7.9460544855e-01
4.8532289628e-01   -7.9210087268e-01
5.0097847358e-01   -7.8964241174e-01
5.1663405088e-01   -7.8722883157e-01
5.3228962818e-01   -7.8485894294e-01
5.4794520548e-01   -7.8253159950e-01
5.6360078278e-01   -7.8024569577e-01
5.7925636008e-01   -7.7800016534e-01
5.9491193738e-01   -7.7579397912e-01
6.1056751468e-01   -7.7362614364e-01
6.2622309198e-01   -7.7149569952e-01
6.4187866928e-01   -7.6940172000e-01
6.5753424658e-01   -7.6734330948e-01
6.7318982387e-01   -7.6531960224e-01
6.8884540117e-01   -7.6332976117e-01
7.0450097847e-01   -7.6137297654e-01
7.2015655577e-01   -7.5944846490e-01
