X    Y
0.0000000000e+00   0.0000000000e+00
1.5655577299e-02   1.2315468090e-10
3.1311154599e-02   1.2410497630e-10
4.6966731898e-02   1.2405954042e-10
6.2622309198e-02   1.2401146776e-10
7.8277886497e-02   1.2396078608e-10
9.3933463796e-02   1.2390746762e-10
1.0958904110e-01   1.2385151238e-10
1.2524461840e-01   1.2379292036e-10
1.4090019569e-01   1.2373169156e-10
1.5655577299e-01   1.2366782598e-10
1.7221135029e-01   1.2360132362e-10
1.8786692759e-01   1.2353215673e-10
2.0352250489e-01   1.2346038081e-10
2.1917808219e-01   1.2338596811e-10
2.3483365949e-01   1.2330891863e-10
2.5048923679e-01   1.2322920462e-10
2.6614481409e-01   1.2314685383e-10
2.8180039139e-01   1.2306189401e-10
2.9745596869e-01   1.2297429741e-10
3.1311154599e-01   1.2288403628e-10
3.2876712329e-01   1.2279116612e-10
3.4442270059e-01   1.2269568694e-10
3.6007827789e-01   1.2259759874e-10
3.7573385519e-01   1.2249687376e-10
3.9138943249e-01   1.2239356750e-10
4.0704500978e-01   1.2228767998e-10
4.2270058708e-01   1.2217921119e-10
4.3835616438e-01   1.2206818889e-10
4.5401174168e-01   1.2195458532e-10
4.6966731898e-01   1.2183848375e-10
4.8532289628e-01   1.2171982866e-10
5.0097847358e-01   1.2159864782e-10
5.1663405088e-01   1.2147496897e-10
5.3228962818e-01   1.2134873661e-10
5.4794520548e-01   1.2121997850e-10
5.6360078278e-01   1.2108863912e-10
5.7925636008e-01   1.2095463520e-10
5.9491193738e-01   1.2081791123e-10
6.1056751468e-01   1.2067832844e-10
6.2622309198e-01   1.2053569254e-10
6.4187866928e-01   1.2038980923e-10
6.5753424658e-01   1.2024031770e-10
6.7318982387e-01   1.2008677386e-10
6.8884540117e-01   1.1992870586e-10
7.0450097847e-01   1.1976536429e-10
7.2015655577e-01   1.1959591650e-10
7.3581213307e-01   1.1941933553e-10
7.5146771037e-01   1.1923420584e-10
7.6712328767e-01   1.1903897312e-10
7.8277886497e-01   1.1883166673e-10
7.9843444227e-01   1.1860984417e-10
8.1409001957e-01   1.1837067437e-10
8.2974559687e-01   1.1811068790e-10
8.4540117417e-01   1.1782583242e-10
8.6105675147e-01   1.1751133400e-10
8.7671232877e-01   1.1716139170e-10
8.9236790607e-01   1.1676942746e-10
9.0802348337e-01   1.1632761421e-10
9.2367906067e-01   1.1582687587e-10
9.3933463796e-01   1.1525669308e-10
9.5499021526e-01   1.1460496441e-10
9.7064579256e-01   1.1385764553e-10
9.8630136986e-01   1.1299866598e-10
1.0019569472e+00   1.1200970707e-10
1.0176125245e+00   1.1086973006e-10
1.0332681018e+00   1.0955489294e-10
1.0489236791e+00   1.0803810624e-10
1.0645792564e+00   1.0628867231e-10
1.0802348337e+00   1.0427203545e-10
1.0958904110e+00   1.0194911582e-10
1.1115459883e+00   9.9276087351e-11
1.1272015656e+00   9.6203767175e-11
1.1428571429e+00   9.2677199248e-11
1.1585127202e+00   8.8634877216e-11
1.1741682975e+00   8.4008300316e-11
1.1898238748e+00   7.8721418273e-11
1.2054794521e+00   7.2689632091e-11
1.2211350294e+00   6.5819238948e-11
1.2367906067e+00   5.8006655035e-11
1.2524461840e+00   4.9137471869e-11
