X    Y
0.0000000000e+00   6.0000000000e-01
1.5655577299e-02   5.9739501087e-01
3.1311154599e-02   5.9483867356e-01
4.6966731898e-02   5.9232979618e-01
6.2622309198e-02   5.8986713815e-01
7.8277886497e-02   5.8744947133e-01
9.3933463796e-02   5.8507560378e-01
1.0958904110e-01   5.8274438534e-01
1.2524461840e-01   5.8045470685e-01
1.4090019569e-01   5.7820549839e-01
1.5655577299e-01   5.7599572747e-01
1.7221135029e-01   5.7382439741e-01
1.8786692759e-01   5.7169054575e-01
2.0352250489e-01   5.6959324278e-01
2.1917808219e-01   5.6753159009e-01
2.3483365949e-01   5.6550471925e-01
2.5048923679e-01   5.6351179057e-01
2.6614481409e-01   5.6155199185e-01
2.8180039139e-01   5.5962453725e-01
2.9745596869e-01   5.5772866621e-01
3.1311154599e-01   5.5586364245e-01
3.2876712329e-01   5.5402875291e-01
3.4442270059e-01   5.5222330689e-01
3.6007827789e-01   5.5044663514e-01
3.7573385519e-01   5.4869808900e-01
3.9138943249e-01   5.4697703959e-01
4.0704500978e-01   5.4528287710e-01
4.2270058708e-01   5.4361500997e-01
4.3835616438e-01   5.4197286429e-01
4.5401174168e-01   5.4035588305e-01
4.6966731898e-01   5.3876352555e-01
4.8532289628e-01   5.3719526679e-01
5.0097847358e-01   5.3565059690e-01
5.1663405088e-01   5.3412902055e-01
5.3228962818e-01   5.3263005647e-01
5.4794520548e-01   5.3115323690e-01
5.6360078278e-01   5.2969810714e-01
5.7925636008e-01   5.2826422508e-01
5.9491193738e-01   5.2685116076e-01
6.1056751468e-01   5.2545849591e-01
6.2622309198e-01   5.2408582362e-01
6.4187866928e-01   5.2273274786e-01
6.5753424658e-01   5.2139888318e-01
6.7318982387e-01   5.2008385434e-01
6.8884540117e-01   5.1878729591e-01
7.0450097847e-01   5.1750885203e-01
7.2015655577e-01   5.1624817602e-01
7.3581213307e-01   5.1500493013e-01
7.5146771037e-01   5.1377878521e-01
7.6712328767e-01   5.1256942045e-01
7.8277886497e-01   5.1137652312e-01
7.9843444227e-01   5.1019978829e-01
8.1409001957e-01   5.0903891860e-01
8.2974559687e-01   5.0789362401e-01
8.4540117417e-01   5.0676362159e-01
8.6105675147e-01   5.0564863526e-01
8.7671232877e-01   5.0454839564e-01
8.9236790607e-01   5.0346263978e-01
9.0802348337e-01   5.0239111099e-01
9.2367906067e-01   5.0133355869e-01
9.3933463796e-01   5.0028973815e-01
9.5499021526e-01   4.9925941038e-01
9.7064579256e-01   4.9824234192e-01
9.8630136986e-01   4.9723830470e-01
1.0019569472e+00   4.9624707589e-01
1.0176125245e+00   4.9526843769e-01
1.0332681018e+00   4.9430217728e-01
1.0489236791e+00   4.9334808658e-01
1.0645792564e+00   4.9240596218e-01
1.0802348337e+00   4.9147560518e-01
1.0958904110e+00   4.9055682108e-01
1.1115459883e+00   4.8964941962e-01
1.1272015656e+00   4.8875321472e-01
1.1428571429e+00   4.8786802430e-01
1.1585127202e+00   4.8699367024e-01
1.1741682975e+00   4.8612997819e-01
1.1898238748e+00   4.8527677754e-01
1.2054794521e+00   4.8443390128e-01
1.2211350294e+00   4.8360118592e-01
1.2367906067e+00   4.8277847139e-01
1.2524461840e+00   4.8196560093e-01
1.2681017613e+00   4.8116242106e-01
1.2837573386e+00   4.8036878140e-01
1.2994129159e+00   4.7958453470e-01
1.3150684932e+00   4.7880953667e-01
1.3307240705e+00   4.7804364594e-01
1.3463796477e+00   4.7728672400e-01
1.3620352250e+00   4.7653863508e-01
1.3776908023e+00   4.7579924614e-01
1.3933463796e+00   4.7506842675e-01
1.4090019569e+00   4.7434604905e-01
1.4246575342e+00   4.7363198770e-01
1.4403131115e+00   4.7292611976e-01
1.4559686888e+00   4.7222832470e-01
1.4716242661e+00   4.7153848430e-01
1.4872798434e+00   4.7085648261e-01
1.5029354207e+00   4.7018220587e-01
1.5185909980e+00   4.6951554251e-01
1.5342465753e+00   4.6885638304e-01
1.5499021526e+00   4.6820462001e-01
1.5655577299e+00   4.6756014801e-01
1.5812133072e+00   4.6692286356e-01
1.5968688845e+00   4.6629266511e-01
1.6125244618e+00   4.6566945295e-01
1.6281800391e+00   4.6505312922e-01
1.6438356164e+00   4.6444359784e-01
1.6594911937e+00   4.6384076444e-01
1.6751467710e+00   4.6324453639e-01
1.6908023483e+00   4.6265482269e-01
1.7064579256e+00   4.6207153398e-01
1.7221135029e+00   4.6149458248e-01
1.7377690802e+00   4.6092388196e-01
1.7534246575e+00   4.6035934772e-01
1.7690802348e+00   4.5980089652e-01
1.7847358121e+00   4.5924844659e-01
1.8003913894e+00   4.5870191757e-01
1.8160469667e+00   4.5816123048e-01
1.8317025440e+00   4.5762630771e-01
1.8473581213e+00   4.5709707296e-01
1.8630136986e+00   4.5657345125e-01
1.8786692759e+00   4.5605536886e-01
1.8943248532e+00   4.5554275331e-01
1.9099804305e+00   4.5503553333e-01
1.9256360078e+00   4.5453363886e-01
1.9412915851e+00   4.5403700099e-01
1.9569471624e+00   4.5354555196e-01
