X    Y
0.0000000000e+00   0.0000000000e+00
2.7397260274e-03   8.8327178904e-11
5.4794520548e-03   1.0282613649e-10
8.2191780822e-03   1.0486256308e-10
1.0958904110e-02   1.0587208887e-10
1.3698630137e-02   1.0686979079e-10
1.6438356164e-02   1.0787354343e-10
1.9178082192e-02   1.0888340229e-10
2.1917808219e-02   1.0989920085e-10
2.4657534247e-02   1.1092105012e-10
2.7397260274e-02   1.1194911664e-10
3.0136986301e-02   1.1298428859e-10
3.2876712329e-02   1.1402806477e-10
3.5616438356e-02   1.1508372033e-10
3.8356164384e-02   1.1615730600e-10
4.1095890411e-02   1.1725981297e-10
4.3835616438e-02   1.1840983749e-10
4.6575342466e-02   6.6792985220e-06
4.9315068493e-02   6.7067907974e-06
5.2054794521e-02   6.7330384484e-06
5.4794520548e-02   6.7579849157e-06
5.7534246575e-02   6.7815723827e-06
6.0273972603e-02   6.8037417879e-06
6.3013698630e-02   6.8244328389e-06
6.5753424658e-02   6.8435840299e-06
6.8493150685e-02   6.8611326630e-06
7.1232876712e-02   6.8770148723e-06
7.3972602740e-02   6.8911656534e-06
7.6712328767e-02   6.9035188957e-06
7.9452054795e-02   6.9140074200e-06
8.2191780822e-02   6.9225630231e-06
8.4931506849e-02   4.3047272182e-06
8.7671232877e-02   5.0536722184e-06
9.0410958904e-02   5.0555020358e-06
9.3150684932e-02   5.0557213572e-06
9.5890410959e-02   5.0542772821e-06
9.8630136986e-02   5.0511163973e-06
1.0136986301e-01   5.0461848308e-06
1.0410958904e-01   5.0394283094e-06
1.0684931507e-01   5.0307922211e-06
1.0958904110e-01   5.0202216816e-06
1.1232876712e-01   5.0076616058e-06
1.1506849315e-01   4.9930567860e-06
1.1780821918e-01   7.3396725506e-06
1.2054794521e-01   7.3108761038e-06
1.2328767123e-01   7.2787921861e-06
1.2602739726e-01   7.2433398511e-06
1.2876712329e-01   7.2044386559e-06
1.3150684932e-01   7.1620088132e-06
1.3424657534e-01   7.1159713516e-06
1.3698630137e-01   7.0662482821e-06
1.3972602740e-01   7.0127627726e-06
1.4246575342e-01   6.9554393289e-06
1.4520547945e-01   6.8942039841e-06
1.4794520548e-01   2.4471700223e-06
1.5068493151e-01   5.1366186894e-06
1.5342465753e-01   5.0818584655e-06
1.5616438356e-01   5.0239377798e-06
1.5890410959e-01   4.9628080880e-06
1.6164383562e-01   4.8984228970e-06
1.6438356164e-01   4.8307379351e-06
1.6712328767e-01   4.7597113259e-06
1.6986301370e-01   4.6853037657e-06
1.7260273973e-01   4.6074787040e-06
1.7534246575e-01   4.5262025269e-06
1.7808219178e-01   2.4225474610e-06
1.8082191781e-01   2.3731228124e-06
1.8356164384e-01   2.3217493285e-06
1.8630136986e-01   2.2684168918e-06
1.8904109589e-01   2.2131175467e-06
1.9178082192e-01   2.1558455986e-06
1.9452054795e-01   2.0965977139e-06
1.9726027397e-01   2.0353730167e-06
2.0000000000e-01   1.9721731853e-06
2.0273972603e-01   5.5736899451e-07
2.0547945205e-01   3.7077488002e-06
2.0821917808e-01   3.5722757019e-06
2.1095890411e-01   3.4329390159e-06
2.1369863014e-01   3.2897674798e-06
2.1643835616e-01   3.1427958258e-06
2.1917808219e-01   2.9920649196e-06
2.2191780822e-01   2.8376218875e-06
2.2465753425e-01   2.6795202333e-06
2.2739726027e-01   2.5178199419e-06
2.3013698630e-01   2.9358637594e-06
2.3287671233e-01   2.7234581315e-06
2.3561643836e-01   2.5068164637e-06
2.3835616438e-01   2.2860484359e-06
2.4109589041e-01   2.0612722271e-06
2.4383561644e-01   1.8326145195e-06
2.4657534247e-01   1.6002104801e-06
2.4931506849e-01   1.3642037167e-06
2.5205479452e-01   1.1247462082e-06
2.5479452055e-01   8.8199821247e-07
2.5753424658e-01   4.9985875883e-07
2.6027397260e-01   3.6002838288e-07
2.6301369863e-01   1.3509599595e-07
