X    Y
0.0000000000e+00   -4.0000000000e-01
2.7397260274e-03   -4.0594608312e-01
5.4794520548e-03   -4.1194896995e-01
8.2191780822e-03   -4.1800903837e-01
1.0958904110e-02   -4.2412666143e-01
1.3698630137e-02   -4.3030220703e-01
1.6438356164e-02   -4.3653603760e-01
1.9178082192e-02   -4.4282850972e-01
2.1917808219e-02   -4.4917997374e-01
2.4657534247e-02   -4.5559077342e-01
2.7397260274e-02   -4.6206124550e-01
3.0136986301e-02   -4.6859171929e-01
3.2876712329e-02   -4.7518251631e-01
3.5616438356e-02   -4.8183394976e-01
3.8356164384e-02   -4.8854632417e-01
4.1095890411e-02   -4.9531993488e-01
4.3835616438e-02   -5.0215506759e-01
4.4695491301e-02   -5.0431303224e-01
4.7435217328e-02   -5.1122941314e-01
5.0174943356e-02   -5.1820793754e-01
5.2914669383e-02   -5.2524885572e-01
5.5654395410e-02   -5.3235240617e-01
5.8394121438e-02   -5.3951881507e-01
6.1133847465e-02   -5.4674829575e-01
6.3873573493e-02   -5.5404104810e-01
6.6613299520e-02   -5.6139725806e-01
6.9353025547e-02   -5.6881709698e-01
7.2092751575e-02   -5.7630072110e-01
7.4832477602e-02   -5.8384827091e-01
7.7572203630e-02   -5.9145987053e-01
8.0311929657e-02   -5.9913562715e-01
8.3051655684e-02   -6.0687563033e-01
8.5465715842e-02   -6.1374889688e-01
8.8205441869e-02   -6.2160993465e-01
9.0945167896e-02   -6.2953537286e-01
9.3684893924e-02   -6.3752522667e-01
9.6424619951e-02   -6.4557949046e-01
9.9164345979e-02   -6.5369813715e-01
1.0190407201e-01   -6.6188111749e-01
1.0464379803e-01   -6.7012835942e-01
1.0738352406e-01   -6.7843976733e-01
1.1012325009e-01   -6.8681522141e-01
1.1286297612e-01   -6.9525457689e-01
1.1560270214e-01   -7.0375766339e-01
1.1680836213e-01   -7.0751972596e-01
1.1954808816e-01   -7.1611423677e-01
1.2228781418e-01   -7.2477195090e-01
1.2502754021e-01   -7.3349260443e-01
1.2776726624e-01   -7.4227590468e-01
1.3050699226e-01   -7.5112152952e-01
1.3324671829e-01   -7.6002912669e-01
1.3598644432e-01   -7.6899831310e-01
1.3872617035e-01   -7.7802867417e-01
1.4146589637e-01   -7.8711976314e-01
1.4420562240e-01   -7.9627110043e-01
