X    Y
0.0000000000e+00   4.0000000000e-01
2.7397260274e-03   4.0171625311e-01
5.4794520548e-03   4.0344588598e-01
8.2191780822e-03   4.0518897643e-01
1.0958904110e-02   4.0694560210e-01
1.3698630137e-02   4.0871584054e-01
1.6438356164e-02   4.1049976914e-01
1.9178082192e-02   4.1229746514e-01
2.1917808219e-02   4.1410900564e-01
2.4657534247e-02   4.1593446754e-01
2.7397260274e-02   4.1777392756e-01
3.0136986301e-02   4.1962746221e-01
3.2876712329e-02   4.2149514775e-01
3.5616438356e-02   4.2337706023e-01
3.8356164384e-02   4.2527327541e-01
4.1095890411e-02   4.2718386878e-01
4.3835616438e-02   4.2910891554e-01
4.6575342466e-02   4.3104849056e-01
4.9315068493e-02   4.3300266837e-01
5.2054794521e-02   4.3497152317e-01
5.4794520548e-02   4.3695512877e-01
5.7534246575e-02   4.3895355857e-01
6.0273972603e-02   4.4096688559e-01
6.3013698630e-02   4.4299518238e-01
6.5753424658e-02   4.4503852106e-01
6.8493150685e-02   4.4709697325e-01
7.1232876712e-02   4.4917061009e-01
7.3972602740e-02   4.5125950219e-01
7.6712328767e-02   4.5336371961e-01
7.9452054795e-02   4.5548333184e-01
8.2191780822e-02   4.5761840780e-01
8.4931506849e-02   4.5976901577e-01
8.7671232877e-02   4.6193522341e-01
9.0410958904e-02   4.6411709770e-01
9.3150684932e-02   4.6631470495e-01
9.5890410959e-02   4.6852811073e-01
9.8630136986e-02   4.7075737990e-01
1.0136986301e-01   4.7300257653e-01
1.0410958904e-01   4.7526376391e-01
1.0684931507e-01   4.7754100452e-01
1.0958904110e-01   4.7983435997e-01
1.1232876712e-01   4.8214389101e-01
1.1506849315e-01   4.8446965749e-01
1.1780821918e-01   4.8681171832e-01
1.2054794521e-01   4.8917013146e-01
1.2328767123e-01   4.9154495387e-01
1.2602739726e-01   4.9393624151e-01
1.2876712329e-01   4.9634404927e-01
1.3150684932e-01   4.9876843097e-01
1.3424657534e-01   5.0120943933e-01
1.3559938811e-01   5.0242089998e-01
1.3833911414e-01   5.0488684053e-01
1.4107884016e-01   5.0736953414e-01
1.4381856619e-01   5.0986902940e-01
1.4655829222e-01   5.1238537363e-01
1.4929801824e-01   5.1491861289e-01
1.5203774427e-01   5.1746879189e-01
1.5477747030e-01   5.2003595402e-01
1.5751719633e-01   5.2262014125e-01
1.6025692235e-01   5.2522139417e-01
1.6299664838e-01   5.2783975186e-01
1.6573637441e-01   5.3047525197e-01
1.6847610044e-01   5.3312793057e-01
1.7121582646e-01   5.3579782221e-01
1.7395555249e-01   5.3848495982e-01
1.7669527852e-01   5.4118937470e-01
1.7943500455e-01   5.4391109648e-01
1.8217473057e-01   5.4665015310e-01
1.8491445660e-01   5.4940657072e-01
1.8765418263e-01   5.5218037376e-01
1.9039390866e-01   5.5497158480e-01
1.9313363468e-01   5.5778022456e-01
1.9587336071e-01   5.6060631187e-01
1.9861308674e-01   5.6344986364e-01
2.0135281277e-01   5.6631089480e-01
2.0409253879e-01   5.6918941826e-01
2.0683226482e-01   5.7208544490e-01
2.0957199085e-01   5.7499898351e-01
2.1231171687e-01   5.7793004074e-01
2.1505144290e-01   5.8087862109e-01
2.1779116893e-01   5.8384472685e-01
2.2053089496e-01   5.8682835807e-01
2.2327062098e-01   5.8982951250e-01
2.2601034701e-01   5.9284818560e-01
2.2875007304e-01   5.9588437043e-01
2.3148979907e-01   5.9893805768e-01
2.3422952509e-01   6.0200923558e-01
2.3601673319e-01   6.0402207960e-01
2.3875645921e-01   6.0712212543e-01
2.4149618524e-01   6.1023961859e-01
2.4423591127e-01   6.1337453806e-01
2.4697563730e-01   6.1652686021e-01
2.4971536332e-01   6.1969655873e-01
2.5245508935e-01   6.2288360462e-01
2.5519481538e-01   6.2608796612e-01
2.5793454141e-01   6.2930960872e-01
2.6067426743e-01   6.3254849507e-01
2.6341399346e-01   6.3580458496e-01
2.6615371949e-01   6.3907783532e-01
2.6889344552e-01   6.4236820010e-01
2.7163317154e-01   6.4567563033e-01
2.7437289757e-01   6.4900007400e-01
2.7711262360e-01   6.5234147607e-01
2.7985234963e-01   6.5569977842e-01
2.8259207565e-01   6.5907491984e-01
2.8533180168e-01   6.6246683594e-01
2.8807152771e-01   6.6587545917e-01
