X    Y
0.0000000000e+00   0.0000000000e+00
1.5640273705e-02   1.3035913214e-03
3.1280547410e-02   1.2559534747e-03
4.6920821114e-02   1.2136890981e-03
6.2561094819e-02   5.2655027426e-04
7.8201368524e-02   1.3480606904e-03
9.3841642229e-02   1.3135767778e-03
1.0948191593e-01   3.4538657395e-04
1.2512218964e-01   5.7016444107e-04
1.4076246334e-01   6.7443642628e-04
1.5640273705e-01   2.3601945826e-04
1.7204301075e-01   1.0935698648e-03
1.8768328446e-01   3.9593309439e-04
2.0332355816e-01   3.4134139006e-06
2.1896383187e-01   2.7593591673e-04
2.3460410557e-01   1.1287116253e-04
2.5024437928e-01   5.9719683546e-05
2.6588465298e-01   1.4781177022e-06
2.8152492669e-01   1.0533138308e-04
2.9716520039e-01   9.4819459106e-07
3.1280547410e-01   9.6996794030e-04
3.2844574780e-01   5.4958279940e-04
3.4408602151e-01   1.4742705045e-03
3.5972629521e-01   2.7126067683e-04
3.7536656891e-01   5.8972019743e-04
3.9100684262e-01   6.7766892239e-04
4.0664711632e-01   1.1177160784e-04
4.2228739003e-01   6.3913920115e-04
4.3792766373e-01   1.0410024364e-04
4.5356793744e-01   2.5032695508e-04
4.6920821114e-01   1.1390946757e-04
4.8484848485e-01   3.4223003153e-05
5.0048875855e-01   2.6268385647e-04
5.1612903226e-01   2.0442080869e-06
5.3176930596e-01   4.7663247329e-06
5.4740957967e-01   1.5450013182e-03
5.6304985337e-01   7.9279252992e-04
5.7869012708e-01   2.3131985070e-03
5.9433040078e-01   2.4568434046e-03
6.0997067449e-01   6.9076543482e-04
6.2561094819e-01   1.1971646166e-03
6.4125122190e-01   1.1748487945e-03
6.5689149560e-01   1.1304060602e-03
6.7253176931e-01   1.0711652061e-03
6.8817204301e-01   1.1529320355e-03
7.0381231672e-01   1.0845470097e-03
7.1945259042e-01   1.0227328869e-03
7.3509286413e-01   9.7064687610e-04
7.5073313783e-01   3.3979561792e-04
7.6637341153e-01   1.6456545322e-03
7.8201368524e-01   1.5989436046e-03
7.9765395894e-01   6.1895650747e-04
8.1329423265e-01   1.1767241350e-03
8.2893450635e-01   1.8596496841e-04
8.4457478006e-01   4.0596773618e-06
8.6021505376e-01   1.2675442839e-03
8.7585532747e-01   5.3867003989e-04
8.9149560117e-01   2.7242753670e-04
9.0713587488e-01   2.9471184835e-04
9.2277614858e-01   3.8199307076e-04
9.3841642229e-01   2.7836562309e-08
9.5405669599e-01   2.2365847579e-04
9.6969696970e-01   4.5404455882e-05
9.8533724340e-01   4.4169350339e-05
1.0009775171e+00   1.6161023475e-04
1.0166177908e+00   5.2201762522e-04
1.0322580645e+00   5.1183254560e-04
1.0478983382e+00   1.1196871068e-04
1.0635386119e+00   8.4213633448e-04
1.0791788856e+00   1.8234700176e-04
1.0948191593e+00   7.7730469771e-04
1.1104594330e+00   6.9175826317e-04
1.1260997067e+00   2.4546764623e-04
1.1417399804e+00   6.2455399535e-04
1.1573802542e+00   4.1133635474e-06
1.1730205279e+00   1.4640684837e-04
1.1886608016e+00   2.4282669228e-05
1.2043010753e+00   1.6662068739e-04
1.2199413490e+00   5.2869591381e-04
1.2355816227e+00   2.3037366309e-04
1.2512218964e+00   9.5113795811e-06
1.2668621701e+00   2.4302520917e-03
1.2825024438e+00   1.2206999409e-03
1.2981427175e+00   3.2598337303e-03
1.3137829912e+00   3.4373712678e-03
1.3294232649e+00   7.9756199662e-04
1.3450635386e+00   1.3540356251e-03
1.3607038123e+00   1.3246297903e-03
1.3763440860e+00   1.2667631162e-03
1.3919843597e+00   1.1875133745e-03
1.4076246334e+00   1.0958036567e-03
1.4232649071e+00   1.6641090742e-03
1.4389051808e+00   1.5328813484e-03
1.4545454545e+00   1.4206729927e-03
1.4701857283e+00   1.3319284446e-03
1.4858260020e+00   1.2673394115e-03
1.5014662757e+00   4.8761176620e-04
1.5171065494e+00   1.9204029951e-03
1.5327468231e+00   1.8979277032e-03
1.5483870968e+00   1.8928059947e-03
1.5640273705e+00   6.9942196987e-04
1.5796676442e+00   1.3126872998e-03
1.5953079179e+00   4.5296247425e-04
1.6109481916e+00   9.2482673617e-06
1.6265884653e+00   1.7555572412e-03
1.6422287390e+00   7.4965281136e-04
1.6578690127e+00   2.6381352901e-04
1.6735092864e+00   5.0912475933e-04
1.6891495601e+00   5.4582405592e-04
1.7047898338e+00   7.2375335532e-05
1.7204301075e+00   4.7095087765e-04
1.7360703812e+00   6.6396718458e-05
1.7517106549e+00   1.3770927169e-04
1.7673509286e+00   8.5623503216e-06
1.7829912023e+00   9.1437746999e-05
1.7986314761e+00   4.5392288685e-04
1.8142717498e+00   1.4794813538e-05
1.8299120235e+00   8.3635720017e-04
1.8455522972e+00   6.9621509291e-04
1.8611925709e+00   5.2543086225e-06
1.8768328446e+00   7.7354187418e-06
1.8924731183e+00   3.9255325021e-06
1.9081133920e+00   4.5691351739e-06
1.9237536657e+00   8.6602764462e-06
1.9393939394e+00   9.2487677449e-06
1.9550342131e+00   3.2291561604e-05
1.9706744868e+00   1.9211105148e-04
1.9863147605e+00   4.2885084622e-04
2.0019550342e+00   9.9343916023e-04
2.0175953079e+00   2.7426297705e-05
2.0332355816e+00   3.8184307782e-03
2.0488758553e+00   2.0596141825e-03
2.0645161290e+00   5.7698499712e-03
2.0801564027e+00   1.3354029335e-03
2.0957966764e+00   2.7196147640e-03
2.1114369501e+00   3.5096580646e-03
2.1270772239e+00   1.0711830275e-02
2.1427174976e+00   2.4767727313e-02
2.1583577713e+00   3.2049810430e-02
2.1739980450e+00   7.2627615963e-03
2.1896383187e+00   3.1576643202e-03
2.2052785924e+00   6.1589974135e-04
2.2209188661e+00   1.0259318652e-03
2.2365591398e+00   1.3122836423e-04
2.2521994135e+00   4.6685387732e-04
2.2678396872e+00   8.8729846696e-04
2.2834799609e+00   1.1937597263e-03
2.2991202346e+00   1.4235579860e-03
2.3147605083e+00   5.8912362641e-04
2.3304007820e+00   1.1185524639e-03
2.3460410557e+00   1.1916011567e-03
2.3616813294e+00   1.2491174474e-03
2.3773216031e+00   6.5055458467e-04
2.3929618768e+00   9.4406841196e-05
2.4086021505e+00   1.9652000639e-03
2.4242424242e+00   8.7061647485e-04
2.4398826979e+00   2.5472215812e-04
2.4555229717e+00   6.8135085404e-04
2.4711632454e+00   6.5246830073e-04
2.4868035191e+00   2.1805390523e-04
2.5024437928e+00   6.9115958325e-04
2.5180840665e+00   7.9345775937e-05
2.5337243402e+00   4.0155878821e-04
2.5493646139e+00   2.2879752885e-04
2.5650048876e+00   3.9564952844e-05
2.5806451613e+00   1.2161789270e-04
2.5962854350e+00   1.1952621153e-05
2.6119257087e+00   6.3001583095e-04
2.6275659824e+00   5.0267773123e-04
2.6432062561e+00   6.4175922346e-04
2.6588465298e+00   1.5323060541e-05
2.6744868035e+00   1.4591044134e-05
2.6901270772e+00   1.4077019758e-05
2.7057673509e+00   2.5855870836e-05
2.7214076246e+00   3.0000945169e-05
2.7370478983e+00   1.2488400709e-04
2.7526881720e+00   6.0705458287e-05
2.7683284457e+00   2.2462662821e-05
2.7839687195e+00   6.5105206954e-04
2.7996089932e+00   7.1410589119e-04
2.8152492669e+00   6.8038547775e-04
2.8308895406e+00   1.8901596704e-03
2.8465298143e+00   4.7439155628e-03
2.8621700880e+00   7.0773496985e-04
2.8778103617e+00   9.4421831292e-06
2.8934506354e+00   1.2128510588e-02
2.9090909091e+00   2.4172286760e-02
2.9247311828e+00   4.8145201535e-02
2.9403714565e+00   1.4845132716e-02
2.9560117302e+00   6.4874283640e-03
2.9716520039e+00   3.3708747126e-03
2.9872922776e+00   1.7410383053e-03
3.0029325513e+00   7.4666011522e-04
3.0185728250e+00   5.8778380282e-05
3.0342130987e+00   8.9289283879e-05
3.0498533724e+00   2.2488808786e-04
3.0654936461e+00   3.2540649154e-04
3.0811339198e+00   4.0109997175e-04
3.0967741935e+00   8.5748099732e-04
3.1124144673e+00   9.2304778921e-04
3.1280547410e+00   3.6625658135e-04
3.1436950147e+00   1.6205088730e-03
3.1593352884e+00   6.0098061620e-04
3.1749755621e+00   1.1490500110e-03
3.1906158358e+00   2.3440906354e-05
3.2062561095e+00   6.1866973351e-04
3.2218963832e+00   2.1616763008e-04
3.2375366569e+00   3.7498324871e-04
3.2531769306e+00   3.9189566705e-04
3.2688172043e+00   2.3792894278e-05
3.2844574780e+00   2.2288692306e-04
3.3000977517e+00   1.0341206650e-05
3.3157380254e+00   1.1440164844e-04
3.3313782991e+00   2.3399509649e-04
3.3470185728e+00   6.3126780287e-04
3.3626588465e+00   2.3658147894e-04
3.3782991202e+00   9.1306641769e-04
3.3939393939e+00   3.7486195828e-05
3.4095796676e+00   9.7494269433e-04
3.4252199413e+00   8.9710278259e-06
3.4408602151e+00   6.6463133684e-06
3.4565004888e+00   9.8004609631e-06
3.4721407625e+00   1.1773697362e-04
3.4877810362e+00   2.1982557860e-04
3.5034213099e+00   2.1335846933e-05
3.5190615836e+00   3.7853762856e-04
3.5347018573e+00   4.7074159128e-04
3.5503421310e+00   4.7233573416e-04
3.5659824047e+00   1.2509018807e-03
3.5816226784e+00   2.9700083967e-03
3.5972629521e+00   4.0791000568e-04
3.6129032258e+00   9.3732143960e-06
3.6285434995e+00   4.7459589285e-03
3.6441837732e+00   5.2318405269e-03
3.6598240469e+00   2.5639815439e-03
3.6754643206e+00   7.2373686701e-03
3.6911045943e+00   7.9994076583e-03
3.7067448680e+00   8.9696853095e-03
3.7223851417e+00   1.0368777054e-02
3.7380254154e+00   1.2788403454e-02
3.7536656891e+00   1.8546974952e-02
3.7693059629e+00   8.1142451839e-03
3.7849462366e+00   7.3429022144e-03
3.8005865103e+00   1.3788362149e-03
3.8162267840e+00   5.4753724071e-05
3.8318670577e+00   6.9448667690e-04
3.8475073314e+00   1.0516760921e-03
3.8631476051e+00   1.2756647394e-03
3.8787878788e+00   1.4265816699e-03
3.8944281525e+00   1.5336140304e-03
3.9100684262e+00   1.6127548200e-03
3.9257086999e+00   1.6735001814e-03
3.9413489736e+00   1.7217871113e-03
3.9569892473e+00   1.7614414529e-03
3.9726295210e+00   2.4172062589e-03
3.9882697947e+00   2.4665116803e-03
4.0039100684e+00   2.5103554441e-03
4.0195503421e+00   2.5495469947e-03
4.0351906158e+00   1.5941779166e-03
4.0508308895e+00   3.6186223784e-03
4.0664711632e+00   3.6616534372e-03
4.0821114370e+00   1.9774021808e-03
4.0977517107e+00   2.8797796385e-03
4.1133919844e+00   1.5555107590e-03
4.1290322581e+00   9.3791892788e-04
4.1446725318e+00   2.0414323986e-03
4.1603128055e+00   1.3564663898e-03
4.1759530792e+00   1.6808335887e-03
4.1915933529e+00   1.7750676669e-03
4.2072336266e+00   9.7587524949e-04
4.2228739003e+00   1.6958045437e-03
4.2385141740e+00   9.8348491112e-04
4.2541544477e+00   1.1785676955e-03
4.2697947214e+00   9.5145545489e-04
4.2854349951e+00   6.2054749043e-04
4.3010752688e+00   2.1722088177e-04
4.3167155425e+00   4.0264661186e-04
4.3323558162e+00   6.5121659989e-04
4.3479960899e+00   7.3740067408e-04
4.3636363636e+00   2.8686065316e-05
4.3792766373e+00   2.1502225863e-04
4.3949169110e+00   3.9693443623e-04
4.4105571848e+00   5.7054256119e-04
4.4261974585e+00   7.4518104161e-04
4.4418377322e+00   9.1873341057e-04
4.4574780059e+00   1.0846692075e-03
4.4731182796e+00   6.4879290804e-04
4.4887585533e+00   5.1593538813e-04
4.5043988270e+00   1.0328748858e-03
4.5200391007e+00   7.5529700733e-04
4.5356793744e+00   2.7731819510e-03
4.5513196481e+00   2.3989320738e-03
4.5669599218e+00   7.3443321323e-02
4.5826001955e+00   1.3656249357e-03
4.5982404692e+00   2.5811413343e-03
4.6138807429e+00   1.4127283006e-03
4.6295210166e+00   9.0786535994e-04
4.6451612903e+00   4.6359170547e-04
4.6608015640e+00   1.5756368886e-04
4.6764418377e+00   1.9361679891e-04
4.6920821114e+00   1.7585677243e-04
4.7077223851e+00   4.4822350285e-04
4.7233626588e+00   3.7390837507e-04
4.7390029326e+00   6.3796953514e-04
4.7546432063e+00   7.2595731001e-04
4.7702834800e+00   3.2328487691e-04
4.7859237537e+00   2.3770050685e-04
4.8015640274e+00   9.0713588938e-04
4.8172043011e+00   5.3307075002e-04
4.8328445748e+00   8.5061286904e-04
4.8484848485e+00   3.8322090048e-04
4.8641251222e+00   4.0897001724e-04
4.8797653959e+00   3.3739015647e-04
4.8954056696e+00   2.4580419844e-04
4.9110459433e+00   8.6408807791e-05
4.9266862170e+00   2.7240264458e-05
4.9423264907e+00   3.5600123547e-04
4.9579667644e+00   5.6932335558e-04
4.9736070381e+00   1.9571364285e-04
4.9892473118e+00   1.1165627545e-04
5.0048875855e+00   5.9875417979e-04
5.0205278592e+00   2.3329787115e-04
5.0361681329e+00   5.1430974329e-04
5.0518084066e+00   5.9118032505e-04
5.0674486804e+00   2.4297057099e-04
5.0830889541e+00   5.5386177257e-04
5.0987292278e+00   3.2642444299e-04
5.1143695015e+00   3.4360980331e-04
5.1300097752e+00   2.9458275547e-04
5.1456500489e+00   8.7255881625e-05
5.1612903226e+00   2.6711476353e-05
5.1769305963e+00   2.9938395526e-04
5.1925708700e+00   1.0084217825e-03
5.2082111437e+00   1.1723842106e-03
5.2238514174e+00   2.4485986643e-04
5.2394916911e+00   1.0925261306e-03
5.2551319648e+00   1.1328440554e-03
5.2707722385e+00   1.1461894494e-03
5.2864125122e+00   1.1395109338e-03
5.3020527859e+00   3.5514815805e-04
5.3176930596e+00   3.1093028121e-04
5.3333333333e+00   2.6531205555e-04
5.3489736070e+00   2.1978944804e-04
5.3646138807e+00   1.8041578796e-04
5.3802541544e+00   1.0237948971e-03
5.3958944282e+00   1.0200241279e-03
5.4115347019e+00   4.2042748029e-04
5.4271749756e+00   1.1900033016e-03
5.4428152493e+00   3.1699953810e-04
5.4584555230e+00   5.3818799877e-04
5.4740957967e+00   6.3220388441e-04
5.4897360704e+00   2.7292808928e-04
5.5053763441e+00   4.3287368433e-04
5.5210166178e+00   1.2162770910e-04
5.5366568915e+00   3.2716708593e-04
5.5522971652e+00   2.1082397335e-04
5.5679374389e+00   1.5003755265e-04
5.5835777126e+00   1.1683946555e-04
5.5992179863e+00   5.0941881924e-05
5.6148582600e+00   4.3338759367e-04
5.6304985337e+00   1.7456057549e-04
5.6461388074e+00   1.2914906622e-04
5.6617790811e+00   1.4699272406e-03
5.6774193548e+00   6.5644975489e-04
5.6930596285e+00   2.2106020217e-04
5.7086999022e+00   5.0440434959e-04
5.7243401760e+00   5.6552842574e-04
5.7399804497e+00   1.3843959001e-04
5.7556207234e+00   4.6276842604e-04
5.7712609971e+00   1.9176839384e-04
5.7869012708e+00   1.8083013759e-04
5.8025415445e+00   1.1305905311e-04
5.8181818182e+00   1.4452344272e-04
5.8338220919e+00   1.4445755088e-04
5.8494623656e+00   1.2012769668e-03
5.8651026393e+00   3.6346378169e-04
5.8807429130e+00   1.2954693614e-03
5.8963831867e+00   1.3954754363e-03
5.9120234604e+00   4.8171857715e-04
5.9276637341e+00   4.9983775748e-04
5.9433040078e+00   5.1216207837e-04
5.9589442815e+00   5.1830118808e-04
5.9745845552e+00   5.1840705738e-04
5.9902248289e+00   1.1318219325e-03
6.0058651026e+00   1.0509922627e-03
6.0215053763e+00   9.8083855666e-04
6.0371456500e+00   9.2487173414e-04
6.0527859238e+00   1.4526941236e-04
6.0684261975e+00   1.0855986360e-03
6.0840664712e+00   1.0581690097e-03
6.0997067449e+00   4.2556940610e-06
6.1153470186e+00   2.6976965133e-04
6.1309872923e+00   4.1817525848e-04
6.1466275660e+00   5.2186435024e-05
6.1622678397e+00   9.7800927017e-04
6.1779081134e+00   1.9908263966e-04
6.1935483871e+00   2.4693771738e-04
6.2091886608e+00   1.4669941664e-04
6.2248289345e+00   3.1033598970e-05
