X    Y
0.0000000000e+00   0.0000000000e+00
1.5632633122e-02   1.0622155378e-09
3.1265266243e-02   2.3907409488e-04
4.6897899365e-02   2.6242816888e-04
6.2530532487e-02   2.8849267501e-04
7.8163165608e-02   3.1563956517e-04
9.3795798730e-02   1.5237022095e-04
1.0942843185e-01   4.2664163355e-04
1.2506106497e-01   4.4699998759e-04
1.4069369809e-01   1.2378329918e-04
1.5632633122e-01   2.0738997521e-04
1.7195896434e-01   1.9105062343e-04
1.8759159746e-01   1.5800203834e-04
2.0322423058e-01   3.0087694074e-05
2.1885686370e-01   3.8249650259e-05
2.3448949682e-01   1.2069207940e-04
2.5012212995e-01   4.8322763979e-04
2.6575476307e-01   1.4838933310e-04
2.8138739619e-01   6.0948087217e-06
2.9702002931e-01   1.8856541754e-03
3.1265266243e-01   2.2167790681e-03
3.2828529555e-01   1.0664879404e-03
3.4391792868e-01   2.5800237530e-03
3.5955056180e-01   2.2855015612e-03
3.7518319492e-01   4.0478742619e-04
3.9081582804e-01   4.3063498648e-04
4.0644846116e-01   2.9598500106e-05
4.2208109428e-01   1.8249554017e-04
4.3771372741e-01   1.2315386989e-03
4.5334636053e-01   5.9175583978e-04
4.6897899365e-01   1.2086811309e-03
4.8461162677e-01   3.6372222457e-04
5.0024425989e-01   3.6503439127e-06
5.1587689301e-01   1.1516958803e-03
5.3150952614e-01   9.3822926449e-04
5.4714215926e-01   3.3302712830e-04
5.6277479238e-01   6.0636298372e-04
5.7840742550e-01   4.5858251259e-04
5.9404005862e-01   3.4436773923e-04
6.0967269174e-01   4.6542612585e-05
6.2530532487e-01   6.1135464346e-05
6.4093795799e-01   5.0302896655e-05
6.5657059111e-01   4.4879981040e-05
6.7220322423e-01   4.3777284351e-05
6.8783585735e-01   4.6092257254e-05
7.0346849047e-01   1.4074138811e-04
7.1910112360e-01   1.6159342078e-04
7.3473375672e-01   1.8650821947e-04
7.5036638984e-01   2.1469093478e-04
7.6599902296e-01   1.0379008886e-04
7.8163165608e-01   3.9645670415e-04
7.9726428920e-01   4.4444781098e-04
8.1289692233e-01   4.9122337530e-04
8.2852955545e-01   1.8735659016e-04
8.4416218857e-01   3.6041499400e-04
8.5979482169e-01   3.7303227363e-04
8.7542745481e-01   1.8179802834e-04
8.9106008793e-01   2.3310638092e-05
9.0669272106e-01   3.7501478296e-04
9.2232535418e-01   9.1670271049e-05
9.3795798730e-01   1.9002136569e-05
9.5359062042e-01   3.6642497807e-05
9.6922325354e-01   1.2720892568e-04
9.8485588666e-01   1.2757555143e-03
1.0004885198e+00   7.6779024543e-04
1.0161211529e+00   2.8721069435e-03
1.0317537860e+00   3.3422107325e-03
1.0473864191e+00   1.1359828746e-03
1.0630190523e+00   1.9172350138e-03
1.0786516854e+00   9.9223762423e-04
1.0942843185e+00   1.5929162299e-04
1.1099169516e+00   3.5103159153e-04
1.1255495848e+00   2.6417880856e-04
1.1411822179e+00   1.1889672720e-03
1.1568148510e+00   5.6354017106e-05
1.1724474841e+00   9.9993836243e-05
1.1880801172e+00   1.6923781702e-03
1.2037127504e+00   6.7318672042e-04
1.2193453835e+00   1.5638477345e-03
1.2349780166e+00   3.6306436632e-04
1.2506106497e+00   4.9236723714e-04
1.2662432829e+00   3.6058763932e-04
1.2818759160e+00   2.2020535493e-04
1.2975085491e+00   1.4679243764e-04
