X    Y
0.0000000000e+00   0.0000000000e+00
1.5640273705e-02   2.3785760011e-04
3.1280547410e-02   2.6258444635e-04
4.6920821114e-02   2.9295022013e-04
6.2561094819e-02   1.4682707036e-04
7.8201368524e-02   4.3545252863e-04
9.3841642229e-02   4.9933911651e-04
1.0948191593e-01   1.5448244039e-04
1.2512218964e-01   3.0066610980e-04
1.4076246334e-01   4.4783173418e-04
1.5640273705e-01   1.8866999314e-04
1.7204301075e-01   1.0552643831e-03
1.8768328446e-01   4.6829093888e-04
2.0332355816e-01   5.1669148596e-06
2.1896383187e-01   5.5403348156e-04
2.3460410557e-01   3.0391268247e-04
2.5024437928e-01   3.6119551983e-04
2.6588465298e-01   4.8666989494e-04
2.8152492669e-01   2.3811508287e-04
2.9716520039e-01   1.0331908998e-06
3.1280547410e-01   2.3968085930e-04
3.2844574780e-01   6.9402268489e-05
3.4408602151e-01   5.2682236476e-04
3.5972629521e-01   1.4194390824e-04
3.7536656891e-01   4.0275382313e-04
3.9100684262e-01   5.0322611577e-04
4.0664711632e-01   9.3005987647e-05
4.2228739003e-01   5.5822783933e-04
4.3792766373e-01   9.6783021915e-05
4.5356793744e-01   3.0421729605e-04
4.6920821114e-01   2.1636454368e-04
4.8484848485e-01   5.4333602852e-05
5.0048875855e-01   1.0273806303e-04
5.1612903226e-01   2.9030276239e-07
5.3176930596e-01   8.1576626164e-08
5.4740957967e-01   7.6330149242e-05
5.6304985337e-01   5.0743532371e-05
5.7869012708e-01   1.6227886950e-04
5.9433040078e-01   1.8268656878e-04
6.0997067449e-01   5.3144532119e-05
6.2561094819e-01   9.5286125931e-05
6.4125122190e-01   9.9191794005e-05
6.5689149560e-01   1.0310918006e-04
6.7253176931e-01   1.0761926068e-04
6.8817204301e-01   1.3606838939e-04
7.0381231672e-01   1.4536235876e-04
7.1945259042e-01   1.5724191713e-04
7.3509286413e-01   1.7243177036e-04
7.5073313783e-01   6.9824177743e-05
7.6637341153e-01   3.9114009090e-04
7.8201368524e-01   4.4643132690e-04
7.9765395894e-01   2.0324036809e-04
8.1329423265e-01   4.5539488237e-04
8.2893450635e-01   9.0034143684e-05
8.4457478006e-01   2.6707683842e-06
8.6021505376e-01   8.8811440252e-04
8.7585532747e-01   4.6024843522e-04
8.9149560117e-01   2.8137953385e-04
9.0713587488e-01   3.9832859908e-04
9.2277614858e-01   6.3827424053e-04
9.3841642229e-01   1.7281276191e-06
9.5405669599e-01   7.5816078663e-04
9.6969696970e-01   2.7109127711e-04
9.8533724340e-01   4.6652463042e-04
1.0009775171e+00   4.2937792558e-04
1.0166177908e+00   5.0504014472e-04
1.0322580645e+00   2.0363920361e-05
1.0478983382e+00   3.9601218101e-05
1.0635386119e+00   4.4091474872e-04
1.0791788856e+00   1.1749476278e-04
1.0948191593e+00   6.0395387175e-04
1.1104594330e+00   5.6689331821e-04
1.1260997067e+00   2.2075901970e-04
1.1417399804e+00   5.8808341319e-04
1.1573802542e+00   4.9389811466e-06
1.1730205279e+00   2.7963540453e-04
1.1886608016e+00   1.3814463323e-04
1.2043010753e+00   3.9578333403e-05
1.2199413490e+00   2.3595631165e-05
1.2355816227e+00   1.2099781750e-05
1.2512218964e+00   1.1128156621e-06
1.2668621701e+00   1.7459663608e-04
1.2825024438e+00   8.6674142969e-05
1.2981427175e+00   2.2029861151e-04
1.3137829912e+00   2.2300426600e-04
1.3294232649e+00   5.0379617958e-05
1.3450635386e+00   8.3514576554e-05
1.3607038123e+00   8.2828510083e-05
1.3763440860e+00   8.2495537085e-05
1.3919843597e+00   8.2672560736e-05
1.4076246334e+00   8.3445623279e-05
1.4232649071e+00   1.4630028338e-04
1.4389051808e+00   1.5082822925e-04
1.4545454545e+00   1.5709338059e-04
1.4701857283e+00   1.6555718049e-04
1.4858260020e+00   1.7687370350e-04
1.5014662757e+00   7.7356212547e-05
1.5171065494e+00   3.3739709666e-04
1.5327468231e+00   3.7826093576e-04
1.5483870968e+00   4.3237197090e-04
1.5640273705e+00   1.8664420925e-04
1.5796676442e+00   4.0846612498e-04
1.5953079179e+00   1.7519081814e-04
1.6109481916e+00   8.5430296427e-07
1.6265884653e+00   9.9363574252e-04
1.6422287390e+00   5.2624664357e-04
1.6578690127e+00   2.2995677358e-04
1.6735092864e+00   5.7278887863e-04
1.6891495601e+00   7.5414344592e-04
1.7047898338e+00   1.4586872044e-04
1.7204301075e+00   1.1143635278e-03
1.7360703812e+00   2.2346094385e-04
1.7517106549e+00   9.1122529875e-04
1.7673509286e+00   7.4152189146e-04
1.7829912023e+00   2.1376385007e-04
1.7986314761e+00   4.0658590175e-04
1.8142717498e+00   7.8343055602e-06
1.8299120235e+00   3.4872150080e-04
1.8455522972e+00   4.2665830723e-04
1.8611925709e+00   9.6640570993e-06
1.8768328446e+00   1.2132777282e-05
1.8924731183e+00   9.1706369015e-06
1.9081133920e+00   1.7613563197e-06
1.9237536657e+00   1.6011550783e-06
1.9393939394e+00   9.5894798580e-07
1.9550342131e+00   2.1278785529e-04
1.9706744868e+00   5.8272860015e-05
