X    Y    Z
2.0000000000e-01   2.0000000000e-01   2.0000000000e-01
2.0000005400e-01   2.0010804068e-01   1.9995734190e-01
2.0000652812e-01   2.0119292767e-01   1.9953170473e-01
2.0065959061e-01   2.1249540412e-01   1.9537088889e-01
2.0378776868e-01   2.3188795763e-01   1.8922299621e-01
2.0943500212e-01   2.5352215152e-01   1.8353927570e-01
2.1757630161e-01   2.7760869500e-01   1.7835551421e-01
2.1763638516e-01   2.7777109878e-01   1.7832407082e-01
2.1824284984e-01   2.7940120849e-01   1.7801086368e-01
2.2487236745e-01   2.9632327822e-01   1.7500428553e-01
2.3732423795e-01   3.2517613534e-01   1.7078663002e-01
2.5238100450e-01   3.5717114924e-01   1.6722020813e-01
2.5248584983e-01   3.5738637368e-01   1.6719966924e-01
2.5354037947e-01   3.5954625837e-01   1.6699593243e-01
2.6469925607e-01   3.8192100065e-01   1.6512883192e-01
2.8444376271e-01   4.1983618455e-01   1.6287757509e-01
2.8457921449e-01   4.2009036032e-01   1.6286600511e-01
2.8594026836e-01   4.2264043567e-01   1.6275237637e-01
3.0021094871e-01   4.4897718671e-01   1.6183016265e-01
3.2499196397e-01   4.9322491846e-01   1.6123377553e-01
3.2516026018e-01   4.9351973166e-01   1.6123354883e-01
3.2685018511e-01   4.9647607593e-01   1.6123391698e-01
3.4444991019e-01   5.2684853298e-01   1.6151015206e-01
3.7455516049e-01   5.7714021853e-01   1.6301904832e-01
3.7475781005e-01   5.7747187501e-01   1.6303325240e-01
3.7679139923e-01   5.8079500255e-01   1.6317863312e-01
3.9783365734e-01   6.1464069696e-01   1.6497702744e-01
3.9805052779e-01   6.1498437384e-01   1.6499827334e-01
4.0022620038e-01   6.1842632312e-01   1.6521439241e-01
4.2267177811e-01   6.5330489996e-01   1.6775235699e-01
4.2290247210e-01   6.5365731555e-01   1.6778129474e-01
4.2521609474e-01   6.5718473355e-01   1.6807465424e-01
4.4900623110e-01   6.9270612790e-01   1.7141689871e-01
4.4924998748e-01   6.9306283579e-01   1.7145416761e-01
4.5169374453e-01   6.9663063562e-01   1.7183114608e-01
4.7672828825e-01   7.3227901089e-01   1.7603933236e-01
4.7698388880e-01   7.3263423273e-01   1.7608552275e-01
4.7954534560e-01   7.3618393178e-01   1.7655198717e-01
5.0567304964e-01   7.7130253925e-01   1.8168022799e-01
5.0593871956e-01   7.7164903107e-01   1.8173583039e-01
5.0859982580e-01   7.7510743835e-01   1.8229662044e-01
5.3560831000e-01   8.0888847169e-01   1.8838565837e-01
5.3588161802e-01   8.0921745527e-01   1.8845099910e-01
5.3861771051e-01   8.1249602746e-01   1.8910927755e-01
5.6622383835e-01   8.4397908586e-01   1.9617935481e-01
5.6650160534e-01   8.4428028498e-01   1.9625451926e-01
5.6928050130e-01   8.4727555244e-01   1.9701099839e-01
5.9712225790e-01   8.7535902982e-01   2.0505364005e-01
5.9740048651e-01   8.7562085669e-01   2.0513838681e-01
6.0018179435e-01   8.7821637421e-01   2.0599046729e-01
6.2781311160e-01   9.0168635404e-01   2.1495970186e-01
6.6956074557e-01   9.2747990536e-01   2.3046584713e-01
6.6981859341e-01   9.2759502753e-01   2.3057001896e-01
6.7238911734e-01   9.2870839379e-01   2.3161481753e-01
6.9718619088e-01   9.3586777592e-01   2.4233633531e-01
7.3163868704e-01   9.3112468512e-01   2.5975256152e-01
7.3183802469e-01   9.3102723491e-01   2.5986496027e-01
7.3381496577e-01   9.3000427424e-01   2.6098892612e-01
7.5182376253e-01   9.1486801723e-01   2.7217285300e-01
7.7259781637e-01   8.7320267835e-01   2.8897288394e-01
7.7269820323e-01   8.7286699758e-01   2.8907569045e-01
7.7367800772e-01   8.6946319810e-01   2.9009967601e-01
7.8099083517e-01   8.3087574970e-01   2.9987649802e-01
7.8104048225e-01   8.3044968585e-01   2.9996952140e-01
7.8151073419e-01   8.2614723989e-01   3.0089406749e-01
7.8354127306e-01   7.7917783637e-01   3.0952262042e-01
7.8353666015e-01   7.7867426465e-01   3.0960282209e-01
7.8346306472e-01   7.7360440224e-01   3.1039778471e-01
7.7996433939e-01   7.1979688897e-01   3.1760489394e-01
7.7990392030e-01   7.1923320170e-01   3.1766983715e-01
7.7927206024e-01   7.1357176138e-01   3.1831120570e-01
7.7020685478e-01   6.5485092956e-01   3.2389540184e-01
7.7009125500e-01   6.5424765646e-01   3.2394345014e-01
7.6890848004e-01   6.4820104783e-01   3.2441529335e-01
7.5445904933e-01   5.8671202348e-01   3.2826188195e-01
7.5429107579e-01   5.8609107759e-01   3.2829230585e-01
7.5258650308e-01   5.7987862407e-01   3.2858778697e-01
7.3314492346e-01   5.1780342617e-01   3.3067372583e-01
7.3292938110e-01   5.1718625106e-01   3.3068670255e-01
7.3075196967e-01   5.1102169044e-01   3.3080802406e-01
7.0689229799e-01   4.5040172691e-01   3.3119627448e-01
7.0663563865e-01   4.4980763075e-01   3.3119278734e-01
7.0405060645e-01   4.4388261576e-01   3.3115014013e-01
6.7648682321e-01   3.8647302306e-01   3.2997520675e-01
6.7619667688e-01   3.8591792640e-01   3.2995686917e-01
6.7328077156e-01   3.8038974919e-01   3.2976664457e-01
6.4281636268e-01   3.2756280467e-01   3.2721448191e-01
6.4250101460e-01   3.2705852391e-01   3.2718332194e-01
6.3933727470e-01   3.2204322687e-01   3.2686594729e-01
6.0681289998e-01   2.7474667567e-01   3.2315195112e-01
6.0648077680e-01   2.7430074880e-01   3.2311019321e-01
6.0315341285e-01   2.6987163389e-01   3.2268795672e-01
5.6939845818e-01   2.2863717586e-01   3.1803638591e-01
5.6905767522e-01   2.2825314340e-01   3.1798625953e-01
5.6564758328e-01   2.2444377276e-01   3.1748141556e-01
5.3143986036e-01   1.8943369309e-01   3.1210859614e-01
5.3109786415e-01   1.8911169377e-01   3.1205218928e-01
5.2767910368e-01   1.8592196150e-01   3.1148551848e-01
4.9371505356e-01   1.5699888803e-01   3.0558796918e-01
4.9337837446e-01   1.5673641724e-01   3.0552713290e-01
4.9001575013e-01   1.5414017766e-01   3.0491701217e-01
