X    Y
0.0000000000e+00   2.0000000000e-01
1.0000000000e-04   1.9995734190e-01
1.1000000000e-03   1.9953170473e-01
1.1100000000e-02   1.9537088889e-01
2.6740273705e-02   1.8922299621e-01
4.2380547410e-02   1.8353927570e-01
5.8020821114e-02   1.7835551421e-01
5.8120821114e-02   1.7832407082e-01
5.9120821114e-02   1.7801086368e-01
6.9120821114e-02   1.7500428553e-01
8.4761094819e-02   1.7078663002e-01
1.0040136852e-01   1.6722020813e-01
1.0050136852e-01   1.6719966924e-01
1.0150136852e-01   1.6699593243e-01
1.1150136852e-01   1.6512883192e-01
1.2714164223e-01   1.6287757509e-01
1.2724164223e-01   1.6286600511e-01
1.2824164223e-01   1.6275237637e-01
1.3824164223e-01   1.6183016265e-01
1.5388191593e-01   1.6123377553e-01
1.5398191593e-01   1.6123354883e-01
1.5498191593e-01   1.6123391698e-01
1.6498191593e-01   1.6151015206e-01
1.8062218964e-01   1.6301904832e-01
1.8072218964e-01   1.6303325240e-01
1.8172218964e-01   1.6317863312e-01
1.9172218964e-01   1.6497702744e-01
1.9182218964e-01   1.6499827334e-01
1.9282218964e-01   1.6521439241e-01
2.0282218964e-01   1.6775235699e-01
2.0292218964e-01   1.6778129474e-01
2.0392218964e-01   1.6807465424e-01
2.1392218964e-01   1.7141689871e-01
2.1402218964e-01   1.7145416761e-01
2.1502218964e-01   1.7183114608e-01
2.2502218964e-01   1.7603933236e-01
2.2512218964e-01   1.7608552275e-01
2.2612218964e-01   1.7655198717e-01
2.3612218964e-01   1.8168022799e-01
2.3622218964e-01   1.8173583039e-01
2.3722218964e-01   1.8229662044e-01
2.4722218964e-01   1.8838565837e-01
2.4732218964e-01   1.8845099910e-01
2.4832218964e-01   1.8910927755e-01
2.5832218964e-01   1.9617935481e-01
2.5842218964e-01   1.9625451926e-01
2.5942218964e-01   1.9701099839e-01
2.6942218964e-01   2.0505364005e-01
2.6952218964e-01   2.0513838681e-01
2.7052218964e-01   2.0599046729e-01
2.8052218964e-01   2.1495970186e-01
2.9616246334e-01   2.3046584713e-01
2.9626246334e-01   2.3057001896e-01
2.9726246334e-01   2.3161481753e-01
3.0726246334e-01   2.4233633531e-01
3.2290273705e-01   2.5975256152e-01
3.2300273705e-01   2.5986496027e-01
3.2400273705e-01   2.6098892612e-01
3.3400273705e-01   2.7217285300e-01
3.4964301075e-01   2.8897288394e-01
3.4974301075e-01   2.8907569045e-01
3.5074301075e-01   2.9009967601e-01
3.6074301075e-01   2.9987649802e-01
3.6084301075e-01   2.9996952140e-01
3.6184301075e-01   3.0089406749e-01
3.7184301075e-01   3.0952262042e-01
3.7194301075e-01   3.0960282209e-01
3.7294301075e-01   3.1039778471e-01
3.8294301075e-01   3.1760489394e-01
3.8304301075e-01   3.1766983715e-01
3.8404301075e-01   3.1831120570e-01
3.9404301075e-01   3.2389540184e-01
3.9414301075e-01   3.2394345014e-01
3.9514301075e-01   3.2441529335e-01
4.0514301075e-01   3.2826188195e-01
4.0524301075e-01   3.2829230585e-01
4.0624301075e-01   3.2858778697e-01
4.1624301075e-01   3.3067372583e-01
4.1634301075e-01   3.3068670255e-01
4.1734301075e-01   3.3080802406e-01
4.2734301075e-01   3.3119627448e-01
4.2744301075e-01   3.3119278734e-01
4.2844301075e-01   3.3115014013e-01
4.3844301075e-01   3.2997520675e-01
4.3854301075e-01   3.2995686917e-01
4.3954301075e-01   3.2976664457e-01
4.4954301075e-01   3.2721448191e-01
4.4964301075e-01   3.2718332194e-01
4.5064301075e-01   3.2686594729e-01
4.6064301075e-01   3.2315195112e-01
4.6074301075e-01   3.2311019321e-01
4.6174301075e-01   3.2268795672e-01
4.7174301075e-01   3.1803638591e-01
4.7184301075e-01   3.1798625953e-01
4.7284301075e-01   3.1748141556e-01
4.8284301075e-01   3.1210859614e-01
4.8294301075e-01   3.1205218928e-01
4.8394301075e-01   3.1148551848e-01
4.9394301075e-01   3.0558796918e-01
4.9404301075e-01   3.0552713290e-01
4.9504301075e-01   3.0491701217e-01
5.0504301075e-01   2.9866454885e-01
5.0514301075e-01   2.9860084928e-01
5.0614301075e-01   2.9796279350e-01
5.1614301075e-01   2.9149591846e-01
5.3178328446e-01   2.8121539399e-01
5.3188328446e-01   2.8114948944e-01
5.3288328446e-01   2.8049050472e-01
5.4288328446e-01   2.7391671851e-01
5.5852355816e-01   2.6376548328e-01
5.5862355816e-01   2.6370131034e-01
5.5962355816e-01   2.6306017119e-01
5.6962355816e-01   2.5671190235e-01
5.8526383187e-01   2.4704105856e-01
6.0090410557e-01   2.3771928189e-01
6.0100410557e-01   2.3766085429e-01
6.0200410557e-01   2.3707741017e-01
6.1200410557e-01   2.3132665441e-01
6.2764437928e-01   2.2264019952e-01
6.4328465298e-01   2.1433156441e-01
6.5892492669e-01   2.0640127529e-01
6.7456520039e-01   1.9885028715e-01
6.7466520039e-01   1.9880323361e-01
6.7566520039e-01   1.9833355797e-01
6.8566520039e-01   1.9372305840e-01
7.0130547410e-01   1.8682993086e-01
7.1694574780e-01   1.8033368254e-01
7.3258602151e-01   1.7424975689e-01
7.4822629521e-01   1.6860035070e-01
7.4832629521e-01   1.6856568844e-01
7.4932629521e-01   1.6822011162e-01
7.5932629521e-01   1.6487089510e-01
7.7496656891e-01   1.6004065631e-01
7.9060684262e-01   1.5575281256e-01
7.9070684262e-01   1.5572727169e-01
7.9170684262e-01   1.5547322790e-01
8.0170684262e-01   1.5307332520e-01
8.1734711632e-01   1.4987147095e-01
8.1744711632e-01   1.4985332938e-01
8.1844711632e-01   1.4967362490e-01
8.2844711632e-01   1.4805373621e-01
8.4408739003e-01   1.4622412539e-01
8.4418739003e-01   1.4621543166e-01
8.4518739003e-01   1.4613071362e-01
8.5518739003e-01   1.4551410189e-01
8.7082766373e-01   1.4547232399e-01
8.7092766373e-01   1.4547601433e-01
8.7192766373e-01   1.4551584759e-01
8.8192766373e-01   1.4621882121e-01
8.8202766373e-01   1.4622875796e-01
8.8302766373e-01   1.4633141448e-01
8.9302766373e-01   1.4769973669e-01
8.9312766373e-01   1.4771667846e-01
8.9412766373e-01   1.4788977937e-01
9.0412766373e-01   1.5000298511e-01
9.0422766373e-01   1.5002775582e-01
9.0522766373e-01   1.5027956872e-01
9.1522766373e-01   1.5322284973e-01
9.1532766373e-01   1.5325632082e-01
9.1632766373e-01   1.5359557703e-01
9.2632766373e-01   1.5745737303e-01
9.2642766373e-01   1.5750043354e-01
9.2742766373e-01   1.5793602173e-01
9.3742766373e-01   1.6280420258e-01
9.3752766373e-01   1.6285771354e-01
9.3852766373e-01   1.6339821456e-01
9.4852766373e-01   1.6935450393e-01
9.4862766373e-01   1.6941923358e-01
9.4962766373e-01   1.7007226303e-01
9.5962766373e-01   1.7718460629e-01
9.5972766373e-01   1.7726114383e-01
9.6072766373e-01   1.7803247830e-01
9.7072766373e-01   1.8634521102e-01
9.7082766373e-01   1.8643385845e-01
9.7182766373e-01   1.8732634353e-01
9.8182766373e-01   1.9684831436e-01
9.8192766373e-01   1.9694895984e-01
9.8292766373e-01   1.9796123623e-01
9.9292766373e-01   2.0865251126e-01
9.9302766373e-01   2.0876449288e-01
9.9402766373e-01   2.0988963354e-01
1.0040276637e+00   2.2164805524e-01
1.0196679374e+00   2.4159511522e-01
1.0197679374e+00   2.4172738469e-01
1.0207679374e+00   2.4305263807e-01
1.0307679374e+00   2.5650348909e-01
1.0464082111e+00   2.7770026982e-01
1.0465082111e+00   2.7783408874e-01
1.0475082111e+00   2.7916995500e-01
1.0575082111e+00   2.9221898180e-01
1.0576082111e+00   2.9234591635e-01
1.0586082111e+00   2.9361061437e-01
1.0686082111e+00   3.0571686804e-01
1.0687082111e+00   3.0583228193e-01
1.0697082111e+00   3.0697954482e-01
1.0797082111e+00   3.1769708113e-01
1.0798082111e+00   3.1779673378e-01
1.0808082111e+00   3.1878446431e-01
1.0908082111e+00   3.2772981584e-01
1.0909082111e+00   3.2781027490e-01
1.0919082111e+00   3.2860464654e-01
1.1019082111e+00   3.3549416611e-01
1.1020082111e+00   3.3555313618e-01
1.1030082111e+00   3.3613182042e-01
1.1130082111e+00   3.4080702053e-01
1.1131082111e+00   3.4084352552e-01
1.1141082111e+00   3.4119743134e-01
1.1241082111e+00   3.4363365164e-01
1.1242082111e+00   3.4364803979e-01
1.1252082111e+00   3.4378127524e-01
1.1352082111e+00   3.4407877368e-01
1.1353082111e+00   3.4407255480e-01
1.1363082111e+00   3.4400072582e-01
1.1463082111e+00   3.4236118365e-01
1.1464082111e+00   3.4233674356e-01
1.1474082111e+00   3.4208405389e-01
1.1574082111e+00   3.3877823187e-01
1.1575082111e+00   3.3873848863e-01
1.1585082111e+00   3.3833429049e-01
1.1685082111e+00   3.3366745571e-01
1.1686082111e+00   3.3361552194e-01
1.1696082111e+00   3.3309095779e-01
1.1796082111e+00   3.2737178647e-01
1.1797082111e+00   3.2731068696e-01
1.1807082111e+00   3.2669590076e-01
1.1907082111e+00   3.2021252798e-01
1.1908082111e+00   3.2014499834e-01
1.1918082111e+00   3.1946716583e-01
1.2018082111e+00   3.1247176053e-01
1.2019082111e+00   3.1240013141e-01
1.2029082111e+00   3.1168234205e-01
1.2129082111e+00   3.0438371275e-01
1.2130082111e+00   3.0430986808e-01
1.2140082111e+00   3.0357073959e-01
1.2240082111e+00   2.9613333841e-01
1.2241082111e+00   2.9605872850e-01
1.2251082111e+00   2.9531255970e-01
1.2351082111e+00   2.8785984129e-01
1.2507484848e+00   2.7634890102e-01
1.2508484848e+00   2.7627620939e-01
1.2518484848e+00   2.7555004296e-01
1.2618484848e+00   2.6836909403e-01
1.2774887586e+00   2.5746858224e-01
1.2775887586e+00   2.5740027932e-01
1.2785887586e+00   2.5671824937e-01
1.2885887586e+00   2.4999877130e-01
1.3042290323e+00   2.3985950929e-01
1.3198693060e+00   2.3016586892e-01
1.3199693060e+00   2.3010529210e-01
1.3209693060e+00   2.2950048890e-01
1.3309693060e+00   2.2354789079e-01
1.3466095797e+00   2.1457631815e-01
1.3622498534e+00   2.0600008381e-01
1.3778901271e+00   1.9780093205e-01
1.3935304008e+00   1.8996332786e-01
1.4091706745e+00   1.8247474593e-01
1.4092706745e+00   1.8242796669e-01
1.4102706745e+00   1.8196093668e-01
1.4202706745e+00   1.7736648326e-01
1.4359109482e+00   1.7045432101e-01
1.4515512219e+00   1.6387260413e-01
1.4671914956e+00   1.5762050505e-01
1.4828317693e+00   1.5170105230e-01
1.4984720430e+00   1.4612188015e-01
1.4985720430e+00   1.4608732830e-01
1.4995720430e+00   1.4574260437e-01
1.5095720430e+00   1.4237578198e-01
1.5252123167e+00   1.3741306813e-01
1.5408525904e+00   1.3284429128e-01
1.5564928641e+00   1.2870693036e-01
1.5565928641e+00   1.2868196699e-01
1.5575928641e+00   1.2843341884e-01
1.5675928641e+00   1.2605982107e-01
1.5832331378e+00   1.2278844392e-01
1.5833331378e+00   1.2276940029e-01
1.5843331378e+00   1.2258034516e-01
1.5943331378e+00   1.2083331732e-01
1.6099734115e+00   1.1867728509e-01
1.6100734115e+00   1.1866598779e-01
1.6110734115e+00   1.1855486776e-01
1.6210734115e+00   1.1763740345e-01
1.6367136852e+00   1.1699100952e-01
1.6368136852e+00   1.1699031749e-01
1.6378136852e+00   1.1698597524e-01
1.6478136852e+00   1.1721302844e-01
1.6479136852e+00   1.1721790341e-01
1.6489136852e+00   1.1726962704e-01
1.6589136852e+00   1.1809899889e-01
1.6590136852e+00   1.1811029900e-01
1.6600136852e+00   1.1822673335e-01
1.6700136852e+00   1.1975134375e-01
1.6701136852e+00   1.1977005853e-01
1.6711136852e+00   1.1996116520e-01
1.6811136852e+00   1.2228728119e-01
1.6812136852e+00   1.2231453411e-01
1.6822136852e+00   1.2259161346e-01
1.6922136852e+00   1.2583861834e-01
1.6923136852e+00   1.2587565971e-01
1.6933136852e+00   1.2625127325e-01
1.7033136852e+00   1.3055018739e-01
1.7034136852e+00   1.3059837216e-01
1.7044136852e+00   1.3108611178e-01
1.7144136852e+00   1.3657625626e-01
1.7145136852e+00   1.3663700008e-01
1.7155136852e+00   1.3725103587e-01
1.7255136852e+00   1.4407409646e-01
1.7256136852e+00   1.4414880211e-01
1.7266136852e+00   1.4490312938e-01
1.7366136852e+00   1.5319380129e-01
1.7367136852e+00   1.5328374712e-01
1.7377136852e+00   1.5419105054e-01
1.7477136852e+00   1.6406350046e-01
1.7478136852e+00   1.6416968426e-01
1.7488136852e+00   1.6523975303e-01
1.7588136852e+00   1.7676943643e-01
1.7589136852e+00   1.7689237239e-01
1.7599136852e+00   1.7813004745e-01
1.7699136852e+00   1.9133109686e-01
1.7700136852e+00   1.9147057230e-01
1.7710136852e+00   1.9287329772e-01
1.7810136852e+00   2.0767286342e-01
1.7811136852e+00   2.0782767593e-01
1.7821136852e+00   2.0938286928e-01
1.7921136852e+00   2.2559545281e-01
1.7922136852e+00   2.2576316687e-01
1.7932136852e+00   2.2744580907e-01
1.8032136852e+00   2.4475256180e-01
1.8033136852e+00   2.4492934316e-01
1.8043136852e+00   2.4670037883e-01
1.8143136852e+00   2.6463998131e-01
1.8144136852e+00   2.6482057996e-01
1.8154136852e+00   2.6662683977e-01
1.8254136852e+00   2.8460502391e-01
1.8255136852e+00   2.8478297242e-01
1.8265136852e+00   2.8655927642e-01
1.8365136852e+00   3.0388228188e-01
1.8366136852e+00   3.0405034565e-01
1.8376136852e+00   3.0572413093e-01
1.8476136852e+00   3.2165681780e-01
1.8477136852e+00   3.2180767591e-01
1.8487136852e+00   3.2330590036e-01
1.8587136852e+00   3.3714841755e-01
1.8588136852e+00   3.3727547939e-01
1.8598136852e+00   3.3853281746e-01
1.8599136852e+00   3.3865721427e-01
1.8609136852e+00   3.3988765843e-01
1.8610136852e+00   3.4000934184e-01
1.8620136852e+00   3.4121241799e-01
1.8621136852e+00   3.4133134155e-01
1.8631136852e+00   3.4250659518e-01
1.8632136852e+00   3.4262271444e-01
1.8642136852e+00   3.4376971112e-01
1.8643136852e+00   3.4388298366e-01
1.8653136852e+00   3.4500130955e-01
1.8654136852e+00   3.4511169504e-01
1.8664136852e+00   3.4620095735e-01
1.8665136852e+00   3.4630841757e-01
1.8675136852e+00   3.4736824500e-01
1.8676136852e+00   3.4747274392e-01
1.8686136852e+00   3.4850278702e-01
1.8687136852e+00   3.4860429078e-01
1.8697136852e+00   3.4960422232e-01
1.8698136852e+00   3.4970269933e-01
1.8708136852e+00   3.5067221462e-01
1.8709136852e+00   3.5076763554e-01
1.8719136852e+00   3.5170645271e-01
1.8720136852e+00   3.5179879052e-01
