X    Y
0.0000000000e+00   2.0000000000e-01
1.5640273705e-02   2.0130525966e-01
3.1280547410e-02   2.0516943927e-01
4.6920821114e-02   2.1154162150e-01
6.2561094819e-02   2.2040752627e-01
7.8201368524e-02   2.3178929814e-01
8.2562143084e-02   2.3541810096e-01
9.8202416789e-02   2.5010335234e-01
1.1384269049e-01   2.6747501931e-01
1.2948296420e-01   2.8764633953e-01
1.4512323790e-01   3.1073948279e-01
1.4985739318e-01   3.1832358023e-01
1.6549766688e-01   3.4539233887e-01
1.6769012616e-01   3.4943682672e-01
1.8333039987e-01   3.8008886254e-01
1.9897067357e-01   4.1387975718e-01
2.1231612634e-01   4.4510688784e-01
2.2795640005e-01   4.8426897149e-01
2.3774690493e-01   5.0999929961e-01
2.4941786710e-01   5.4162164290e-01
2.5420655937e-01   5.5481612134e-01
2.6984683307e-01   5.9830361760e-01
2.8043091732e-01   6.2756311674e-01
2.9607119102e-01   6.6932528747e-01
2.9792971480e-01   6.7409609077e-01
3.1356998850e-01   7.1180932670e-01
3.2921026221e-01   7.4360732684e-01
3.4485053591e-01   7.6728381052e-01
3.5966047180e-01   7.8042304874e-01
3.6821552637e-01   7.8337247014e-01
3.8385580008e-01   7.7939414960e-01
3.8954599014e-01   7.7489796814e-01
4.0518626384e-01   7.5438631461e-01
4.0802279208e-01   7.4944184527e-01
4.1071642168e-01   7.4441766847e-01
4.2635669538e-01   7.0940535028e-01
4.2810755494e-01   7.0492126247e-01
4.4374782865e-01   6.6074549577e-01
4.4743721865e-01   6.4941167399e-01
4.6307749235e-01   5.9869638416e-01
4.6942016736e-01   5.7730062405e-01
4.8506044106e-01   5.2386185346e-01
5.0070071477e-01   4.7115192435e-01
5.0579948104e-01   4.5442946644e-01
5.2143975475e-01   4.0527616921e-01
5.3421073329e-01   3.6809146228e-01
5.4571895237e-01   3.3721458097e-01
5.6135922608e-01   2.9954910781e-01
5.7699949978e-01   2.6696292694e-01
5.9263977349e-01   2.3938598015e-01
6.0828004719e-01   2.1659434171e-01
6.2392032090e-01   1.9827310227e-01
6.3956059460e-01   1.8406588316e-01
6.5520086831e-01   1.7361174495e-01
6.7084114201e-01   1.6657124540e-01
6.8648141572e-01   1.6264373791e-01
7.0212168942e-01   1.6157795210e-01
7.1776196313e-01   1.6317765034e-01
7.3340223683e-01   1.6730382712e-01
7.4904251054e-01   1.7387457048e-01
7.5972999870e-01   1.7975470719e-01
7.7537027240e-01   1.9040779873e-01
7.9101054611e-01   2.0355128643e-01
8.0665081981e-01   2.1929095095e-01
8.2229109352e-01   2.3777263692e-01
8.3793136722e-01   2.5917450828e-01
8.5357164093e-01   2.8369621942e-01
8.6921191463e-01   3.1154350145e-01
8.8253972972e-01   3.3804135385e-01
8.8873464378e-01   3.5125432154e-01
9.0437491749e-01   3.8719659632e-01
9.2001519119e-01   4.2684456278e-01
9.2082814105e-01   4.2900501966e-01
9.2895763961e-01   4.5113422659e-01
9.4459791331e-01   4.9623968171e-01
9.5036098051e-01   5.1361575291e-01
9.6600125421e-01   5.6239664772e-01
9.7253896928e-01   5.8329984136e-01
9.8817924298e-01   6.3372417406e-01
1.0038195167e+00   6.8324317280e-01
1.0088157342e+00   6.9851171486e-01
1.0244560080e+00   7.4326759396e-01
1.0400962817e+00   7.8121280392e-01
1.0552104825e+00   8.0868273904e-01
1.0569919308e+00   8.1120703153e-01
1.0726322045e+00   8.2600264268e-01
