X    Y    Z
2.0000000000e-01   2.0000000000e-01   2.0000000000e-01
2.0130525966e-01   2.1790469845e-01   1.9354015905e-01
2.0516943927e-01   2.3792873598e-01   1.8752380684e-01
2.1154162150e-01   2.6025142347e-01   1.8198115081e-01
2.2040752627e-01   2.8509433188e-01   1.7695053759e-01
2.3178929814e-01   3.1270733496e-01   1.7248046074e-01
2.3541810096e-01   3.2093568977e-01   1.7134196243e-01
2.5010335234e-01   3.5247341072e-01   1.6767937477e-01
2.6747501931e-01   3.8736701169e-01   1.6473807697e-01
2.8764633953e-01   4.2582696096e-01   1.6261660089e-01
3.1073948279e-01   4.6798763848e-01   1.6143407121e-01
3.1832358023e-01   4.8148465445e-01   1.6128205279e-01
3.4539233887e-01   5.2845412151e-01   1.6153830982e-01
3.4943682672e-01   5.3532126007e-01   1.6167382858e-01
3.8008886254e-01   5.8616394507e-01   1.6342526875e-01
4.1387975718e-01   6.3978111490e-01   1.6669224867e-01
4.4510688784e-01   6.8697953320e-01   1.7082895784e-01
4.8426897149e-01   7.4268139208e-01   1.7742922609e-01
5.0999929961e-01   7.7691722224e-01   1.8259434022e-01
5.4162164290e-01   8.1606406660e-01   1.8984070366e-01
5.5481612134e-01   8.3133318592e-01   1.9316236729e-01
5.9830361760e-01   8.7646806915e-01   2.0541408022e-01
6.2756311674e-01   9.0149433386e-01   2.1487426158e-01
6.6932528747e-01   9.2737429398e-01   2.3037080943e-01
6.7409609077e-01   9.2941275218e-01   2.3231501690e-01
7.1180932670e-01   9.3641192704e-01   2.4929916100e-01
7.4360732684e-01   9.2324167879e-01   2.6683253460e-01
7.6728381052e-01   8.8827518624e-01   2.8396536874e-01
7.8042304874e-01   8.3543878839e-01   2.9886301442e-01
7.8337247014e-01   7.9701002940e-01   3.0652879705e-01
7.7939414960e-01   7.1463465096e-01   3.1819227218e-01
7.7489796814e-01   6.8168461723e-01   3.2157355974e-01
7.5438631461e-01   5.8644301411e-01   3.2827503775e-01
7.4944184527e-01   5.6881205290e-01   3.2907431347e-01
7.4441766847e-01   5.5206011036e-01   3.2971520562e-01
7.0940535028e-01   4.5627614303e-01   3.3122297855e-01
7.0492126247e-01   4.4586664556e-01   3.3116595056e-01
6.6074549577e-01   3.5761576218e-01   3.2883371172e-01
6.4941167399e-01   3.3829652931e-01   3.2784572150e-01
5.9869638416e-01   2.6404702220e-01   3.2211144675e-01
5.7730062405e-01   2.3771623965e-01   3.1918179924e-01
5.2386185346e-01   1.8242295709e-01   3.1084677845e-01
4.7115192435e-01   1.4041062867e-01   3.0141011211e-01
4.5442946644e-01   1.2938965027e-01   2.9818216498e-01
4.0527616921e-01   1.0294146444e-01   2.8802643401e-01
3.6809146228e-01   8.8596103981e-02   2.7961595721e-01
3.3721458097e-01   8.0343536837e-02   2.7206162994e-01
2.9954910781e-01   7.4933137476e-02   2.6194995968e-01
2.6696292694e-01   7.4800388915e-02   2.5210963720e-01
2.3938598015e-01   7.8663003647e-02   2.4259984608e-01
2.1659434171e-01   8.5528449790e-02   2.3345043657e-01
1.9827310227e-01   9.4672524267e-02   2.2467429317e-01
1.8406588316e-01   1.0560432381e-01   2.1627561907e-01
1.7361174495e-01   1.1802752232e-01   2.0825521308e-01
1.6657124540e-01   1.3180363616e-01   2.0061373161e-01
1.6264373791e-01   1.4692002990e-01   1.9335372493e-01
1.6157795210e-01   1.6346360908e-01   1.8648102445e-01
1.6317765034e-01   1.8160004614e-01   1.8000586412e-01
1.6730382712e-01   2.0155782545e-01   1.7394400599e-01
1.7387457048e-01   2.2361600564e-01   1.6831803996e-01
1.7975470719e-01   2.4006019602e-01   1.6473989338e-01
1.9040779873e-01   2.6639310969e-01   1.5992298245e-01
2.0355128643e-01   2.9575164980e-01   1.5564992931e-01
