X    Y
0.0000000000e+00   2.0000000000e-01
1.5640273705e-02   1.9354015905e-01
3.1280547410e-02   1.8752380684e-01
4.6920821114e-02   1.8198115081e-01
6.2561094819e-02   1.7695053759e-01
7.8201368524e-02   1.7248046074e-01
8.2562143084e-02   1.7134196243e-01
9.8202416789e-02   1.6767937477e-01
1.1384269049e-01   1.6473807697e-01
1.2948296420e-01   1.6261660089e-01
1.4512323790e-01   1.6143407121e-01
1.4985739318e-01   1.6128205279e-01
1.6549766688e-01   1.6153830982e-01
1.6769012616e-01   1.6167382858e-01
1.8333039987e-01   1.6342526875e-01
1.9897067357e-01   1.6669224867e-01
2.1231612634e-01   1.7082895784e-01
2.2795640005e-01   1.7742922609e-01
2.3774690493e-01   1.8259434022e-01
2.4941786710e-01   1.8984070366e-01
2.5420655937e-01   1.9316236729e-01
2.6984683307e-01   2.0541408022e-01
2.8043091732e-01   2.1487426158e-01
2.9607119102e-01   2.3037080943e-01
2.9792971480e-01   2.3231501690e-01
3.1356998850e-01   2.4929916100e-01
3.2921026221e-01   2.6683253460e-01
3.4485053591e-01   2.8396536874e-01
3.5966047180e-01   2.9886301442e-01
3.6821552637e-01   3.0652879705e-01
3.8385580008e-01   3.1819227218e-01
3.8954599014e-01   3.2157355974e-01
4.0518626384e-01   3.2827503775e-01
4.0802279208e-01   3.2907431347e-01
4.1071642168e-01   3.2971520562e-01
4.2635669538e-01   3.3122297855e-01
4.2810755494e-01   3.3116595056e-01
4.4374782865e-01   3.2883371172e-01
4.4743721865e-01   3.2784572150e-01
4.6307749235e-01   3.2211144675e-01
4.6942016736e-01   3.1918179924e-01
4.8506044106e-01   3.1084677845e-01
5.0070071477e-01   3.0141011211e-01
5.0579948104e-01   2.9818216498e-01
5.2143975475e-01   2.8802643401e-01
5.3421073329e-01   2.7961595721e-01
5.4571895237e-01   2.7206162994e-01
5.6135922608e-01   2.6194995968e-01
5.7699949978e-01   2.5210963720e-01
5.9263977349e-01   2.4259984608e-01
6.0828004719e-01   2.3345043657e-01
6.2392032090e-01   2.2467429317e-01
6.3956059460e-01   2.1627561907e-01
6.5520086831e-01   2.0825521308e-01
6.7084114201e-01   2.0061373161e-01
6.8648141572e-01   1.9335372493e-01
7.0212168942e-01   1.8648102445e-01
7.1776196313e-01   1.8000586412e-01
7.3340223683e-01   1.7394400599e-01
7.4904251054e-01   1.6831803996e-01
7.5972999870e-01   1.6473989338e-01
7.7537027240e-01   1.5992298245e-01
7.9101054611e-01   1.5564992931e-01
8.0665081981e-01   1.5198545132e-01
8.2229109352e-01   1.4901235441e-01
8.3793136722e-01   1.4683525413e-01
8.5357164093e-01   1.4558454065e-01
8.6921191463e-01   1.4542016416e-01
8.8253972972e-01   1.4628074922e-01
8.8873464378e-01   1.4703462445e-01
9.0437491749e-01   1.5006457876e-01
9.2001519119e-01   1.5491925918e-01
9.2082814105e-01   1.5522659787e-01
9.2895763961e-01   1.5862037596e-01
9.4459791331e-01   1.6689295730e-01
9.5036098051e-01   1.7055809125e-01
9.6600125421e-01   1.8228046708e-01
9.7253896928e-01   1.8796817401e-01
9.8817924298e-01   2.0344928586e-01
1.0038195167e+00   2.2139483088e-01
1.0088157342e+00   2.2757730497e-01
1.0244560080e+00   2.4797711558e-01
1.0400962817e+00   2.6918734970e-01
1.0552104825e+00   2.8928065729e-01
1.0569919308e+00   2.9156270505e-01
1.0726322045e+00   3.1026011114e-01
1.0882724782e+00   3.2562848103e-01
1.0937539144e+00   3.3002173117e-01
1.1003403365e+00   3.3454360701e-01
1.1159806102e+00   3.4180564506e-01
1.1162302144e+00   3.4188138649e-01
1.1187262557e+00   3.4256997608e-01
1.1343665294e+00   3.4412389483e-01
1.1385889219e+00   3.4377193120e-01
1.1542291956e+00   3.3997533710e-01
1.1588810585e+00   3.3818012368e-01
