X    Y
0.0000000000e+00   0.0000000000e+00
1.5640273705e-02   8.4227927899e-09
3.1280547410e-02   1.3189446309e-08
4.6920821114e-02   1.5199293859e-08
6.2561094819e-02   1.5608395255e-08
7.8201368524e-02   1.5642183071e-08
9.3841642229e-02   1.6462498459e-08
1.0948191593e-01   2.6736560769e-08
1.2512218964e-01   3.2859004547e-08
1.4076246334e-01   4.1876386569e-08
1.5640273705e-01   5.2792539234e-08
1.7204301075e-01   6.2849038042e-08
1.8768328446e-01   6.6702212888e-08
2.0332355816e-01   6.6356261039e-08
2.1896383187e-01   7.4020015989e-08
2.3460410557e-01   1.0491428264e-07
2.5024437928e-01   1.3275731317e-07
2.6588465298e-01   1.3574714326e-07
2.8152492669e-01   3.6304344532e-04
2.9716520039e-01   4.4543646489e-04
3.1280547410e-01   5.1070857114e-04
3.2844574780e-01   5.4703880108e-04
3.4408602151e-01   5.4226634805e-04
3.5972629521e-01   4.8573574674e-04
3.7536656891e-01   3.6103278056e-04
3.9100684262e-01   5.4009744311e-04
4.0664711632e-01   4.9084394315e-04
4.2228739003e-01   1.3947896645e-04
4.3792766373e-01   2.4988705527e-03
4.5356793744e-01   4.1966231785e-03
4.6920821114e-01   3.6979167066e-03
4.8484848485e-01   8.4788743957e-03
5.0048875855e-01   1.0015352788e-02
5.1612903226e-01   1.0933811634e-02
5.3176930596e-01   1.0928321983e-02
5.4740957967e-01   9.8955028210e-03
5.6304985337e-01   8.1090932062e-03
5.7869012708e-01   6.1031748831e-03
5.9433040078e-01   4.3398163819e-03
6.0997067449e-01   3.0215798265e-03
6.2561094819e-01   2.4174582203e-03
6.4125122190e-01   2.3708497492e-03
6.5689149560e-01   2.2817874717e-03
6.7253176931e-01   2.1647469278e-03
6.8817204301e-01   2.0346375214e-03
7.0381231672e-01   1.9048377018e-03
7.1945259042e-01   1.7856515169e-03
7.3509286413e-01   1.6835420010e-03
7.5073313783e-01   1.6011749229e-03
7.6637341153e-01   1.5380364596e-03
7.8201368524e-01   1.4912919121e-03
7.9765395894e-01   1.4566055088e-03
8.1329423265e-01   1.4287662255e-03
8.2893450635e-01   9.5038474449e-04
8.4457478006e-01   9.2897942619e-04
8.6021505376e-01   8.9936577691e-04
