X    Y
0.0000000000e+00   2.0000000000e-01
1.5640273705e-02   2.1790469846e-01
3.1280547410e-02   2.3792873599e-01
4.6920821114e-02   2.6025142347e-01
6.2561094819e-02   2.8509433188e-01
7.8201368524e-02   3.1270733495e-01
9.3841642229e-02   3.4335300587e-01
1.0948191593e-01   3.7728748332e-01
1.2512218964e-01   4.1473552153e-01
1.4076246334e-01   4.5585701861e-01
1.5640273705e-01   5.0070210376e-01
1.7204301075e-01   5.4915182914e-01
1.8768328446e-01   6.0084233271e-01
2.0332355816e-01   6.5507238181e-01
2.1896383187e-01   7.1069845404e-01
2.3460410557e-01   7.6602872453e-01
2.5024437928e-01   8.1873820511e-01
2.6588465298e-01   8.6584086891e-01
2.8076996896e-01   9.0220571625e-01
2.9641024267e-01   9.2776406991e-01
3.1205051637e-01   9.3657608862e-01
3.2769079008e-01   9.2546517161e-01
3.4333106378e-01   8.9263369975e-01
3.5897133749e-01   8.3829602146e-01
3.7461161119e-01   7.6500861533e-01
3.8981107164e-01   6.8011964031e-01
4.0545134534e-01   5.8479630384e-01
4.2109161905e-01   4.8805118639e-01
4.2690805339e-01   4.5298864021e-01
4.4254832709e-01   3.6403274751e-01
4.5818860080e-01   2.8586267732e-01
4.7207608424e-01   2.2736083239e-01
4.7487911078e-01   2.1686202859e-01
4.9051938448e-01   1.6630111431e-01
5.0615965819e-01   1.2865848671e-01
5.2179993189e-01   1.0245387246e-01
5.3744020560e-01   8.5867534371e-02
5.5308047930e-01   7.7046868515e-02
5.6872075301e-01   7.4298842751e-02
5.8436102671e-01   7.6188432298e-02
6.0000130042e-01   8.1570969601e-02
6.1564157412e-01   8.9584003841e-02
6.3128184782e-01   9.9617908632e-02
6.4692212153e-01   1.1127816166e-01
6.6256239523e-01   1.2434706273e-01
6.7820266894e-01   1.3874899560e-01
6.9384294264e-01   1.5452111252e-01
7.0948321635e-01   1.7178966258e-01
7.2512349005e-01   1.9075161545e-01
7.4076376376e-01   2.1166060460e-01
7.5640403746e-01   2.3481600170e-01
7.7204431117e-01   2.6055372216e-01
7.8768458487e-01   2.8923715168e-01
8.0332485858e-01   3.2124630621e-01
8.1896513228e-01   3.5696294885e-01
8.2597637395e-01   3.7427535674e-01
8.4161664765e-01   4.1599239335e-01
8.5725692136e-01   4.6219993967e-01
8.7289719506e-01   5.1304489291e-01
8.8853746876e-01   5.6847176290e-01
9.0417774247e-01   6.2811991952e-01
9.1831751005e-01   6.8502607007e-01
9.3395778376e-01   7.5001992257e-01
9.4959805746e-01   8.1514968572e-01
9.6523833117e-01   8.7746628174e-01
9.8087860487e-01   9.3306602716e-01
9.8670084280e-01   9.5110610461e-01
1.0023411165e+00   9.8959483642e-01
1.0179813902e+00   1.0092953295e+00
1.0336216639e+00   1.0052929594e+00
1.0492619376e+00   9.7415365697e-01
1.0649022113e+00   9.1499861331e-01
1.0690601400e+00   8.9478474293e-01
1.0847004137e+00   8.0407231574e-01
1.1003406874e+00   6.9551766775e-01
1.1159809611e+00   5.7778993184e-01
1.1297472902e+00   4.7389079839e-01
1.1329375656e+00   4.5043274348e-01
1.1485778393e+00   3.4174639736e-01
1.1512006781e+00   3.2479767917e-01
1.1668409518e+00   2.3302095241e-01
1.1824812255e+00   1.5850657393e-01
1.1981214992e+00   1.0137973938e-01
1.2089037916e+00   7.1395269487e-02
1.2245440653e+00   3.9812548317e-02
1.2401843390e+00   1.9981223966e-02
1.2558246127e+00   9.3068884799e-03
1.2714648864e+00   5.4655059943e-03
1.2871051602e+00   6.5239734371e-03
1.3027454339e+00   1.0964547026e-02
1.3183857076e+00   1.7655170283e-02
1.3340259813e+00   2.5795167419e-02
1.3496662550e+00   3.4854404544e-02
1.3653065287e+00   4.4515753239e-02
1.3809468024e+00   5.4624843628e-02
1.3965870761e+00   6.5150990123e-02
1.4122273498e+00   7.6154882117e-02
1.4278676235e+00   8.7765844573e-02
1.4435078972e+00   1.0016573450e-01
1.4591481709e+00   1.1357850663e-01
1.4747884446e+00   1.2826425889e-01
1.4904287183e+00   1.4451689747e-01
1.5060689920e+00   1.6266363339e-01
1.5217092657e+00   1.8306684581e-01
1.5373495394e+00   2.0612619709e-01
1.5529898131e+00   2.3228056848e-01
1.5686300868e+00   2.6200845093e-01
1.5842703605e+00   2.9582509729e-01
1.5999106342e+00   3.3427401485e-01
1.6155509080e+00   3.7790947024e-01
1.6280304406e+00   4.1680776492e-01
1.6436707143e+00   4.7106986889e-01
1.6593109880e+00   5.3178273418e-01
1.6749512617e+00   5.9905264356e-01
1.6905915354e+00   6.7258279131e-01
1.6971787523e+00   7.0523159903e-01
1.7128190260e+00   7.8587687535e-01
1.7284592997e+00   8.6895107492e-01
1.7390396211e+00   9.2476069852e-01
1.7546798948e+00   1.0029976928e+00
1.7701308455e+00   1.0696611158e+00
1.7774355610e+00   1.0953765762e+00
1.7930758347e+00   1.1328269121e+00
1.8087161084e+00   1.1394023385e+00
1.8243563821e+00   1.1082985569e+00
1.8399966558e+00   1.0364015437e+00
1.8541243952e+00   9.3822202179e-01
1.8697646689e+00   8.0016795022e-01
1.8790805275e+00   7.0820974052e-01
1.8947208012e+00   5.4767519663e-01
1.9033168261e+00   4.6062733441e-01
1.9186954881e+00   3.1497766031e-01
1.9260966381e+00   2.5165449645e-01
1.9412043531e+00   1.3928292659e-01
1.9567429108e+00   4.8817527748e-02
1.9656252409e+00   8.2146840168e-03
1.9812655146e+00   -4.5677347944e-02
1.9969057884e+00   -8.0650941482e-02
2.0125460621e+00   -1.0107109634e-01
2.0281863358e+00   -1.1097825701e-01
2.0438266095e+00   -1.1377020140e-01
2.0594668832e+00   -1.1212289683e-01
2.0751071569e+00   -1.0804123033e-01
2.0907474306e+00   -1.0296565277e-01
2.1063877043e+00   -9.7891277452e-02
2.1220279780e+00   -9.3478564046e-02
2.1376682517e+00   -9.0146869720e-02
2.1533085254e+00   -8.8149624768e-02
2.1689487991e+00   -8.7632617636e-02
2.1845890728e+00   -8.8678041855e-02
2.2002293465e+00   -9.1337129341e-02
2.2158696202e+00   -9.5653966457e-02
2.2315098939e+00   -1.0168271861e-01
2.2471501676e+00   -1.0950009163e-01
2.2627904413e+00   -1.1921448145e-01
2.2784307150e+00   -1.3097290935e-01
2.2940709887e+00   -1.4496659415e-01
2.3097112624e+00   -1.6143559410e-01
2.3253515362e+00   -1.8067284654e-01
2.3409918099e+00   -2.0302751643e-01
2.3566320836e+00   -2.2890714656e-01
2.3722723573e+00   -2.5877808051e-01
2.3879126310e+00   -2.9316213448e-01
2.4035529047e+00   -3.3262752031e-01
2.4191931784e+00   -3.7777018045e-01
2.4338770989e+00   -4.2584640582e-01
2.4495173726e+00   -4.8362324531e-01
2.4651576463e+00   -5.4855552689e-01
2.4807979200e+00   -6.2075604622e-01
2.4964381937e+00   -6.9987031141e-01
2.4996204010e+00   -7.1673276752e-01
2.5152606747e+00   -8.0264213123e-01
2.5309009484e+00   -8.9163635223e-01
2.5384671668e+00   -9.3469783220e-01
2.5541074405e+00   -1.0205012214e+00
2.5697477142e+00   -1.0962111416e+00
2.5761372284e+00   -1.1223149796e+00
2.5917775021e+00   -1.1690223756e+00
2.6074177758e+00   -1.1835045137e+00
2.6219249284e+00   -1.1607378418e+00
2.6375652021e+00   -1.0926407581e+00
2.6532054758e+00   -9.8045355788e-01
2.6597714995e+00   -9.2192653010e-01
2.6752202997e+00   -7.6466801603e-01
2.6809087377e+00   -7.0217304111e-01
2.6951608017e+00   -5.4230023427e-01
2.7025684750e+00   -4.6053377820e-01
2.7167718212e+00   -3.1318669768e-01
2.7237831228e+00   -2.4704303859e-01
2.7376867679e+00   -1.3186267994e-01
2.7519681524e+00   -3.7289809663e-02
2.7608286644e+00   9.4813730476e-03
2.7651083952e+00   2.8997111805e-02
2.7807486689e+00   8.4945617195e-02
2.7963889426e+00   1.2049622221e-01
2.8120292163e+00   1.4066672957e-01
2.8258387334e+00   1.4933534828e-01
2.8414790071e+00   1.5223265796e-01
2.8571192808e+00   1.5063150925e-01
2.8727595545e+00   1.4675130970e-01
2.8883998282e+00   1.4217291619e-01
2.9040401019e+00   1.3798239870e-01
2.9196803756e+00   1.3490072304e-01
2.9353206493e+00   1.3339104122e-01
2.9509609230e+00   1.3374346307e-01
2.9666011967e+00   1.3613992205e-01
2.9822414704e+00   1.4070269043e-01
2.9978817441e+00   1.4753001136e-01
3.0135220178e+00   1.5672186112e-01
3.0291622915e+00   1.6839829843e-01
3.0448025653e+00   1.8271230059e-01
3.0604428390e+00   1.9985845518e-01
3.0760831127e+00   2.2007850880e-01
3.0917233864e+00   2.4366353044e-01
3.1073636601e+00   2.7095345298e-01
3.1230039338e+00   3.0233228044e-01
3.1386442075e+00   3.3821766778e-01
3.1542844812e+00   3.7904221960e-01
3.1640958132e+00   4.0736198467e-01
3.1797360869e+00   4.5709128383e-01
3.1953763606e+00   5.1268853247e-01
3.2110166343e+00   5.7423387318e-01
3.2266569080e+00   6.4147980447e-01
3.2383947039e+00   6.9526484981e-01
3.2540349776e+00   7.7026017615e-01
3.2696752513e+00   8.4700651737e-01
