X    Y
0.0000000000e+00   2.0000000000e-01
1.0000000000e-04   2.0010804068e-01
1.1000000000e-03   2.0119292767e-01
1.1100000000e-02   2.1249540412e-01
2.6740273705e-02   2.3188795763e-01
4.2380547410e-02   2.5352215152e-01
5.8020821114e-02   2.7760869500e-01
7.3661094819e-02   3.0439074788e-01
8.9301368524e-02   3.3412897162e-01
1.0494164223e-01   3.6708363800e-01
1.2058191593e-01   4.0349162408e-01
1.3622218964e-01   4.4353571870e-01
1.5186246334e-01   4.8730333687e-01
1.6750273705e-01   5.3473165932e-01
1.8314301075e-01   5.8553671291e-01
1.9878328446e-01   6.3912552359e-01
2.1442355816e-01   6.9449401263e-01
2.1452355816e-01   6.9485078978e-01
2.1552355816e-01   6.9841915148e-01
2.2552355816e-01   7.3405898865e-01
2.4116383187e-01   7.8861167273e-01
2.5680410557e-01   8.3937021143e-01
2.7244437928e-01   8.8308660660e-01
2.8808465298e-01   9.1600694329e-01
3.0372492669e-01   9.3418760177e-01
3.1936520039e-01   9.3401029956e-01
3.3500547410e-01   9.1285439935e-01
3.5064574780e-01   8.6979678186e-01
3.6628602151e-01   8.0613263373e-01
3.8192629521e-01   7.2550326235e-01
3.9756656891e-01   6.3352009069e-01
4.1320684262e-01   5.3694945951e-01
4.2884711632e-01   4.4263828929e-01
4.4448739003e-01   3.5630413810e-01
4.6012766373e-01   2.8122116107e-01
4.7576793744e-01   2.1715369015e-01
4.9140821114e-01   1.6084106266e-01
5.0704848485e-01   1.2182544895e-01
5.0714848485e-01   1.2161584959e-01
5.0814848485e-01   1.1954633035e-01
5.1814848485e-01   1.0139901430e-01
5.3378875855e-01   8.1401042111e-02
5.4942903226e-01   6.9915384030e-02
5.6506930596e-01   6.5112705250e-02
5.8070957967e-01   6.5411687514e-02
5.9634985337e-01   6.9529393129e-02
6.1199012708e-01   7.6481921943e-02
6.2763040078e-01   8.5557800249e-02
6.4327067449e-01   9.6279502545e-02
6.5891094819e-01   1.0836251686e-01
6.7455122190e-01   1.2167704281e-01
6.9019149560e-01   1.3621470890e-01
7.0583176931e-01   1.5206131164e-01
7.2147204301e-01   1.6937608669e-01
7.3711231672e-01   1.8837790654e-01
7.5275259042e-01   2.0933853084e-01
7.6839286413e-01   2.3258220950e-01
7.8403313783e-01   2.5848939389e-01
7.9967341153e-01   2.8750019368e-01
8.1531368524e-01   3.2011095016e-01
