X    Y
0.0000000000e+00   2.0000000000e-01
1.0000000000e-04   1.9995734190e-01
1.1000000000e-03   1.9953170473e-01
1.1100000000e-02   1.9537088889e-01
2.6740273705e-02   1.8922299621e-01
4.2380547410e-02   1.8353927570e-01
5.8020821114e-02   1.7835551421e-01
7.3661094819e-02   1.7371703927e-01
8.9301368524e-02   1.6968089383e-01
1.0494164223e-01   1.6631824611e-01
1.2058191593e-01   1.6371696587e-01
1.3622218964e-01   1.6198418717e-01
1.5186246334e-01   1.6124850856e-01
1.6750273705e-01   1.6166123204e-01
1.8314301075e-01   1.6339569348e-01
1.9878328446e-01   1.6664328809e-01
2.1442355816e-01   1.7160428526e-01
2.1452355816e-01   1.7164194491e-01
2.1552355816e-01   1.7202284408e-01
2.2552355816e-01   1.7627149446e-01
2.4116383187e-01   1.8459159139e-01
2.4126383187e-01   1.8465158906e-01
2.4226383187e-01   1.8525639435e-01
2.4236383187e-01   1.8531735814e-01
2.4336383187e-01   1.8593183522e-01
2.5900410557e-01   1.9669339372e-01
2.7464437928e-01   2.0959012467e-01
2.7474437928e-01   2.0967918119e-01
2.7574437928e-01   2.1057417853e-01
2.9138465298e-01   2.2555721766e-01
2.9148465298e-01   2.2565851600e-01
2.9248465298e-01   2.2667496938e-01
3.0812492669e-01   2.4328073215e-01
3.0822492669e-01   2.4339042872e-01
3.0922492669e-01   2.4448927030e-01
3.1922492669e-01   2.5562107126e-01
3.3486520039e-01   2.7312751177e-01
3.3496520039e-01   2.7323807364e-01
3.3596520039e-01   2.7434189590e-01
3.5160547410e-01   2.9097658590e-01
3.6724574780e-01   3.0570115763e-01
3.6734574780e-01   3.0578700540e-01
3.6834574780e-01   3.0663895756e-01
3.8398602151e-01   3.1827503761e-01
3.9962629521e-01   3.2633656534e-01
4.1526656891e-01   3.3053901046e-01
4.1536656891e-01   3.3055349349e-01
4.1636656891e-01   3.3068983486e-01
4.2636656891e-01   3.3122296876e-01
4.4200684262e-01   3.2924581870e-01
4.4210684262e-01   3.2922312974e-01
4.4310684262e-01   3.2898972530e-01
4.5310684262e-01   3.2604026276e-01
4.5320684262e-01   3.2600545410e-01
4.5420684262e-01   3.2565195098e-01
4.6420684262e-01   3.2161258380e-01
4.7984711632e-01   3.1377575247e-01
4.7994711632e-01   3.1372084723e-01
4.8094711632e-01   3.1316894087e-01
4.8104711632e-01   3.1311346825e-01
4.8204711632e-01   3.1255598164e-01
4.9768739003e-01   3.0328913481e-01
5.1332766373e-01   2.9333004769e-01
5.1342766373e-01   2.9326505545e-01
5.1442766373e-01   2.9261449994e-01
5.3006793744e-01   2.8234612265e-01
5.3016793744e-01   2.8228021023e-01
5.3116793744e-01   2.8162109577e-01
5.4680821114e-01   2.7135063591e-01
5.4690821114e-01   2.7128539284e-01
5.4790821114e-01   2.7063337524e-01
5.5790821114e-01   2.6416072741e-01
5.7354848485e-01   2.5425410329e-01
5.8918875855e-01   2.4466799730e-01
5.8928875855e-01   2.4460782555e-01
5.9028875855e-01   2.4400691237e-01
6.0028875855e-01   2.3807924503e-01
6.1592903226e-01   2.2911145314e-01
6.3156930596e-01   2.2051968132e-01
6.4720957967e-01   2.1230595573e-01
6.6284985337e-01   2.0447068974e-01
6.7849012708e-01   1.9701526321e-01
6.9413040078e-01   1.8994368124e-01
7.0977067449e-01   1.8326379193e-01
7.2541094819e-01   1.7698838453e-01
7.4105122190e-01   1.7113638153e-01
7.5669149560e-01   1.6573427034e-01
7.7233176931e-01   1.6081787992e-01
7.8797204301e-01   1.5643458233e-01
8.0361231672e-01   1.5264597608e-01
8.1925259042e-01   1.4953107274e-01
8.3489286413e-01   1.4718994281e-01
8.5053313783e-01   1.4574765763e-01
8.6617341153e-01   1.4535815799e-01
8.6627341153e-01   1.4535943704e-01
8.6727341153e-01   1.4537501793e-01
8.7727341153e-01   1.4582099582e-01
8.9291368524e-01   1.4768024966e-01
9.0855395894e-01   1.5117132559e-01
9.2419423265e-01   1.5655972398e-01
9.2429423265e-01   1.5660087249e-01
9.2529423265e-01   1.5701725767e-01
9.3529423265e-01   1.6168533824e-01
9.5093450635e-01   1.7094092285e-01
9.5103450635e-01   1.7100817042e-01
9.5203450635e-01   1.7168643972e-01
9.6203450635e-01   1.7905628139e-01
9.6213450635e-01   1.7913543084e-01
9.6313450635e-01   1.7993291260e-01
9.7313450635e-01   1.8850851964e-01
9.8877478006e-01   2.0408845790e-01
9.8887478006e-01   2.0419631593e-01
9.8987478006e-01   2.0528044691e-01
9.8997478006e-01   2.0538941311e-01
9.9097478006e-01   2.0648457077e-01
1.0066150538e+00   2.2482913448e-01
1.0067150538e+00   2.2495316541e-01
1.0077150538e+00   2.2619767698e-01
1.0078150538e+00   2.2632254416e-01
1.0088150538e+00   2.2757530155e-01
1.0244553275e+00   2.4797503129e-01
1.0245553275e+00   2.4810925774e-01
1.0255553275e+00   2.4945334023e-01
1.0411956012e+00   2.7067649684e-01
1.0568358749e+00   2.9136274721e-01
1.0569358749e+00   2.9149023308e-01
1.0570358749e+00   2.9161763814e-01
1.0726761486e+00   3.1030766942e-01
1.0883164223e+00   3.2566531354e-01
1.0884164223e+00   3.2575032668e-01
1.0894164223e+00   3.2659050760e-01
1.1050566960e+00   3.3725430079e-01
1.1206969697e+00   3.4302584205e-01
1.1207969697e+00   3.4304691667e-01
1.1217969697e+00   3.4324680303e-01
1.1317969697e+00   3.4418433131e-01
1.1474372434e+00   3.4207672582e-01
1.1630775171e+00   3.3633732447e-01
1.1631775171e+00   3.3629096638e-01
1.1641775171e+00   3.3582141234e-01
1.1741775171e+00   3.3057940748e-01
1.1742775171e+00   3.3052242929e-01
1.1752775171e+00   3.2994817282e-01
1.1852775171e+00   3.2380471930e-01
1.1853775171e+00   3.2374001778e-01
1.1863775171e+00   3.2308987814e-01
1.2020177908e+00   3.1232205726e-01
1.2021177908e+00   3.1225037035e-01
1.2031177908e+00   3.1153202048e-01
1.2032177908e+00   3.1146004072e-01
1.2042177908e+00   3.1073885253e-01
1.2198580645e+00   2.9922773421e-01
1.2354983382e+00   2.8757041260e-01
1.2355983382e+00   2.8749612719e-01
1.2365983382e+00   2.8675365277e-01
1.2522386119e+00   2.7526754185e-01
1.2523386119e+00   2.7519505510e-01
1.2533386119e+00   2.7447096267e-01
1.2689788856e+00   2.6334717676e-01
1.2690788856e+00   2.6327735817e-01
1.2700788856e+00   2.6258013084e-01
1.2800788856e+00   2.5570570630e-01
1.2957191593e+00   2.4532067872e-01
1.3113594330e+00   2.3538608323e-01
1.3269997067e+00   2.2589054337e-01
1.3426399804e+00   2.1681546254e-01
1.3582802542e+00   2.0814069440e-01
1.3739205279e+00   1.9984740758e-01
1.3895608016e+00   1.9191933116e-01
1.4052010753e+00   1.8434316811e-01
1.4208413490e+00   1.7710866175e-01
1.4364816227e+00   1.7020859597e-01
1.4521218964e+00   1.6363888346e-01
1.4677621701e+00   1.5739882716e-01
1.4834024438e+00   1.5149160835e-01
1.4990427175e+00   1.4592504706e-01
1.5146829912e+00   1.4071268747e-01
1.5303232649e+00   1.3587527653e-01
1.5459635386e+00   1.3144272524e-01
1.5616038123e+00   1.2745666407e-01
1.5772440860e+00   1.2397372439e-01
1.5928843597e+00   1.2106968674e-01
1.6085246334e+00   1.1884462157e-01
1.6241649071e+00   1.1742908261e-01
1.6242649071e+00   1.1742297583e-01
1.6252649071e+00   1.1736410869e-01
1.6352649071e+00   1.1700604093e-01
1.6509051808e+00   1.1738866916e-01
1.6665454545e+00   1.1914555612e-01
1.6666454545e+00   1.1916183894e-01
1.6676454545e+00   1.1932845464e-01
1.6776454545e+00   1.2139182877e-01
1.6932857283e+00   1.2623998677e-01
1.7089260020e+00   1.3342201726e-01
1.7245662757e+00   1.4337178007e-01
1.7246662757e+00   1.4344523998e-01
1.7256662757e+00   1.4418705507e-01
1.7356662757e+00   1.5234745228e-01
1.7513065494e+00   1.6797112942e-01
1.7514065494e+00   1.6808270753e-01
1.7524065494e+00   1.6920678568e-01
1.7624065494e+00   1.8127941373e-01
1.7625065494e+00   1.8140776735e-01
1.7635065494e+00   1.8269956090e-01
1.7735065494e+00   1.9643078378e-01
1.7891468231e+00   2.2066494078e-01
1.7892468231e+00   2.2082952125e-01
1.7902468231e+00   2.2248131563e-01
1.8002468231e+00   2.3953481146e-01
1.8158870968e+00   2.6747989931e-01
1.8315273705e+00   2.9535760386e-01
1.8316273705e+00   2.9553102808e-01
1.8317273705e+00   2.9570435959e-01
1.8473676442e+00   3.2128320532e-01
1.8474676442e+00   3.2143452302e-01
1.8475676442e+00   3.2158565537e-01
1.8632079179e+00   3.4261484276e-01
1.8633079179e+00   3.4273072308e-01
1.8643079179e+00   3.4387531260e-01
1.8743079179e+00   3.5383871465e-01
1.8899481916e+00   3.6368631912e-01
1.8900481916e+00   3.6372630704e-01
1.8910481916e+00   3.6411027479e-01
1.9010481916e+00   3.6639017754e-01
1.9166884653e+00   3.6470101270e-01
1.9167884653e+00   3.6467171532e-01
1.9177884653e+00   3.6436695504e-01
1.9277884653e+00   3.6022314623e-01
1.9434287390e+00   3.5048361983e-01
1.9590690127e+00   3.3810983063e-01
1.9591690127e+00   3.3802520110e-01
1.9601690127e+00   3.3717602421e-01
1.9701690127e+00   3.2845232725e-01
1.9702690127e+00   3.2836344462e-01
1.9712690127e+00   3.2747331515e-01
1.9812690127e+00   3.1848413646e-01
1.9813690127e+00   3.1839379687e-01
1.9823690127e+00   3.1749026958e-01
1.9824690127e+00   3.1739990723e-01
1.9834690127e+00   3.1649624784e-01
1.9991092864e+00   3.0245209509e-01
1.9992092864e+00   3.0236334588e-01
2.0002092864e+00   3.0147687870e-01
2.0158495601e+00   2.8790265551e-01
2.0159495601e+00   2.8781785348e-01
2.0169495601e+00   2.8697134676e-01
2.0325898338e+00   2.7410591954e-01
2.0482301075e+00   2.6196798004e-01
2.0483301075e+00   2.6189270700e-01
2.0493301075e+00   2.6114158271e-01
2.0593301075e+00   2.5378852130e-01
2.0749703812e+00   2.4283969692e-01
2.0906106549e+00   2.3251070244e-01
2.1062509286e+00   2.2274104817e-01
2.1063509286e+00   2.2268026158e-01
2.1073509286e+00   2.2207352640e-01
2.1173509286e+00   2.1611666683e-01
2.1329912023e+00   2.0718196869e-01
2.1486314761e+00   1.9867904595e-01
2.1642717498e+00   1.9057606745e-01
2.1799120235e+00   1.8284781537e-01
2.1955522972e+00   1.7547446140e-01
2.2111925709e+00   1.6844059325e-01
2.2268328446e+00   1.6173455501e-01
2.2424731183e+00   1.5534810309e-01
2.2581133920e+00   1.4927636012e-01
2.2737536657e+00   1.4351805346e-01
2.2893939394e+00   1.3807604162e-01
2.3050342131e+00   1.3295815376e-01
2.3206744868e+00   1.2817839323e-01
2.3363147605e+00   1.2375858383e-01
2.3519550342e+00   1.1973056739e-01
2.3675953079e+00   1.1613909183e-01
2.3832355816e+00   1.1304555604e-01
2.3988758553e+00   1.1053279470e-01
2.4145161290e+00   1.0871107378e-01
2.4301564027e+00   1.0772539677e-01
2.4302564027e+00   1.0772216344e-01
2.4312564027e+00   1.0769213566e-01
2.4412564027e+00   1.0763425651e-01
2.4568966764e+00   1.0854251927e-01
2.4569966764e+00   1.0855272878e-01
2.4579966764e+00   1.0865814115e-01
2.4679966764e+00   1.1006147796e-01
2.4836369501e+00   1.1369611859e-01
2.4992772239e+00   1.1944300709e-01
2.4993772239e+00   1.1948750923e-01
2.5003772239e+00   1.1993833471e-01
2.5103772239e+00   1.2505333793e-01
2.5260174976e+00   1.3549979518e-01
2.5416577713e+00   1.4936482924e-01
2.5417577713e+00   1.4946545055e-01
2.5427577713e+00   1.5048034295e-01
2.5527577713e+00   1.6151352471e-01
2.5528577713e+00   1.6163210389e-01
2.5538577713e+00   1.6282698925e-01
2.5638577713e+00   1.7569045598e-01
2.5639577713e+00   1.7582750358e-01
2.5649577713e+00   1.7720711644e-01
2.5749577713e+00   1.9190598018e-01
2.5750577713e+00   1.9206111150e-01
2.5751577713e+00   1.9221640052e-01
2.5907980450e+00   2.1833476624e-01
2.6064383187e+00   2.4742400023e-01
2.6065383187e+00   2.4761661431e-01
2.6075383187e+00   2.4954598463e-01
2.6076383187e+00   2.4973923347e-01
2.6086383187e+00   2.5167464224e-01
2.6242785924e+00   2.8222882496e-01
2.6243785924e+00   2.8242325748e-01
2.6244785924e+00   2.8261764467e-01
2.6401188661e+00   3.1202098900e-01
2.6402188661e+00   3.1219974380e-01
2.6403188661e+00   3.1237834492e-01
2.6559591398e+00   3.3799635544e-01
2.6560591398e+00   3.3814277510e-01
2.6570591398e+00   3.3959307086e-01
2.6670591398e+00   3.5260851317e-01
2.6826994135e+00   3.6690519596e-01
2.6827994135e+00   3.6697129617e-01
2.6837994135e+00   3.6761434277e-01
2.6937994135e+00   3.7225945023e-01
2.7094396872e+00   3.7332413422e-01
2.7095396872e+00   3.7330850490e-01
2.7105396872e+00   3.7313767228e-01
2.7205396872e+00   3.7006387354e-01
2.7352449251e+00   3.6175903284e-01
2.7508851988e+00   3.4949267067e-01
2.7509851988e+00   3.4940642442e-01
2.7519851988e+00   3.4853974416e-01
2.7619851988e+00   3.3952459732e-01
2.7620851988e+00   3.3943188356e-01
2.7630851988e+00   3.3850260297e-01
2.7730851988e+00   3.2905231194e-01
2.7731851988e+00   3.2895684644e-01
2.7741851988e+00   3.2800162545e-01
2.7841851988e+00   3.1843369636e-01
2.7842851988e+00   3.1833821406e-01
2.7852851988e+00   3.1738393898e-01
2.7853851988e+00   3.1728856950e-01
2.7863851988e+00   3.1633551038e-01
2.8020254725e+00   3.0166723448e-01
2.8021254725e+00   3.0157532603e-01
2.8031254725e+00   3.0065779874e-01
2.8187657462e+00   2.8671212557e-01
2.8188657462e+00   2.8662557142e-01
2.8198657462e+00   2.8576193228e-01
2.8355060199e+00   2.7271052705e-01
2.8511462936e+00   2.6050864692e-01
2.8512462936e+00   2.6043327116e-01
2.8522462936e+00   2.5968130629e-01
2.8622462936e+00   2.5233696911e-01
2.8778865673e+00   2.4145279654e-01
2.8935268410e+00   2.3123439092e-01
2.8936268410e+00   2.3117103758e-01
2.8946268410e+00   2.3053883218e-01
2.9046268410e+00   2.2434613042e-01
2.9202671147e+00   2.1510449253e-01
2.9359073884e+00   2.0635959167e-01
2.9515476621e+00   1.9807112580e-01
2.9671879359e+00   1.9020904902e-01
2.9828282096e+00   1.8275197041e-01
2.9984684833e+00   1.7568587648e-01
3.0141087570e+00   1.6900332940e-01
3.0297490307e+00   1.6270317507e-01
3.0453893044e+00   1.5679076027e-01
3.0610295781e+00   1.5127865230e-01
