X    Y    Z
2.0000000000e-01   2.0000000000e-01   2.0000000000e-01
2.0130399168e-01   2.1789544678e-01   1.9354320872e-01
2.0132063538e-01   2.1801657262e-01   1.9350330311e-01
2.0149281543e-01   2.1923259446e-01   1.9310524450e-01
2.0378562196e-01   2.3187795220e-01   1.8922588879e-01
2.0942826628e-01   2.5349985471e-01   1.8354459138e-01
2.1756254386e-01   2.7757148507e-01   1.7836272462e-01
2.2820011014e-01   3.0433561779e-01   1.7372553646e-01
2.4138755992e-01   3.3405251893e-01   1.6968996402e-01
2.4148027860e-01   3.3425268532e-01   1.6966623006e-01
2.4241337970e-01   3.3626159858e-01   1.6943040581e-01
2.5234097953e-01   3.5708896346e-01   1.6722806246e-01
2.7008299802e-01   3.9244588004e-01   1.6439490786e-01
2.9063850848e-01   4.3138961281e-01   1.6239588556e-01
2.9077931967e-01   4.3165059397e-01   1.6238603376e-01
2.9219404703e-01   4.3426877692e-01   1.6228967100e-01
3.0700926140e-01   4.6128994667e-01   1.6154887708e-01
3.3265460182e-01   5.0657588869e-01   1.6127109385e-01
3.6141054083e-01   5.5543259860e-01   1.6221000521e-01
3.6160462751e-01   5.5575592671e-01   1.6222030825e-01
3.6355260281e-01   5.5899637707e-01   1.6232649300e-01
3.8374257815e-01   5.9208475106e-01   1.6371410443e-01
4.1786486111e-01   6.4593328363e-01   1.6716239241e-01
4.1809299101e-01   6.4628435197e-01   1.6718982808e-01
4.2038104085e-01   6.4979870484e-01   1.6746810649e-01
4.4392358679e-01   6.8523418444e-01   1.7065362098e-01
4.8298472191e-01   7.4092116313e-01   1.7718854041e-01
4.8324270636e-01   7.4127514203e-01   1.7723675962e-01
4.8582780062e-01   7.4481160083e-01   1.7772356407e-01
5.1216937755e-01   7.7971114169e-01   1.8305983239e-01
5.5477475290e-01   8.3128638197e-01   1.9315167151e-01
5.5505128270e-01   8.3159921019e-01   1.9322318912e-01
5.5781851931e-01   8.3471287636e-01   1.9394323271e-01
5.8562014830e-01   8.6419810149e-01   2.0162713390e-01
6.2891368410e-01   9.0252726928e-01   2.1533675794e-01
6.2918726484e-01   9.0273508522e-01   2.1543073577e-01
6.3191936561e-01   9.0478391481e-01   2.1637465650e-01
6.5877182634e-01   9.2212722200e-01   2.2620642919e-01
6.9812598077e-01   9.3599522119e-01   2.4276797474e-01
7.3240803236e-01   9.3074298495e-01   2.6018728495e-01
7.3260621784e-01   9.3064212938e-01   2.6029968376e-01
7.3457151342e-01   9.2958503412e-01   2.6142359544e-01
7.5245169975e-01   9.1410196214e-01   2.7260132490e-01
7.7297613591e-01   8.7192556738e-01   2.8936226850e-01
7.8286206266e-01   8.0906670193e-01   3.0431974818e-01
7.8288802322e-01   8.0860445882e-01   3.0440744249e-01
7.8312073602e-01   8.0394333196e-01   3.0527805596e-01
7.8272302364e-01   7.5373177720e-01   3.1330751465e-01
7.7204963176e-01   6.6479939472e-01   3.2307715406e-01
7.7194213588e-01   6.6420064824e-01   3.2312779108e-01
7.7084019818e-01   6.5819767649e-01   3.2362557841e-01
7.5717381077e-01   5.9698190497e-01   3.2773500618e-01
7.2678513357e-01   5.0010280723e-01   3.3098587698e-01
7.2655825817e-01   4.9948987939e-01   3.3099446303e-01
7.2426837875e-01   4.9337022254e-01   3.3107202076e-01
6.9937555206e-01   4.3342808074e-01   3.3103973543e-01
6.5431548554e-01   3.4651531109e-01   3.2828886012e-01
6.5400757816e-01   3.4599309115e-01   3.2826172169e-01
6.5091684950e-01   3.4079707004e-01   3.2798419575e-01
6.1898385190e-01   2.9158307367e-01   3.2463163152e-01
5.6652668900e-01   2.2542038210e-01   3.1761208160e-01
5.6618556356e-01   2.2504109039e-01   3.1756140801e-01
5.6277232538e-01   2.2127912208e-01   3.1705117028e-01
5.2855988339e-01   1.8673904544e-01   3.1163195434e-01
4.7573496463e-01   1.4361783479e-01   3.0227522589e-01
4.7540289594e-01   1.4338270877e-01   3.0221282595e-01
4.7208761769e-01   1.4105876847e-01   3.0158742497e-01
4.3955237208e-01   1.2046357349e-01   2.9521541499e-01
3.9151627598e-01   9.7072940398e-02   2.8499324580e-01
3.4774503099e-01   8.2781398301e-02   2.7470329155e-01
3.4748016671e-01   8.2715266317e-02   2.7463771658e-01
3.4484247286e-01   8.2070186774e-02   2.7398227759e-01
3.1957709396e-01   7.7152392595e-02   2.6746632817e-01
2.8421772516e-01   7.4303357575e-02   2.5747218737e-01
2.5392470045e-01   7.6112588565e-02   2.4778041974e-01
2.2855016554e-01   8.1431351258e-02   2.3843508415e-01
2.2840314190e-01   8.1474662913e-02   2.3837647197e-01
2.2694335789e-01   8.1913638041e-02   2.3779117994e-01
2.1337324026e-01   8.6852905970e-02   2.3202178254e-01
1.9574190691e-01   9.6305237418e-02   2.2331002154e-01
