X    Y
0.0000000000e+00   0.0000000000e+00
7.8431372549e-02   1.3714979970e-04
1.5686274510e-01   1.3786395657e-04
2.3529411765e-01   1.3842934443e-04
3.1372549020e-01   1.3883068545e-04
3.9215686275e-01   2.3320578625e-04
4.7058823529e-01   2.3322798284e-04
5.4901960784e-01   2.3289032809e-04
6.2745098039e-01   2.8054901496e-04
7.0588235294e-01   2.7912237128e-04
7.8431372549e-01   2.7959170745e-04
8.6274509804e-01   2.7694164007e-04
9.4117647059e-01   2.3116870073e-04
1.0196078431e+00   2.2772884902e-04
1.0980392157e+00   1.3879740545e-04
1.1764705882e+00   1.3578756785e-04
1.2549019608e+00   9.5568487688e-06
1.3333333333e+00   3.7175872027e-08
1.4117647059e+00   1.1047227562e-04
1.4901960784e+00   1.8418139156e-04
1.5686274510e+00   2.1465856898e-04
1.6470588235e+00   2.0607781570e-04
1.7254901961e+00   1.6411672508e-04
1.8039215686e+00   9.6199373145e-05
1.8823529412e+00   1.1763964822e-05
1.9607843137e+00   3.2965987849e-07
2.0392156863e+00   5.5957933606e-05
2.1176470588e+00   8.3190552472e-05
2.1960784314e+00   7.8528630070e-05
2.2745098039e+00   5.2578557930e-05
2.3529411765e+00   1.8607459290e-05
2.4313725490e+00   7.1880193178e-06
2.5098039216e+00   5.4882408845e-06
2.5882352941e+00   4.8193135657e-07
2.6666666667e+00   4.1100858256e-05
2.7450980392e+00   1.1112946823e-04
2.8235294118e+00   1.8501293731e-04
2.9019607843e+00   2.4146842313e-04
2.9803921569e+00   2.5639644134e-04
3.0588235294e+00   2.0380038412e-04
3.1372549020e+00   5.7360474154e-05
3.2156862745e+00   4.1783993510e-06
3.2941176471e+00   1.7238108979e-04
3.3725490196e+00   3.7692401432e-04
3.4509803922e+00   5.2118052971e-04
3.5294117647e+00   5.7927621799e-04
3.6078431373e+00   5.3220619172e-04
3.6862745098e+00   3.7217252676e-04
3.7647058824e+00   1.0669996148e-04
3.8431372549e+00   7.2953356964e-06
3.9215686275e+00   7.9974307184e-06
4.0000000000e+00   7.9664796143e-06
4.0784313725e+00   7.2469032515e-06
4.1568627451e+00   5.9589858710e-06
4.2352941176e+00   4.2940502682e-06
4.3137254902e+00   2.5010779083e-06
4.3921568627e+00   8.6608503909e-07
4.4705882353e+00   3.1314108693e-07
4.5490196078e+00   7.5355685605e-07
4.6274509804e+00   2.1114290917e-07
4.7058823529e+00   5.6380072146e-08
4.7843137255e+00   6.8196174302e-07
4.8627450980e+00   3.0977539311e-04
4.9411764706e+00   6.4322835958e-05
5.0196078431e+00   3.8807068001e-06
5.0980392157e+00   3.0080902660e-04
5.1764705882e+00   5.9463716798e-04
5.2549019608e+00   7.7268646295e-04
5.3333333333e+00   8.1504028590e-04
5.4117647059e+00   7.1496476220e-04
5.4901960784e+00   4.7623597956e-04
5.5686274510e+00   1.1033067096e-04
5.6470588235e+00   7.3799108602e-06
5.7254901961e+00   3.0653511533e-04
5.8039215686e+00   2.9810833639e-04
5.8823529412e+00   5.6229399380e-04
5.9607843137e+00   5.4145303218e-04
6.0392156863e+00   6.5700498108e-04
6.1176470588e+00   6.2814353157e-04
6.1960784314e+00   6.2204962753e-04
6.2745098039e+00   5.9182347363e-04
6.3529411765e+00   4.9308404622e-04
6.4313725490e+00   4.6776301011e-04
6.5098039216e+00   3.0261206076e-04
6.5882352941e+00   2.8676138174e-04
6.6666666667e+00   7.6314185401e-05
6.7450980392e+00   7.2363451025e-05
6.8235294118e+00   4.8581233548e-06
6.9019607843e+00   1.3817890535e-04
6.9803921569e+00   1.3116443988e-04
7.0588235294e+00   2.5778472552e-04
7.1372549020e+00   2.4573495540e-04
7.2156862745e+00   3.0327764343e-04
7.2941176471e+00   2.9072682290e-04
7.3725490196e+00   2.7952639888e-04
