X    Y
0.0000000000e+00   0.0000000000e+00
9.6774193548e-02   1.5637890982e-10
1.9354838710e-01   8.4416343915e-09
2.9032258065e-01   1.0183061594e-07
3.8709677419e-01   6.0826169890e-07
4.8387096774e-01   2.4554777627e-06
5.8064516129e-01   7.7104482694e-06
6.7741935484e-01   2.0292983104e-05
7.7419354839e-01   4.6769525115e-05
8.7096774194e-01   9.6995858575e-05
9.6774193548e-01   1.8414832092e-04
1.0645161290e+00   3.2331543883e-04
1.1612903226e+00   5.2724938786e-04
1.2580645161e+00   7.9700627486e-04
1.3548387097e+00   1.1039075150e-03
1.4516129032e+00   1.3573571129e-03
1.5483870968e+00   1.3503191881e-03
1.6451612903e+00   6.7039449096e-04
1.7419354839e+00   1.4409472788e-03
1.8387096774e+00   6.3057818108e-03
1.9354838710e+00   1.6138452679e-02
2.0322580645e+00   3.4533149447e-02
2.1290322581e+00   6.7174205480e-02
2.2258064516e+00   1.2285275088e-01
2.3225806452e+00   2.1489574635e-01
2.4193548387e+00   3.6313587681e-01
2.5161290323e+00   5.9656751832e-01
2.6129032258e+00   9.5683343730e-01
2.7096774194e+00   1.5026473522e+00
2.8064516129e+00   2.3151400150e+00
2.9032258065e+00   3.5038529825e+00
3.0000000000e+00   5.2125783040e+00
3.0000000000e+00   5.2125783040e+00
