X    Y
0.0000000000e+00   0.0000000000e+00
9.6774193548e-02   1.4236971741e-10
1.9354838710e-01   8.0234051710e-09
2.9032258065e-01   9.6988225552e-08
3.8709677419e-01   5.7869122062e-07
4.8387096774e-01   2.3292551721e-06
5.8064516129e-01   7.2791048336e-06
6.7741935484e-01   1.9026044485e-05
7.7419354839e-01   4.3441399595e-05
8.7096774194e-01   8.8992823668e-05
9.6774193548e-01   1.6628341516e-04
1.0645161290e+00   2.8598008207e-04
1.1612903226e+00   4.5384722925e-04
1.2580645161e+00   6.6098786635e-04
1.3548387097e+00   8.6660155969e-04
1.4516129032e+00   9.6958877499e-04
1.5483870968e+00   7.6417977716e-04
1.6451612903e+00   1.2650174855e-04
1.7419354839e+00   2.3463018432e-03
1.8387096774e+00   6.9397697115e-03
1.9354838710e+00   1.5532799665e-02
2.0322580645e+00   3.0568900946e-02
2.1290322581e+00   5.5608005847e-02
2.2258064516e+00   9.5690680901e-02
2.3225806452e+00   1.5776338381e-01
2.4193548387e+00   2.5114883390e-01
2.5161290323e+00   3.8802811850e-01
2.6129032258e+00   5.8387574271e-01
2.7096774194e+00   8.5775225153e-01
2.8064516129e+00   1.2323060246e+00
2.9032258065e+00   1.7332571514e+00
3.0000000000e+00   2.3880156333e+00
3.0000000000e+00   2.3880156333e+00
