X    Y
0.0000000000e+00   0.0000000000e+00
7.8431372549e-02   1.3714979970e-04
1.5686274510e-01   1.3786395657e-04
2.3529411765e-01   1.3842934443e-04
3.1372549020e-01   1.3883068545e-04
3.9215686275e-01   1.3905236461e-04
4.7058823529e-01   1.3907830566e-04
5.4901960784e-01   1.3889183993e-04
6.2745098039e-01   1.3847556713e-04
7.0588235294e-01   1.3781120681e-04
7.8431372549e-01   1.3687943845e-04
8.6274509804e-01   1.3565972733e-04
9.4117647059e-01   1.3413013143e-04
1.0196078431e+00   1.3226708296e-04
1.0980392157e+00   1.3004513603e-04
1.1764705882e+00   1.2743667047e-04
1.2549019608e+00   1.2441154246e-04
1.3333333333e+00   1.2093667562e-04
1.4117647059e+00   1.1697559529e-04
1.4901960784e+00   1.1248792375e-04
1.5686274510e+00   1.0742887882e-04
1.6470588235e+00   1.0174885143e-04
1.7254901961e+00   9.5393180497e-05
1.8039215686e+00   8.8302289686e-05
1.8823529412e+00   8.0412393857e-05
1.9607843137e+00   1.1943159373e-04
2.0392156863e+00   1.0351165825e-04
2.1176470588e+00   8.6035156486e-05
2.1960784314e+00   6.6901818133e-05
2.2745098039e+00   4.6013640818e-05
2.3529411765e+00   2.3278769104e-05
2.4313725490e+00   1.3832988335e-06
2.5098039216e+00   2.8034878399e-05
2.5882352941e+00   5.6711314555e-05
2.6666666667e+00   8.7409906288e-05
2.7450980392e+00   1.2007619764e-04
2.8235294118e+00   1.5458730888e-04
2.9019607843e+00   1.9073203722e-04
2.9803921569e+00   2.2818765085e-04
3.0588235294e+00   3.2572209320e-04
3.1372549020e+00   3.7219468351e-04
3.2156862745e+00   4.1794279768e-04
3.2941176471e+00   4.6179259073e-04
3.3725490196e+00   5.0234462785e-04
3.4509803922e+00   5.3798959537e-04
3.5294117647e+00   5.6694799799e-04
3.6078431373e+00   5.8733839821e-04
3.6862745098e+00   5.9727608907e-04
3.7647058824e+00   5.9499977078e-04
3.8431372549e+00   5.7901848792e-04
3.9215686275e+00   5.4826737125e-04
4.0000000000e+00   5.0226455657e-04
4.0784313725e+00   4.3617547522e-04
4.1568627451e+00   3.3395747369e-04
4.2352941176e+00   2.7795015855e-04
4.3137254902e+00   1.7797155774e-04
4.3921568627e+00   7.0881045706e-05
4.4705882353e+00   4.0090672889e-05
4.5490196078e+00   1.5162909628e-04
4.6274509804e+00   2.6055247689e-04
4.7058823529e+00   3.6400194127e-04
4.7843137255e+00   4.5959410674e-04
4.8627450980e+00   4.9051727704e-04
4.9411764706e+00   5.5586678704e-04
5.0196078431e+00   6.1076962056e-04
5.0980392157e+00   6.5507744813e-04
5.1764705882e+00   6.8901497910e-04
5.2549019608e+00   7.1310261296e-04
5.3333333333e+00   7.2807845321e-04
5.4117647059e+00   7.3482576508e-04
5.4901960784e+00   7.3430964676e-04
5.5686274510e+00   7.2752471223e-04
5.6470588235e+00   7.1545407947e-04
5.7254901961e+00   6.9903894683e-04
5.8039215686e+00   6.7915753856e-04
5.8823529412e+00   6.5661226133e-04
5.9607843137e+00   6.3212455397e-04
6.0392156863e+00   6.0633793632e-04
6.1176470588e+00   5.7983055086e-04
6.1960784314e+00   5.5313795330e-04
6.2745098039e+00   5.2658698971e-04
6.3529411765e+00   3.4802208265e-04
6.4313725490e+00   3.3032466165e-04
6.5098039216e+00   3.1327325480e-04
6.5882352941e+00   2.9698141163e-04
6.6666666667e+00   2.8153424205e-04
6.7450980392e+00   2.6699236338e-04
6.8235294118e+00   2.5339549491e-04
6.9019607843e+00   2.4076568875e-04
6.9803921569e+00   2.2911019854e-04
7.0588235294e+00   2.1842399251e-04
7.1372549020e+00   2.0869191486e-04
7.2156862745e+00   1.9989049289e-04
7.2941176471e+00   1.9198937989e-04
7.3725490196e+00   1.8495242298e-04
