X    Y
0.0000000000e+00   0.0000000000e+00
7.8431372549e-02   6.6463302005e-05
1.5686274510e-01   6.7488684566e-05
2.3529411765e-01   6.8622578970e-05
3.1372549020e-01   6.9879058550e-05
3.9215686275e-01   7.1273387497e-05
4.7058823529e-01   7.2822091267e-05
5.4901960784e-01   7.4543018024e-05
6.2745098039e-01   7.6455387098e-05
7.0588235294e-01   7.8579819727e-05
7.8431372549e-01   8.0938346820e-05
8.6274509804e-01   8.3554388302e-05
9.4117647059e-01   8.6452699090e-05
1.0196078431e+00   8.9659277879e-05
1.0980392157e+00   9.3201236596e-05
1.1764705882e+00   9.7106629871e-05
1.2549019608e+00   1.0140424371e-04
1.3333333333e+00   1.0612333827e-04
1.4117647059e+00   1.1129332777e-04
1.4901960784e+00   1.1694335712e-04
1.5686274510e+00   1.2310169586e-04
1.6470588235e+00   1.2979481346e-04
1.7254901961e+00   1.3704592879e-04
1.8039215686e+00   1.4487275016e-04
1.8823529412e+00   1.5328406272e-04
1.9607843137e+00   2.7207263746e-04
2.0392156863e+00   2.8755121793e-04
2.1176470588e+00   3.0373287928e-04
2.1960784314e+00   3.2048919911e-04
2.2745098039e+00   3.3764573656e-04
2.3529411765e+00   3.5497471121e-04
2.4313725490e+00   3.7218771696e-04
2.5098039216e+00   3.8892895189e-04
2.5882352941e+00   4.0476961893e-04
2.6666666667e+00   4.1920433390e-04
2.7450980392e+00   4.3165053781e-04
2.8235294118e+00   4.4145201306e-04
2.9019607843e+00   4.4788763630e-04
2.9803921569e+00   4.5018655274e-04
3.0588235294e+00   5.4093557992e-04
3.1372549020e+00   5.3038132692e-04
3.2156862745e+00   5.1204612617e-04
3.2941176471e+00   4.8525134439e-04
3.3725490196e+00   4.4955173234e-04
3.4509803922e+00   4.0481490666e-04
3.5294117647e+00   3.5129435761e-04
3.6078431373e+00   2.8968548436e-04
3.6862745098e+00   2.2115318630e-04
3.7647058824e+00   1.4732043429e-04
3.8431372549e+00   7.0210871618e-05
