X    Y
0.0000000000e+00   0.0000000000e+00
7.8431372549e-02   2.3006688288e-04
1.5686274510e-01   2.7959900769e-04
2.3529411765e-01   2.8342354865e-04
3.1372549020e-01   2.4036198725e-04
3.9215686275e-01   1.4961136127e-04
4.7058823529e-01   3.6886410794e-08
5.4901960784e-01   3.9730445920e-10
6.2745098039e-01   3.8793306893e-08
7.0588235294e-01   4.3544709883e-08
7.8431372549e-01   7.5800156487e-09
8.6274509804e-01   2.7921946463e-08
9.4117647059e-01   4.5096813255e-08
1.0196078431e+00   2.2552407359e-08
1.0980392157e+00   1.3186256777e-08
1.1764705882e+00   4.1541027406e-08
1.2549019608e+00   3.1712273677e-08
1.3333333333e+00   2.7153988279e-10
1.4117647059e+00   3.3380288995e-08
1.4901960784e+00   3.6563489822e-08
1.5686274510e+00   4.7810953979e-09
1.6470588235e+00   2.8399793132e-08
1.7254901961e+00   4.6292614460e-08
1.8039215686e+00   2.3004799202e-08
1.8823529412e+00   1.8073144926e-08
1.9607843137e+00   5.3812871750e-08
2.0392156863e+00   4.2547309360e-08
2.1176470588e+00   2.3846870167e-10
2.1960784314e+00   5.6581598976e-08
2.2745098039e+00   6.1917371069e-08
2.3529411765e+00   4.4419349489e-09
2.4313725490e+00   5.0969579579e-08
2.5098039216e+00   7.7988327184e-08
2.5882352941e+00   3.4945573470e-08
2.6666666667e+00   3.3114375373e-08
2.7450980392e+00   8.6006534931e-08
2.8235294118e+00   6.2598587676e-08
2.9019607843e+00   1.2814508922e-09
2.9803921569e+00   8.0816829009e-08
3.0588235294e+00   7.9972736566e-08
3.1372549020e+00   5.5501673252e-10
3.2156862745e+00   6.0043572277e-08
3.2941176471e+00   7.9274128619e-08
3.3725490196e+00   3.2420400802e-08
3.4509803922e+00   3.9068302242e-08
3.5294117647e+00   9.3940159682e-08
3.6078431373e+00   6.5999798424e-08
3.6862745098e+00   7.2036177655e-09
3.7647058824e+00   9.0105185940e-08
3.8431372549e+00   8.3806801631e-08
3.9215686275e+00   5.9249737813e-10
4.0000000000e+00   6.1155919053e-08
4.0784313725e+00   7.1034741451e-08
4.1568627451e+00   2.0267487460e-08
4.2352941176e+00   2.2879919713e-08
4.3137254902e+00   5.5493422156e-08
4.3921568627e+00   3.9775588413e-08
4.4705882353e+00   8.3969398099e-09
4.5490196078e+00   6.3843578675e-08
4.6274509804e+00   5.9541533534e-08
4.7058823529e+00   1.6054450392e-09
4.7843137255e+00   5.8296146368e-08
4.8627450980e+00   8.7192673530e-08
4.9411764706e+00   3.0984766958e-08
5.0196078431e+00   5.8182720198e-08
5.0980392157e+00   1.2061690940e-07
5.1764705882e+00   7.7564425639e-08
5.2549019608e+00   2.3647309263e-08
5.3333333333e+00   1.2658516543e-07
5.4117647059e+00   1.1284947753e-07
5.4901960784e+00   2.5750993216e-09
5.5686274510e+00   1.0690693514e-07
5.6470588235e+00   1.2749858435e-07
5.7254901961e+00   3.3455958984e-08
5.8039215686e+00   7.0224313146e-08
5.8823529412e+00   1.2231463724e-07
5.9607843137e+00   6.7980861827e-08
6.0392156863e+00   2.6257963968e-08
6.1176470588e+00   1.0306428033e-07
6.1960784314e+00   8.3310830003e-08
6.2745098039e+00   2.5489218068e-09
6.3529411765e+00   7.6342611505e-08
6.4313725490e+00   8.4048699195e-08
6.5098039216e+00   1.8121441014e-08
6.5882352941e+00   4.7384461707e-08
6.6666666667e+00   7.5551191341e-08
6.7450980392e+00   3.8996468850e-08
6.8235294118e+00   1.9365408448e-08
6.9019607843e+00   6.2221832248e-08
6.9803921569e+00   4.8116894413e-08
7.0588235294e+00   1.8939606586e-09
7.1372549020e+00   4.6940174417e-08
7.2156862745e+00   4.9939558350e-08
7.2941176471e+00   8.8251482186e-09
7.3725490196e+00   3.1101762526e-08
7.4509803922e+00   4.7507062971e-08
7.5294117647e+00   2.3479965544e-08
7.6078431373e+00   1.4919693827e-08
7.6862745098e+00   4.2520229747e-08
7.7647058824e+00   3.2402996878e-08
7.8431372549e+00   1.3204837983e-09
7.9215686275e+00   3.5603371001e-08
