X    Y
0.0000000000e+00   0.0000000000e+00
7.8201368524e-02   8.6350069739e-05
1.5640273705e-01   9.1310274847e-05
2.3460410557e-01   9.6099647679e-05
3.1280547410e-01   1.0058360381e-04
3.9100684262e-01   1.0457850150e-05
4.6920821114e-01   1.0784781663e-05
5.4740957967e-01   1.1021505482e-05
6.2561094819e-01   7.5598536320e-09
7.0381231672e-01   9.5736050156e-05
7.8201368524e-01   9.4942943771e-05
8.6021505376e-01   9.2551575110e-05
9.3841642229e-01   1.5454818394e-04
1.0166177908e+00   1.4297112172e-04
1.0948191593e+00   1.2724520307e-04
1.1730205279e+00   1.2882352988e-04
1.2512218964e+00   9.7814015939e-05
1.3294232649e+00   6.1096016177e-05
1.4076246334e+00   1.4925886121e-05
1.4858260020e+00   3.3589108043e-05
1.5640273705e+00   7.8257507107e-05
1.6422287390e+00   1.2616546779e-04
1.7204301075e+00   1.1542353798e-04
1.7986314761e+00   1.4695883428e-04
1.8768328446e+00   1.7751352277e-04
1.9550342131e+00   2.9679102149e-05
2.0332355816e+00   3.3320975411e-05
2.1114369501e+00   3.6455411700e-05
2.1896383187e+00   1.3577735425e-06
2.2678396872e+00   2.2225702575e-04
2.3460410557e+00   2.3115524205e-04
2.4242424242e+00   2.3620177486e-04
2.5024437928e+00   4.2991900237e-04
2.5806451613e+00   4.2490944096e-04
2.6588465298e+00   4.1383606926e-04
2.7370478983e+00   3.9737390610e-04
2.8152492669e+00   4.6413015836e-04
2.8934506354e+00   4.3292473716e-04
2.9716520039e+00   3.9820193188e-04
3.0498533724e+00   3.6099073853e-04
3.1280547410e+00   3.2711401023e-04
3.2062561095e+00   2.8665117910e-04
3.2844574780e+00   2.4638272766e-04
3.3626588465e+00   2.0697258621e-04
3.4408602151e+00   1.4287859646e-04
3.5190615836e+00   1.1181302985e-04
3.5972629521e+00   8.2637704647e-05
3.6754643206e+00   3.4701245721e-05
3.7536656891e+00   1.8570256359e-05
3.8318670577e+00   3.9148262141e-06
3.9100684262e+00   1.8944291451e-06
3.9882697947e+00   4.0009877322e-06
4.0664711632e+00   5.8549761606e-06
4.1446725318e+00   3.8579562101e-07
4.2228739003e+00   3.2652648820e-05
4.3010752688e+00   3.7884868817e-05
4.3792766373e+00   4.2299396292e-05
4.4574780059e+00   8.6432482227e-05
4.5356793744e+00   9.1895759383e-05
4.6138807429e+00   9.6230382169e-05
4.6920821114e+00   9.9561182691e-05
4.7702834800e+00   1.2815799712e-04
4.8484848485e+00   1.3017621671e-04
4.9266862170e+00   1.3137537000e-04
5.0048875855e+00   1.3188007095e-04
5.0830889541e+00   1.3633577180e-04
5.1612903226e+00   1.3572946296e-04
5.2394916911e+00   1.3474497709e-04
5.3176930596e+00   1.3347439819e-04
5.3958944282e+00   1.3200197478e-04
5.4740957967e+00   1.1346834669e-04
5.5522971652e+00   1.1202841197e-04
5.6304985337e+00   1.1060311506e-04
5.7086999022e+00   1.0924449055e-04
5.7869012708e+00   1.0800110454e-04
5.8651026393e+00   1.0691875743e-04
5.9433040078e+00   7.0554495834e-05
6.0215053763e+00   7.0151809061e-05
6.0997067449e+00   6.9944029809e-05
6.1779081134e+00   6.9958917998e-05
6.2561094819e+00   7.0224702965e-05
6.3343108504e+00   1.5456497764e-05
6.4125122190e+00   1.5650108568e-05
6.4907135875e+00   1.5919145831e-05
6.5689149560e+00   1.6271094376e-05
6.6471163245e+00   1.6713941549e-05
6.7253176931e+00   1.0957202112e-06
6.8035190616e+00   5.4362380471e-05
6.8817204301e+00   5.6534602555e-05
6.9599217986e+00   5.9086491604e-05
7.0381231672e+00   6.2049662377e-05
7.1163245357e+00   1.2703628101e-04
7.1945259042e+00   1.3462037783e-04
7.2727272727e+00   1.4318485366e-04
7.3509286413e+00   1.9493032612e-04
7.4291300098e+00   2.0857419735e-04
7.5073313783e+00   2.2358582108e-04
7.5855327468e+00   2.5180539124e-04
7.6637341153e+00   2.7027802507e-04
7.7419354839e+00   2.8986786261e-04
7.8201368524e+00   2.7437879662e-04
7.8983382209e+00   2.9267044691e-04
7.9765395894e+00   3.1070938879e-04
8.0547409580e+00   2.2313456953e-04
8.1329423265e+00   2.3318758692e-04
8.2111436950e+00   2.4100817344e-04
8.2893450635e+00   6.2012540157e-05
8.3675464321e+00   6.1938717143e-05
8.4457478006e+00   4.1716800919e-06
8.5239491691e+00   1.4647959898e-04
8.6021505376e+00   1.3608513167e-04
8.6803519062e+00   2.3681536909e-04
8.7585532747e+00   1.9144390268e-04
8.8367546432e+00   1.6287332030e-04
8.9149560117e+00   7.0411919587e-05
8.9931573803e+00   4.9695179476e-05
9.0713587488e+00   1.7502334720e-04
9.1495601173e+00   2.8367696214e-04
9.2277614858e+00   4.0201952520e-04
9.3059628543e+00   3.6227322996e-04
9.3841642229e+00   4.3231128564e-04
9.4623655914e+00   1.4099993246e-04
9.5405669599e+00   1.5350489351e-04
9.6187683284e+00   1.1156759688e-05
9.6969696970e+00   3.3052676918e-04
9.7751710655e+00   3.3388529731e-04
9.8533724340e+00   6.8196616576e-04
9.9315738025e+00   6.5372212528e-04
1.0009775171e+01   6.1240554494e-04
1.0087976540e+01   7.2107869484e-04
1.0166177908e+01   6.4442772131e-04
1.0244379277e+01   5.6256880159e-04
1.0322580645e+01   4.9832335449e-04
1.0400782014e+01   4.1063557210e-04
1.0478983382e+01   3.2626276061e-04
1.0557184751e+01   2.1420159792e-04
1.0635386119e+01   1.4932405159e-04
1.0713587488e+01   5.9814167307e-05
1.0791788856e+01   2.3647390677e-05
1.0869990225e+01   3.3800753640e-06
1.0948191593e+01   1.1820828836e-05
1.1026392962e+01   1.8971338345e-05
1.1104594330e+01   1.6229594215e-06
1.1182795699e+01   4.5434229829e-05
1.1260997067e+01   5.2865991013e-05
1.1339198436e+01   5.8747730655e-05
1.1417399804e+01   1.3818407999e-04
1.1495601173e+01   1.4520374392e-04
1.1573802542e+01   1.5005588350e-04
1.1652003910e+01   2.0133492753e-04
1.1730205279e+01   2.0313889134e-04
1.1808406647e+01   2.0334517993e-04
1.1886608016e+01   2.1557885524e-04
1.1964809384e+01   2.1330468939e-04
1.2043010753e+01   2.1027426333e-04
1.2121212121e+01   2.0672262448e-04
1.2199413490e+01   1.8244958016e-04
1.2277614858e+01   1.7883946263e-04
1.2355816227e+01   1.7526224794e-04
1.2434017595e+01   1.7184155918e-04
1.2512218964e+01   1.1976283795e-04
1.2590420332e+01   1.1780633763e-04
1.2668621701e+01   1.1617785578e-04
1.2746823069e+01   1.1493544966e-04
1.2825024438e+01   3.9021566018e-05
1.2903225806e+01   3.8933002023e-05
1.2981427175e+01   3.9032497301e-05
1.3059628543e+01   3.9337613566e-05
1.3137829912e+01   2.6749519922e-06
1.3216031281e+01   5.6348316535e-05
1.3294232649e+01   5.7580906705e-05
1.3372434018e+01   5.9188566843e-05
1.3450635386e+01   6.1196792411e-05
1.3528836755e+01   1.4540453624e-04
1.3607038123e+01   1.5206175828e-04
1.3685239492e+01   1.5978537066e-04
1.3763440860e+01   2.2544774553e-04
1.3841642229e+01   2.3877805427e-04
1.3919843597e+01   2.5353144820e-04
1.3998044966e+01   2.9149647507e-04
1.4076246334e+01   3.1009944238e-04
1.4154447703e+01   3.2956994806e-04
1.4232649071e+01   3.1912589556e-04
1.4310850440e+01   3.3682419487e-04
1.4389051808e+01   3.5333371840e-04
1.4467253177e+01   2.6611188432e-04
1.4545454545e+01   2.7343717632e-04
1.4623655914e+01   2.7682863201e-04
1.4701857283e+01   1.0108761298e-04
1.4780058651e+01   9.7605407771e-05
1.4858260020e+01   6.0286947020e-06
1.4936461388e+01   1.0303168348e-04
1.5014662757e+01   8.8885517873e-05
1.5092864125e+01   1.6235008005e-04
1.5171065494e+01   1.0305746386e-04
1.5249266862e+01   3.3282515022e-05
1.5327468231e+01   7.7543184886e-05
1.5405669599e+01   2.2773110074e-04
1.5483870968e+01   3.6457083762e-04
1.5562072336e+01   4.6949233607e-04
1.5640273705e+01   5.8533454748e-04
1.5718475073e+01   5.0946278485e-04
1.5796676442e+01   5.6878824881e-04
1.5874877810e+01   2.4164884758e-04
1.5953079179e+01   2.5054992163e-04
1.6031280547e+01   1.5479824810e-05
1.6109481916e+01   2.5109501086e-04
1.6187683284e+01   2.4339782686e-04
1.6265884653e+01   5.8104025182e-04
1.6344086022e+01   5.3522628172e-04
1.6422287390e+01   4.8141587932e-04
1.6500488759e+01   5.6934179368e-04
1.6578690127e+01   4.8542444587e-04
1.6656891496e+01   4.0156588479e-04
1.6735092864e+01   3.4149758618e-04
1.6813294233e+01   2.5804225871e-04
1.6891495601e+01   1.8095037081e-04
1.6969696970e+01   9.6797273905e-05
1.7047898338e+01   4.0048912331e-05
1.7126099707e+01   1.0312601865e-05
1.7204301075e+01   4.1519937346e-05
1.7282502444e+01   6.7891677394e-05
1.7360703812e+01   3.8202834481e-05
1.7438905181e+01   4.5489281187e-05
1.7517106549e+01   5.1280938644e-05
1.7595307918e+01   3.1332124346e-06
1.7673509286e+01   4.8521564198e-05
1.7751710655e+01   5.0979867692e-05
1.7829912023e+01   5.2672164695e-05
1.7908113392e+01   1.4591553515e-04
1.7986314761e+01   1.4722257492e-04
1.8064516129e+01   1.4740680617e-04
1.8142717498e+01   2.0312223480e-04
1.8220918866e+01   2.0117560566e-04
1.8299120235e+01   1.9860276617e-04
1.8377321603e+01   1.9563256197e-04
1.8455522972e+01   2.1151773486e-04
1.8533724340e+01   2.0801300154e-04
1.8611925709e+01   2.0466710578e-04
1.8690127077e+01   2.0162693482e-04
1.8768328446e+01   1.8494142425e-04
1.8846529814e+01   1.8308791441e-04
1.8924731183e+01   1.8185740686e-04
1.9002932551e+01   1.8134076425e-04
1.9081133920e+01   1.3658362437e-04
1.9159335288e+01   1.3752263364e-04
1.9237536657e+01   1.3918591502e-04
1.9315738025e+01   1.4162826253e-04
1.9393939394e+01   6.3787875887e-05
1.9472140762e+01   6.5648006281e-05
1.9550342131e+01   6.7912810684e-05
1.9628543500e+01   3.6819312869e-06
1.9706744868e+01   5.1311268024e-05
1.9784946237e+01   5.3658398274e-05
1.9863147605e+01   5.6302556917e-05
1.9941348974e+01   1.7388544180e-04
2.0019550342e+01   1.8322436416e-04
2.0097751711e+01   1.9313215971e-04
2.0175953079e+01   2.8733261464e-04
2.0254154448e+01   3.0177509880e-04
2.0332355816e+01   3.1560862402e-04
2.0410557185e+01   3.6522202948e-04
2.0488758553e+01   3.7605539741e-04
2.0566959922e+01   3.8276135823e-04
2.0645161290e+01   3.5951723083e-04
2.0723362659e+01   3.5265412540e-04
2.0801564027e+01   3.3680398442e-04
2.0879765396e+01   2.3372853082e-04
2.0957966764e+01   2.0311532010e-04
2.1036168133e+01   7.2556241020e-05
2.1114369501e+01   4.8238639894e-05
2.1192570870e+01   1.3395222735e-06
2.1270772239e+01   3.1506062770e-06
2.1348973607e+01   1.7806138044e-05
2.1427174976e+01   1.3584594708e-04
2.1505376344e+01   2.1081771406e-04
2.1583577713e+01   4.1656187503e-04
2.1661779081e+01   5.1525071259e-04
2.1739980450e+01   6.8240330740e-04
2.1818181818e+01   7.6049139165e-04
2.1896383187e+01   7.7608598161e-04
2.1974584555e+01   8.0575160962e-04
2.2052785924e+01   6.2631651938e-04
2.2130987292e+01   6.1442320906e-04
2.2209188661e+01   2.8106984388e-04
2.2287390029e+01   2.6227763765e-04
2.2365591398e+01   2.3915247476e-04
2.2443792766e+01   9.4642636599e-06
2.2521994135e+01   9.9838450089e-05
2.2600195503e+01   8.5779727738e-05
2.2678396872e+01   7.1602006983e-05
2.2756598240e+01   1.9845775554e-04
2.2834799609e+01   1.5221724759e-04
2.2913000978e+01   1.0915122006e-04
2.2991202346e+01   9.6159332017e-05
2.3069403715e+01   4.5463749966e-05
2.3147605083e+01   7.5081146722e-07
2.3225806452e+01   4.6768352585e-05
2.3304007820e+01   8.3625273546e-05
2.3382209189e+01   1.1457533566e-04
2.3460410557e+01   1.3543994389e-04
2.3538611926e+01   1.5470859631e-04
2.3616813294e+01   1.6991795554e-04
2.3695014663e+01   1.4230925283e-04
2.3773216031e+01   1.4882795618e-04
2.3851417400e+01   1.5336924634e-04
2.3929618768e+01   7.8162126154e-05
2.4007820137e+01   7.8883249504e-05
2.4086021505e+01   7.9083134933e-05
2.4164222874e+01   7.8882560016e-05
2.4242424242e+01   2.9439210373e-06
2.4320625611e+01   3.1642310011e-05
2.4398826979e+01   3.1337801714e-05
2.4477028348e+01   3.0999936719e-05
2.4555229717e+01   3.0656910520e-05
2.4633431085e+01   1.1997865516e-04
2.4711632454e+01   1.1888423778e-04
2.4789833822e+01   1.1803907636e-04
2.4868035191e+01   1.1751171232e-04
2.4946236559e+01   1.7317574148e-04
2.5024437928e+01   1.7366510332e-04
2.5102639296e+01   1.7487891549e-04
2.5180840665e+01   1.7688451810e-04
2.5259042033e+01   2.0489093168e-04
2.5337243402e+01   2.0927081259e-04
2.5415444770e+01   2.1473034467e-04
2.5493646139e+01   2.2130052344e-04
2.5571847507e+01   2.2040637934e-04
2.5650048876e+01   2.2894257280e-04
2.5728250244e+01   2.3848178586e-04
2.5806451613e+01   1.9711522026e-04
2.5884652981e+01   2.0598264738e-04
2.5962854350e+01   2.1522952426e-04
2.6041055718e+01   1.1674507408e-04
