X    Y
0.0000000000e+00   0.0000000000e+00
7.8201368524e-02   1.3384878258e-05
1.5640273705e-01   1.4555925083e-05
2.3460410557e-01   1.5784601266e-05
3.1280547410e-01   1.7066348805e-05
3.9100684262e-01   1.8457768213e-06
4.6920821114e-01   1.9820601768e-06
5.4740957967e-01   2.1206295706e-06
6.2561094819e-01   1.5805388526e-09
7.0381231672e-01   1.9906931756e-05
7.8201368524e-01   2.1079404892e-05
8.6021505376e-01   2.2209280385e-05
9.3841642229e-01   4.1131995601e-05
1.0166177908e+00   4.2807103816e-05
1.0948191593e+00   4.4244738917e-05
1.1730205279e+00   5.5829528809e-05
1.2512218964e+00   5.6728474190e-05
1.3294232649e+00   5.7087701880e-05
1.4076246334e+00   5.7862872458e-05
1.4858260020e+00   5.6825138833e-05
1.5640273705e+00   4.6899585512e-05
1.6422287390e+00   4.4587197813e-05
1.7204301075e+00   2.6422577175e-05
1.7986314761e+00   2.3975364431e-05
1.8768328446e+00   2.1083189403e-05
1.9550342131e+00   2.4805520136e-06
2.0332355816e+00   1.9526077122e-06
2.1114369501e+00   1.3801595796e-06
2.1896383187e+00   3.4422192818e-08
2.2678396872e+00   2.8048186118e-06
2.3460410557e+00   7.6196604104e-07
2.4242424242e+00   4.3815880365e-06
2.5024437928e+00   1.5093882750e-05
2.5806451613e+00   2.1500643581e-05
2.6588465298e+00   2.7682289912e-05
2.7370478983e+00   3.3553294503e-05
2.8152492669e+00   4.9053154104e-05
2.8934506354e+00   5.5257066961e-05
2.9716520039e+00   6.0851717691e-05
3.0498533724e+00   6.5800043016e-05
3.1280547410e+00   7.2346651825e-05
3.2062561095e+00   7.5985757013e-05
3.2844574780e+00   7.8941035918e-05
3.3626588465e+00   8.1231434513e-05
3.4408602151e+00   7.1679408790e-05
3.5190615836e+00   7.2540370409e-05
3.5972629521e+00   7.2920280509e-05
3.6754643206e+00   4.7596848053e-05
3.7536656891e+00   4.7269343194e-05
3.8318670577e+00   4.6708047741e-05
3.9100684262e+00   8.3274000382e-06
3.9882697947e+00   8.1520475818e-06
4.0664711632e+00   7.9487033180e-06
4.1446725318e+00   4.2659562882e-07
4.2228739003e+00   3.0748319908e-05
4.3010752688e+00   2.9722614315e-05
4.3792766373e+00   2.8638078108e-05
4.4574780059e+00   5.1173358633e-05
4.5356793744e+00   4.8993858562e-05
4.6138807429e+00   4.6772343480e-05
4.6920821114e+00   4.4526003939e-05
4.7702834800e+00   5.2738804056e-05
4.8484848485e+00   4.9914689236e-05
4.9266862170e+00   4.7109620075e-05
5.0048875855e+00   4.4335030654e-05
5.0830889541e+00   4.2775466103e-05
5.1612903226e+00   4.0000071282e-05
5.2394916911e+00   3.7280222564e-05
5.3176930596e+00   3.4620199800e-05
5.3958944282e+00   3.2022849191e-05
5.4740957967e+00   2.5484412422e-05
5.5522971652e+00   2.3339243369e-05
5.6304985337e+00   2.1249666283e-05
5.7086999022e+00   1.9214181521e-05
5.7869012708e+00   1.7230533102e-05
5.8651026393e+00   1.5295768799e-05
5.9433040078e+00   8.8082996856e-06
6.0215053763e+00   7.5800655657e-06
6.0997067449e+00   6.3756605905e-06
6.1779081134e+00   5.1914746130e-06
6.2561094819e+00   4.0235196219e-06
6.3343108504e+00   6.0193578644e-07
6.4125122190e+00   3.5131650056e-07
6.4907135875e+00   1.0100441572e-07
6.5689149560e+00   1.5023338562e-07
