X    Y
0.0000000000e+00   nan
7.8201368524e-02   1.5091297338e-03
1.5640273705e-01   8.1138245711e-04
2.3460410557e-01   5.7970042294e-04
3.1280547410e-01   7.8076637205e-04
3.9100684262e-01   6.6446558601e-04
4.6920821114e-01   7.1048452412e-04
5.4740957967e-01   6.4250852273e-04
6.2561094819e-01   5.9627061095e-04
7.0381231672e-01   5.5386735387e-04
7.8201368524e-01   4.3724037501e-04
8.6021505376e-01   4.1069644732e-04
9.3841642229e-01   2.3798523112e-04
1.0166177908e+00   2.2390533086e-04
1.0948191593e+00   1.0628569244e-05
1.1730205279e+00   1.0590762180e-05
1.2512218964e+00   6.3567234185e-08
1.3294232649e+00   1.9960310641e-04
1.4076246334e+00   1.9969880492e-04
1.4858260020e+00   3.3554855764e-04
1.5640273705e+00   3.9177315119e-04
1.6422287390e+00   3.7171961643e-04
1.7204301075e+00   3.4279803107e-04
1.7986314761e+00   2.5690175362e-04
1.8768328446e+00   2.2166497227e-04
1.9550342131e+00   1.4427668456e-04
2.0332355816e+00   1.5860793308e-04
2.1114369501e+00   1.6603300981e-05
2.1896383187e+00   1.7446552639e-05
2.2678396872e+00   1.9083013069e-08
2.3460410557e+00   1.6054307987e-04
2.4242424242e+00   1.6259180945e-04
2.5024437928e+00   1.6246433139e-04
2.5806451613e+00   2.8120537265e-04
2.6588465298e+00   2.7382066076e-04
2.7370478983e+00   2.6360070135e-04
2.8152492669e+00   3.0608143006e-04
2.8934506354e+00   3.2358580302e-04
2.9716520039e+00   3.4487077804e-04
3.0498533724e+00   3.6811773487e-04
3.1280547410e+00   3.7983912682e-04
3.2062561095e+00   3.8742792319e-04
3.2844574780e+00   3.3389200023e-04
3.3626588465e+00   3.3439664993e-04
3.4408602151e+00   2.1222596075e-04
3.5190615836e+00   2.0995632779e-04
3.5972629521e+00   2.8752724845e-05
3.6754643206e+00   2.8230148754e-05
3.7536656891e+00   9.3950822564e-07
3.8318670577e+00   1.5765241148e-04
3.9100684262e+00   1.5387490747e-04
3.9882697947e+00   2.7049856077e-04
4.0664711632e+00   2.6395680096e-04
4.1446725318e+00   3.1873877821e-04
4.2228739003e+00   3.1168157949e-04
4.3010752688e+00   3.1275919693e-04
4.3792766373e+00   3.0695321000e-04
4.4574780059e+00   3.0184561983e-04
4.5356793744e+00   2.5658833293e-04
4.6138807429e+00   2.5347544034e-04
4.6920821114e+00   2.5091361434e-04
4.7702834800e+00   1.6257410592e-04
4.8484848485e+00   1.6159338440e-04
4.9266862170e+00   1.6087474298e-04
5.0048875855e+00   2.8779447074e-05
5.0830889541e+00   2.8731452938e-05
5.1612903226e+00   2.8708458612e-05
5.2394916911e+00   2.8703183019e-05
5.3176930596e+00   1.5340536619e-06
5.3958944282e+00   1.1613157407e-04
5.4740957967e+00   1.1607124213e-04
5.5522971652e+00   1.1598902655e-04
5.6304985337e+00   1.1585707033e-04
5.7086999022e+00   2.1621279466e-04
5.7869012708e+00   2.1562791333e-04
5.8651026393e+00   2.1479283708e-04
5.9433040078e+00   2.1365840608e-04
6.0215053763e+00   2.1217548570e-04
6.0997067449e+00   2.6424709367e-04
6.1779081134e+00   2.6127716220e-04
6.2561094819e+00   2.5767040380e-04
6.3343108504e+00   2.5335988248e-04
6.4125122190e+00   2.5975292903e-04
6.4907135875e+00   2.6631695126e-04
6.5689149560e+00   2.7378173759e-04
6.6471163245e+00   2.4639288190e-04
6.7253176931e+00   2.5483947610e-04
6.8035190616e+00   2.6430089262e-04
6.8817204301e+00   1.8352534019e-04
6.9599217986e+00   1.9137986124e-04
7.0381231672e+00   1.9998308048e-04
7.1163245357e+00   4.5439435870e-05
7.1945259042e+00   4.7636738128e-05
7.2727272727e+00   3.1248037757e-06
7.3509286413e+00   1.5906497191e-04
7.4291300098e+00   1.6655822433e-04
7.5073313783e+00   3.3785326378e-04
7.5855327468e+00   3.5284112562e-04
7.6637341153e+00   4.6876582123e-04
7.7419354839e+00   4.8646691556e-04
7.8201368524e+00   5.2685831777e-04
7.8983382209e+00   5.4081336575e-04
7.9765395894e+00   4.8662028320e-04
8.0547409580e+00   4.9117417117e-04
8.1329423265e+00   3.3320693381e-04
8.2111436950e+00   3.2801373080e-04
8.2893450635e+00   7.9549098369e-05
8.3675464321e+00   5.1563398601e-06
8.4457478006e+00   1.7795863715e-04
8.5239491691e+00   3.4850015006e-04
8.6021505376e+00   4.8387514645e-04
8.6803519062e+00   5.3845146083e-04
8.7585532747e+00   4.9387089511e-04
8.8367546432e+00   3.4320696844e-04
8.9149560117e+00   9.4998001795e-05
8.9931573803e+00   6.4734653376e-06
9.0713587488e+00   1.8299280800e-04
9.1495601173e+00   3.4304737531e-04
9.2277614858e+00   3.8074042738e-04
9.3059628543e+00   3.8727622861e-04
9.3841642229e+00   4.1023187522e-04
9.4623655914e+00   3.2199718646e-04
9.5405669599e+00   1.0801507337e-04
9.6187683284e+00   7.6601295139e-06
9.6969696970e+00   1.8915465229e-04
9.7751710655e+00   4.1010079275e-04
9.8533724340e+00   5.2492592709e-04
9.9315738025e+00   5.0237107590e-04
1.0009775171e+01   4.9929765793e-04
1.0087976540e+01   4.9294789471e-04
1.0166177908e+01   4.7662126308e-04
1.0244379277e+01   4.9822921661e-04
1.0322580645e+01   3.6209522148e-04
1.0400782014e+01   3.6531521470e-04
1.0478983382e+01   1.2330562945e-04
1.0557184751e+01   8.3450046710e-06
1.0635386119e+01   1.7426883002e-04
1.0713587488e+01   3.8262469443e-04
1.0791788856e+01   4.8912604664e-04
1.0869990225e+01   5.0331326492e-04
1.0948191593e+01   4.8352129861e-04
1.1026392962e+01   4.1877959489e-04
1.1104594330e+01   4.0147203883e-04
1.1182795699e+01   2.7627118769e-04
1.1260997067e+01   2.6526077778e-04
1.1339198436e+01   9.3206889569e-05
1.1417399804e+01   8.9850409594e-05
1.1495601173e+01   5.6767633151e-06
1.1573802542e+01   1.0201176377e-04
1.1652003910e+01   9.8761131936e-05
1.1730205279e+01   2.2869834607e-04
1.1808406647e+01   2.2265176550e-04
1.1886608016e+01   2.1726704705e-04
1.1964809384e+01   2.8600596017e-04
1.2043010753e+01   2.8024802975e-04
1.2121212121e+01   2.7497404253e-04
1.2199413490e+01   3.0034856826e-04
1.2277614858e+01   3.0382792439e-04
1.2355816227e+01   3.0680022722e-04
1.2434017595e+01   2.8269731974e-04
1.2512218964e+01   2.8499307555e-04
1.2590420332e+01   2.8731011622e-04
1.2668621701e+01   2.1168060180e-04
1.2746823069e+01   2.1381005764e-04
1.2825024438e+01   2.1630177716e-04
1.2903225806e+01   8.5894689317e-05
1.2981427175e+01   8.7319937117e-05
1.3059628543e+01   8.9011712121e-05
1.3137829912e+01   5.5684187881e-06
1.3216031281e+01   9.3328003637e-05
1.3294232649e+01   9.5682768567e-05
1.3372434018e+01   9.8391337095e-05
1.3450635386e+01   2.5767863295e-04
1.3528836755e+01   2.6654392109e-04
1.3607038123e+01   3.7878075078e-04
1.3685239492e+01   3.9342317450e-04
1.3763440860e+01   4.4872102409e-04
1.3841642229e+01   4.6662677182e-04
1.3919843597e+01   4.4985337637e-04
1.3998044966e+01   4.6654059040e-04
1.4076246334e+01   3.5965934720e-04
1.4154447703e+01   3.7017117621e-04
1.4232649071e+01   1.5815633449e-04
1.4310850440e+01   1.6055095153e-04
1.4389051808e+01   9.1693643441e-06
1.4467253177e+01   1.3460729976e-04
1.4545454545e+01   1.3287054797e-04
1.4623655914e+01   3.4921182582e-04
1.4701857283e+01   3.3256225255e-04
1.4780058651e+01   4.2645341230e-04
1.4858260020e+01   4.7265182724e-04
1.4936461388e+01   4.7257212578e-04
1.5014662757e+01   3.7300991021e-04
1.5092864125e+01   1.6740188833e-04
1.5171065494e+01   8.9379058680e-06
1.5249266862e+01   1.2097788039e-04
1.5327468231e+01   3.3782139092e-04
1.5405669599e+01   4.3879370358e-04
1.5483870968e+01   4.2923164735e-04
1.5562072336e+01   3.3608826871e-04
1.5640273705e+01   3.1383013193e-04
1.5718475073e+01   1.6553427302e-04
1.5796676442e+01   8.4591473442e-06
1.5874877810e+01   1.1029452812e-04
1.5953079179e+01   3.6428129125e-04
1.6031280547e+01   5.2534519141e-04
1.6109481916e+01   5.7726773556e-04
1.6187683284e+01   5.2175286194e-04
1.6265884653e+01   4.9077576995e-04
1.6344086022e+01   3.4520504390e-04
1.6422287390e+01   3.5566135993e-04
1.6500488759e+01   1.7993731930e-04
1.6578690127e+01   1.8576064048e-04
1.6656891496e+01   8.2291112694e-06
1.6735092864e+01   9.7047227314e-05
1.6813294233e+01   9.6523178582e-05
1.6891495601e+01   3.3011685483e-04
1.6969696970e+01   4.6449877766e-04
1.7047898338e+01   5.0511242476e-04
1.7126099707e+01   4.8742257044e-04
1.7204301075e+01   4.4366667709e-04
1.7282502444e+01   4.2587712900e-04
1.7360703812e+01   3.1658482373e-04
1.7438905181e+01   3.0359596406e-04
1.7517106549e+01   1.4455314947e-04
1.7595307918e+01   1.3890681060e-04
1.7673509286e+01   5.1017549925e-06
1.7751710655e+01   5.3904219855e-05
1.7829912023e+01   5.1934494208e-05
1.7908113392e+01   1.9642201506e-04
1.7986314761e+01   1.9011674026e-04
1.8064516129e+01   2.7136008484e-04
1.8142717498e+01   2.6370574178e-04
1.8220918866e+01   2.5868761625e-04
1.8299120235e+01   2.9973446401e-04
1.8377321603e+01   3.0463851035e-04
1.8455522972e+01   3.0879067998e-04
1.8533724340e+01   2.9903013398e-04
1.8611925709e+01   3.0215238633e-04
1.8690127077e+01   3.0513242033e-04
1.8768328446e+01   2.4256872409e-04
1.8846529814e+01   2.4517764250e-04
1.8924731183e+01   2.4809759165e-04
1.9002932551e+01   1.2990884457e-04
1.9081133920e+01   1.3198458071e-04
1.9159335288e+01   1.3440482572e-04
1.9237536657e+01   4.3929363813e-06
1.9315738025e+01   4.5581357123e-05
1.9393939394e+01   4.6631572375e-05
1.9472140762e+01   4.7825119212e-05
1.9550342131e+01   2.2338247766e-04
1.9628543500e+01   2.3017982757e-04
1.9706744868e+01   3.5774048182e-04
1.9784946237e+01   3.6958869313e-04
1.9863147605e+01   4.4010283943e-04
1.9941348974e+01   4.5437978595e-04
2.0019550342e+01   4.5455265577e-04
2.0097751711e+01   4.6693757252e-04
2.0175953079e+01   3.8230270581e-04
2.0254154448e+01   3.8856150877e-04
2.0332355816e+01   2.1012641626e-04
2.0410557185e+01   2.0977412362e-04
2.0488758553e+01   5.4032889836e-06
2.0566959922e+01   5.0567716444e-05
2.0645161290e+01   4.8736785659e-05
2.0723362659e+01   2.4926313227e-04
2.0801564027e+01   2.2906088163e-04
2.0879765396e+01   3.7716976971e-04
2.0957966764e+01   4.6687355510e-04
2.1036168133e+01   4.7533052399e-04
2.1114369501e+01   3.9103915230e-04
2.1192570870e+01   2.1432907444e-04
2.1270772239e+01   4.2750898100e-06
2.1348973607e+01   3.7980841987e-05
2.1427174976e+01   2.4195895732e-04
2.1505376344e+01   3.3337280632e-04
2.1583577713e+01   3.3653525281e-04
2.1661779081e+01   4.0054187688e-04
2.1739980450e+01   3.7242067154e-04
