X    Y    Z
5.0000000000e-01   5.0000000000e-01   0.0000000000e+00
5.1373513993e-01   5.1404805783e-01   5.5428687768e-03
5.1376010493e-01   5.1407418240e-01   5.5530390402e-03
5.1400974773e-01   5.1433554297e-01   5.6547592299e-03
5.1650541171e-01   5.1696066946e-01   6.6737239980e-03
5.3594801245e-01   5.3822833171e-01   1.4756400268e-02
5.5516899527e-01   5.6085994322e-01   2.3054202348e-02
5.7403041386e-01   5.8492968263e-01   3.1585539092e-02
5.9238180686e-01   6.1050788435e-01   4.0369657636e-02
5.9240487911e-01   6.1054158642e-01   4.0381060623e-02
5.9263554122e-01   6.1087874858e-01   4.0495115036e-02
5.9493604562e-01   6.1426454893e-01   4.1638121543e-02
6.1250610904e-01   6.4164333602e-01   5.0735393830e-02
6.2920634187e-01   6.7065696855e-01   6.0129025774e-02
6.4485492339e-01   7.0134657323e-01   6.9840127380e-02
6.4487418119e-01   7.0138690309e-01   6.9852757786e-02
6.4506664771e-01   7.0179035478e-01   6.9979092323e-02
6.4698008385e-01   7.0584018990e-01   7.1245494566e-02
6.6119868743e-01   7.3847282113e-01   8.1345173926e-02
6.7396261750e-01   7.7280916734e-01   9.1807801402e-02
6.8508564060e-01   8.0882463387e-01   1.0265402860e-01
6.8509873626e-01   8.0887174371e-01   1.0266815234e-01
6.8522952906e-01   8.0934298836e-01   1.0280942606e-01
6.8652100230e-01   8.1407003475e-01   1.0422580054e-01
6.9555253560e-01   8.5193389210e-01   1.1553411762e-01
7.0257709654e-01   8.9131640731e-01   1.2726650170e-01
7.0745133840e-01   9.3208269223e-01   1.3943894395e-01
7.0745614136e-01   9.3213563667e-01   1.3945479719e-01
7.0750396674e-01   9.3266518974e-01   1.3961337046e-01
7.0796175155e-01   9.3797150122e-01   1.4120318857e-01
7.1023834177e-01   9.8009727650e-01   1.5389425251e-01
7.1015142381e-01   1.0231685899e+00   1.6704978695e-01
7.0765701682e-01   1.0669073001e+00   1.8067515455e-01
7.0765228011e-01   1.0669635244e+00   1.8069287958e-01
7.0760469587e-01   1.0675257991e+00   1.8087017221e-01
7.0710715437e-01   1.0731514979e+00   1.8264733241e-01
7.0186284951e-01   1.1172529449e+00   1.9680965141e-01
6.9425935147e-01   1.1612740233e+00   2.1143646737e-01
6.9424815302e-01   1.1613300918e+00   2.1145546449e-01
6.9413596435e-01   1.1618907334e+00   2.1164547648e-01
6.9299371635e-01   1.1674925512e+00   2.1354966728e-01
6.8281217301e-01   1.2109176336e+00   2.2869234705e-01
6.7052351367e-01   1.2533471512e+00   2.4426677276e-01
6.7050652457e-01   1.2534005748e+00   2.4428695470e-01
6.7033646033e-01   1.2539346793e+00   2.4448881065e-01
6.6861857809e-01   1.2592624075e+00   2.4651101308e-01
6.5414899002e-01   1.2999905055e+00   2.6254661411e-01
6.3800511278e-01   1.3387288826e+00   2.7895052981e-01
6.2043498776e-01   1.3750200694e+00   2.9568258718e-01
6.2041171925e-01   1.3750647212e+00   2.9570417416e-01
6.2017892993e-01   1.3755109790e+00   2.9592006932e-01
6.1784072725e-01   1.3799474141e+00   2.9808153481e-01
5.9896835499e-01   1.4129143107e+00   3.1513111318e-01
5.7925148155e-01   1.4425473167e+00   3.3240224879e-01
5.5896623801e-01   1.4685026491e+00   3.4983702138e-01
5.5894005005e-01   1.4685333566e+00   3.4985939477e-01
5.5867814363e-01   1.4688400739e+00   3.5008313788e-01
5.5605650887e-01   1.4718714398e+00   3.5232145593e-01
5.3544862063e-01   1.4932821533e+00   3.6986719157e-01
5.1482600405e-01   1.5104852921e+00   3.8744039924e-01
4.9441587155e-01   1.5233418843e+00   4.0497418314e-01
4.9438999703e-01   1.5233555057e+00   4.0499655041e-01
4.9413128942e-01   1.5234913224e+00   4.0522021343e-01
4.9154804394e-01   1.5248097261e+00   4.0745585016e-01
4.7162512749e-01   1.5326246578e+00   4.2486213511e-01
4.5231127938e-01   1.5360346146e+00   4.4208524707e-01
4.3374638938e-01   1.5351178086e+00   4.5906019674e-01
4.1604189552e-01   1.5300119843e+00   4.7572468911e-01
4.1601984558e-01   1.5300028495e+00   4.7574577455e-01
4.1579943134e-01   1.5299111415e+00   4.7595659573e-01
4.1360383978e-01   1.5289581630e+00   4.7806145682e-01
3.9698390140e-01   1.5193035426e+00   4.9429978025e-01
3.8137584337e-01   1.5059195874e+00   5.1010693575e-01
3.6681536919e-01   1.4890792652e+00   5.2543382589e-01
3.5332006978e-01   1.4690806837e+00   5.4023655787e-01
3.5330349709e-01   1.4690532218e+00   5.4025513429e-01
3.5313786632e-01   1.4687783475e+00   5.4044084785e-01
