X    Y    Z
5.0000000000e-01   5.0000000000e-01   0.0000000000e+00
5.6081724864e-01   5.6785816329e-01   2.5563814046e-02
6.0025952853e-01   6.2226625980e-01   4.4322973791e-02
6.3643862667e-01   6.8435377792e-01   6.4488804138e-02
6.6880371904e-01   7.5821597134e-01   8.7378492809e-02
6.9988784152e-01   8.7463817598e-01   1.2229799320e-01
7.1047924947e-01   1.0050235977e+00   1.6148070199e-01
7.0434416366e-01   1.0988184313e+00   1.9083687620e-01
6.9542161634e-01   1.1553454944e+00   2.0943341675e-01
6.5833551616e-01   1.2888860533e+00   2.5806545000e-01
6.2285966515e-01   1.3703209057e+00   2.9342586595e-01
5.8167381326e-01   1.4391496705e+00   3.3030174277e-01
5.3530757444e-01   1.4934140940e+00   3.6998717457e-01
4.7149099938e-01   1.5326628279e+00   4.2498044151e-01
4.1348703243e-01   1.5289054427e+00   4.7817368536e-01
3.6474001351e-01   1.4862965700e+00   5.2767020955e-01
3.2641419957e-01   1.4130791614e+00   5.7197221495e-01
2.9823819256e-01   1.3191116951e+00   6.1009741519e-01
2.7929569091e-01   1.2138809338e+00   6.4158073687e-01
2.7113769221e-01   1.1397931091e+00   6.5921977247e-01
2.6648654983e-01   1.0658091503e+00   6.7390894318e-01
2.6517831414e-01   9.9015474174e-01   6.8624146371e-01
2.6910104842e-01   8.9171591902e-01   6.9840187366e-01
2.7945698115e-01   8.0258840015e-01   7.0547716706e-01
2.9626009722e-01   7.2392113965e-01   7.0818936446e-01
3.2755872442e-01   6.3914144857e-01   7.0645094526e-01
3.7235213103e-01   5.6997141651e-01   6.9996189858e-01
4.3179031391e-01   5.1813495423e-01   6.9007806959e-01
4.8783710222e-01   4.9006392902e-01   6.8111595569e-01
5.5431856656e-01   4.7161734043e-01   6.7146981719e-01
6.3195801573e-01   4.6307861871e-01   6.6163918007e-01
7.2105445554e-01   4.6521380337e-01   6.5212429448e-01
8.2109104297e-01   4.7943124969e-01   6.4345298370e-01
9.3015983129e-01   5.0796799481e-01   6.3621455137e-01
1.0077640510e+00   5.3726876180e-01   6.3244847149e-01
1.0860682329e+00   5.7627485182e-01   6.2991576874e-01
1.1656236163e+00   6.2942247092e-01   6.2893855167e-01
1.2623074306e+00   7.2690950686e-01   6.3119939749e-01
1.3123900801e+00   8.1131871823e-01   6.3571192106e-01
1.3336535370e+00   8.6910681362e-01   6.3976632895e-01
1.3511893750e+00   9.7734134528e-01   6.4908208538e-01
1.3495004037e+00   1.0482763823e+00   6.5630147459e-01
1.3247196709e+00   1.1740233036e+00   6.7128835146e-01
1.2967691259e+00   1.2512295017e+00   6.8204176497e-01
1.2301003478e+00   1.3773958276e+00   7.0291594267e-01
1.1801879415e+00   1.4476254795e+00   7.1702035430e-01
1.0852651361e+00   1.5490273963e+00   7.4285003881e-01
1.0245579841e+00   1.5969860551e+00   7.5935663726e-01
9.2235637856e-01   1.6513462453e+00   7.8796307606e-01
8.6324164731e-01   1.6673175670e+00   8.0529016000e-01
7.3275058281e-01   1.6550089509e+00   8.4661012618e-01
6.2887155126e-01   1.5806073130e+00   8.8378750447e-01
5.7408139178e-01   1.5044800237e+00   9.0554041734e-01
5.4716454165e-01   1.4524254453e+00   9.1692332573e-01
5.1115498291e-01   1.3589229167e+00   9.3304300293e-01
4.9451266734e-01   1.3009652444e+00   9.4092492733e-01
4.6736162426e-01   1.1593467963e+00   9.5475079489e-01
4.5695595931e-01   1.0258955487e+00   9.6128880909e-01
4.5820716532e-01   9.4266295877e-01   9.6201944284e-01
4.6568431601e-01   8.6652224990e-01   9.6008762397e-01
4.8713207725e-01   7.6981560694e-01   9.5319477678e-01
5.2073036585e-01   6.9005643070e-01   9.4240660359e-01
5.6652168057e-01   6.2651445922e-01   9.2870678197e-01
6.2485304526e-01   5.7823733603e-01   9.1298959157e-01
6.9616657469e-01   5.4443127331e-01   8.9606335236e-01
7.8073319698e-01   5.2472724578e-01   8.7866890770e-01
8.7828155299e-01   5.1939372208e-01   8.6150848579e-01
9.5613246685e-01   5.2506719455e-01   8.4965146608e-01
