X    Y
0.0000000000e+00   5.0000000000e-01
2.4570410557e-01   5.6785816329e-01
4.1330684262e-01   6.2226625980e-01
5.8180957967e-01   6.8435377792e-01
7.5931231672e-01   7.5821597134e-01
1.0050164223e+00   8.7463817598e-01
1.2507205279e+00   1.0050235977e+00
1.4183232649e+00   1.0988184313e+00
1.5186246334e+00   1.1553454944e+00
1.7643287390e+00   1.2888860533e+00
1.9319314761e+00   1.3703209057e+00
2.1004342131e+00   1.4391496705e+00
2.2779369501e+00   1.4934140940e+00
2.5236410557e+00   1.5326628279e+00
2.7693451613e+00   1.5289054427e+00
3.0150492669e+00   1.4862965700e+00
3.2607533724e+00   1.4130791614e+00
3.5064574780e+00   1.3191116951e+00
3.7521615836e+00   1.2138809338e+00
3.9197643206e+00   1.1397931091e+00
4.0882670577e+00   1.0658091503e+00
4.2657697947e+00   9.9015474174e-01
4.5114739003e+00   8.9171591902e-01
4.7571780059e+00   8.0258840015e-01
5.0028821114e+00   7.2392113965e-01
5.3167875855e+00   6.3914144857e-01
5.6396930596e+00   5.6997141651e-01
5.9634985337e+00   5.1813495423e-01
6.2092026393e+00   4.9006392902e-01
6.4549067449e+00   4.7161734043e-01
6.7006108504e+00   4.6307861871e-01
6.9463149560e+00   4.6521380337e-01
7.1920190616e+00   4.7943124969e-01
7.4377231672e+00   5.0796799481e-01
7.6053259042e+00   5.3726876180e-01
7.7738286413e+00   5.7627485182e-01
7.9513313783e+00   6.2942247092e-01
8.1970354839e+00   7.2690950686e-01
8.3646382209e+00   8.1131871823e-01
8.4649395894e+00   8.6910681362e-01
8.6325423265e+00   9.7734134528e-01
8.7328436950e+00   1.0482763823e+00
8.9004464321e+00   1.1740233036e+00
9.0007478006e+00   1.2512295017e+00
9.1683505376e+00   1.3773958276e+00
9.2686519062e+00   1.4476254795e+00
9.4362546432e+00   1.5490273963e+00
9.5365560117e+00   1.5969860551e+00
9.7041587488e+00   1.6513462453e+00
9.8044601173e+00   1.6673175670e+00
1.0050164223e+01   1.6550089509e+00
1.0295868328e+01   1.5806073130e+00
1.0463471065e+01   1.5044800237e+00
1.0563772434e+01   1.4524254453e+00
1.0731375171e+01   1.3589229167e+00
1.0831676540e+01   1.3009652444e+00
1.1077380645e+01   1.1593467963e+00
1.1323084751e+01   1.0258955487e+00
1.1490687488e+01   9.4266295877e-01
1.1659190225e+01   8.6652224990e-01
1.1904894330e+01   7.6981560694e-01
1.2150598436e+01   6.9005643070e-01
1.2396302542e+01   6.2651445922e-01
1.2642006647e+01   5.7823733603e-01
1.2887710753e+01   5.4443127331e-01
1.3133414858e+01   5.2472724578e-01
1.3379118964e+01   5.1939372208e-01
1.3556621701e+01   5.2506719455e-01
1.3802325806e+01   5.4765592738e-01
1.4048029912e+01   5.9013513808e-01
1.4215632649e+01   6.3260055668e-01
1.4384135386e+01   6.8807894506e-01
1.4561638123e+01   7.6202736906e-01
1.4807342229e+01   8.9265008073e-01
1.4897743597e+01   9.4885870916e-01
1.5075246334e+01   1.0701185071e+00
