X    Y
0.0000000000e+00   0.0000000000e+00
2.4570410557e-01   2.5563814046e-02
4.1330684262e-01   4.4322973791e-02
5.8180957967e-01   6.4488804138e-02
7.5931231672e-01   8.7378492809e-02
1.0050164223e+00   1.2229799320e-01
1.2507205279e+00   1.6148070199e-01
1.4183232649e+00   1.9083687620e-01
1.5186246334e+00   2.0943341675e-01
1.7643287390e+00   2.5806545000e-01
1.9319314761e+00   2.9342586595e-01
2.1004342131e+00   3.3030174277e-01
2.2779369501e+00   3.6998717457e-01
2.5236410557e+00   4.2498044151e-01
2.7693451613e+00   4.7817368536e-01
3.0150492669e+00   5.2767020955e-01
3.2607533724e+00   5.7197221495e-01
3.5064574780e+00   6.1009741519e-01
3.7521615836e+00   6.4158073687e-01
3.9197643206e+00   6.5921977247e-01
4.0882670577e+00   6.7390894318e-01
4.2657697947e+00   6.8624146371e-01
4.5114739003e+00   6.9840187366e-01
4.7571780059e+00   7.0547716706e-01
5.0028821114e+00   7.0818936446e-01
5.3167875855e+00   7.0645094526e-01
5.6396930596e+00   6.9996189858e-01
5.9634985337e+00   6.9007806959e-01
6.2092026393e+00   6.8111595569e-01
6.4549067449e+00   6.7146981719e-01
6.7006108504e+00   6.6163918007e-01
6.9463149560e+00   6.5212429448e-01
7.1920190616e+00   6.4345298370e-01
7.4377231672e+00   6.3621455137e-01
7.6053259042e+00   6.3244847149e-01
7.7738286413e+00   6.2991576874e-01
7.9513313783e+00   6.2893855167e-01
8.1970354839e+00   6.3119939749e-01
8.3646382209e+00   6.3571192106e-01
8.4649395894e+00   6.3976632895e-01
8.6325423265e+00   6.4908208538e-01
8.7328436950e+00   6.5630147459e-01
8.9004464321e+00   6.7128835146e-01
9.0007478006e+00   6.8204176497e-01
9.1683505376e+00   7.0291594267e-01
9.2686519062e+00   7.1702035430e-01
9.4362546432e+00   7.4285003881e-01
9.5365560117e+00   7.5935663726e-01
9.7041587488e+00   7.8796307606e-01
9.8044601173e+00   8.0529016000e-01
1.0050164223e+01   8.4661012618e-01
1.0295868328e+01   8.8378750447e-01
1.0463471065e+01   9.0554041734e-01
1.0563772434e+01   9.1692332573e-01
1.0731375171e+01   9.3304300293e-01
1.0831676540e+01   9.4092492733e-01
1.1077380645e+01   9.5475079489e-01
1.1323084751e+01   9.6128880909e-01
1.1490687488e+01   9.6201944284e-01
1.1659190225e+01   9.6008762397e-01
1.1904894330e+01   9.5319477678e-01
1.2150598436e+01   9.4240660359e-01
1.2396302542e+01   9.2870678197e-01
1.2642006647e+01   9.1298959157e-01
1.2887710753e+01   8.9606335236e-01
1.3133414858e+01   8.7866890770e-01
1.3379118964e+01   8.6150848579e-01
1.3556621701e+01   8.4965146608e-01
1.3802325806e+01   8.3456007569e-01
1.4048029912e+01   8.2174204863e-01
1.4215632649e+01   8.1477828070e-01
1.4384135386e+01   8.0962793955e-01
