X    Y
0.0000000000e+00   0.0000000000e+00
3.8095238095e-02   4.7523616986e-14
7.6190476190e-02   1.1330433120e-13
1.1428571429e-01   3.0562531672e-13
1.5238095238e-01   1.5699767875e-12
1.9047619048e-01   8.7119131353e-12
2.2857142857e-01   3.9265726087e-11
2.6666666667e-01   1.4473270499e-10
3.0476190476e-01   4.5512687369e-10
3.4285714286e-01   1.2641359765e-09
3.8095238095e-01   3.1811815543e-09
4.1904761905e-01   7.3890739360e-09
4.5714285714e-01   1.6062855990e-08
4.9523809524e-01   3.3028137454e-08
5.3333333333e-01   6.4767399902e-08
5.7142857143e-01   1.2192247531e-07
6.0952380952e-01   2.2149324863e-07
6.4761904762e-01   3.8999980667e-07
6.8571428571e-01   6.6796170611e-07
7.2380952381e-01   1.1161586351e-06
7.6190476190e-01   1.8242774833e-06
8.0000000000e-01   2.9227290536e-06
8.3809523810e-01   4.5986423202e-06
8.7619047619e-01   7.1173262069e-06
9.1428571429e-01   1.0850841667e-05
9.5238095238e-01   1.6315766572e-05
9.9047619048e-01   2.4222782219e-05
1.0285714286e+00   3.5541386900e-05
1.0666666667e+00   5.1583877696e-05
1.1047619048e+00   7.4113771072e-05
1.1428571429e+00   1.0548509771e-04
1.1809523810e+00   1.4882055746e-04
1.2190476190e+00   2.0823841660e-04
1.2571428571e+00   2.8914034355e-04
1.2952380952e+00   3.9857519776e-04
1.3333333333e+00   5.4569721185e-04
1.3714285714e+00   7.4234116279e-04
1.4095238095e+00   1.0037421597e-03
1.4476190476e+00   1.3494337583e-03
1.4857142857e+00   1.8043654498e-03
1.5238095238e+00   2.4002894113e-03
1.5619047619e+00   3.1774770336e-03
1.6000000000e+00   4.1868384988e-03
1.6380952381e+00   5.4925339730e-03
1.6761904762e+00   7.1751832715e-03
1.7142857143e+00   9.3358027081e-03
1.7523809524e+00   1.2100623903e-02
1.7904761905e+00   1.5626980351e-02
1.8285714286e+00   2.0110484449e-02
1.8666666667e+00   2.5793761442e-02
1.9047619048e+00   3.2977058636e-02
1.9428571429e+00   4.2031109574e-02
1.9809523810e+00   5.3412705326e-02
2.0190476190e+00   6.7683510459e-02
2.0571428571e+00   8.5532761812e-02
2.0952380952e+00   1.0780460625e-01
2.1333333333e+00   1.3553097212e-01
2.1714285714e+00   1.6997103118e-01
2.2095238095e+00   2.1265849723e-01
2.2476190476e+00   2.6545822834e-01
2.2857142857e+00   3.3063385659e-01
2.3238095238e+00   4.1092846743e-01
2.3619047619e+00   5.0966069604e-01
2.4000000000e+00   6.3083900740e-01
