X    Y
0.0000000000e+00   5.0000000000e-01
3.8095238095e-02   5.0967040985e-01
7.6190476190e-02   5.1963992910e-01
1.1428571429e-01   5.2991741980e-01
1.5238095238e-01   5.4051171291e-01
1.9047619048e-01   5.5143156722e-01
2.2857142857e-01   5.6268562290e-01
2.6666666667e-01   5.7428234892e-01
3.0476190476e-01   5.8622998330e-01
3.4285714286e-01   5.9853646498e-01
3.8095238095e-01   6.1120935571e-01
4.1904761905e-01   6.2425574966e-01
4.5714285714e-01   6.3768216825e-01
4.9523809524e-01   6.5149443633e-01
5.3333333333e-01   6.6569753532e-01
5.7142857143e-01   6.8029542699e-01
6.0952380952e-01   6.9529084046e-01
6.4761904762e-01   7.1068501214e-01
6.8571428571e-01   7.2647736607e-01
7.2380952381e-01   7.4266511827e-01
7.6190476190e-01   7.5924278459e-01
8.0000000000e-01   7.7620156575e-01
8.3809523810e-01   7.9352857684e-01
8.7619047619e-01   8.1120587972e-01
9.1428571429e-01   8.2920926663e-01
9.5238095238e-01   8.4750673028e-01
9.9047619048e-01   8.6605653989e-01
1.0285714286e+00   8.8480482345e-01
1.0666666667e+00   9.0368253252e-01
1.1047619048e+00   9.2260163727e-01
1.1428571429e+00   9.4145036411e-01
1.1809523810e+00   9.6008724573e-01
1.2190476190e+00   9.7833370154e-01
1.2571428571e+00   9.9596480408e-01
1.2952380952e+00   1.0126978115e+00
1.3333333333e+00   1.0281779552e+00
1.3714285714e+00   1.0419608628e+00
1.4095238095e+00   1.0534908651e+00
1.4476190476e+00   1.0620742788e+00
1.4857142857e+00   1.0668465692e+00
1.5238095238e+00   1.0667320729e+00
1.5619047619e+00   1.0603946918e+00
1.6000000000e+00   1.0461776558e+00
1.6380952381e+00   1.0220300682e+00
1.6761904762e+00   9.8541750634e-01
1.7142857143e+00   9.3321341485e-01
1.7523809524e+00   8.6156740597e-01
1.7904761905e+00   7.6574584055e-01
1.8285714286e+00   6.3993919375e-01
1.8666666667e+00   4.7702968553e-01
1.9047619048e+00   2.6831145505e-01
1.9428571429e+00   3.1541504280e-03
1.9809523810e+00   -3.3140084032e-01
2.0190476190e+00   -7.5112421266e-01
2.0571428571e+00   -1.2751775561e+00
2.0952380952e+00   -1.9268046856e+00
2.1333333333e+00   -2.7341560457e+00
2.1714285714e+00   -3.7312702263e+00
2.2095238095e+00   -4.9592406632e+00
2.2476190476e+00   -6.4676002304e+00
2.2857142857e+00   -8.3159617582e+00
2.3238095238e+00   -1.0575958604e+01
2.3619047619e+00   -1.3333536355e+01
2.4000000000e+00   -1.6691654631e+01
