X    Y
0.0000000000e+00   0.0000000000e+00
1.0000000000e-04   1.0000150006e-05
1.1000000000e-03   1.1001815754e-04
1.1100000000e-02   1.1118559158e-03
8.9301368524e-02   9.0538600614e-03
1.6750273705e-01   1.7198585078e-02
2.4570410557e-01   2.5563814046e-02
3.2390547410e-01   3.4168212304e-02
4.0210684262e-01   4.3031260285e-02
4.8030821114e-01   5.2173152807e-02
5.5850957967e-01   6.1614658565e-02
6.3671094819e-01   7.1376933339e-02
7.1491231672e-01   8.1481280569e-02
7.9311368524e-01   9.1948853515e-02
8.7131505376e-01   1.0280029438e-01
9.4951642229e-01   1.1405530770e-01
1.0277177908e+00   1.2573216792e-01
1.1059191593e+00   1.3784716487e-01
1.1841205279e+00   1.5041399491e-01
1.2623218964e+00   1.6344311115e-01
1.3405232649e+00   1.7694105080e-01
1.4187246334e+00   1.9090976397e-01
1.4969260020e+00   2.0534597176e-01
1.5751273705e+00   2.2024058549e-01
1.6533287390e+00   2.3557826715e-01
1.6534287390e+00   2.3559815521e-01
1.6544287390e+00   2.3579707382e-01
1.6644287390e+00   2.3779004045e-01
1.7426301075e+00   2.5360646021e-01
1.8208314761e+00   2.6981061784e-01
1.8990328446e+00   2.8636600855e-01
1.9772342131e+00   3.0322959049e-01
2.0554355816e+00   3.2035222789e-01
2.1336369501e+00   3.3767932953e-01
2.2118383187e+00   3.5515166123e-01
2.2900396872e+00   3.7270630083e-01
2.3682410557e+00   3.9027769645e-01
2.4464424242e+00   4.0779878465e-01
2.5246437928e+00   4.2520212358e-01
2.6028451613e+00   4.4242099841e-01
2.6810465298e+00   4.5939046101e-01
2.7592478983e+00   4.7604827243e-01
2.8374492669e+00   4.9233572462e-01
2.9156506354e+00   5.0819832608e-01
2.9938520039e+00   5.2358634442e-01
3.0720533724e+00   5.3845520559e-01
3.1502547410e+00   5.5276575602e-01
3.2284561095e+00   5.6648439785e-01
3.3066574780e+00   5.7958311040e-01
3.3848588465e+00   5.9203937204e-01
3.4630602151e+00   6.0383599691e-01
3.5412615836e+00   6.1496090009e-01
3.6194629521e+00   6.2540680422e-01
3.6976643206e+00   6.3517090013e-01
3.7758656891e+00   6.4425447429e-01
3.8540670577e+00   6.5266251608e-01
3.9322684262e+00   6.6040331833e-01
4.0104697947e+00   6.6748808382e-01
4.0886711632e+00   6.7393054844e-01
4.1668725318e+00   6.7974662865e-01
4.2450739003e+00   6.8495409618e-01
4.3232752688e+00   6.8957227949e-01
4.4014766373e+00   6.9362178834e-01
4.4796780059e+00   6.9712425813e-01
4.5578793744e+00   7.0010211256e-01
4.6360807429e+00   7.0257834726e-01
4.7142821114e+00   7.0457634029e-01
4.7924834800e+00   7.0611969536e-01
4.8706848485e+00   7.0723211848e-01
4.9488862170e+00   7.0793685839e-01
5.0270875855e+00   7.0825684512e-01
5.0271875855e+00   7.0825701786e-01
5.0281875855e+00   7.0825871266e-01
5.0381875855e+00   7.0827241850e-01
5.1163889541e+00   7.0818117248e-01
5.1945903226e+00   7.0775404212e-01
5.2727916911e+00   7.0701321689e-01
5.3509930596e+00   7.0598042432e-01
5.4291944282e+00   7.0467690016e-01
5.5073957967e+00   7.0312336951e-01
5.5855971652e+00   7.0134003815e-01
5.6637985337e+00   6.9934659278e-01
5.7419999022e+00   6.9716220957e-01
5.8202012708e+00   6.9480557012e-01
5.8984026393e+00   6.9229488422e-01
5.9766040078e+00   6.8964791903e-01
6.0548053763e+00   6.8688203398e-01
6.1330067449e+00   6.8401422141e-01
6.2112081134e+00   6.8106115249e-01
6.2894094819e+00   6.7803922844e-01
6.3676108504e+00   6.7496463714e-01
6.4458122190e+00   6.7185341496e-01
6.5240135875e+00   6.6872151434e-01
6.6022149560e+00   6.6558487709e-01
6.6804163245e+00   6.6245951404e-01
6.7586176931e+00   6.5936159120e-01
6.8368190616e+00   6.5630752309e-01
6.9150204301e+00   6.5331407360e-01
6.9932217986e+00   6.5039846474e-01
7.0714231672e+00   6.4757849376e-01
7.1496245357e+00   6.4487265854e-01
7.2278259042e+00   6.4230029132e-01
7.3060272727e+00   6.3988169987e-01
7.3842286413e+00   6.3763831521e-01
7.4624300098e+00   6.3559284360e-01
7.5406313783e+00   6.3376941991e-01
7.6188327468e+00   6.3219375797e-01
7.6970341153e+00   6.3089329200e-01
7.6971341153e+00   6.3089181750e-01
7.6981341153e+00   6.3087709990e-01
7.7081341153e+00   6.3073266842e-01
7.7863354839e+00   6.2978190163e-01
7.8645368524e+00   6.2917065964e-01
7.9427382209e+00   6.2893246484e-01
8.0209395894e+00   6.2910290490e-01
8.0991409580e+00   6.2971956721e-01
8.1773423265e+00   6.3082187005e-01
8.2555436950e+00   6.3245076124e-01
8.3337450635e+00   6.3464825240e-01
8.4119464321e+00   6.3745675622e-01
8.4901478006e+00   6.4091819708e-01
8.5683491691e+00   6.4507287244e-01
8.6465505376e+00   6.4995805617e-01
8.7247519062e+00   6.5560635502e-01
8.8029532747e+00   6.6204385715e-01
8.8811546432e+00   6.6928814415e-01
8.9593560117e+00   6.7734627338e-01
9.0375573803e+00   6.8621286813e-01
9.0376573803e+00   6.8622471714e-01
9.0386573803e+00   6.8634327833e-01
9.0486573803e+00   6.8753598432e-01
9.1268587488e+00   6.9730109082e-01
9.2050601173e+00   7.0781418271e-01
9.2832614858e+00   7.1902236609e-01
9.3614628543e+00   7.3085706200e-01
9.4396642229e+00   7.4323500893e-01
9.5178655914e+00   7.5606002192e-01
9.5960669599e+00   7.6922541151e-01
9.6742683284e+00   7.8261690261e-01
9.7524696970e+00   7.9611585106e-01
9.8306710655e+00   8.0960253925e-01
9.9088724340e+00   8.2295934224e-01
9.9870738025e+00   8.3607358777e-01
