X    Y
0.0000000000e+00   5.0000000000e-01
1.0000000000e-04   5.0002500000e-01
1.1000000000e-03   5.0027499995e-01
1.1100000000e-02   5.0277494850e-01
8.9301368524e-02   5.2229772408e-01
1.6750273705e-01   5.4168811968e-01
2.4570410557e-01   5.6081724864e-01
3.2390547410e-01   5.7954338600e-01
4.0210684262e-01   5.9771249171e-01
4.8030821114e-01   6.1515919503e-01
5.5850957967e-01   6.3170831954e-01
6.3671094819e-01   6.4717702132e-01
7.1491231672e-01   6.6137759879e-01
7.9311368524e-01   6.7412100834e-01
8.7131505376e-01   6.8522108478e-01
9.4951642229e-01   6.9449941907e-01
1.0277177908e+00   7.0179078813e-01
1.1059191593e+00   7.0694896661e-01
1.1841205279e+00   7.0985268303e-01
1.2623218964e+00   7.1041142090e-01
1.3405232649e+00   7.0857071970e-01
1.4187246334e+00   7.0431661195e-01
1.4969260020e+00   6.9767885143e-01
1.5751273705e+00   6.8873264794e-01
1.6533287390e+00   6.7759253175e-01
1.6534287390e+00   6.7757694786e-01
1.6544287390e+00   6.7742092620e-01
1.6644287390e+00   6.7584250547e-01
1.7426301075e+00   6.6239895827e-01
1.8208314761e+00   6.4715449997e-01
1.8990328446e+00   6.3034339675e-01
1.9772342131e+00   6.1222292240e-01
2.0554355816e+00   5.9306481420e-01
2.1336369501e+00   5.7314641880e-01
2.2118383187e+00   5.5274208825e-01
2.2900396872e+00   5.3211533593e-01
2.3682410557e+00   5.1151216247e-01
2.4464424242e+00   4.9115583145e-01
2.5246437928e+00   4.7124323103e-01
2.6028451613e+00   4.5194282040e-01
2.6810465298e+00   4.3339404240e-01
2.7592478983e+00   4.1570799561e-01
2.8374492669e+00   3.9896910307e-01
2.9156506354e+00   3.8323749141e-01
2.9938520039e+00   3.6855180051e-01
3.0720533724e+00   3.5493217554e-01
3.1502547410e+00   3.4238324548e-01
3.2284561095e+00   3.3089695658e-01
3.3066574780e+00   3.2045519515e-01
3.3848588465e+00   3.1103219020e-01
3.4630602151e+00   3.0259671952e-01
3.5412615836e+00   2.9511414663e-01
3.6194629521e+00   2.8854829180e-01
3.6976643206e+00   2.8286309807e-01
3.7758656891e+00   2.7802401391e-01
3.8540670577e+00   2.7399899905e-01
3.9322684262e+00   2.7075908575e-01
4.0104697947e+00   2.6827849623e-01
4.0886711632e+00   2.6653441110e-01
4.1668725318e+00   2.6550657009e-01
4.2450739003e+00   2.6517692673e-01
4.3232752688e+00   2.6552954190e-01
4.4014766373e+00   2.6655078464e-01
4.4796780059e+00   2.6822974231e-01
4.5578793744e+00   2.7055858938e-01
4.6360807429e+00   2.7353260408e-01
4.7142821114e+00   2.7714962052e-01
4.7924834800e+00   2.8140898600e-01
4.8706848485e+00   2.8634120077e-01
4.8707848485e+00   2.8634792904e-01
4.8717848485e+00   2.8641527107e-01
4.8817848485e+00   2.8709463590e-01
4.9599862170e+00   2.9278209372e-01
5.0381875855e+00   2.9914151903e-01
5.1163889541e+00   3.0618527904e-01
5.1945903226e+00   3.1392799421e-01
5.2727916911e+00   3.2238643388e-01
5.3509930596e+00   3.3157940723e-01
5.4291944282e+00   3.4152764706e-01
5.5073957967e+00   3.5225368370e-01
5.5855971652e+00   3.6378170561e-01
5.6637985337e+00   3.7613740298e-01
5.7419999022e+00   3.8934778994e-01
5.8202012708e+00   4.0344100034e-01
5.8984026393e+00   4.1844605144e-01
5.9766040078e+00   4.3439256911e-01
6.0548053763e+00   4.5131046724e-01
6.1330067449e+00   4.6922957299e-01
6.2112081134e+00   4.8817918860e-01
6.2894094819e+00   5.0818757909e-01
6.3676108504e+00   5.2928137418e-01
6.4458122190e+00   5.5148487126e-01
6.5240135875e+00   5.7481922506e-01
6.6022149560e+00   5.9930150854e-01
6.6804163245e+00   6.2494362877e-01
6.7586176931e+00   6.5175108090e-01
6.8368190616e+00   6.7972152387e-01
6.9150204301e+00   7.0884316244e-01
6.9932217986e+00   7.3909292263e-01
7.0714231672e+00   7.7043441181e-01
7.1496245357e+00   8.0281566060e-01
7.1497245357e+00   8.0285772961e-01
7.1507245357e+00   8.0327850766e-01
7.1607245357e+00   8.0749505594e-01
7.2389259042e+00   8.4100067688e-01
7.3171272727e+00   8.7538051390e-01
7.3953286413e+00   9.1051897296e-01
7.4735300098e+00   9.4627356983e-01
7.5517313783e+00   9.8247172625e-01
7.6299327468e+00   1.0189075629e+00
7.7081341153e+00   1.0553388292e+00
7.7863354839e+00   1.0914841627e+00
7.8645368524e+00   1.1270209302e+00
7.9427382209e+00   1.1615839725e+00
8.0209395894e+00   1.1947656474e+00
8.0991409580e+00   1.2261176329e+00
8.1773423265e+00   1.2551550098e+00
8.2555436950e+00   1.2813631608e+00
8.3337450635e+00   1.3042079969e+00
8.4119464321e+00   1.3231496659e+00
8.4901478006e+00   1.3376608494e+00
8.5683491691e+00   1.3472479774e+00
8.6465505376e+00   1.3514760095e+00
8.6466505376e+00   1.3514778250e+00
8.6476505376e+00   1.3514954655e+00
8.6576505376e+00   1.3516203024e+00
8.7358519062e+00   1.3493067737e+00
8.8140532747e+00   1.3410228752e+00
8.8922546432e+00   1.3266878255e+00
8.9704560117e+00   1.3063786863e+00
9.0486573803e+00   1.2803407005e+00
9.1268587488e+00   1.2489872707e+00
9.2050601173e+00   1.2128883384e+00
9.2832614858e+00   1.1727472910e+00
9.3614628543e+00   1.1293680538e+00
9.4396642229e+00   1.0836154445e+00
9.4397642229e+00   1.0835557962e+00
9.4407642229e+00   1.0829591797e+00
9.4507642229e+00   1.0769800388e+00
9.5289655914e+00   1.0295953310e+00
9.6071669599e+00   9.8169722655e-01
9.6853683284e+00   9.3407495101e-01
9.7635696970e+00   8.8742684297e-01
9.8417710655e+00   8.4234293982e-01
9.9199724340e+00   7.9929710276e-01
9.9981738025e+00   7.5864760299e-01
1.0076375171e+01   7.2064439949e-01
1.0154576540e+01   6.8544105120e-01
1.0232777908e+01   6.5310925849e-01
1.0310979277e+01   6.2365431576e-01
1.0389180645e+01   5.9703016182e-01
1.0467382014e+01   5.7315314154e-01
1.0545583382e+01   5.5191397303e-01
1.0623784751e+01   5.3318771567e-01
1.0701986119e+01   5.1684174819e-01
1.0780187488e+01   5.0274190685e-01
1.0858388856e+01   4.9075706357e-01
1.0936590225e+01   4.8076236608e-01
1.1014791593e+01   4.7264139923e-01
1.1092992962e+01   4.6628750866e-01
1.1093092962e+01   4.6628047267e-01
1.1094092962e+01   4.6621026291e-01
1.1104092962e+01   4.6552314178e-01
1.1182294330e+01   4.6107010767e-01
1.1260495699e+01   4.5819112529e-01
1.1338697067e+01   4.5681268315e-01
1.1416898436e+01   4.5687141665e-01
1.1495099804e+01   4.5831359964e-01
1.1573301173e+01   4.6109455217e-01
1.1651502542e+01   4.6517800443e-01
1.1729703910e+01   4.7053544346e-01
1.1807905279e+01   4.7714545994e-01
1.1886106647e+01   4.8499310436e-01
1.1964308016e+01   4.9406925679e-01
1.2042509384e+01   5.0437000952e-01
1.2120710753e+01   5.1589605931e-01
1.2198912121e+01   5.2865210294e-01
1.2277113490e+01   5.4264622787e-01
1.2355314858e+01   5.5788928778e-01
1.2433516227e+01   5.7439425117e-01
1.2511717595e+01   5.9217550888e-01
1.2589918964e+01   6.1124812490e-01
1.2668120332e+01   6.3162701233e-01
1.2746321701e+01   6.5332601461e-01
1.2824523069e+01   6.7635877210e-01
1.2824623069e+01   6.7638908282e-01
1.2825623069e+01   6.7669231075e-01
1.2835623069e+01   6.7973666601e-01
1.2913824438e+01   7.0430242777e-01
1.2992025806e+01   7.3021543167e-01
1.3070227175e+01   7.5747414054e-01
1.3148428543e+01   7.8606967186e-01
1.3226629912e+01   8.1598404538e-01
1.3304831281e+01   8.4718821828e-01
1.3383032649e+01   8.7963989101e-01
1.3461234018e+01   9.1328107079e-01
1.3539435386e+01   9.4803538581e-01
1.3617636755e+01   9.8380515311e-01
1.3695838123e+01   1.0204682161e+00
1.3774039492e+01   1.0578745877e+00
1.3852240860e+01   1.0958429599e+00
1.3930442229e+01   1.1341571757e+00
1.4008643597e+01   1.1725628028e+00
1.4086844966e+01   1.2107640016e+00
1.4165046334e+01   1.2484209474e+00
1.4243247703e+01   1.2851481341e+00
1.4321449071e+01   1.3205139973e+00
1.4399650440e+01   1.3540423136e+00
1.4477851808e+01   1.3852159688e+00
1.4556053177e+01   1.4134836828e+00
