X    Y
0.0000000000e+00   5.0000000000e-01
1.0000000000e-04   5.0002500100e-01
1.1000000000e-03   5.0027512104e-01
1.1100000000e-02   5.0278735748e-01
8.9301368524e-02   5.2314183539e-01
1.6750273705e-01   5.4480686404e-01
2.4570410557e-01   5.6785816329e-01
3.2390547410e-01   5.9236898597e-01
4.0210684262e-01   6.1840809809e-01
4.8030821114e-01   6.4603733711e-01
5.5850957967e-01   6.7530872017e-01
6.3671094819e-01   7.0626109171e-01
7.1491231672e-01   7.3891632487e-01
7.9311368524e-01   7.7327512509e-01
8.7131505376e-01   8.0931252783e-01
9.4951642229e-01   8.4697323396e-01
1.0277177908e+00   8.8616698407e-01
1.1059191593e+00   9.2676423213e-01
1.1841205279e+00   9.6859243267e-01
1.2623218964e+00   1.0114332948e+00
1.3405232649e+00   1.0550213706e+00
1.4187246334e+00   1.0990443231e+00
1.4969260020e+00   1.1431451546e+00
1.5751273705e+00   1.1869265651e+00
1.6533287390e+00   1.2299574686e+00
1.7315301075e+00   1.2717815442e+00
1.8097314761e+00   1.3119275968e+00
1.8879328446e+00   1.3499215077e+00
1.9661342131e+00   1.3852997636e+00
2.0443355816e+00   1.4176250393e+00
2.0444355816e+00   1.4176644832e+00
2.0454355816e+00   1.4180586170e+00
2.0554355816e+00   1.4219692608e+00
2.1336369501e+00   1.4505521533e+00
2.2118383187e+00   1.4753669567e+00
2.2900396872e+00   1.4961473027e+00
2.3682410557e+00   1.5126942134e+00
2.4464424242e+00   1.5248796371e+00
2.5246437928e+00   1.5326471752e+00
2.6028451613e+00   1.5360101756e+00
2.6810465298e+00   1.5350475246e+00
2.7592478983e+00   1.5298975742e+00
2.8374492669e+00   1.5207506955e+00
2.9156506354e+00   1.5078409597e+00
2.9938520039e+00   1.4914374159e+00
3.0720533724e+00   1.4718353783e+00
3.1502547410e+00   1.4493480625e+00
3.2284561095e+00   1.4242988278e+00
3.3066574780e+00   1.3970142067e+00
3.3848588465e+00   1.3678178294e+00
3.4630602151e+00   1.3370252915e+00
3.5412615836e+00   1.3049399663e+00
3.6194629521e+00   1.2718497223e+00
3.6976643206e+00   1.2380244847e+00
3.7758656891e+00   1.2037145585e+00
3.8540670577e+00   1.1691496186e+00
3.9322684262e+00   1.1345382660e+00
4.0104697947e+00   1.1000680485e+00
4.0886711632e+00   1.0659058480e+00
4.1668725318e+00   1.0321985473e+00
4.2450739003e+00   9.9907390784e-01
4.3232752688e+00   9.6664161110e-01
4.4014766373e+00   9.3499443711e-01
4.4796780059e+00   9.0420957045e-01
4.5578793744e+00   8.7435002926e-01
4.6360807429e+00   8.4546620243e-01
4.7142821114e+00   8.1759745513e-01
4.7924834800e+00   7.9077372463e-01
4.8706848485e+00   7.6501698682e-01
4.9488862170e+00   7.4034243965e-01
5.0270875855e+00   7.1675923553e-01
5.1052889541e+00   6.9427061195e-01
5.1834903226e+00   6.7287332390e-01
5.2616916911e+00   6.5255637227e-01
5.3398930596e+00   6.3329914146e-01
5.4180944282e+00   6.1506919051e-01
5.4962957967e+00   5.9782006526e-01
5.5744971652e+00   5.8148959245e-01
5.6526985337e+00   5.6599916004e-01
5.7308999022e+00   5.5125446860e-01
5.8091012708e+00   5.3714814987e-01
5.8873026393e+00   5.2550507667e-01
5.9655040078e+00   5.1484834811e-01
6.0437053763e+00   5.0517078459e-01
6.1219067449e+00   4.9646767396e-01
6.1220067449e+00   4.9645716757e-01
6.1230067449e+00   4.9635219114e-01
6.1330067449e+00   4.9531117140e-01
6.2112081134e+00   4.8771873773e-01
6.2894094819e+00   4.8110076135e-01
6.3676108504e+00   4.7546281139e-01
6.4458122190e+00   4.7081456594e-01
6.5240135875e+00   4.6717024658e-01
6.6022149560e+00   4.6454907844e-01
6.6804163245e+00   4.6297578035e-01
6.7586176931e+00   4.6248108811e-01
6.8368190616e+00   4.6310231284e-01
6.9150204301e+00   4.6488393406e-01
6.9932217986e+00   4.6787822430e-01
7.0714231672e+00   4.7214589811e-01
7.1496245357e+00   4.7775677267e-01
7.2278259042e+00   4.8479041984e-01
7.3060272727e+00   4.9333677999e-01
7.3842286413e+00   5.0349669464e-01
7.4624300098e+00   5.1538229923e-01
7.5406313783e+00   5.2911719659e-01
7.6188327468e+00   5.4483630677e-01
7.6970341153e+00   5.6268525960e-01
7.7752354839e+00   5.8281916199e-01
7.8534368524e+00   6.0540053575e-01
7.9316382209e+00   6.3059618369e-01
8.0098395894e+00   6.5857270861e-01
8.0880409580e+00   6.8949038618e-01
8.1662423265e+00   7.2349508928e-01
8.2444436950e+00   7.6070799174e-01
8.3226450635e+00   8.0121285955e-01
8.4008464321e+00   8.4504089154e-01
8.4790478006e+00   8.9215332343e-01
8.5572491691e+00   9.4244488829e-01
8.5573491691e+00   9.4251114366e-01
8.5583491691e+00   9.4317396287e-01
8.5683491691e+00   9.4982859068e-01
8.6465505376e+00   1.0034574058e+00
8.7247519062e+00   1.0596262361e+00
8.8029532747e+00   1.1178382610e+00
8.8811546432e+00   1.1774572904e+00
8.9593560117e+00   1.2377108243e+00
9.0375573803e+00   1.2977035381e+00
9.1157587488e+00   1.3564420788e+00
9.1939601173e+00   1.4128707277e+00
9.2721614858e+00   1.4659159364e+00
9.3503628543e+00   1.5145362544e+00
9.4285642229e+00   1.5577730177e+00
9.5067655914e+00   1.5947965642e+00
9.5849669599e+00   1.6249427142e+00
9.6631683284e+00   1.6477346902e+00
9.7413696970e+00   1.6628864190e+00
9.8195710655e+00   1.6702843877e+00
9.8977724340e+00   1.6699474172e+00
9.9759738025e+00   1.6619677644e+00
1.0054175171e+01   1.6464435198e+00
1.0132376540e+01   1.6234209215e+00
1.0210577908e+01   1.5928734125e+00
1.0288779277e+01   1.5547471844e+00
1.0366980645e+01   1.5090945960e+00
1.0445182014e+01   1.4562931826e+00
1.0523383382e+01   1.3973109068e+00
1.0601584751e+01   1.3339386593e+00
1.0679786119e+01   1.2688875192e+00
1.0757987488e+01   1.2056605701e+00
1.0836188856e+01   1.1481658414e+00
1.0914390225e+01   1.1001245721e+00
1.0992591593e+01   1.0644094990e+00
1.1070792962e+01   1.0424740010e+00
1.1148994330e+01   1.0339799518e+00
1.1227195699e+01   1.0366314474e+00
1.1305397067e+01   1.0461679296e+00
1.1383598436e+01   1.0565732185e+00
1.1461799804e+01   1.0608312304e+00
1.1540001173e+01   1.0527967403e+00
1.1618202542e+01   1.0304741724e+00
1.1696403910e+01   9.9962359035e-01
1.1774605279e+01   9.7387419011e-01
1.1852806647e+01   9.6407177459e-01
1.1931008016e+01   9.4742384393e-01
1.2009209384e+01   8.0927947625e-01
1.2087410753e+01   2.6008320296e-01
1.2165612121e+01   2.6554062074e-01
1.2243813490e+01   2.7285429104e-01
1.2322014858e+01   2.8224045150e-01
1.2400216227e+01   2.9396717994e-01
1.2478417595e+01   3.0836423552e-01
1.2556618964e+01   3.2583472670e-01
1.2634820332e+01   3.4686864435e-01
1.2713021701e+01   3.7205806228e-01
1.2791223069e+01   4.0211337847e-01
1.2869424438e+01   4.3787924325e-01
1.2947625806e+01   4.8034766125e-01
1.3025827175e+01   5.3066400871e-01
1.3104028543e+01   5.9011926253e-01
1.3104128543e+01   5.9020173292e-01
1.3105128543e+01   5.9102738544e-01
1.3115128543e+01   5.9937938553e-01
1.3193329912e+01   6.7099314982e-01
1.3271531281e+01   7.5480584859e-01
1.3349732649e+01   8.5217024665e-01
1.3427934018e+01   9.6414402882e-01
1.3506135386e+01   1.0912164495e+00
1.3584336755e+01   1.2329736636e+00
1.3662538123e+01   1.3877483216e+00
1.3662638123e+01   1.3879533807e+00
1.3663638123e+01   1.3900048652e+00
1.3673638123e+01   1.4106073075e+00
1.3745811082e+01   1.5632441737e+00
1.3824012450e+01   1.7329283471e+00
1.3902213819e+01   1.9008555290e+00
1.3980415187e+01   2.0597819567e+00
1.3980515187e+01   2.0599762489e+00
1.3981515187e+01   2.0619176940e+00
1.3991515187e+01   2.0811814919e+00
1.4054966180e+01   2.1962044558e+00
1.4119651800e+01   2.2981658052e+00
1.4192636374e+01   2.3911018362e+00
1.4270837742e+01   2.4618067763e+00
1.4349039111e+01   2.5015060625e+00
1.4427240479e+01   2.5110149033e+00
1.4427340479e+01   2.5110086273e+00
1.4428340479e+01   2.5109433619e+00
1.4438340479e+01   2.5100415357e+00
1.4516541848e+01   2.4880912537e+00
1.4594743216e+01   2.4423931031e+00
1.4672944585e+01   2.3770305228e+00
1.4751145953e+01   2.2961716328e+00
1.4829347322e+01   2.2037784847e+00
1.4907548690e+01   2.1034270986e+00
1.4985750059e+01   1.9982170453e+00
1.5063951427e+01   1.8907456894e+00
1.5142152796e+01   1.7831246451e+00
1.5142252796e+01   1.7829876852e+00
1.5143252796e+01   1.7816182265e+00
1.5153252796e+01   1.7679382616e+00
1.5231454164e+01   1.6621620508e+00
1.5309655533e+01   1.5593317269e+00
1.5387856901e+01   1.4603454779e+00
1.5466058270e+01   1.3658297388e+00
1.5544259639e+01   1.2761893742e+00
1.5622461007e+01   1.1916520100e+00
1.5700662376e+01   1.1123061956e+00
1.5778863744e+01   1.0381335991e+00
1.5857065113e+01   9.6903572202e-01
1.5935266481e+01   9.0485574951e-01
1.6013467850e+01   8.4539618572e-01
1.6013567850e+01   8.4532308002e-01
1.6014567850e+01   8.4459242750e-01
1.6024567850e+01   8.3732624027e-01
1.6102769218e+01   7.8298186465e-01
1.6180970587e+01   7.3285921349e-01
1.6259171955e+01   6.8671110472e-01
1.6337373324e+01   6.4429066751e-01
1.6415574692e+01   6.0535604266e-01
1.6493776061e+01   5.6967381504e-01
1.6571977429e+01   5.3702144571e-01
1.6650178798e+01   5.0718892467e-01
1.6728380166e+01   4.7997982615e-01
1.6806581535e+01   4.5521191518e-01
1.6884782903e+01   4.3271742680e-01
1.6962984272e+01   4.1234311741e-01
1.7041185640e+01   3.9395017012e-01
1.7119387009e+01   3.7741402263e-01
1.7197588378e+01   3.6262417644e-01
1.7275789746e+01   3.4948403929e-01
1.7353991115e+01   3.3791084860e-01
1.7432192483e+01   3.2783572128e-01
1.7510393852e+01   3.1920387445e-01
1.7588595220e+01   3.1197506162e-01
1.7666796589e+01   3.0612426876e-01
1.7744997957e+01   3.0164271414e-01
1.7823199326e+01   2.9853919381e-01
1.7901400694e+01   2.9684180997e-01
1.7979602063e+01   2.9660011180e-01
1.8057803431e+01   2.9788766601e-01
1.8136004800e+01   3.0054239127e-01
1.8136104800e+01   3.0054682427e-01
1.8137104800e+01   3.0059130360e-01
1.8147104800e+01   3.0105108000e-01
1.8225306168e+01   3.0561409332e-01
1.8303507537e+01   3.1199774832e-01
1.8381708905e+01   3.2037820689e-01
1.8459910274e+01   3.3097226585e-01
1.8538111642e+01   3.4404389766e-01
1.8616313011e+01   3.5991176840e-01
1.8694514380e+01   3.7895765000e-01
1.8772715748e+01   4.0163547095e-01
1.8850917117e+01   4.2848046620e-01
1.8929118485e+01   4.6011744591e-01
1.9007319854e+01   4.9726654388e-01
1.9085521222e+01   5.4074387120e-01
1.9085621222e+01   5.4080389689e-01
1.9086621222e+01   5.4140480408e-01
1.9096621222e+01   5.4747931471e-01
1.9174822591e+01   5.9929285120e-01
1.9253023959e+01   6.5944872036e-01
1.9331225328e+01   7.2893678719e-01
1.9409426696e+01   8.0868447570e-01
1.9487628065e+01   8.9944331107e-01
1.9565829433e+01   1.0016349014e+00
1.9644030802e+01   1.1151608230e+00
1.9722232170e+01   1.2391942730e+00
1.9800433539e+01   1.3719887573e+00
1.9800533539e+01   1.3721630998e+00
1.9801533539e+01   1.3739070689e+00
1.9811533539e+01   1.3913996800e+00
1.9889734907e+01   1.5307266519e+00
1.9967936276e+01   1.6715815918e+00
2.0046137644e+01   1.8091847173e+00
2.0124339013e+01   1.9383242741e+00
2.0202540381e+01   2.0538702533e+00
2.0202640381e+01   2.0540072828e+00
2.0203640381e+01   2.0553759403e+00
2.0213640381e+01   2.0688970266e+00
2.0291485654e+01   2.1630870998e+00
2.0369687022e+01   2.2358698440e+00
2.0447888391e+01   2.2849168245e+00
2.0526089759e+01   2.3098080604e+00
2.0604291128e+01   2.3114089765e+00
2.0682492496e+01   2.2915990394e+00
2.0760693865e+01   2.2529486188e+00
2.0838895234e+01   2.1984049955e+00
2.0917096602e+01   2.1310264243e+00
2.0917196602e+01   2.1309333354e+00
2.0918196602e+01   2.1300015622e+00
2.0928196602e+01   2.1205966205e+00
2.1006397971e+01   2.0421801060e+00
2.1084599339e+01   1.9570041421e+00
2.1162800708e+01   1.8674587008e+00
2.1241002076e+01   1.7755920243e+00
2.1319203445e+01   1.6831108662e+00
2.1397404813e+01   1.5913998958e+00
