X    Y    Z
5.0000000000e-01   5.0000000000e-01   0.0000000000e+00
5.0002500000e-01   5.0002500100e-01   1.0000150006e-05
5.0027499995e-01   5.0027512104e-01   1.1001815754e-04
5.0277494850e-01   5.0278735748e-01   1.1118559158e-03
5.2229772408e-01   5.2314183539e-01   9.0538600614e-03
5.4168811968e-01   5.4480686404e-01   1.7198585078e-02
5.6081724864e-01   5.6785816329e-01   2.5563814046e-02
5.7954338600e-01   5.9236898597e-01   3.4168212304e-02
5.9771249171e-01   6.1840809809e-01   4.3031260285e-02
6.1515919503e-01   6.4603733711e-01   5.2173152807e-02
6.3170831954e-01   6.7530872017e-01   6.1614658565e-02
6.4717702132e-01   7.0626109171e-01   7.1376933339e-02
6.6137759879e-01   7.3891632487e-01   8.1481280569e-02
6.7412100834e-01   7.7327512509e-01   9.1948853515e-02
6.8522108478e-01   8.0931252783e-01   1.0280029438e-01
6.9449941907e-01   8.4697323396e-01   1.1405530770e-01
7.0179078813e-01   8.8616698407e-01   1.2573216792e-01
7.0694896661e-01   9.2676423213e-01   1.3784716487e-01
7.0985268303e-01   9.6859243267e-01   1.5041399491e-01
7.1041142090e-01   1.0114332948e+00   1.6344311115e-01
7.0857071970e-01   1.0550213706e+00   1.7694105080e-01
7.0431661195e-01   1.0990443231e+00   1.9090976397e-01
6.9767885143e-01   1.1431451546e+00   2.0534597176e-01
6.8873264794e-01   1.1869265651e+00   2.2024058549e-01
6.7759872066e-01   1.2299574686e+00   2.3557821933e-01
6.6442832783e-01   1.2717963338e+00   2.5133693004e-01
6.4942604055e-01   1.3119704951e+00   2.6748802251e-01
6.3282220746e-01   1.3500146072e+00   2.8399594497e-01
6.1487134172e-01   1.3854766726e+00   3.0081856218e-01
5.9584366661e-01   1.4179314759e+00   3.1790756966e-01
5.9581876378e-01   1.4179708826e+00   3.1792957031e-01
5.9556966364e-01   1.4183646434e+00   3.1814959596e-01
5.9307160246e-01   1.4222715285e+00   3.2035174070e-01
5.7315314856e-01   1.4508233167e+00   3.3767879097e-01
5.5274870877e-01   1.4756043676e+00   3.5515108392e-01
5.3212180082e-01   1.4963489027e+00   3.7270569762e-01
5.1151842776e-01   1.5128585717e+00   3.9027708029e-01
4.9116184877e-01   1.5250059632e+00   4.0779816844e-01
4.7124893100e-01   1.5327353065e+00   4.2520152029e-01
4.5194807945e-01   1.5360605439e+00   4.4242042156e-01
4.3339862571e-01   1.5350611045e+00   4.5938992590e-01
4.1571147202e-01   1.5298758176e+00   4.7604779844e-01
3.9897073642e-01   1.5206954586e+00   4.9233533899e-01
3.8323612721e-01   1.5077544243e+00   5.0819806933e-01
3.6854578367e-01   1.4913220113e+00   5.2358627706e-01
3.5491934895e-01   1.4716937060e+00   5.3845541521e-01
3.4236108077e-01   1.4491828255e+00   5.5276636281e-01
3.3086285110e-01   1.4241127678e+00   5.6648555623e-01
3.2040692933e-01   1.3968100489e+00   5.7958500407e-01
3.1096848340e-01   1.3675982362e+00   5.9204220070e-01
3.0251776497e-01   1.3367928248e+00   6.0383995425e-01
2.9502197005e-01   1.3046970578e+00   6.1496614519e-01
2.8844678385e-01   1.2715986516e+00   6.2541343088e-01
2.8275763156e-01   1.2377673648e+00   6.3517891047e-01
2.7792066529e-01   1.2034533263e+00   6.4426376343e-01
2.7390352369e-01   1.1688860312e+00   6.5267287295e-01
2.7067590542e-01   1.1342739005e+00   6.6041444418e-01
2.6820999876e-01   1.0998043055e+00   6.6749962532e-01
2.6648080768e-01   1.0656439573e+00   6.7394213784e-01
2.6546640695e-01   1.0319395750e+00   6.7975792086e-01
2.6514814573e-01   9.9881876591e-01   6.8496479312e-01
2.6551080189e-01   9.6639106760e-01   6.8958213506e-01
2.6654267166e-01   9.3474912810e-01   6.9363059328e-01
2.6823556635e-01   9.0397001309e-01   6.9713180871e-01
2.7058468564e-01   8.7411663583e-01   7.0010817038e-01
2.7358835019e-01   8.4523929496e-01   7.0258259604e-01
2.7724760680e-01   8.1737727968e-01   7.0457834059e-01
2.8153212736e-01   7.9059283053e-01   7.0611907478e-01
2.8647029173e-01   7.6488270239e-01   7.0722857630e-01
2.9206932069e-01   7.4026126800e-01   7.0793033008e-01
2.9833890186e-01   7.1673644353e-01   7.0824762806e-01
3.0529109005e-01   6.9431070044e-01   7.0820347995e-01
3.1294020621e-01   6.7298200204e-01   7.0782054049e-01
3.2130273353e-01   6.5274466632e-01   7.0712105185e-01
3.3039720909e-01   6.3359015792e-01   7.0612679964e-01
3.4024410870e-01   6.1550781348e-01   7.0485908150e-01
3.5086572221e-01   5.9848550521e-01   7.0333868686e-01
3.6228601602e-01   5.8251024841e-01   7.0158588690e-01
3.7453047910e-01   5.6756875874e-01   6.9962043370e-01
3.8762594823e-01   5.5364796563e-01   6.9746156768e-01
4.0160040761e-01   5.4073548826e-01   6.9512803262e-01
4.1648275725e-01   5.2882008041e-01   6.9263809756e-01
4.3230254405e-01   5.1789205091e-01   6.9000958505e-01
4.4908964849e-01   5.0794366602e-01   6.8725990540e-01
4.6687391907e-01   4.9896954006e-01   6.8440609649e-01
4.6689731171e-01   4.9895868666e-01   6.8440238768e-01
4.6713133050e-01   4.9885024003e-01   6.8436529181e-01
4.6948076527e-01   4.9777450913e-01   6.8399355483e-01
4.8843963561e-01   4.8990986179e-01   6.8104125662e-01
5.0845742124e-01   4.8301763050e-01   6.7802028715e-01
5.2956074939e-01   4.7710232673e-01   6.7494683283e-01
5.5177393367e-01   4.7217243971e-01   6.7183692934e-01
5.7511817664e-01   4.6824086367e-01   6.6870652893e-01
5.9961064824e-01   4.6532534941e-01   6.6557157359e-01
6.2526342461e-01   4.6344898448e-01   6.6244807424e-01
6.5208227055e-01   4.6264070568e-01   6.5935219644e-01
6.8006524873e-01   4.6293584605e-01   6.5630035300e-01
7.0920113873e-01   4.6437671681e-01   6.5330930381e-01
7.3946764977e-01   4.6701322195e-01   6.5039626358e-01
7.7082941354e-01   4.7090349954e-01   6.4757901750e-01
8.0323574692e-01   4.7611457883e-01   6.4487604530e-01
8.3661818081e-01   4.8272303545e-01   6.4230665356e-01
8.7088776053e-01   4.9081561792e-01   6.3989111597e-01
9.0593213628e-01   5.0048980694e-01   6.3765082063e-01
9.4161248062e-01   5.1185425389e-01   6.3560842294e-01
9.7776029443e-01   5.2502902552e-01   6.3378800150e-01
1.0141741948e+00   5.4014555889e-01   6.3221521324e-01
1.0506168187e+00   5.5734620194e-01   6.3091744247e-01
1.0868120278e+00   5.7678318296e-01   6.2992393620e-01
1.1224426563e+00   5.9861681607e-01   6.2926591575e-01
1.1571491165e+00   6.2301271248e-01   6.2897665135e-01
1.1905292466e+00   6.5013773237e-01   6.2909148287e-01
1.2221398646e+00   6.8015438488e-01   6.2964776568e-01
1.2515006210e+00   7.1321330524e-01   6.3068471600e-01
1.2781002903e+00   7.4944397740e-01   6.3224312809e-01
1.3014066840e+00   7.8894281770e-01   6.3436493205e-01
1.3208800450e+00   8.3175922532e-01   6.3709255727e-01
1.3359903723e+00   8.7787957777e-01   6.4046807279e-01
1.3462385274e+00   9.2720979502e-01   6.4453208064e-01
1.3462483224e+00   9.2727486041e-01   6.4453773478e-01
1.3463457939e+00   9.2792578638e-01   6.4459434163e-01
1.3472725350e+00   9.3446215259e-01   6.4516696206e-01
1.3514298192e+00   9.8721607306e-01   6.5006314418e-01
1.3498754039e+00   1.0426260871e+00   6.5572317683e-01
1.3423728594e+00   1.1002365498e+00   6.6217305566e-01
1.3288222442e+00   1.1594536318e+00   6.6943023219e-01
1.3092794263e+00   1.2195456191e+00   6.7750159265e-01
1.2839676081e+00   1.2796531436e+00   6.8638154785e-01
1.2532787379e+00   1.3388105466e+00   6.9605039724e-01
1.2177634192e+00   1.3959783583e+00   7.0647313739e-01
1.1781092551e+00   1.4500853713e+00   7.1759887048e-01
1.1351089890e+00   1.5000773722e+00   7.2936093123e-01
1.0896215537e+00   1.5449680188e+00   7.4167779205e-01
1.0425295029e+00   1.5838874392e+00   7.5445473062e-01
9.9469733610e-01   1.6161235298e+00   7.6758617566e-01
9.9463605052e-01   1.6161602278e+00   7.6760314660e-01
9.9402320195e-01   1.6165265585e+00   7.6777287770e-01
9.8789576704e-01   1.6201246941e+00   7.6947230418e-01
9.4020375759e-01   1.6440997779e+00   7.8286938535e-01
8.9340082402e-01   1.6605205776e+00   7.9637209151e-01
8.4809155860e-01   1.6693059633e+00   8.0986065610e-01
8.0476493135e-01   1.6705715132e+00   8.2321746413e-01
7.6379386569e-01   1.6646082274e+00   8.3632991700e-01
7.2544175702e-01   1.6518542249e+00   8.4909286369e-01
6.8987389438e-01   1.6328626418e+00   8.6141052149e-01
6.5717175939e-01   1.6082686561e+00   8.7319785840e-01
6.2734843907e-01   1.5787580057e+00   8.8438145136e-01
6.0036378301e-01   1.5450386859e+00   8.9489986565e-01
5.7613836238e-01   1.5078168473e+00   9.0470362086e-01
5.5456567817e-01   1.4677773311e+00   9.1375481927e-01
5.3552238186e-01   1.4255688330e+00   9.2202651419e-01
5.1887650201e-01   1.3817933715e+00   9.2950189180e-01
5.0449382203e-01   1.3369995478e+00   9.3617333269e-01
