X    Y
0.0000000000e+00   5.0000000000e-01
1.0000000000e-04   5.0002500100e-01
1.1000000000e-03   5.0027512104e-01
1.1100000000e-02   5.0278735748e-01
8.9301368524e-02   5.2314183539e-01
1.6750273705e-01   5.4480686404e-01
2.4570410557e-01   5.6785816329e-01
3.2390547410e-01   5.9236898597e-01
4.0210684262e-01   6.1840809809e-01
4.8030821114e-01   6.4603733711e-01
5.5850957967e-01   6.7530872017e-01
6.3671094819e-01   7.0626109171e-01
7.1491231672e-01   7.3891632487e-01
7.9311368524e-01   7.7327512509e-01
8.7131505376e-01   8.0931252783e-01
9.4951642229e-01   8.4697323396e-01
1.0277177908e+00   8.8616698407e-01
1.1059191593e+00   9.2676423213e-01
1.1841205279e+00   9.6859243267e-01
1.2623218964e+00   1.0114332948e+00
1.3405232649e+00   1.0550213706e+00
1.4187246334e+00   1.0990443231e+00
1.4969260020e+00   1.1431451546e+00
1.5751273705e+00   1.1869265651e+00
1.6533287390e+00   1.2299574686e+00
1.7315301075e+00   1.2717963338e+00
1.8097314761e+00   1.3119704951e+00
1.8879328446e+00   1.3500146072e+00
1.9661342131e+00   1.3854766726e+00
2.0443355816e+00   1.4179314759e+00
2.0444355816e+00   1.4179708826e+00
2.0454355816e+00   1.4183646434e+00
2.0554355816e+00   1.4222715285e+00
2.1336369501e+00   1.4508233167e+00
2.2118383187e+00   1.4756043676e+00
2.2900396872e+00   1.4963489027e+00
2.3682410557e+00   1.5128585717e+00
2.4464424242e+00   1.5250059632e+00
2.5246437928e+00   1.5327353065e+00
2.6028451613e+00   1.5360605439e+00
2.6810465298e+00   1.5350611045e+00
2.7592478983e+00   1.5298758176e+00
2.8374492669e+00   1.5206954586e+00
2.9156506354e+00   1.5077544243e+00
2.9938520039e+00   1.4913220113e+00
3.0720533724e+00   1.4716937060e+00
3.1502547410e+00   1.4491828255e+00
3.2284561095e+00   1.4241127678e+00
3.3066574780e+00   1.3968100489e+00
3.3848588465e+00   1.3675982362e+00
3.4630602151e+00   1.3367928248e+00
3.5412615836e+00   1.3046970578e+00
3.6194629521e+00   1.2715986516e+00
3.6976643206e+00   1.2377673648e+00
3.7758656891e+00   1.2034533263e+00
3.8540670577e+00   1.1688860312e+00
3.9322684262e+00   1.1342739005e+00
4.0104697947e+00   1.0998043055e+00
4.0886711632e+00   1.0656439573e+00
4.1668725318e+00   1.0319395750e+00
4.2450739003e+00   9.9881876591e-01
4.3232752688e+00   9.6639106760e-01
4.4014766373e+00   9.3474912810e-01
4.4796780059e+00   9.0397001309e-01
4.5578793744e+00   8.7411663583e-01
4.6360807429e+00   8.4523929496e-01
4.7142821114e+00   8.1737727968e-01
4.7924834800e+00   7.9059283053e-01
4.8706848485e+00   7.6488270239e-01
4.9488862170e+00   7.4026126800e-01
5.0270875855e+00   7.1673644353e-01
5.1052889541e+00   6.9431070044e-01
5.1834903226e+00   6.7298200204e-01
5.2616916911e+00   6.5274466632e-01
5.3398930596e+00   6.3359015792e-01
5.4180944282e+00   6.1550781348e-01
5.4962957967e+00   5.9848550521e-01
5.5744971652e+00   5.8251024841e-01
5.6526985337e+00   5.6756875874e-01
5.7308999022e+00   5.5364796563e-01
5.8091012708e+00   5.4073548826e-01
5.8873026393e+00   5.2882008041e-01
5.9655040078e+00   5.1789205091e-01
6.0437053763e+00   5.0794366602e-01
6.1219067449e+00   4.9896954006e-01
6.1220067449e+00   4.9895868666e-01
6.1230067449e+00   4.9885024003e-01
6.1330067449e+00   4.9777450913e-01
6.2112081134e+00   4.8990986179e-01
6.2894094819e+00   4.8301763050e-01
6.3676108504e+00   4.7710232673e-01
6.4458122190e+00   4.7217243971e-01
6.5240135875e+00   4.6824086367e-01
6.6022149560e+00   4.6532534941e-01
6.6804163245e+00   4.6344898448e-01
6.7586176931e+00   4.6264070568e-01
6.8368190616e+00   4.6293584605e-01
6.9150204301e+00   4.6437671681e-01
6.9932217986e+00   4.6701322195e-01
7.0714231672e+00   4.7090349954e-01
7.1496245357e+00   4.7611457883e-01
7.2278259042e+00   4.8272303545e-01
7.3060272727e+00   4.9081561792e-01
7.3842286413e+00   5.0048980694e-01
7.4624300098e+00   5.1185425389e-01
7.5406313783e+00   5.2502902552e-01
7.6188327468e+00   5.4014555889e-01
7.6970341153e+00   5.5734620194e-01
7.7752354839e+00   5.7678318296e-01
7.8534368524e+00   5.9861681607e-01
7.9316382209e+00   6.2301271248e-01
8.0098395894e+00   6.5013773237e-01
8.0880409580e+00   6.8015438488e-01
8.1662423265e+00   7.1321330524e-01
8.2444436950e+00   7.4944397740e-01
8.3226450635e+00   7.8894281770e-01
8.4008464321e+00   8.3175922532e-01
8.4790478006e+00   8.7787957777e-01
8.5572491691e+00   9.2720979502e-01
8.5573491691e+00   9.2727486041e-01
8.5583491691e+00   9.2792578638e-01
8.5683491691e+00   9.3446215259e-01
8.6465505376e+00   9.8721607306e-01
8.7247519062e+00   1.0426260871e+00
8.8029532747e+00   1.1002365498e+00
8.8811546432e+00   1.1594536318e+00
8.9593560117e+00   1.2195456191e+00
9.0375573803e+00   1.2796531436e+00
9.1157587488e+00   1.3388105466e+00
9.1939601173e+00   1.3959783583e+00
9.2721614858e+00   1.4500853713e+00
9.3503628543e+00   1.5000773722e+00
9.4285642229e+00   1.5449680188e+00
9.5067655914e+00   1.5838874392e+00
9.5849669599e+00   1.6161235298e+00
9.5850669599e+00   1.6161602278e+00
9.5860669599e+00   1.6165265585e+00
9.5960669599e+00   1.6201246941e+00
9.6742683284e+00   1.6440997779e+00
9.7524696970e+00   1.6605205776e+00
9.8306710655e+00   1.6693059633e+00
9.9088724340e+00   1.6705715132e+00
9.9870738025e+00   1.6646082274e+00
1.0065275171e+01   1.6518542249e+00
1.0143476540e+01   1.6328626418e+00
1.0221677908e+01   1.6082686561e+00
1.0299879277e+01   1.5787580057e+00
1.0378080645e+01   1.5450386859e+00
1.0456282014e+01   1.5078168473e+00
1.0534483382e+01   1.4677773311e+00
1.0612684751e+01   1.4255688330e+00
1.0690886119e+01   1.3817933715e+00
1.0769087488e+01   1.3369995478e+00
1.0847288856e+01   1.2916789297e+00
1.0925490225e+01   1.2462651928e+00
1.1003691593e+01   1.2011350253e+00
1.1081892962e+01   1.1566106212e+00
1.1160094330e+01   1.1129631593e+00
1.1238295699e+01   1.0704169289e+00
1.1238395699e+01   1.0703633098e+00
1.1239395699e+01   1.0698272347e+00
1.1249395699e+01   1.0644781269e+00
1.1327597067e+01   1.0234096222e+00
1.1405798436e+01   9.8378592642e-01
1.1483999804e+01   9.4571346322e-01
1.1562201173e+01   9.0927036883e-01
1.1640402542e+01   8.7451058036e-01
1.1718603910e+01   8.4146761832e-01
1.1796805279e+01   8.1015803972e-01
1.1875006647e+01   7.8058455639e-01
1.1953208016e+01   7.5273882515e-01
1.2031409384e+01   7.2660392606e-01
1.2109610753e+01   7.0215655016e-01
1.2187812121e+01   6.7936892228e-01
1.2266013490e+01   6.5821048628e-01
1.2344214858e+01   6.3864938057e-01
1.2422416227e+01   6.2065373225e-01
1.2500617595e+01   6.0419279695e-01
1.2578818964e+01   5.8923797117e-01
1.2657020332e+01   5.7576370236e-01
1.2735221701e+01   5.6374832084e-01
1.2813423069e+01   5.5317481614e-01
1.2891624438e+01   5.4403157835e-01
1.2969825806e+01   5.3631312262e-01
1.3048027175e+01   5.3001536421e-01
1.3126228543e+01   5.2514950992e-01
1.3204429912e+01   5.2173125068e-01
1.3282631281e+01   5.1978480308e-01
1.3360832649e+01   5.1934357109e-01
1.3439034018e+01   5.2045081292e-01
1.3517235386e+01   5.2316030202e-01
1.3595436755e+01   5.2753696238e-01
1.3673638123e+01   5.3365744640e-01
1.3673738123e+01   5.3366642597e-01
1.3674738123e+01   5.3375638642e-01
1.3684738123e+01   5.3467250897e-01
1.3762939492e+01   5.4289372293e-01
1.3841140860e+01   5.5306438908e-01
1.3919342229e+01   5.6530019747e-01
1.3997543597e+01   5.7972898770e-01
1.4075744966e+01   5.9648981239e-01
1.4153946334e+01   6.1573125955e-01
1.4232147703e+01   6.3760880070e-01
1.4310349071e+01   6.6228089404e-01
1.4388550440e+01   6.8990354351e-01
1.4466751808e+01   7.2062300639e-01
1.4544953177e+01   7.5456636749e-01
1.4623154545e+01   7.9182977630e-01
1.4701355914e+01   8.3246429528e-01
1.4779557283e+01   8.7645955304e-01
1.4857758651e+01   9.2372588743e-01
1.4935960020e+01   9.7407535709e-01
1.5014161388e+01   1.0272041555e+00
1.5092362757e+01   1.0826775295e+00
1.5170564125e+01   1.1399200074e+00
1.5248765494e+01   1.1982134150e+00
1.5248865494e+01   1.1982882797e+00
1.5249865494e+01   1.1990369444e+00
1.5259865494e+01   1.2065250271e+00
1.5338066862e+01   1.2649686309e+00
1.5416268231e+01   1.3224978631e+00
1.5494469599e+01   1.3780535436e+00
1.5572670968e+01   1.4305427576e+00
1.5650872336e+01   1.4788899941e+00
1.5729073705e+01   1.5220910105e+00
1.5807275073e+01   1.5592641511e+00
1.5885476442e+01   1.5896939678e+00
1.5963677810e+01   1.6128629551e+00
1.6041879179e+01   1.6284696617e+00
1.6120080547e+01   1.6364298622e+00
1.6198281916e+01   1.6368662268e+00
1.6276483284e+01   1.6300855426e+00
1.6354684653e+01   1.6165483977e+00
1.6432886022e+01   1.5968346370e+00
1.6432986022e+01   1.5968057505e+00
1.6433986022e+01   1.5965163898e+00
1.6443986022e+01   1.5935734924e+00
1.6522187390e+01   1.5676212708e+00
1.6600388759e+01   1.5369731450e+00
1.6678590127e+01   1.5023630633e+00
1.6756791496e+01   1.4645160188e+00
1.6834992864e+01   1.4241284458e+00
1.6913194233e+01   1.3818536896e+00
1.6991395601e+01   1.3382921135e+00
1.7069596970e+01   1.2939852144e+00
1.7147798338e+01   1.2494130478e+00
1.7225999707e+01   1.2049942569e+00
1.7304201075e+01   1.1610880610e+00
1.7382402444e+01   1.1179976325e+00
1.7460603812e+01   1.0759743896e+00
1.7538805181e+01   1.0352228881e+00
1.7617006549e+01   9.9590570848e-01
1.7695207918e+01   9.5814865806e-01
1.7773409286e+01   9.2204563656e-01
1.7851610655e+01   8.8766328008e-01
1.7929812023e+01   8.5504527432e-01
1.7929912023e+01   8.5500470590e-01
1.7930912023e+01   8.5459918273e-01
1.7940912023e+01   8.5056005970e-01
1.8019113392e+01   8.1998608885e-01
1.8097314761e+01   7.9121064177e-01
1.8175516129e+01   7.6422921067e-01
1.8253717498e+01   7.3902824384e-01
1.8331918866e+01   7.1558759656e-01
1.8410120235e+01   6.9388268083e-01
1.8488321603e+01   6.7388634583e-01
1.8566522972e+01   6.5557052161e-01
1.8644724340e+01   6.3890765775e-01
1.8722925709e+01   6.2387198745e-01
1.8801127077e+01   6.1044064565e-01
1.8879328446e+01   5.9859466742e-01
1.8957529814e+01   5.8831989030e-01
1.9035731183e+01   5.7960778177e-01
1.9113932551e+01   5.7245620976e-01
1.9192133920e+01   5.6687017086e-01
1.9270335288e+01   5.6286248661e-01
1.9348536657e+01   5.6045447326e-01
1.9426738025e+01   5.5967658364e-01
1.9504939394e+01   5.6056901155e-01
1.9583140762e+01   5.6318223828e-01
1.9661342131e+01   5.6757748777e-01
1.9739543500e+01   5.7382704052e-01
1.9817744868e+01   5.8200148137e-01
1.9895946237e+01   5.9220340993e-01
1.9974147605e+01   6.0453670017e-01
2.0052348974e+01   6.1911468333e-01
2.0130550342e+01   6.3605854109e-01
2.0208751711e+01   6.5549487422e-01
2.0286953079e+01   6.7755223424e-01
2.0287053079e+01   6.7758217242e-01
2.0288053079e+01   6.7788180140e-01
2.0298053079e+01   6.8090285927e-01
2.0376254448e+01   7.0610665508e-01
2.0454455816e+01   7.3418938692e-01
2.0532657185e+01   7.6524766133e-01
2.0610858553e+01   7.9934975422e-01
2.0689059922e+01   8.3652365429e-01
2.0767261290e+01   8.7674341872e-01
2.0845462659e+01   9.1991430320e-01
2.0923664027e+01   9.6585747099e-01
2.1001865396e+01   1.0142954734e+00
2.1080066764e+01   1.0648400754e+00
2.1158268133e+01   1.1169842950e+00
2.1236469501e+01   1.1701006376e+00
2.1314670870e+01   1.2234473271e+00
2.1392872239e+01   1.2761838187e+00
2.1471073607e+01   1.3273960895e+00
2.1549274976e+01   1.3761306113e+00
2.1627476344e+01   1.4214352281e+00
2.1705677713e+01   1.4624035363e+00
2.1705777713e+01   1.4624527875e+00
2.1706777713e+01   1.4629448339e+00
2.1716777713e+01   1.4678185001e+00
2.1794979081e+01   1.5028431687e+00
2.1873180450e+01   1.5319417453e+00
2.1951381818e+01   1.5546109806e+00
2.2029583187e+01   1.5705295042e+00
2.2107784555e+01   1.5795640300e+00
