X    Y
0.0000000000e+00   nan
7.8201368524e-02   2.7989982120e-02
1.5640273705e-01   1.2038291331e-02
2.3460410557e-01   6.4761807894e-03
3.1280547410e-01   3.6272330347e-03
3.9100684262e-01   1.9593982785e-03
4.6920821114e-01   9.4838199267e-04
5.4740957967e-01   4.0647476973e-04
6.2561094819e-01   4.1457511038e-04
7.0381231672e-01   4.2347622774e-04
7.8201368524e-01   4.3343173614e-04
8.6021505376e-01   6.8490583269e-04
9.3841642229e-01   1.7976570643e-03
1.0166177908e+00   7.8636483129e-04
1.0948191593e+00   8.1754062206e-04
1.1730205279e+00   8.5737898621e-04
1.2512218964e+00   9.1082521348e-04
1.3294232649e+00   9.8734290815e-04
1.4076246334e+00   1.1077039108e-03
1.4858260020e+00   1.3281668466e-03
1.5640273705e+00   1.8729065229e-03
1.6422287390e+00   5.6037781311e-03
1.7204301075e+00   1.9604819371e-03
1.7986314761e+00   6.3946512653e-04
1.8768328446e+00   7.8134567561e-04
1.9550342131e+00   7.9419654942e-04
2.0332355816e+00   8.0786717100e-04
2.1114369501e+00   8.2261785397e-04
2.1896383187e+00   8.3878044668e-04
2.2678396872e+00   8.5679194567e-04
2.3460410557e+00   8.7724711296e-04
2.4242424242e+00   9.0098445348e-04
2.5024437928e+00   9.2923365798e-04
2.5806451613e+00   9.6077770075e-04
2.6588465298e+00   1.0034277746e-03
2.7370478983e+00   1.0603961847e-03
2.8152492669e+00   1.1416049124e-03
2.8934506354e+00   1.2688501930e-03
2.9716520039e+00   1.5012277798e-03
3.0498533724e+00   2.0748525890e-03
3.1280547410e+00   6.0473147768e-03
3.2062561095e+00   1.9066959087e-03
3.2844574780e+00   1.5603406567e-03
3.3626588465e+00   1.7774684502e-03
3.4408602151e+00   2.0177095526e-03
3.5190615836e+00   2.2864724344e-03
3.5972629521e+00   2.5875870236e-03
3.6754643206e+00   2.9225132273e-03
3.7536656891e+00   3.2861713676e-03
3.8318670577e+00   3.6547471057e-03
3.9100684262e+00   3.9586869916e-03
3.9882697947e+00   2.5585847601e-03
4.0664711632e+00   2.8961601935e-03
4.1446725318e+00   3.2115384311e-03
4.2228739003e+00   3.4878854057e-03
4.3010752688e+00   3.7012659654e-03
4.3792766373e+00   3.8212416861e-03
4.4574780059e+00   3.8125838928e-03
4.5356793744e+00   3.6394392927e-03
4.6138807429e+00   2.3798103774e-05
4.6920821114e+00   2.4545313712e-05
4.7702834800e+00   5.1785737543e-05
4.8484848485e+00   9.2326679371e-05
4.9266862170e+00   1.3581310193e-04
5.0048875855e+00   1.7515098786e-04
5.0830889541e+00   7.5329612838e-05
5.1612903226e+00   2.6371034218e-03
5.2394916911e+00   3.1324729411e-03
5.3176930596e+00   3.1870875321e-03
5.3958944282e+00   2.7406411512e-03
5.4740957967e+00   1.8088648930e-03
5.5522971652e+00   8.4628941478e-04
5.6304985337e+00   2.1362280023e-03
5.7086999022e+00   5.1017752475e-03
5.7869012708e+00   8.1401321802e-03
5.8651026393e+00   1.1103362385e-02
5.9433040078e+00   1.3827732252e-02
6.0215053763e+00   1.6062586932e-02
6.0997067449e+00   1.7282636158e-02
6.1779081134e+00   1.6047832922e-02
6.2561094819e+00   1.7387683664e-02
6.3343108504e+00   1.5162411323e-02
6.4125122190e+00   1.1958377123e-02
6.4907135875e+00   8.5989455478e-03
6.5689149560e+00   5.7508889502e-03
6.6471163245e+00   3.6806477136e-03
6.7253176931e+00   2.3355542905e-03
6.8035190616e+00   1.5385067385e-03
6.8817204301e+00   1.1259142108e-03
6.9599217986e+00   1.0055253394e-03
7.0381231672e+00   1.1667955346e-03
7.1163245357e+00   1.6692792037e-03
7.1945259042e+00   2.6181703874e-03
7.2727272727e+00   2.1626378815e-03
7.3509286413e+00   1.1051729934e-03
7.4291300098e+00   1.2627866819e-03
7.5073313783e+00   1.5889301545e-03
7.5855327468e+00   2.6894223060e-03
7.6637341153e+00   9.4682083638e-03
7.7419354839e+00   7.5887732058e-04
7.8201368524e+00   7.1292808925e-04
7.8983382209e+00   7.2344500292e-04
7.9765395894e+00   7.3455766446e-04
8.0547409580e+00   7.4646089533e-04
8.1329423265e+00   6.3065511242e-04
8.2111436950e+00   6.4185038629e-04
8.2893450635e+00   6.5443511678e-04
8.3675464321e+00   6.6886827138e-04
8.4457478006e+00   6.8580908461e-04
8.5239491691e+00   7.0624544802e-04
8.6021505376e+00   7.3173466378e-04
8.6803519062e+00   7.6489134190e-04
8.7585532747e+00   8.1048021579e-04
8.8367546432e+00   8.7821793341e-04
8.9149560117e+00   5.5085940235e-04
8.9931573803e+00   6.6949885411e-04
9.0713587488e+00   1.0670519242e-03
9.1495601173e+00   3.4066198898e-03
9.2277614858e+00   8.5058968098e-04
9.3059628543e+00   9.5779457179e-04
9.3841642229e+00   1.0770817401e-03
9.4623655914e+00   1.2034362337e-03
9.5405669599e+00   1.3171708807e-03
9.6187683284e+00   2.7757301966e-05
9.6969696970e+00   8.0649959347e-05
9.7751710655e+00   1.2931711769e-04
9.8533724340e+00   1.7420485981e-04
9.9315738025e+00   2.1726449241e-04
1.0009775171e+01   2.5912343481e-04
1.0087976540e+01   2.9836383418e-04
