X    Y
0.0000000000e+00   0.0000000000e+00
1.0000000000e-04   -4.0000608228e-05
1.1000000000e-03   -4.4007346774e-04
1.1100000000e-02   -4.4473512796e-03
8.9301368524e-02   -3.6132529862e-02
1.6750273705e-01   -6.8236491549e-02
2.4570410557e-01   -1.0049916546e-01
3.2390547410e-01   -1.3268001077e-01
4.0210684262e-01   -1.6455293336e-01
4.8030821114e-01   -1.9590216470e-01
5.5850957967e-01   -2.2651935825e-01
6.3671094819e-01   -2.5620187846e-01
7.1491231672e-01   -2.8475209041e-01
7.9311368524e-01   -3.1197739647e-01
8.7131505376e-01   -3.3769077791e-01
9.4951642229e-01   -3.6171164684e-01
9.4961642229e-01   -3.6174120519e-01
9.5061642229e-01   -3.6203662084e-01
9.6061642229e-01   -3.6497392185e-01
1.0388177908e+00   -3.8685142606e-01
1.1170191593e+00   -4.0667713672e-01
1.1952205279e+00   -4.2429786601e-01
1.2734218964e+00   -4.3957154862e-01
1.3516232649e+00   -4.5236826099e-01
1.4298246334e+00   -4.6257121040e-01
1.5080260020e+00   -4.7007767005e-01
1.5862273705e+00   -4.7479984588e-01
1.6644287390e+00   -4.7666566571e-01
1.7426301075e+00   -4.7561948361e-01
1.8208314761e+00   -4.7162269368e-01
1.8209314761e+00   -4.7161568294e-01
1.8219314761e+00   -4.7154530811e-01
1.8319314761e+00   -4.7081481506e-01
1.9101328446e+00   -4.6342389898e-01
1.9883342131e+00   -4.5305929608e-01
2.0665355816e+00   -4.3973884059e-01
2.1447369501e+00   -4.2349888472e-01
2.2229383187e+00   -4.0439438034e-01
2.3011396872e+00   -3.8249884888e-01
2.3793410557e+00   -3.5790423859e-01
2.4575424242e+00   -3.3072066867e-01
2.5357437928e+00   -3.0107606114e-01
2.5358437928e+00   -3.0103663778e-01
2.5368437928e+00   -3.0064219583e-01
2.5468437928e+00   -2.9667700927e-01
2.6250451613e+00   -2.6440065165e-01
2.7032465298e+00   -2.2999479470e-01
2.7814478983e+00   -1.9363968156e-01
2.8596492669e+00   -1.5553068876e-01
2.9378506354e+00   -1.1587742872e-01
3.0160520039e+00   -7.4902768050e-02
3.0942533724e+00   -3.2841771744e-02
3.1724547410e+00   1.0059414588e-02
3.2506561095e+00   5.3544730292e-02
3.2507561095e+00   5.3600598869e-02
3.2517561095e+00   5.4159313285e-02
3.2617561095e+00   5.9749207939e-02
3.3399574780e+00   1.0357725990e-01
3.4181588465e+00   1.4741307303e-01
3.4963602151e+00   1.9097708412e-01
3.5745615836e+00   2.3398454962e-01
3.6527629521e+00   2.7614646132e-01
3.7309643206e+00   3.1717024095e-01
3.8091656891e+00   3.5676011460e-01
3.8873670577e+00   3.9461704611e-01
3.9655684262e+00   4.3043809626e-01
3.9656684262e+00   4.3048246814e-01
3.9666684262e+00   4.3092597591e-01
3.9766684262e+00   4.3533982365e-01
4.0548697947e+00   4.6845796195e-01
4.1330711632e+00   4.9886819781e-01
4.2112725318e+00   5.2623864742e-01
4.2894739003e+00   5.5021803317e-01
4.3676752688e+00   5.7042779936e-01
4.4458766373e+00   5.8645291486e-01
4.5240780059e+00   5.9783282028e-01
4.6022793744e+00   6.0405574555e-01
4.6023793744e+00   6.0406016696e-01
4.6033793744e+00   6.0410386685e-01
4.6133793744e+00   6.0448920417e-01
4.6915807429e+00   6.0413728104e-01
4.7697821114e+00   5.9740268056e-01
4.8479834800e+00   5.8374081943e-01
4.9261848485e+00   5.6274969890e-01
5.0043862170e+00   5.3431605561e-01
5.0825875855e+00   4.9877963038e-01
5.0826875855e+00   4.9872996737e-01
5.0836875855e+00   4.9823277703e-01
5.0936875855e+00   4.9320537846e-01
5.1718889541e+00   4.5071517882e-01
5.2500903226e+00   4.0379648089e-01
5.3282916911e+00   3.5441190023e-01
5.4064930596e+00   3.0457924037e-01
5.4846944282e+00   2.5601299764e-01
5.5628957967e+00   2.0987194479e-01
5.5629957967e+00   2.0981478504e-01
5.5639957967e+00   2.0924345771e-01
5.5739957967e+00   2.0355728340e-01
5.6521971652e+00   1.6080278585e-01
5.7303985337e+00   1.2096880982e-01
5.8085999022e+00   8.3666610267e-02
5.8868012708e+00   4.8370822052e-02
5.9650026393e+00   1.4561134114e-02
6.0432040078e+00   -1.8193518574e-02
6.1214053763e+00   -5.0199631252e-02
6.1996067449e+00   -8.1636690770e-02
6.1997067449e+00   -8.1676566067e-02
6.2007067449e+00   -8.2075275190e-02
6.2107067449e+00   -8.6057988493e-02
6.2889081134e+00   -1.1692761884e-01
6.3671094819e+00   -1.4727796172e-01
6.4453108504e+00   -1.7702285968e-01
6.5235122190e+00   -2.0603641738e-01
6.6017135875e+00   -2.3416819387e-01
6.6799149560e+00   -2.6125420843e-01
6.7581163245e+00   -2.8712457289e-01
6.8363176931e+00   -3.1160866914e-01
6.9145190616e+00   -3.3453867418e-01
6.9927204301e+00   -3.5575204045e-01
7.0709217986e+00   -3.7509334538e-01
7.1491231672e+00   -3.9241576858e-01
7.2273245357e+00   -4.0758234470e-01
7.2274245357e+00   -4.0760030376e-01
7.2284245357e+00   -4.0777968883e-01
7.2384245357e+00   -4.0955294243e-01
7.3166259042e+00   -4.2210362938e-01
7.3948272727e+00   -4.3224241512e-01
