X    Y
0.0000000000e+00   0.0000000000e+00
1.0000000000e-04   4.1654168367e-06
1.1000000000e-03   4.5682309480e-05
1.1100000000e-02   4.4732996020e-04
8.9301368524e-02   2.8394681728e-03
1.6750273705e-01   4.1987760261e-03
2.4570410557e-01   4.8710024458e-03
3.2390547410e-01   5.1142147516e-03
4.0210684262e-01   5.1090311785e-03
4.8030821114e-01   4.9739528264e-03
5.5850957967e-01   4.7816794121e-03
6.3671094819e-01   4.5736137381e-03
7.1491231672e-01   4.3712323750e-03
7.9311368524e-01   4.1841500795e-03
8.7131505376e-01   4.0153750166e-03
9.4951642229e-01   3.8644983979e-03
9.4961642229e-01   3.8643334946e-03
9.5061642229e-01   3.8626855829e-03
9.6061642229e-01   3.8463201588e-03
1.0388177908e+00   3.7260478595e-03
1.1170191593e+00   3.6203603356e-03
1.1952205279e+00   3.5293188014e-03
1.2734218964e+00   3.4522723166e-03
1.3516232649e+00   3.3883951931e-03
1.4298246334e+00   3.3369104698e-03
1.5080260020e+00   3.2971721275e-03
1.5862273705e+00   3.2686884457e-03
1.6644287390e+00   3.2511236877e-03
1.7426301075e+00   3.2442939813e-03
1.8208314761e+00   3.2481637929e-03
1.8209314761e+00   3.2481756229e-03
1.8219314761e+00   3.2482948948e-03
1.8319314761e+00   3.2495848305e-03
1.9101328446e+00   3.2658188068e-03
1.9883342131e+00   3.2931785152e-03
2.0665355816e+00   3.3321104747e-03
2.1447369501e+00   3.3832358476e-03
2.2229383187e+00   3.4473699602e-03
2.3011396872e+00   3.5255486350e-03
2.3793410557e+00   3.6190627210e-03
2.4575424242e+00   3.7295027088e-03
2.5357437928e+00   3.8588159217e-03
2.5358437928e+00   3.8589943283e-03
2.5368437928e+00   3.8607803032e-03
2.5468437928e+00   3.8788320271e-03
2.6250451613e+00   4.0326351054e-03
2.7032465298e+00   4.2110529037e-03
2.7814478983e+00   4.4177366686e-03
2.8596492669e+00   4.6571649068e-03
2.9378506354e+00   4.9348536170e-03
3.0160520039e+00   5.2576299409e-03
3.0942533724e+00   5.6339878861e-03
3.1724547410e+00   6.0745462692e-03
3.2506561095e+00   6.5926257069e-03
3.2507561095e+00   6.5933451958e-03
3.2517561095e+00   6.6005485745e-03
3.2617561095e+00   6.6734395922e-03
3.3399574780e+00   7.3016695896e-03
3.4181588465e+00   8.0500523755e-03
3.4963602151e+00   8.9478417064e-03
3.5745615836e+00   1.0033077231e-02
3.6527629521e+00   1.1355584833e-02
3.7309643206e+00   1.2981046923e-02
3.8091656891e+00   1.4996453715e-02
3.8873670577e+00   1.7517207077e-02
3.9655684262e+00   2.0695966960e-02
3.9656684262e+00   2.0700544752e-02
3.9666684262e+00   2.0746400510e-02
3.9766684262e+00   2.1212844350e-02
4.0548697947e+00   2.5411303608e-02
4.1330711632e+00   3.0804602610e-02
4.2112725318e+00   3.7777584697e-02
4.2894739003e+00   4.6834604340e-02
4.3676752688e+00   5.8623001889e-02
4.4458766373e+00   7.3946432084e-02
4.5240780059e+00   9.3750918938e-02
4.6022793744e+00   1.1905506468e-01
4.6023793744e+00   1.1909136248e-01
4.6033793744e+00   1.1945492115e-01
4.6133793744e+00   1.2314892246e-01
4.6915807429e+00   1.5584121470e-01
4.7697821114e+00   1.9548270991e-01
4.8479834800e+00   2.4152655696e-01
4.9261848485e+00   2.9185801658e-01
5.0043862170e+00   3.4232023846e-01
5.0825875855e+00   3.8675417864e-01
5.0826875855e+00   3.8680406528e-01
5.0836875855e+00   3.8730173164e-01
5.0936875855e+00   3.9215528302e-01
5.1718889541e+00   4.2090738615e-01
5.2500903226e+00   4.2935974748e-01
5.3282916911e+00   4.1480672410e-01
5.4064930596e+00   3.7909283661e-01
5.4846944282e+00   3.2807321366e-01
5.5628957967e+00   2.6962055594e-01
5.5629957967e+00   2.6954443405e-01
5.5639957967e+00   2.6878324441e-01
5.5739957967e+00   2.6117714464e-01
5.6521971652e+00   2.0336124876e-01
5.7303985337e+00   1.5182356536e-01
5.8085999022e+00   1.0927392165e-01
5.8868012708e+00   7.6296314086e-02
5.9650026393e+00   5.2073284298e-02
6.0432040078e+00   3.5090411009e-02
6.1214053763e+00   2.3655726388e-02
6.1996067449e+00   1.6205996441e-02
6.1997067449e+00   1.6198536595e-02
6.2007067449e+00   1.6124180951e-02
6.2107067449e+00   1.5404442923e-02
6.2889081134e+00   1.1055773484e-02
6.3671094819e+00   8.3827749794e-03
6.4453108504e+00   6.7553512398e-03
6.5235122190e+00   5.7580434227e-03
6.6017135875e+00   5.1303012086e-03
6.6799149560e+00   4.7159168347e-03
6.7581163245e+00   4.4248953313e-03
6.8363176931e+00   4.2071044307e-03
6.9145190616e+00   4.0353325277e-03
6.9927204301e+00   3.8950523170e-03
7.0709217986e+00   3.7785557217e-03
7.1491231672e+00   3.6817272255e-03
7.2273245357e+00   3.6023023115e-03
7.2274245357e+00   3.6021933567e-03
7.2284245357e+00   3.6011057945e-03
7.2384245357e+00   3.5904251927e-03
7.3166259042e+00   3.5176864195e-03
7.3948272727e+00   3.4608027335e-03
7.4730286413e+00   3.4171238373e-03
7.5512300098e+00   3.3853370284e-03
7.6294313783e+00   3.3647655555e-03
7.7076327468e+00   3.3550734738e-03
7.7858341153e+00   3.3561440965e-03
7.8640354839e+00   3.3680320820e-03
