X    Y    Z
0.0000000000e+00   4.0000000000e-01   0.0000000000e+00
-1.1002412309e-02   4.0204699736e-01   1.0511739817e-03
-2.2083375063e-02   4.0380187178e-01   1.9349821267e-03
-3.3230514816e-02   4.0526103103e-01   2.6705735526e-03
-4.4431870923e-02   4.0642119730e-01   3.2757922401e-03
-5.5675867574e-02   4.0727939804e-01   3.7671303414e-03
-6.6951284653e-02   4.0783295742e-01   4.1597069241e-03
-7.8247228125e-02   4.0807948861e-01   4.4672705005e-03
-8.9553100589e-02   4.0801688682e-01   4.7022229995e-03
-1.0085857257e-01   4.0764332308e-01   4.8756623607e-03
-1.1215355503e-01   4.0695723881e-01   4.9974406327e-03
-1.2342817354e-01   4.0595734100e-01   5.0762343354e-03
-1.3467274433e-01   4.0464259817e-01   5.1196238778e-03
-1.4587775255e-01   4.0301223684e-01   5.1341789657e-03
-1.5703383283e-01   4.0106573856e-01   5.1255471864e-03
-1.6813175215e-01   3.9880283749e-01   5.0985432661e-03
-1.7916239518e-01   3.9622351835e-01   5.0572368535e-03
-1.9011675183e-01   3.9332801468e-01   5.0050370613e-03
-2.0098590706e-01   3.9011680756e-01   4.9447723767e-03
-2.1176103281e-01   3.8659062438e-01   4.8787649156e-03
-2.2243338175e-01   3.8275043796e-01   4.8088983373e-03
-2.3299428287e-01   3.7859746572e-01   4.7366790430e-03
-2.4343513860e-01   3.7413316895e-01   4.6632905457e-03
-2.5374742329e-01   3.6935925219e-01   4.5896411271e-03
-2.6392268289e-01   3.6427766259e-01   4.5164050767e-03
-2.7395253570e-01   3.5889058926e-01   4.4440579513e-03
-2.8382867396e-01   3.5320046257e-01   4.3729063942e-03
-2.9354286616e-01   3.4720995348e-01   4.3031131206e-03
-3.0308696000e-01   3.4092197264e-01   4.2347177117e-03
-3.1245288577e-01   3.3433966957e-01   4.1676538691e-03
-3.2163266022e-01   3.2746643159e-01   4.1017637684e-03
-3.3061839072e-01   3.2030588272e-01   4.0368101176e-03
-3.3940227967e-01   3.1286188244e-01   3.9724864843e-03
-3.4797662919e-01   3.0513852428e-01   3.9084263966e-03
-3.5633384598e-01   2.9714013433e-01   3.8442116625e-03
-3.6446644635e-01   2.8887126957e-01   3.7793802844e-03
-3.7236706141e-01   2.8033671602e-01   3.7134342782e-03
-3.8002844250e-01   2.7154148685e-01   3.6458476373e-03
-3.8744346667e-01   2.6249082015e-01   3.5760746168e-03
-3.9460514242e-01   2.5319017671e-01   3.5035584490e-03
-4.0150661558e-01   2.4364523754e-01   3.4277405439e-03
-4.0814117540e-01   2.3386190118e-01   3.3480701751e-03
-4.1450226080e-01   2.2384628092e-01   3.2640146011e-03
-4.2058346687e-01   2.1360470176e-01   3.1750695349e-03
-4.2637855157e-01   2.0314369719e-01   3.0807698334e-03
-4.3188144255e-01   1.9247000576e-01   2.9807002542e-03
-4.3708624431e-01   1.8159056748e-01   2.8745061012e-03
-4.4198724542e-01   1.7051251991e-01   2.7619035645e-03
-4.4657892597e-01   1.5924319416e-01   2.6426895515e-03
-4.5085596515e-01   1.4779011053e-01   2.5167508000e-03
-4.5481324895e-01   1.3616097400e-01   2.3840720658e-03
-4.5844587793e-01   1.2436366945e-01   2.2447431873e-03
-4.6174917505e-01   1.1240625667e-01   2.0989648368e-03
-4.6471869352e-01   1.0029696505e-01   1.9470527920e-03
-4.6735022448e-01   8.8044188126e-02   1.7894405751e-03
-4.6963980477e-01   7.5656477835e-02   1.6266803410e-03
-4.7158372433e-01   6.3142538514e-02   1.4594419169e-03
-4.7317853355e-01   5.0511220693e-02   1.2885099328e-03
-4.7442105025e-01   3.7771514647e-02   1.1147790140e-03
-4.7530836633e-01   2.4932543726e-02   9.3924704263e-04
-4.7583785403e-01   1.2003557465e-02   7.6300653097e-04
-4.7600717180e-01   -1.0060755034e-03   5.8723418645e-04
-4.7581426953e-01   -1.4086874731e-02   4.1317878386e-04
-4.7525739337e-01   -2.7229255411e-02   2.4214749454e-04
-4.7433508984e-01   -4.0423536007e-02   7.5490855358e-05
-4.7304620934e-01   -5.3659946018e-02   -8.5413410122e-05
-4.7138990905e-01   -6.6928633882e-02   -2.3917747886e-04
-4.6936565498e-01   -8.0219674986e-02   -3.8442116204e-04
-4.6697322351e-01   -9.3523079774e-02   -5.1979000476e-04
-4.6421270201e-01   -1.0682880193e-01   -6.4397345784e-04
-4.6108448890e-01   -1.2012674660e-01   -7.5572281939e-04
-4.5758929290e-01   -1.3340677868e-01   -8.5386864121e-04
-4.5372813161e-01   -1.4665873108e-01   -9.3733729776e-04
-4.4950232946e-01   -1.5987241303e-01   -1.0051664242e-03
-4.4491351499e-01   -1.7303761834e-01   -1.0565189442e-03
-4.3996361756e-01   -1.8614413359e-01   -1.0906954278e-03
-4.3465486350e-01   -1.9918174636e-01   -1.1071445460e-03
-4.2898977180e-01   -2.1214025330e-01   -1.1054714160e-03
-4.2297114939e-01   -2.2500946815e-01   -1.0854436686e-03
-4.1660208604e-01   -2.3777922971e-01   -1.0469951048e-03
-4.0988594901e-01   -2.5043940963e-01   -9.9022685167e-04
-4.0282637746e-01   -2.6297992019e-01   -9.1540596944e-04
-3.9542727671e-01   -2.7539072186e-01   -8.2296150876e-04
-3.8769281251e-01   -2.8766183084e-01   -7.1347806122e-04
-3.7962740524e-01   -2.9978332641e-01   -5.8768689289e-04
-3.7123572421e-01   -3.1174535822e-01   -4.4645479451e-04
-3.6252268211e-01   -3.2353815342e-01   -2.9077082447e-04
-3.5349342961e-01   -3.3515202372e-01   -1.2173116026e-04
-3.4415335030e-01   -3.4657737230e-01   5.9477690531e-05
-3.3450805581e-01   -3.5780470063e-01   2.5159703727e-04
-3.2456338132e-01   -3.6882461526e-01   4.5331520346e-04
-3.1432538141e-01   -3.7962783445e-01   6.6328744598e-04
-3.0380032631e-01   -3.9020519476e-01   8.8015625522e-04
-2.9299469846e-01   -4.0054765757e-01   1.1025716878e-03
-2.8191518948e-01   -4.1064631558e-01   1.3292113846e-03
-2.7056869755e-01   -4.2049239922e-01   1.5587999333e-03
-2.5896232505e-01   -4.3007728303e-01   1.7901272515e-03
-2.4710337658e-01   -4.3939249210e-01   2.0220656841e-03
-2.3499935718e-01   -4.4842970836e-01   2.2535855429e-03
-2.2265797088e-01   -4.5718077693e-01   2.4837688436e-03
-2.1008711932e-01   -4.6563771254e-01   2.7118210417e-03
-1.9729490058e-01   -4.7379270577e-01   2.9370806098e-03
-1.8428960796e-01   -4.8163812948e-01   3.1590263473e-03
-1.7107972890e-01   -4.8916654511e-01   3.3772823672e-03
-1.5767394366e-01   -4.9637070905e-01   3.5916207559e-03
-1.4408112405e-01   -5.0324357901e-01   3.8019619568e-03
-1.3031033178e-01   -5.0977832031e-01   4.0083729809e-03
-1.1637081672e-01   -5.1596831229e-01   4.2110636009e-03
-1.0227201477e-01   -5.2180715456e-01   4.4103807339e-03
-8.8023545374e-02   -5.2728867334e-01   4.6068012604e-03
-7.3635208721e-02   -5.3240692765e-01   4.8009235702e-03
-5.9116982442e-02   -5.3715621558e-01   4.9934581570e-03
-4.4479017933e-02   -5.4153108037e-01   5.1852176101e-03
-2.9731636206e-02   -5.4552631652e-01   5.3771063696e-03
-1.4885323302e-02   -5.4913697574e-01   5.5701106230e-03
4.9274733686e-05   -5.5235837284e-01   5.7652887164e-03
1.5061357277e-02   -5.5518609147e-01   5.9637624514e-03
3.0139974942e-02   -5.5761598983e-01   6.1667096124e-03
4.5274035724e-02   -5.5964420610e-01   6.3753580462e-03
6.0452311440e-02   -5.6126716389e-01   6.5909815751e-03
7.5663444385e-02   -5.6248157739e-01   6.8148979784e-03
